"","GO_terms","X","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology","moduleColor","Day","slim_term","Gene_IDs"
"1","GO:0000184",5,8.61582887349053e-10,0.999999999943064,13,38,"nuclear-transcribed mRNA catabolic process, nonsense-mediated decay","BP","magenta","Day21","catabolic process","PGEN_.00g000530;PGEN_.00g026310;PGEN_.00g041380;PGEN_.00g046400;PGEN_.00g050570;PGEN_.00g153380;PGEN_.00g163590;PGEN_.00g195280;PGEN_.00g196010;PGEN_.00g223950;PGEN_.00g224120;PGEN_.00g225250;PGEN_.00g312410"
"2","GO:0000184",5,8.61582887349053e-10,0.999999999943064,13,38,"nuclear-transcribed mRNA catabolic process, nonsense-mediated decay","BP","magenta","Day21","nucleobase-containing compound cata...","PGEN_.00g000530;PGEN_.00g026310;PGEN_.00g041380;PGEN_.00g046400;PGEN_.00g050570;PGEN_.00g153380;PGEN_.00g163590;PGEN_.00g195280;PGEN_.00g196010;PGEN_.00g223950;PGEN_.00g224120;PGEN_.00g225250;PGEN_.00g312410"
"3","GO:0000184",5,8.61582887349053e-10,0.999999999943064,13,38,"nuclear-transcribed mRNA catabolic process, nonsense-mediated decay","BP","magenta","Day21","cellular nitrogen compound metaboli...","PGEN_.00g000530;PGEN_.00g000750;PGEN_.00g000980;PGEN_.00g003630;PGEN_.00g009770;PGEN_.00g017970;PGEN_.00g026310;PGEN_.00g028390;PGEN_.00g035120;PGEN_.00g036390;PGEN_.00g041220;PGEN_.00g041380;PGEN_.00g044880;PGEN_.00g046400;PGEN_.00g050570;PGEN_.00g056800;PGEN_.00g058030;PGEN_.00g059620;PGEN_.00g062170;PGEN_.00g067550;PGEN_.00g074330;PGEN_.00g076830;PGEN_.00g082590;PGEN_.00g085050;PGEN_.00g085430;PGEN_.00g086540;PGEN_.00g089940;PGEN_.00g091210;PGEN_.00g094340;PGEN_.00g098630;PGEN_.00g103530;PGEN_.00g110580;PGEN_.00g117040;PGEN_.00g119420;PGEN_.00g122370;PGEN_.00g130250;PGEN_.00g131540;PGEN_.00g153200;PGEN_.00g153380;PGEN_.00g156700;PGEN_.00g158330;PGEN_.00g161760;PGEN_.00g163340;PGEN_.00g163590;PGEN_.00g170110;PGEN_.00g170120;PGEN_.00g189090;PGEN_.00g193610;PGEN_.00g193650;PGEN_.00g195280;PGEN_.00g196010;PGEN_.00g200880;PGEN_.00g202340;PGEN_.00g208760;PGEN_.00g213830;PGEN_.00g216500;PGEN_.00g217240;PGEN_.00g223950;PGEN_.00g224000;PGEN_.00g224060;PGEN_.00g224120;PGEN_.00g225250;PGEN_.00g225360;PGEN_.00g226100;PGEN_.00g229190;PGEN_.00g240620;PGEN_.00g254000;PGEN_.00g258390;PGEN_.00g260760;PGEN_.00g270690;PGEN_.00g273210;PGEN_.00g281780;PGEN_.00g287540;PGEN_.00g288180;PGEN_.00g291940;PGEN_.00g303450;PGEN_.00g309420;PGEN_.00g312410;PGEN_.00g314640;PGEN_.00g315270;PGEN_.00g329160;PGEN_.00g346720"
"4","GO:0002181",4,3.81971138425804e-13,1,11,17,"cytoplasmic translation","BP","magenta","Day21","biosynthetic process","PGEN_.00g000530;PGEN_.00g000750;PGEN_.00g003630;PGEN_.00g009770;PGEN_.00g026310;PGEN_.00g028390;PGEN_.00g035120;PGEN_.00g036390;PGEN_.00g041220;PGEN_.00g041380;PGEN_.00g044880;PGEN_.00g046400;PGEN_.00g056800;PGEN_.00g058030;PGEN_.00g059620;PGEN_.00g062170;PGEN_.00g067550;PGEN_.00g074330;PGEN_.00g076830;PGEN_.00g082590;PGEN_.00g085430;PGEN_.00g086540;PGEN_.00g089940;PGEN_.00g094340;PGEN_.00g098630;PGEN_.00g103530;PGEN_.00g110580;PGEN_.00g117040;PGEN_.00g119420;PGEN_.00g122370;PGEN_.00g130250;PGEN_.00g131540;PGEN_.00g153200;PGEN_.00g153380;PGEN_.00g156700;PGEN_.00g158330;PGEN_.00g161760;PGEN_.00g163340;PGEN_.00g163590;PGEN_.00g189090;PGEN_.00g193610;PGEN_.00g195280;PGEN_.00g196010;PGEN_.00g200880;PGEN_.00g202340;PGEN_.00g208760;PGEN_.00g224000;PGEN_.00g224060;PGEN_.00g225360;PGEN_.00g226100;PGEN_.00g229190;PGEN_.00g240620;PGEN_.00g254000;PGEN_.00g260760;PGEN_.00g270690;PGEN_.00g273210;PGEN_.00g281780;PGEN_.00g287540;PGEN_.00g288180;PGEN_.00g291940;PGEN_.00g303450;PGEN_.00g309420;PGEN_.00g312410;PGEN_.00g314640;PGEN_.00g315270;PGEN_.00g329160;PGEN_.00g346720"
"5","GO:0002181",4,3.81971138425804e-13,1,11,17,"cytoplasmic translation","BP","magenta","Day21","cellular nitrogen compound metaboli...","PGEN_.00g000530;PGEN_.00g000750;PGEN_.00g000980;PGEN_.00g003630;PGEN_.00g009770;PGEN_.00g017970;PGEN_.00g026310;PGEN_.00g028390;PGEN_.00g035120;PGEN_.00g036390;PGEN_.00g041220;PGEN_.00g041380;PGEN_.00g044880;PGEN_.00g046400;PGEN_.00g050570;PGEN_.00g056800;PGEN_.00g058030;PGEN_.00g059620;PGEN_.00g062170;PGEN_.00g067550;PGEN_.00g074330;PGEN_.00g076830;PGEN_.00g082590;PGEN_.00g085050;PGEN_.00g085430;PGEN_.00g086540;PGEN_.00g089940;PGEN_.00g091210;PGEN_.00g094340;PGEN_.00g098630;PGEN_.00g103530;PGEN_.00g110580;PGEN_.00g117040;PGEN_.00g119420;PGEN_.00g122370;PGEN_.00g130250;PGEN_.00g131540;PGEN_.00g153200;PGEN_.00g153380;PGEN_.00g156700;PGEN_.00g158330;PGEN_.00g161760;PGEN_.00g163340;PGEN_.00g163590;PGEN_.00g170110;PGEN_.00g170120;PGEN_.00g189090;PGEN_.00g193610;PGEN_.00g193650;PGEN_.00g195280;PGEN_.00g196010;PGEN_.00g200880;PGEN_.00g202340;PGEN_.00g208760;PGEN_.00g213830;PGEN_.00g216500;PGEN_.00g217240;PGEN_.00g223950;PGEN_.00g224000;PGEN_.00g224060;PGEN_.00g224120;PGEN_.00g225250;PGEN_.00g225360;PGEN_.00g226100;PGEN_.00g229190;PGEN_.00g240620;PGEN_.00g254000;PGEN_.00g258390;PGEN_.00g260760;PGEN_.00g270690;PGEN_.00g273210;PGEN_.00g281780;PGEN_.00g287540;PGEN_.00g288180;PGEN_.00g291940;PGEN_.00g303450;PGEN_.00g309420;PGEN_.00g312410;PGEN_.00g314640;PGEN_.00g315270;PGEN_.00g329160;PGEN_.00g346720"
"6","GO:0002181",4,3.81971138425804e-13,1,11,17,"cytoplasmic translation","BP","magenta","Day21","translation","PGEN_.00g000530;PGEN_.00g000750;PGEN_.00g026310;PGEN_.00g035120;PGEN_.00g041380;PGEN_.00g046400;PGEN_.00g082590;PGEN_.00g110580;PGEN_.00g130250;PGEN_.00g131540;PGEN_.00g153380;PGEN_.00g158330;PGEN_.00g163590;PGEN_.00g195280;PGEN_.00g196010;PGEN_.00g208760;PGEN_.00g225360;PGEN_.00g226100;PGEN_.00g229190;PGEN_.00g240620;PGEN_.00g254000;PGEN_.00g288180;PGEN_.00g312410;PGEN_.00g329160"
"7","GO:0006281",8,0.0213057873986862,0.990458845549192,13,195,"DNA repair","BP","magenta","Day21","cellular nitrogen compound metaboli...","PGEN_.00g000530;PGEN_.00g000750;PGEN_.00g000980;PGEN_.00g003630;PGEN_.00g009770;PGEN_.00g017970;PGEN_.00g026310;PGEN_.00g028390;PGEN_.00g035120;PGEN_.00g036390;PGEN_.00g041220;PGEN_.00g041380;PGEN_.00g044880;PGEN_.00g046400;PGEN_.00g050570;PGEN_.00g056800;PGEN_.00g058030;PGEN_.00g059620;PGEN_.00g062170;PGEN_.00g067550;PGEN_.00g074330;PGEN_.00g076830;PGEN_.00g082590;PGEN_.00g085050;PGEN_.00g085430;PGEN_.00g086540;PGEN_.00g089940;PGEN_.00g091210;PGEN_.00g094340;PGEN_.00g098630;PGEN_.00g103530;PGEN_.00g110580;PGEN_.00g117040;PGEN_.00g119420;PGEN_.00g122370;PGEN_.00g130250;PGEN_.00g131540;PGEN_.00g153200;PGEN_.00g153380;PGEN_.00g156700;PGEN_.00g158330;PGEN_.00g161760;PGEN_.00g163340;PGEN_.00g163590;PGEN_.00g170110;PGEN_.00g170120;PGEN_.00g189090;PGEN_.00g193610;PGEN_.00g193650;PGEN_.00g195280;PGEN_.00g196010;PGEN_.00g200880;PGEN_.00g202340;PGEN_.00g208760;PGEN_.00g213830;PGEN_.00g216500;PGEN_.00g217240;PGEN_.00g223950;PGEN_.00g224000;PGEN_.00g224060;PGEN_.00g224120;PGEN_.00g225250;PGEN_.00g225360;PGEN_.00g226100;PGEN_.00g229190;PGEN_.00g240620;PGEN_.00g254000;PGEN_.00g258390;PGEN_.00g260760;PGEN_.00g270690;PGEN_.00g273210;PGEN_.00g281780;PGEN_.00g287540;PGEN_.00g288180;PGEN_.00g291940;PGEN_.00g303450;PGEN_.00g309420;PGEN_.00g312410;PGEN_.00g314640;PGEN_.00g315270;PGEN_.00g329160;PGEN_.00g346720"
"8","GO:0006281",8,0.0213057873986862,0.990458845549192,13,195,"DNA repair","BP","magenta","Day21","DNA metabolic process","PGEN_.00g000980;PGEN_.00g017970;PGEN_.00g050570;PGEN_.00g085050;PGEN_.00g091210;PGEN_.00g103530;PGEN_.00g170110;PGEN_.00g170120;PGEN_.00g193650;PGEN_.00g213830;PGEN_.00g216500;PGEN_.00g217240;PGEN_.00g258390"
"9","GO:0006281",8,0.0213057873986862,0.990458845549192,13,195,"DNA repair","BP","magenta","Day21","response to stress","PGEN_.00g000980;PGEN_.00g017970;PGEN_.00g050570;PGEN_.00g085050;PGEN_.00g091210;PGEN_.00g103530;PGEN_.00g170110;PGEN_.00g170120;PGEN_.00g193650;PGEN_.00g213830;PGEN_.00g216500;PGEN_.00g217240;PGEN_.00g258390"
"10","GO:0006412",2,1.29809493922703e-37,1,43,100,"translation","BP","magenta","Day21","biosynthetic process","PGEN_.00g000530;PGEN_.00g000750;PGEN_.00g003630;PGEN_.00g009770;PGEN_.00g026310;PGEN_.00g028390;PGEN_.00g035120;PGEN_.00g036390;PGEN_.00g041220;PGEN_.00g041380;PGEN_.00g044880;PGEN_.00g046400;PGEN_.00g056800;PGEN_.00g058030;PGEN_.00g059620;PGEN_.00g062170;PGEN_.00g067550;PGEN_.00g074330;PGEN_.00g076830;PGEN_.00g082590;PGEN_.00g085430;PGEN_.00g086540;PGEN_.00g089940;PGEN_.00g094340;PGEN_.00g098630;PGEN_.00g103530;PGEN_.00g110580;PGEN_.00g117040;PGEN_.00g119420;PGEN_.00g122370;PGEN_.00g130250;PGEN_.00g131540;PGEN_.00g153200;PGEN_.00g153380;PGEN_.00g156700;PGEN_.00g158330;PGEN_.00g161760;PGEN_.00g163340;PGEN_.00g163590;PGEN_.00g189090;PGEN_.00g193610;PGEN_.00g195280;PGEN_.00g196010;PGEN_.00g200880;PGEN_.00g202340;PGEN_.00g208760;PGEN_.00g224000;PGEN_.00g224060;PGEN_.00g225360;PGEN_.00g226100;PGEN_.00g229190;PGEN_.00g240620;PGEN_.00g254000;PGEN_.00g260760;PGEN_.00g270690;PGEN_.00g273210;PGEN_.00g281780;PGEN_.00g287540;PGEN_.00g288180;PGEN_.00g291940;PGEN_.00g303450;PGEN_.00g309420;PGEN_.00g312410;PGEN_.00g314640;PGEN_.00g315270;PGEN_.00g329160;PGEN_.00g346720"
