"","PgenIDs","slim_term","over_represented_pvalue","GO_terms","term","ontology","moduleColor","Gene_terms"
"1","PGEN_.00g001030","reproduction",0.0214691900488705,"GO:0007283","spermatogenesis","BP","pink","Serine/threonine-protein kinase STK11"
"2","PGEN_.00g022690","reproduction",0.0214691900488705,"GO:0007283","spermatogenesis","BP","pink","E3 ubiquitin-protein ligase UBR2"
"3","PGEN_.00g025500","reproduction",0.0214691900488705,"GO:0007283","spermatogenesis","BP","pink","Nesprin-1 (Enaptin) (KASH domain-containing protein 1) (KASH1) (Myocyte nuclear envelope protein 1) (Myne-1) (Nuclear envelope spectrin repeat protein 1) (Synaptic nuclear envelope protein 1) (Syne-1)"
"4","PGEN_.00g025510","reproduction",0.0214691900488705,"GO:0007283","spermatogenesis","BP","pink","Nesprin-1 (Enaptin) (KASH domain-containing protein 1) (KASH1) (Myocyte nuclear envelope protein 1) (Myne-1) (Nuclear envelope spectrin repeat protein 1) (Synaptic nuclear envelope protein 1) (Syne-1)"
"5","PGEN_.00g048660","reproduction",0.0214691900488705,"GO:0007283","spermatogenesis","BP","pink","Dynein light chain 1, cytoplasmic (8 kDa dynein light chain) (Cut up protein)"
"6","PGEN_.00g162330","reproduction",0.0214691900488705,"GO:0007283","spermatogenesis","BP","pink","Death-associated inhibitor of apoptosis 1"
"7","PGEN_.00g215100","reproduction",0.0214691900488705,"GO:0007283","spermatogenesis","BP","pink","Cyclic nucleotide-binding domain-containing protein 2"
"8","PGEN_.00g221670","reproduction",0.0214691900488705,"GO:0007283","spermatogenesis","BP","pink","Thioredoxin reductase 3"
"9","PGEN_.00g302680","reproduction",0.0214691900488705,"GO:0007283","spermatogenesis","BP","pink","Gametocyte-specific factor 1 (Protein FAM112B)"
"10","PGEN_.00g303270","reproduction",0.0214691900488705,"GO:0007283","spermatogenesis","BP","pink","Testicular haploid expressed gene protein"
"11","PGEN_.00g305470","reproduction",0.0214691900488705,"GO:0007283","spermatogenesis","BP","pink","Transcriptional repressor protein YY1 (Delta transcription factor) (INO80 complex subunit S) (NF-E1) (Yin and yang 1) (YY-1)"
