"","PgenIDs","slim_term","over_represented_pvalue","GO_terms","term","ontology","moduleColor","Gene_terms"
"1","PGEN_.00g001500","cellular protein modification proce...",0.00770060379181158,"GO:0000209","protein polyubiquitination","BP","yellow","E3 ubiquitin-protein ligase DZIP3"
"2","PGEN_.00g006140","transport",0.00128104671129143,"GO:0006888","endoplasmic reticulum to Golgi vesicle-mediated transport","BP","yellow","Nuclear receptor-binding protein (HLS7-interacting protein kinase) (MLF1 adapter molecule)"
"3","PGEN_.00g006140","vesicle-mediated transport",0.00128104671129143,"GO:0006888","endoplasmic reticulum to Golgi vesicle-mediated transport","BP","yellow","Nuclear receptor-binding protein (HLS7-interacting protein kinase) (MLF1 adapter molecule)"
"4","PGEN_.00g006140","vesicle-mediated transport",0.000521762731167725,"GO:0006897","endocytosis","BP","yellow","Nuclear receptor-binding protein (HLS7-interacting protein kinase) (MLF1 adapter molecule)"
"5","PGEN_.00g006140","transport",0.000521762731167725,"GO:0006897","endocytosis","BP","yellow","Nuclear receptor-binding protein (HLS7-interacting protein kinase) (MLF1 adapter molecule)"
"6","PGEN_.00g006140","transport",0.00735824317677657,"GO:0006886","intracellular protein transport","BP","yellow","Nuclear receptor-binding protein (HLS7-interacting protein kinase) (MLF1 adapter molecule)"
"7","PGEN_.00g012340","cell population proliferation",0.02520415323474,"GO:0008285","negative regulation of cell population proliferation","BP","yellow","NAD-dependent protein deacetylase sirtuin-2"
"8","PGEN_.00g013040","transport",0.00735824317677657,"GO:0006886","intracellular protein transport","BP","yellow","Ankyrin-1 (ANK-1) (Ankyrin-R) (Erythrocyte ankyrin)"
"9","PGEN_.00g013040","vesicle-mediated transport",0.000521762731167725,"GO:0006897","endocytosis","BP","yellow","Ankyrin-1 (ANK-1) (Ankyrin-R) (Erythrocyte ankyrin)"
"10","PGEN_.00g013040","transport",0.00128104671129143,"GO:0006888","endoplasmic reticulum to Golgi vesicle-mediated transport","BP","yellow","Ankyrin-1 (ANK-1) (Ankyrin-R) (Erythrocyte ankyrin)"
