"","GO_terms","X","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology","moduleColor","Day","slim_term","Gene_IDs"
"1","GO:0000062",123,0.00702041562645424,0.999464600536177,3,11,"fatty-acyl-CoA binding","MF","blue","Day21","ion binding","PGEN_.00g000300;PGEN_.00g000490;PGEN_.00g000600;PGEN_.00g002140;PGEN_.00g002680;PGEN_.00g003940;PGEN_.00g004840;PGEN_.00g006290;PGEN_.00g006490;PGEN_.00g008320;PGEN_.00g009970;PGEN_.00g014020;PGEN_.00g014860;PGEN_.00g017170;PGEN_.00g018460;PGEN_.00g021940;PGEN_.00g023670;PGEN_.00g024130;PGEN_.00g026170;PGEN_.00g027290;PGEN_.00g033530;PGEN_.00g038510;PGEN_.00g040080;PGEN_.00g041840;PGEN_.00g043370;PGEN_.00g046570;PGEN_.00g048930;PGEN_.00g049840;PGEN_.00g051140;PGEN_.00g052730;PGEN_.00g054270;PGEN_.00g056450;PGEN_.00g057680;PGEN_.00g058770;PGEN_.00g061390;PGEN_.00g061400;PGEN_.00g062480;PGEN_.00g064470;PGEN_.00g067470;PGEN_.00g069930;PGEN_.00g070090;PGEN_.00g070150;PGEN_.00g072090;PGEN_.00g072730;PGEN_.00g073500;PGEN_.00g073560;PGEN_.00g075840;PGEN_.00g075970;PGEN_.00g078490;PGEN_.00g079680;PGEN_.00g086200;PGEN_.00g091340;PGEN_.00g091510;PGEN_.00g092480;PGEN_.00g095550;PGEN_.00g103460;PGEN_.00g108800;PGEN_.00g114200;PGEN_.00g117940;PGEN_.00g122780;PGEN_.00g122840;PGEN_.00g125750;PGEN_.00g127760;PGEN_.00g130880;PGEN_.00g131030;PGEN_.00g131130;PGEN_.00g132070;PGEN_.00g132090;PGEN_.00g133110;PGEN_.00g133550;PGEN_.00g133850;PGEN_.00g135600;PGEN_.00g135620;PGEN_.00g136910;PGEN_.00g136960;PGEN_.00g140150;PGEN_.00g142080;PGEN_.00g143200;PGEN_.00g145560;PGEN_.00g145620;PGEN_.00g156260;PGEN_.00g158920;PGEN_.00g162260;PGEN_.00g163440;PGEN_.00g164540;PGEN_.00g164550;PGEN_.00g164650;PGEN_.00g164660;PGEN_.00g164700;PGEN_.00g171900;PGEN_.00g174890;PGEN_.00g177440;PGEN_.00g177850;PGEN_.00g179510;PGEN_.00g181770;PGEN_.00g181780;PGEN_.00g182480;PGEN_.00g182870;PGEN_.00g192760;PGEN_.00g192910;PGEN_.00g193090;PGEN_.00g193120;PGEN_.00g195250;PGEN_.00g196040;PGEN_.00g196600;PGEN_.00g198360;PGEN_.00g198530;PGEN_.00g199100;PGEN_.00g201390;PGEN_.00g204450;PGEN_.00g205320;PGEN_.00g208710;PGEN_.00g211330;PGEN_.00g212870;PGEN_.00g213930;PGEN_.00g214570;PGEN_.00g214740;PGEN_.00g215140;PGEN_.00g215680;PGEN_.00g224320;PGEN_.00g227060;PGEN_.00g229910;PGEN_.00g235100;PGEN_.00g236450;PGEN_.00g237580;PGEN_.00g249870;PGEN_.00g250160;PGEN_.00g250810;PGEN_.00g251580;PGEN_.00g251840;PGEN_.00g253780;PGEN_.00g255890;PGEN_.00g256280;PGEN_.00g258020;PGEN_.00g259260;PGEN_.00g260720;PGEN_.00g263100;PGEN_.00g267990;PGEN_.00g268270;PGEN_.00g268580;PGEN_.00g269480;PGEN_.00g272730;PGEN_.00g276360;PGEN_.00g278880;PGEN_.00g281550;PGEN_.00g284840;PGEN_.00g285980;PGEN_.00g286040;PGEN_.00g286650;PGEN_.00g291860;PGEN_.00g302300;PGEN_.00g302360;PGEN_.00g304780;PGEN_.00g304980;PGEN_.00g305330;PGEN_.00g307120;PGEN_.00g307630;PGEN_.00g307640;PGEN_.00g308130;PGEN_.00g308530;PGEN_.00g310300;PGEN_.00g311290;PGEN_.00g311720;PGEN_.00g312080;PGEN_.00g313690;PGEN_.00g313720;PGEN_.00g314190;PGEN_.00g317980;PGEN_.00g319240;PGEN_.00g320430;PGEN_.00g321220;PGEN_.00g325090;PGEN_.00g326130;PGEN_.00g329130;PGEN_.00g332620;PGEN_.00g333110;PGEN_.00g336730;PGEN_.00g336890;PGEN_.00g338640;PGEN_.00g339700;PGEN_.00g340990;PGEN_.00g343270;PGEN_.00g344510;PGEN_.00g345220;PGEN_.00g345620"
"2","GO:0001222",156,0.0238877453264654,0.998633294800615,2,6,"transcription corepressor binding","MF","blue","Day21","transcription factor binding","PGEN_.00g018130;PGEN_.00g058770"
"3","GO:0003996",165,0.0308742189610376,0.997969823847973,2,6,"acyl-CoA ligase activity","MF","blue","Day21","ligase activity","PGEN_.00g048000;PGEN_.00g234660"
"4","GO:0003997",137,0.0154039637583206,0.999444744890397,2,4,"acyl-CoA oxidase activity","MF","blue","Day21","oxidoreductase activity","PGEN_.00g038920;PGEN_.00g048930;PGEN_.00g049360;PGEN_.00g116940;PGEN_.00g135600;PGEN_.00g196600;PGEN_.00g203570;PGEN_.00g213740;PGEN_.00g231830;PGEN_.00g231870;PGEN_.00g270000;PGEN_.00g300030;PGEN_.00g310290;PGEN_.00g310300;PGEN_.00g311290"
"5","GO:0004022",135,0.0150739328554282,0.999462898066134,2,4,"alcohol dehydrogenase (NAD+) activity","MF","blue","Day21","oxidoreductase activity","PGEN_.00g038920;PGEN_.00g048930;PGEN_.00g049360;PGEN_.00g116940;PGEN_.00g135600;PGEN_.00g196600;PGEN_.00g203570;PGEN_.00g213740;PGEN_.00g231830;PGEN_.00g231870;PGEN_.00g270000;PGEN_.00g300030;PGEN_.00g310290;PGEN_.00g310300;PGEN_.00g311290"
"6","GO:0004103",99,0.00183197867441222,1,2,2,"choline kinase activity","MF","blue","Day21","kinase activity","PGEN_.00g165780;PGEN_.00g165790"
"7","GO:0004197",96,0.00151864167391242,0.999606159051578,10,75,"cysteine-type endopeptidase activity","MF","blue","Day21","peptidase activity","PGEN_.00g003240;PGEN_.00g006380;PGEN_.00g008320;PGEN_.00g009930;PGEN_.00g025650;PGEN_.00g033640;PGEN_.00g047200;PGEN_.00g049840;PGEN_.00g057170;PGEN_.00g057190;PGEN_.00g103520;PGEN_.00g108800;PGEN_.00g115590;PGEN_.00g133550;PGEN_.00g150010;PGEN_.00g153860;PGEN_.00g164540;PGEN_.00g164550;PGEN_.00g164650;PGEN_.00g164660;PGEN_.00g193090;PGEN_.00g193120;PGEN_.00g199810;PGEN_.00g205320;PGEN_.00g205720;PGEN_.00g208780;PGEN_.00g291850;PGEN_.00g291860;PGEN_.00g298200;PGEN_.00g298410;PGEN_.00g302380;PGEN_.00g321220;PGEN_.00g339700;PGEN_.00g345610;PGEN_.00g345680;PGEN_.00g348220;PGEN_.00g348570"
"8","GO:0004222",177,0.0439585806775805,0.979081767506457,12,131,"metalloendopeptidase activity","MF","blue","Day21","peptidase activity","PGEN_.00g003240;PGEN_.00g006380;PGEN_.00g008320;PGEN_.00g009930;PGEN_.00g025650;PGEN_.00g033640;PGEN_.00g047200;PGEN_.00g049840;PGEN_.00g057170;PGEN_.00g057190;PGEN_.00g103520;PGEN_.00g108800;PGEN_.00g115590;PGEN_.00g133550;PGEN_.00g150010;PGEN_.00g153860;PGEN_.00g164540;PGEN_.00g164550;PGEN_.00g164650;PGEN_.00g164660;PGEN_.00g193090;PGEN_.00g193120;PGEN_.00g199810;PGEN_.00g205320;PGEN_.00g205720;PGEN_.00g208780;PGEN_.00g291850;PGEN_.00g291860;PGEN_.00g298200;PGEN_.00g298410;PGEN_.00g302380;PGEN_.00g321220;PGEN_.00g339700;PGEN_.00g345610;PGEN_.00g345680;PGEN_.00g348220;PGEN_.00g348570"
"9","GO:0004252",93,0.00049680253372558,0.999853387460145,14,108,"serine-type endopeptidase activity","MF","blue","Day21","peptidase activity","PGEN_.00g003240;PGEN_.00g006380;PGEN_.00g008320;PGEN_.00g009930;PGEN_.00g025650;PGEN_.00g033640;PGEN_.00g047200;PGEN_.00g049840;PGEN_.00g057170;PGEN_.00g057190;PGEN_.00g103520;PGEN_.00g108800;PGEN_.00g115590;PGEN_.00g133550;PGEN_.00g150010;PGEN_.00g153860;PGEN_.00g164540;PGEN_.00g164550;PGEN_.00g164650;PGEN_.00g164660;PGEN_.00g193090;PGEN_.00g193120;PGEN_.00g199810;PGEN_.00g205320;PGEN_.00g205720;PGEN_.00g208780;PGEN_.00g291850;PGEN_.00g291860;PGEN_.00g298200;PGEN_.00g298410;PGEN_.00g302380;PGEN_.00g321220;PGEN_.00g339700;PGEN_.00g345610;PGEN_.00g345680;PGEN_.00g348220;PGEN_.00g348570"
"10","GO:0004305",159,0.0274519527483733,0.998306641965748,2,6,"ethanolamine kinase activity","MF","blue","Day21","kinase activity","PGEN_.00g165780;PGEN_.00g165790"
