"","category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology","moduleColor","Day"
"1","GO:0006886",4.02664677038114e-05,0.999985820598924,25,184,"intracellular protein transport","BP","turquoise","Day7"
"2","GO:0051603",9.15718385949726e-05,0.999984456511282,10,42,"proteolysis involved in cellular protein catabolic process","BP","turquoise","Day7"
"3","GO:0042147",9.23680450050887e-05,0.99998414398972,10,45,"retrograde transport, endosome to Golgi","BP","turquoise","Day7"
"4","GO:0055114",0.000483885128275574,0.999841954384453,16,153,"oxidation-reduction process","BP","turquoise","Day7"
"5","GO:0016192",0.000680815072119978,0.999793358835734,14,99,"vesicle-mediated transport","BP","turquoise","Day7"
"6","GO:0030198",0.00117317375108918,0.999621670907615,14,104,"extracellular matrix organization","BP","turquoise","Day7"
"7","GO:0015031",0.00141827846623055,0.999321856494061,28,287,"protein transport","BP","turquoise","Day7"
"8","GO:0006897",0.00220924224261697,0.999140274331658,17,143,"endocytosis","BP","turquoise","Day7"
"9","GO:0007417",0.00261592323263338,0.999158700649048,12,104,"central nervous system development","BP","turquoise","Day7"
"10","GO:0000398",0.0028426979226017,0.998983604397356,14,117,"mRNA splicing, via spliceosome","BP","turquoise","Day7"
"11","GO:0007015",0.00366126422144831,0.998935616021629,10,66,"actin filament organization","BP","turquoise","Day7"
"12","GO:0050821",0.0103359226333048,0.996247484398636,11,86,"protein stabilization","BP","turquoise","Day7"
"13","GO:0006508",0.0148637000277183,0.992901056841505,17,173,"proteolysis","BP","turquoise","Day7"
"14","GO:0007411",0.0234462607069184,0.988520695238528,16,148,"axon guidance","BP","turquoise","Day7"
"15","GO:0005615",1.65502106838936e-10,1,84,796,"extracellular space","CC","turquoise","Day7"
"16","GO:0005581",6.59188255603824e-10,0.999999999902371,23,142,"collagen trimer","CC","turquoise","Day7"
"17","GO:0017090",2.92617269895465e-09,1,5,5,"meprin A complex","CC","turquoise","Day7"
"18","GO:0005764",1.17354050496676e-07,0.999999964252144,36,274,"lysosome","CC","turquoise","Day7"
"19","GO:0031012",1.43686904227706e-06,0.999999520878082,31,244,"extracellular matrix","CC","turquoise","Day7"
"20","GO:0042470",4.54011015860642e-06,0.999999259595387,13,53,"melanosome","CC","turquoise","Day7"
"21","GO:0005623",9.17519099715221e-06,0.999995457015782,62,696,"cell","CC","turquoise","Day7"
"22","GO:0005576",2.01206099169118e-05,0.999988430545432,87,1105,"extracellular region","CC","turquoise","Day7"
