"","slim_term","slim_cat","GO_count","GO_terms","GO_list","Gene_count","Gene_IDs","module_day"
"1","cellular nitrogen compound metaboli...","GO:0034641",1,"GO:0000398","GO:0000398",14,"PGEN_.00g003950;PGEN_.00g019400;PGEN_.00g053440;PGEN_.00g056190;PGEN_.00g083780;PGEN_.00g111580;PGEN_.00g119200;PGEN_.00g160870;PGEN_.00g208770;PGEN_.00g216590;PGEN_.00g225460;PGEN_.00g266410;PGEN_.00g269040;PGEN_.00g321900","Day7_turquoise"
"2","mRNA processing","GO:0006397",1,"GO:0000398","GO:0000398",14,"PGEN_.00g003950;PGEN_.00g019400;PGEN_.00g053440;PGEN_.00g056190;PGEN_.00g083780;PGEN_.00g111580;PGEN_.00g119200;PGEN_.00g160870;PGEN_.00g208770;PGEN_.00g216590;PGEN_.00g225460;PGEN_.00g266410;PGEN_.00g269040;PGEN_.00g321900","Day7_turquoise"
"3","transport","GO:0006810",5,"GO:0006886","GO:0006886;GO:0006897;GO:0015031;GO:0016192;GO:0042147",68,"PGEN_.00g003030;PGEN_.00g013560;PGEN_.00g014380;PGEN_.00g019320;PGEN_.00g022820;PGEN_.00g024130;PGEN_.00g025100;PGEN_.00g026480;PGEN_.00g036040;PGEN_.00g037810;PGEN_.00g041520;PGEN_.00g042020;PGEN_.00g046140;PGEN_.00g049700;PGEN_.00g051720;PGEN_.00g056330;PGEN_.00g062340;PGEN_.00g063380;PGEN_.00g064800;PGEN_.00g069930;PGEN_.00g080030;PGEN_.00g095990;PGEN_.00g100450;PGEN_.00g103380;PGEN_.00g127920;PGEN_.00g131980;PGEN_.00g132070;PGEN_.00g132570;PGEN_.00g147170;PGEN_.00g148060;PGEN_.00g149140;PGEN_.00g149710;PGEN_.00g149750;PGEN_.00g150480;PGEN_.00g155710;PGEN_.00g158040;PGEN_.00g162260;PGEN_.00g175190;PGEN_.00g198530;PGEN_.00g204750;PGEN_.00g205400;PGEN_.00g205860;PGEN_.00g212320;PGEN_.00g214130;PGEN_.00g214840;PGEN_.00g216310;PGEN_.00g227650;PGEN_.00g234330;PGEN_.00g246740;PGEN_.00g250810;PGEN_.00g261770;PGEN_.00g263870;PGEN_.00g272730;PGEN_.00g273940;PGEN_.00g274350;PGEN_.00g282910;PGEN_.00g291980;PGEN_.00g295070;PGEN_.00g297280;PGEN_.00g305230;PGEN_.00g305960;PGEN_.00g313720;PGEN_.00g313730;PGEN_.00g313920;PGEN_.00g319970;PGEN_.00g329040;PGEN_.00g331940;PGEN_.00g343270","Day7_turquoise"
"4","protein transport","GO:0015031",2,"GO:0006886","GO:0006886",25,"PGEN_.00g013560;PGEN_.00g014380;PGEN_.00g024130;PGEN_.00g026480;PGEN_.00g042020;PGEN_.00g051720;PGEN_.00g069930;PGEN_.00g095990;PGEN_.00g100450;PGEN_.00g127920;PGEN_.00g131980;PGEN_.00g147170;PGEN_.00g149140;PGEN_.00g155710;PGEN_.00g162260;PGEN_.00g198530;PGEN_.00g204750;PGEN_.00g214130;PGEN_.00g227650;PGEN_.00g272730;PGEN_.00g274350;PGEN_.00g295070;PGEN_.00g305230;PGEN_.00g305960;PGEN_.00g313920","Day7_turquoise"
"5","vesicle-mediated transport","GO:0016192",3,"GO:0006897","GO:0006897;GO:0042147",25,"PGEN_.00g003030;PGEN_.00g019320;PGEN_.00g024130;PGEN_.00g025100;PGEN_.00g049700;PGEN_.00g056330;PGEN_.00g062340;PGEN_.00g095990;PGEN_.00g127920;PGEN_.00g132070;PGEN_.00g132570;PGEN_.00g147170;PGEN_.00g149710;PGEN_.00g149750;PGEN_.00g150480;PGEN_.00g198530;PGEN_.00g212320;PGEN_.00g214840;PGEN_.00g234330;PGEN_.00g282910;PGEN_.00g291980;PGEN_.00g297280;PGEN_.00g313720;PGEN_.00g313730;PGEN_.00g343270","Day7_turquoise"
"6","cytoskeleton organization","GO:0007010",1,"GO:0007015","GO:0007015",10,"PGEN_.00g080030;PGEN_.00g120490;PGEN_.00g131350;PGEN_.00g152220;PGEN_.00g172840;PGEN_.00g229770;PGEN_.00g259800;PGEN_.00g272850;PGEN_.00g293540;PGEN_.00g343270","Day7_turquoise"
"7","anatomical structure development","GO:0048856",2,"GO:0007411","GO:0007411;GO:0007417",24,"PGEN_.00g005530;PGEN_.00g007030;PGEN_.00g008850;PGEN_.00g026920;PGEN_.00g030010;PGEN_.00g060690;PGEN_.00g069990;PGEN_.00g073560;PGEN_.00g076600;PGEN_.00g078100;PGEN_.00g120710;PGEN_.00g123170;PGEN_.00g177680;PGEN_.00g196770;PGEN_.00g229770;PGEN_.00g257250;PGEN_.00g259800;PGEN_.00g293540;PGEN_.00g300660;PGEN_.00g311860;PGEN_.00g318440;PGEN_.00g320180;PGEN_.00g323100;PGEN_.00g346530","Day7_turquoise"
"8","cell differentiation","GO:0030154",1,"GO:0007411","GO:0007411",16,"PGEN_.00g008850;PGEN_.00g026920;PGEN_.00g030010;PGEN_.00g060690;PGEN_.00g069990;PGEN_.00g076600;PGEN_.00g078100;PGEN_.00g120710;PGEN_.00g123170;PGEN_.00g177680;PGEN_.00g196770;PGEN_.00g229770;PGEN_.00g259800;PGEN_.00g293540;PGEN_.00g320180;PGEN_.00g346530","Day7_turquoise"
"9","cell morphogenesis","GO:0000902",1,"GO:0007411","GO:0007411",16,"PGEN_.00g008850;PGEN_.00g026920;PGEN_.00g030010;PGEN_.00g060690;PGEN_.00g069990;PGEN_.00g076600;PGEN_.00g078100;PGEN_.00g120710;PGEN_.00g123170;PGEN_.00g177680;PGEN_.00g196770;PGEN_.00g229770;PGEN_.00g259800;PGEN_.00g293540;PGEN_.00g320180;PGEN_.00g346530","Day7_turquoise"
"10","locomotion","GO:0040011",1,"GO:0007411","GO:0007411",16,"PGEN_.00g008850;PGEN_.00g026920;PGEN_.00g030010;PGEN_.00g060690;PGEN_.00g069990;PGEN_.00g076600;PGEN_.00g078100;PGEN_.00g120710;PGEN_.00g123170;PGEN_.00g177680;PGEN_.00g196770;PGEN_.00g229770;PGEN_.00g259800;PGEN_.00g293540;PGEN_.00g320180;PGEN_.00g346530","Day7_turquoise"
