"","slim_term","slim_cat","GO_count","GO_terms","GO_list","Gene_count","Gene_IDs","module_day"
"1","transcription factor binding","GO:0008134",1,"GO:0001103","GO:0001103",4,"PGEN_.00g003460;PGEN_.00g021940;PGEN_.00g024580;PGEN_.00g162110","Day7_blue"
"2","kinase activity","GO:0016301",5,"GO:0004017","GO:0004017;GO:0004127;GO:0004550;GO:0004709;GO:0004712",17,"PGEN_.00g009900;PGEN_.00g014120;PGEN_.00g035180;PGEN_.00g060140;PGEN_.00g060190;PGEN_.00g060410;PGEN_.00g072020;PGEN_.00g108660;PGEN_.00g206920;PGEN_.00g219620;PGEN_.00g223690;PGEN_.00g224420;PGEN_.00g231150;PGEN_.00g281870;PGEN_.00g281890;PGEN_.00g282580;PGEN_.00g332760","Day7_blue"
"3","peptidase activity","GO:0008233",1,"GO:0004198","GO:0004198",4,"PGEN_.00g040240;PGEN_.00g062040;PGEN_.00g262590;PGEN_.00g262600","Day7_blue"
"4","oxidoreductase activity","GO:0016491",1,"GO:0004362","GO:0004362",2,"PGEN_.00g180320;PGEN_.00g227690","Day7_blue"
"5","transferase activity, transferring ...","GO:0016757",1,"GO:0004514","GO:0004514",2,"PGEN_.00g206100;PGEN_.00g304980","Day7_blue"
"6","transferase activity, transferring ...","GO:0016746",0,"GO:0004514","",0,"","Day7_blue"
"7","transferase activity, transferring ...","GO:0016765",0,"GO:0004514","",0,"","Day7_blue"
"8","enzyme regulator activity","GO:0030234",3,"GO:0004864","GO:0004864;GO:0030414;GO:0072542",8,"PGEN_.00g008370;PGEN_.00g008380;PGEN_.00g016590;PGEN_.00g019390;PGEN_.00g169760;PGEN_.00g203470;PGEN_.00g206190;PGEN_.00g254790","Day7_blue"
"9","transmembrane transporter activity","GO:0022857",1,"GO:0005262","GO:0005262",9,"PGEN_.00g011620;PGEN_.00g035900;PGEN_.00g054420;PGEN_.00g055140;PGEN_.00g118700;PGEN_.00g207000;PGEN_.00g255220;PGEN_.00g289750;PGEN_.00g293060","Day7_blue"
"10","ion binding","GO:0043167",3,"GO:0005524","GO:0005524;GO:0030552;GO:0043169",136,"PGEN_.00g007340;PGEN_.00g008860;PGEN_.00g009290;PGEN_.00g009900;PGEN_.00g012120;PGEN_.00g012890;PGEN_.00g013900;PGEN_.00g014120;PGEN_.00g014630;PGEN_.00g016340;PGEN_.00g017860;PGEN_.00g019680;PGEN_.00g026680;PGEN_.00g031520;PGEN_.00g037160;PGEN_.00g040470;PGEN_.00g042430;PGEN_.00g042440;PGEN_.00g042450;PGEN_.00g043590;PGEN_.00g044800;PGEN_.00g046230;PGEN_.00g050570;PGEN_.00g052730;PGEN_.00g054390;PGEN_.00g056200;PGEN_.00g056490;PGEN_.00g058280;PGEN_.00g060140;PGEN_.00g060190;PGEN_.00g060410;PGEN_.00g062320;PGEN_.00g063180;PGEN_.00g063840;PGEN_.00g069780;PGEN_.00g070750;PGEN_.00g072020;PGEN_.00g072550;PGEN_.00g072570;PGEN_.00g079910;PGEN_.00g081000;PGEN_.00g085050;PGEN_.00g086840;PGEN_.00g089310;PGEN_.00g089320;PGEN_.00g093580;PGEN_.00g098860;PGEN_.00g100530;PGEN_.00g100620;PGEN_.00g101300;PGEN_.00g108660;PGEN_.00g110260;PGEN_.00g114680;PGEN_.00g117650;PGEN_.00g119730;PGEN_.00g120330;PGEN_.00g128180;PGEN_.00g130200;PGEN_.00g132450;PGEN_.00g139070;PGEN_.00g139090;PGEN_.00g141570;PGEN_.00g142680;PGEN_.00g143200;PGEN_.00g151640;PGEN_.00g153900;PGEN_.00g157480;PGEN_.00g160710;PGEN_.00g161150;PGEN_.00g165370;PGEN_.00g165680;PGEN_.00g168240;PGEN_.00g169840;PGEN_.00g175740;PGEN_.00g176100;PGEN_.00g177110;PGEN_.00g177910;PGEN_.00g177960;PGEN_.00g178110;PGEN_.00g180380;PGEN_.00g184640;PGEN_.00g194250;PGEN_.00g199950;PGEN_.00g200450;PGEN_.00g201170;PGEN_.00g201490;PGEN_.00g206130;PGEN_.00g206920;PGEN_.00g209070;PGEN_.00g209410;PGEN_.00g211650;PGEN_.00g213450;PGEN_.00g213560;PGEN_.00g213680;PGEN_.00g213730;PGEN_.00g219620;PGEN_.00g220300;PGEN_.00g220820;PGEN_.00g222800;PGEN_.00g223690;PGEN_.00g224420;PGEN_.00g228890;PGEN_.00g231150;PGEN_.00g231640;PGEN_.00g232000;PGEN_.00g238170;PGEN_.00g240430;PGEN_.00g240440;PGEN_.00g243680;PGEN_.00g245930;PGEN_.00g248800;PGEN_.00g250220;PGEN_.00g254330;PGEN_.00g257810;PGEN_.00g260400;PGEN_.00g261750;PGEN_.00g268760;PGEN_.00g270530;PGEN_.00g271390;PGEN_.00g271400;PGEN_.00g280370;PGEN_.00g281870;PGEN_.00g281890;PGEN_.00g282580;PGEN_.00g287520;PGEN_.00g289870;PGEN_.00g318330;PGEN_.00g318980;PGEN_.00g319700;PGEN_.00g323140;PGEN_.00g328910;PGEN_.00g330310;PGEN_.00g335030;PGEN_.00g337480;PGEN_.00g344210;PGEN_.00g344230","Day7_blue"
"11","cytoskeletal protein binding","GO:0008092",1,"GO:0008017","GO:0008017",31,"PGEN_.00g012120;PGEN_.00g013900;PGEN_.00g024250;PGEN_.00g044320;PGEN_.00g089310;PGEN_.00g093580;PGEN_.00g099600;PGEN_.00g102230;PGEN_.00g102480;PGEN_.00g112310;PGEN_.00g114680;PGEN_.00g137060;PGEN_.00g139070;PGEN_.00g142680;PGEN_.00g147850;PGEN_.00g153900;PGEN_.00g161150;PGEN_.00g183200;PGEN_.00g194250;PGEN_.00g197230;PGEN_.00g199160;PGEN_.00g199950;PGEN_.00g213560;PGEN_.00g259050;PGEN_.00g270530;PGEN_.00g275970;PGEN_.00g280370;PGEN_.00g282790;PGEN_.00g323790;PGEN_.00g328910;PGEN_.00g330380","Day7_blue"
"12","RNA binding","GO:0003723",1,"GO:0008266","GO:0008266",3,"PGEN_.00g144540;PGEN_.00g168650;PGEN_.00g168950","Day7_blue"
"13","ATPase activity","GO:0016887",3,"GO:0008569","GO:0008569;GO:0008574",18,"PGEN_.00g012120;PGEN_.00g017860;PGEN_.00g042430;PGEN_.00g042440;PGEN_.00g042450;PGEN_.00g058280;PGEN_.00g070750;PGEN_.00g139090;PGEN_.00g161150;PGEN_.00g211650;PGEN_.00g240430;PGEN_.00g240440;PGEN_.00g260400;PGEN_.00g270530;PGEN_.00g280370;PGEN_.00g330310;PGEN_.00g344210;PGEN_.00g344230","Day7_blue"
"14","phosphatase activity","GO:0016791",2,"GO:0017017","GO:0017017;GO:1990439",3,"PGEN_.00g077980;PGEN_.00g253250;PGEN_.00g331600","Day7_blue"
"15","enzyme binding","GO:0019899",1,"GO:0017151","GO:0017151",2,"PGEN_.00g190200;PGEN_.00g212680","Day7_blue"
"16","DNA binding","GO:0003677",2,"GO:0043047","GO:0043047;GO:0098505",3,"PGEN_.00g088600;PGEN_.00g131820;PGEN_.00g212680","Day7_blue"
"17","ligase activity","GO:0016874",1,"GO:0070735","GO:0070735",2,"PGEN_.00g206130;PGEN_.00g319700","Day7_blue"
