"","slim_term","slim_cat","GO_count","GO_terms","GO_list","Gene_count","Gene_IDs","module_day"
"1","RNA binding","GO:0003723",13,"GO:0000049","GO:0000049;GO:0003729;GO:0003743;GO:0003746;GO:0008266;GO:0019843;GO:0034336;GO:0035197;GO:0035368;GO:0048027;GO:0070180;GO:0070181",54,"PGEN_.00g000530;PGEN_.00g001200;PGEN_.00g001700;PGEN_.00g020710;PGEN_.00g024460;PGEN_.00g031190;PGEN_.00g033300;PGEN_.00g041220;PGEN_.00g041380;PGEN_.00g045020;PGEN_.00g046400;PGEN_.00g050340;PGEN_.00g052560;PGEN_.00g057600;PGEN_.00g058830;PGEN_.00g059610;PGEN_.00g061000;PGEN_.00g062410;PGEN_.00g073540;PGEN_.00g073570;PGEN_.00g076150;PGEN_.00g082590;PGEN_.00g092490;PGEN_.00g094340;PGEN_.00g103530;PGEN_.00g109130;PGEN_.00g115400;PGEN_.00g130210;PGEN_.00g150960;PGEN_.00g156700;PGEN_.00g159630;PGEN_.00g159800;PGEN_.00g160610;PGEN_.00g163340;PGEN_.00g163590;PGEN_.00g179620;PGEN_.00g199560;PGEN_.00g202750;PGEN_.00g222670;PGEN_.00g227680;PGEN_.00g229190;PGEN_.00g240620;PGEN_.00g242700;PGEN_.00g266160;PGEN_.00g281780;PGEN_.00g283210;PGEN_.00g283300;PGEN_.00g289770;PGEN_.00g303450;PGEN_.00g314640;PGEN_.00g315270;PGEN_.00g329010;PGEN_.00g338440;PGEN_.00g347190","Day7_greenyellow"
"2","DNA binding","GO:0003677",3,"GO:0000977","GO:0000977;GO:0008301;GO:0031492",25,"PGEN_.00g004020;PGEN_.00g037790;PGEN_.00g038910;PGEN_.00g055250;PGEN_.00g058770;PGEN_.00g063780;PGEN_.00g082570;PGEN_.00g082690;PGEN_.00g084960;PGEN_.00g091420;PGEN_.00g103530;PGEN_.00g112450;PGEN_.00g113850;PGEN_.00g133850;PGEN_.00g134100;PGEN_.00g134190;PGEN_.00g146010;PGEN_.00g154950;PGEN_.00g193040;PGEN_.00g199600;PGEN_.00g213370;PGEN_.00g220190;PGEN_.00g251860;PGEN_.00g290800;PGEN_.00g348540","Day7_greenyellow"
"3","DNA-binding transcription factor ac...","GO:0003700",2,"GO:0000981","GO:0000981;GO:0001228",33,"PGEN_.00g003130;PGEN_.00g004020;PGEN_.00g011710;PGEN_.00g011720;PGEN_.00g017110;PGEN_.00g017350;PGEN_.00g017990;PGEN_.00g019730;PGEN_.00g030670;PGEN_.00g045570;PGEN_.00g055250;PGEN_.00g058270;PGEN_.00g058770;PGEN_.00g063780;PGEN_.00g082690;PGEN_.00g082880;PGEN_.00g091420;PGEN_.00g112450;PGEN_.00g113850;PGEN_.00g133850;PGEN_.00g134100;PGEN_.00g134190;PGEN_.00g146010;PGEN_.00g154950;PGEN_.00g158160;PGEN_.00g169590;PGEN_.00g213370;PGEN_.00g213820;PGEN_.00g222130;PGEN_.00g231410;PGEN_.00g290800;PGEN_.00g311570;PGEN_.00g348540","Day7_greenyellow"
"4","transcription factor binding","GO:0008134",3,"GO:0001223","GO:0001223;GO:0043425",6,"PGEN_.00g017350;PGEN_.00g058770;PGEN_.00g213820;PGEN_.00g216500;PGEN_.00g319930;PGEN_.00g319940","Day7_greenyellow"
"5","structural molecule activity","GO:0005198",3,"GO:0003735","GO:0003735;GO:0005200;GO:0008307",87,"PGEN_.00g000530;PGEN_.00g003630;PGEN_.00g021620;PGEN_.00g021960;PGEN_.00g022420;PGEN_.00g024460;PGEN_.00g026310;PGEN_.00g028390;PGEN_.00g035120;PGEN_.00g041220;PGEN_.00g041380;PGEN_.00g044880;PGEN_.00g045220;PGEN_.00g046400;PGEN_.00g056800;PGEN_.00g057790;PGEN_.00g058030;PGEN_.00g067550;PGEN_.00g073340;PGEN_.00g073370;PGEN_.00g073570;PGEN_.00g075960;PGEN_.00g075970;PGEN_.00g076830;PGEN_.00g079160;PGEN_.00g083310;PGEN_.00g085430;PGEN_.00g086540;PGEN_.00g094340;PGEN_.00g098630;PGEN_.00g102540;PGEN_.00g103530;PGEN_.00g103610;PGEN_.00g109130;PGEN_.00g110580;PGEN_.00g120650;PGEN_.00g130250;PGEN_.00g148530;PGEN_.00g149250;PGEN_.00g153380;PGEN_.00g156700;PGEN_.00g158330;PGEN_.00g159800;PGEN_.00g160610;PGEN_.00g162860;PGEN_.00g163340;PGEN_.00g163590;PGEN_.00g178100;PGEN_.00g187350;PGEN_.00g188330;PGEN_.00g189090;PGEN_.00g193610;PGEN_.00g195280;PGEN_.00g196010;PGEN_.00g197310;PGEN_.00g202780;PGEN_.00g208760;PGEN_.00g209000;PGEN_.00g223910;PGEN_.00g224180;PGEN_.00g229190;PGEN_.00g229670;PGEN_.00g240620;PGEN_.00g242730;PGEN_.00g254000;PGEN_.00g260760;PGEN_.00g270690;PGEN_.00g274530;PGEN_.00g274550;PGEN_.00g274560;PGEN_.00g274590;PGEN_.00g281780;PGEN_.00g287540;PGEN_.00g287710;PGEN_.00g288110;PGEN_.00g291940;PGEN_.00g303220;PGEN_.00g303450;PGEN_.00g305240;PGEN_.00g307050;PGEN_.00g307100;PGEN_.00g309420;PGEN_.00g310720;PGEN_.00g312410;PGEN_.00g329160;PGEN_.00g336900;PGEN_.00g346720","Day7_greenyellow"
"6","translation factor activity, RNA bi...","GO:0008135",2,"GO:0003743","GO:0003743;GO:0003746",12,"PGEN_.00g001700;PGEN_.00g031190;PGEN_.00g052560;PGEN_.00g061000;PGEN_.00g076150;PGEN_.00g082590;PGEN_.00g159630;PGEN_.00g227680;PGEN_.00g266160;PGEN_.00g283210;PGEN_.00g314640;PGEN_.00g315270","Day7_greenyellow"
"7","cytoskeletal protein binding","GO:0008092",3,"GO:0003779","GO:0003779;GO:0042805;GO:0051015",34,"PGEN_.00g022420;PGEN_.00g023240;PGEN_.00g023400;PGEN_.00g025500;PGEN_.00g043360;PGEN_.00g045020;PGEN_.00g064190;PGEN_.00g070510;PGEN_.00g073370;PGEN_.00g075960;PGEN_.00g075970;PGEN_.00g082120;PGEN_.00g099510;PGEN_.00g113580;PGEN_.00g113850;PGEN_.00g166860;PGEN_.00g193180;PGEN_.00g200200;PGEN_.00g206610;PGEN_.00g219250;PGEN_.00g219490;PGEN_.00g219500;PGEN_.00g224980;PGEN_.00g226840;PGEN_.00g233320;PGEN_.00g238440;PGEN_.00g249580;PGEN_.00g253760;PGEN_.00g259260;PGEN_.00g273920;PGEN_.00g287710;PGEN_.00g331030;PGEN_.00g332250;PGEN_.00g336570","Day7_greenyellow"
"8","hydrolase activity, acting on carbo...","GO:0016810",1,"GO:0004000","GO:0004000",3,"PGEN_.00g142000;PGEN_.00g201620;PGEN_.00g318240","Day7_greenyellow"
"9","oxidoreductase activity","GO:0016491",10,"GO:0004129","GO:0004129;GO:0004784;GO:0008137;GO:0008177;GO:0009055;GO:0016716;GO:0030060;GO:0047134;GO:0051864;GO:0052716",34,"PGEN_.00g008360;PGEN_.00g022340;PGEN_.00g031220;PGEN_.00g043790;PGEN_.00g045080;PGEN_.00g059640;PGEN_.00g062450;PGEN_.00g065700;PGEN_.00g074280;PGEN_.00g104910;PGEN_.00g120210;PGEN_.00g130000;PGEN_.00g130210;PGEN_.00g149020;PGEN_.00g168590;PGEN_.00g169010;PGEN_.00g173330;PGEN_.00g175650;PGEN_.00g186140;PGEN_.00g187490;PGEN_.00g187500;PGEN_.00g192240;PGEN_.00g196600;PGEN_.00g201410;PGEN_.00g213920;PGEN_.00g220490;PGEN_.00g224470;PGEN_.00g271910;PGEN_.00g275220;PGEN_.00g278880;PGEN_.00g289160;PGEN_.00g299160;PGEN_.00g303650;PGEN_.00g317000","Day7_greenyellow"
"10","transmembrane transporter activity","GO:0022857",8,"GO:0004129","GO:0004129;GO:0005452;GO:0008320;GO:0008510;GO:0015078;GO:0015278;GO:0046933;GO:0050833",23,"PGEN_.00g009770;PGEN_.00g036390;PGEN_.00g062170;PGEN_.00g072980;PGEN_.00g089940;PGEN_.00g108520;PGEN_.00g112100;PGEN_.00g115460;PGEN_.00g119420;PGEN_.00g122370;PGEN_.00g149020;PGEN_.00g173330;PGEN_.00g187350;PGEN_.00g201410;PGEN_.00g202340;PGEN_.00g210790;PGEN_.00g220360;PGEN_.00g224060;PGEN_.00g268050;PGEN_.00g273210;PGEN_.00g289160;PGEN_.00g330930;PGEN_.00g336000","Day7_greenyellow"
