"","GO_terms","X","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology","moduleColor","Day","slim_term","Gene_IDs"
"1","GO:0000049",139,0.00863922667580362,0.997209096139309,10,51,"tRNA binding","MF","greenyellow","Day7","RNA binding","PGEN_.00g000530;PGEN_.00g001200;PGEN_.00g001700;PGEN_.00g020710;PGEN_.00g024460;PGEN_.00g031190;PGEN_.00g033300;PGEN_.00g041220;PGEN_.00g041380;PGEN_.00g045020;PGEN_.00g046400;PGEN_.00g050340;PGEN_.00g052560;PGEN_.00g057600;PGEN_.00g058830;PGEN_.00g059610;PGEN_.00g061000;PGEN_.00g062410;PGEN_.00g073540;PGEN_.00g073570;PGEN_.00g076150;PGEN_.00g082590;PGEN_.00g092490;PGEN_.00g094340;PGEN_.00g103530;PGEN_.00g109130;PGEN_.00g115400;PGEN_.00g130210;PGEN_.00g150960;PGEN_.00g156700;PGEN_.00g159630;PGEN_.00g159800;PGEN_.00g160610;PGEN_.00g163340;PGEN_.00g163590;PGEN_.00g179620;PGEN_.00g199560;PGEN_.00g202750;PGEN_.00g222670;PGEN_.00g227680;PGEN_.00g229190;PGEN_.00g240620;PGEN_.00g242700;PGEN_.00g266160;PGEN_.00g281780;PGEN_.00g283210;PGEN_.00g283300;PGEN_.00g289770;PGEN_.00g303450;PGEN_.00g314640;PGEN_.00g315270;PGEN_.00g329010;PGEN_.00g338440;PGEN_.00g347190"
"2","GO:0000977",125,0.00432789344928075,0.99806388265863,20,146,"RNA polymerase II transcription regulatory region sequence-specific DNA binding","MF","greenyellow","Day7","DNA binding","PGEN_.00g004020;PGEN_.00g037790;PGEN_.00g038910;PGEN_.00g055250;PGEN_.00g058770;PGEN_.00g063780;PGEN_.00g082570;PGEN_.00g082690;PGEN_.00g084960;PGEN_.00g091420;PGEN_.00g103530;PGEN_.00g112450;PGEN_.00g113850;PGEN_.00g133850;PGEN_.00g134100;PGEN_.00g134190;PGEN_.00g146010;PGEN_.00g154950;PGEN_.00g193040;PGEN_.00g199600;PGEN_.00g213370;PGEN_.00g220190;PGEN_.00g251860;PGEN_.00g290800;PGEN_.00g348540"
"3","GO:0000981",129,0.00663411617616617,0.996600151127553,25,217,"DNA-binding transcription factor activity, RNA polymerase II-specific","MF","greenyellow","Day7","DNA-binding transcription factor ac...","PGEN_.00g003130;PGEN_.00g004020;PGEN_.00g011710;PGEN_.00g011720;PGEN_.00g017110;PGEN_.00g017350;PGEN_.00g017990;PGEN_.00g019730;PGEN_.00g030670;PGEN_.00g045570;PGEN_.00g055250;PGEN_.00g058270;PGEN_.00g058770;PGEN_.00g063780;PGEN_.00g082690;PGEN_.00g082880;PGEN_.00g091420;PGEN_.00g112450;PGEN_.00g113850;PGEN_.00g133850;PGEN_.00g134100;PGEN_.00g134190;PGEN_.00g146010;PGEN_.00g154950;PGEN_.00g158160;PGEN_.00g169590;PGEN_.00g213370;PGEN_.00g213820;PGEN_.00g222130;PGEN_.00g231410;PGEN_.00g290800;PGEN_.00g311570;PGEN_.00g348540"
"4","GO:0001223",156,0.0184065620677818,0.998098626533759,3,9,"transcription coactivator binding","MF","greenyellow","Day7","transcription factor binding","PGEN_.00g017350;PGEN_.00g058770;PGEN_.00g213820;PGEN_.00g216500;PGEN_.00g319930;PGEN_.00g319940"
"5","GO:0001228",131,0.00668945081355681,0.996819319657525,21,152,"DNA-binding transcription activator activity, RNA polymerase II-specific","MF","greenyellow","Day7","DNA-binding transcription factor ac...","PGEN_.00g003130;PGEN_.00g004020;PGEN_.00g011710;PGEN_.00g011720;PGEN_.00g017110;PGEN_.00g017350;PGEN_.00g017990;PGEN_.00g019730;PGEN_.00g030670;PGEN_.00g045570;PGEN_.00g055250;PGEN_.00g058270;PGEN_.00g058770;PGEN_.00g063780;PGEN_.00g082690;PGEN_.00g082880;PGEN_.00g091420;PGEN_.00g112450;PGEN_.00g113850;PGEN_.00g133850;PGEN_.00g134100;PGEN_.00g134190;PGEN_.00g146010;PGEN_.00g154950;PGEN_.00g158160;PGEN_.00g169590;PGEN_.00g213370;PGEN_.00g213820;PGEN_.00g222130;PGEN_.00g231410;PGEN_.00g290800;PGEN_.00g311570;PGEN_.00g348540"
"6","GO:0003729",179,0.0324490927693756,0.984990201512457,13,88,"mRNA binding","MF","greenyellow","Day7","RNA binding","PGEN_.00g000530;PGEN_.00g001200;PGEN_.00g001700;PGEN_.00g020710;PGEN_.00g024460;PGEN_.00g031190;PGEN_.00g033300;PGEN_.00g041220;PGEN_.00g041380;PGEN_.00g045020;PGEN_.00g046400;PGEN_.00g050340;PGEN_.00g052560;PGEN_.00g057600;PGEN_.00g058830;PGEN_.00g059610;PGEN_.00g061000;PGEN_.00g062410;PGEN_.00g073540;PGEN_.00g073570;PGEN_.00g076150;PGEN_.00g082590;PGEN_.00g092490;PGEN_.00g094340;PGEN_.00g103530;PGEN_.00g109130;PGEN_.00g115400;PGEN_.00g130210;PGEN_.00g150960;PGEN_.00g156700;PGEN_.00g159630;PGEN_.00g159800;PGEN_.00g160610;PGEN_.00g163340;PGEN_.00g163590;PGEN_.00g179620;PGEN_.00g199560;PGEN_.00g202750;PGEN_.00g222670;PGEN_.00g227680;PGEN_.00g229190;PGEN_.00g240620;PGEN_.00g242700;PGEN_.00g266160;PGEN_.00g281780;PGEN_.00g283210;PGEN_.00g283300;PGEN_.00g289770;PGEN_.00g303450;PGEN_.00g314640;PGEN_.00g315270;PGEN_.00g329010;PGEN_.00g338440;PGEN_.00g347190"
"7","GO:0003735",108,9.61511871007919e-48,1,66,113,"structural constituent of ribosome","MF","greenyellow","Day7","structural molecule activity","PGEN_.00g000530;PGEN_.00g003630;PGEN_.00g021620;PGEN_.00g021960;PGEN_.00g022420;PGEN_.00g024460;PGEN_.00g026310;PGEN_.00g028390;PGEN_.00g035120;PGEN_.00g041220;PGEN_.00g041380;PGEN_.00g044880;PGEN_.00g045220;PGEN_.00g046400;PGEN_.00g056800;PGEN_.00g057790;PGEN_.00g058030;PGEN_.00g067550;PGEN_.00g073340;PGEN_.00g073370;PGEN_.00g073570;PGEN_.00g075960;PGEN_.00g075970;PGEN_.00g076830;PGEN_.00g079160;PGEN_.00g083310;PGEN_.00g085430;PGEN_.00g086540;PGEN_.00g094340;PGEN_.00g098630;PGEN_.00g102540;PGEN_.00g103530;PGEN_.00g103610;PGEN_.00g109130;PGEN_.00g110580;PGEN_.00g120650;PGEN_.00g130250;PGEN_.00g148530;PGEN_.00g149250;PGEN_.00g153380;PGEN_.00g156700;PGEN_.00g158330;PGEN_.00g159800;PGEN_.00g160610;PGEN_.00g162860;PGEN_.00g163340;PGEN_.00g163590;PGEN_.00g178100;PGEN_.00g187350;PGEN_.00g188330;PGEN_.00g189090;PGEN_.00g193610;PGEN_.00g195280;PGEN_.00g196010;PGEN_.00g197310;PGEN_.00g202780;PGEN_.00g208760;PGEN_.00g209000;PGEN_.00g223910;PGEN_.00g224180;PGEN_.00g229190;PGEN_.00g229670;PGEN_.00g240620;PGEN_.00g242730;PGEN_.00g254000;PGEN_.00g260760;PGEN_.00g270690;PGEN_.00g274530;PGEN_.00g274550;PGEN_.00g274560;PGEN_.00g274590;PGEN_.00g281780;PGEN_.00g287540;PGEN_.00g287710;PGEN_.00g288110;PGEN_.00g291940;PGEN_.00g303220;PGEN_.00g303450;PGEN_.00g305240;PGEN_.00g307050;PGEN_.00g307100;PGEN_.00g309420;PGEN_.00g310720;PGEN_.00g312410;PGEN_.00g329160;PGEN_.00g336900;PGEN_.00g346720"
"8","GO:0003743",188,0.0393830878141353,0.988033387620615,6,32,"translation initiation factor activity","MF","greenyellow","Day7","translation factor activity, RNA bi...","PGEN_.00g001700;PGEN_.00g031190;PGEN_.00g052560;PGEN_.00g061000;PGEN_.00g076150;PGEN_.00g082590;PGEN_.00g159630;PGEN_.00g227680;PGEN_.00g266160;PGEN_.00g283210;PGEN_.00g314640;PGEN_.00g315270"
"9","GO:0003743",188,0.0393830878141353,0.988033387620615,6,32,"translation initiation factor activity","MF","greenyellow","Day7","RNA binding","PGEN_.00g000530;PGEN_.00g001200;PGEN_.00g001700;PGEN_.00g020710;PGEN_.00g024460;PGEN_.00g031190;PGEN_.00g033300;PGEN_.00g041220;PGEN_.00g041380;PGEN_.00g045020;PGEN_.00g046400;PGEN_.00g050340;PGEN_.00g052560;PGEN_.00g057600;PGEN_.00g058830;PGEN_.00g059610;PGEN_.00g061000;PGEN_.00g062410;PGEN_.00g073540;PGEN_.00g073570;PGEN_.00g076150;PGEN_.00g082590;PGEN_.00g092490;PGEN_.00g094340;PGEN_.00g103530;PGEN_.00g109130;PGEN_.00g115400;PGEN_.00g130210;PGEN_.00g150960;PGEN_.00g156700;PGEN_.00g159630;PGEN_.00g159800;PGEN_.00g160610;PGEN_.00g163340;PGEN_.00g163590;PGEN_.00g179620;PGEN_.00g199560;PGEN_.00g202750;PGEN_.00g222670;PGEN_.00g227680;PGEN_.00g229190;PGEN_.00g240620;PGEN_.00g242700;PGEN_.00g266160;PGEN_.00g281780;PGEN_.00g283210;PGEN_.00g283300;PGEN_.00g289770;PGEN_.00g303450;PGEN_.00g314640;PGEN_.00g315270;PGEN_.00g329010;PGEN_.00g338440;PGEN_.00g347190"
"10","GO:0003746",119,0.00172748263738616,0.999756987081649,6,19,"translation elongation factor activity","MF","greenyellow","Day7","RNA binding","PGEN_.00g000530;PGEN_.00g001200;PGEN_.00g001700;PGEN_.00g020710;PGEN_.00g024460;PGEN_.00g031190;PGEN_.00g033300;PGEN_.00g041220;PGEN_.00g041380;PGEN_.00g045020;PGEN_.00g046400;PGEN_.00g050340;PGEN_.00g052560;PGEN_.00g057600;PGEN_.00g058830;PGEN_.00g059610;PGEN_.00g061000;PGEN_.00g062410;PGEN_.00g073540;PGEN_.00g073570;PGEN_.00g076150;PGEN_.00g082590;PGEN_.00g092490;PGEN_.00g094340;PGEN_.00g103530;PGEN_.00g109130;PGEN_.00g115400;PGEN_.00g130210;PGEN_.00g150960;PGEN_.00g156700;PGEN_.00g159630;PGEN_.00g159800;PGEN_.00g160610;PGEN_.00g163340;PGEN_.00g163590;PGEN_.00g179620;PGEN_.00g199560;PGEN_.00g202750;PGEN_.00g222670;PGEN_.00g227680;PGEN_.00g229190;PGEN_.00g240620;PGEN_.00g242700;PGEN_.00g266160;PGEN_.00g281780;PGEN_.00g283210;PGEN_.00g283300;PGEN_.00g289770;PGEN_.00g303450;PGEN_.00g314640;PGEN_.00g315270;PGEN_.00g329010;PGEN_.00g338440;PGEN_.00g347190"
"11","GO:0003746",119,0.00172748263738616,0.999756987081649,6,19,"translation elongation factor activity","MF","greenyellow","Day7","translation factor activity, RNA bi...","PGEN_.00g001700;PGEN_.00g031190;PGEN_.00g052560;PGEN_.00g061000;PGEN_.00g076150;PGEN_.00g082590;PGEN_.00g159630;PGEN_.00g227680;PGEN_.00g266160;PGEN_.00g283210;PGEN_.00g314640;PGEN_.00g315270"
"12","GO:0003779",143,0.0105250757358073,0.994594879259707,23,166,"actin binding","MF","greenyellow","Day7","cytoskeletal protein binding","PGEN_.00g022420;PGEN_.00g023240;PGEN_.00g023400;PGEN_.00g025500;PGEN_.00g043360;PGEN_.00g045020;PGEN_.00g064190;PGEN_.00g070510;PGEN_.00g073370;PGEN_.00g075960;PGEN_.00g075970;PGEN_.00g082120;PGEN_.00g099510;PGEN_.00g113580;PGEN_.00g113850;PGEN_.00g166860;PGEN_.00g193180;PGEN_.00g200200;PGEN_.00g206610;PGEN_.00g219250;PGEN_.00g219490;PGEN_.00g219500;PGEN_.00g224980;PGEN_.00g226840;PGEN_.00g233320;PGEN_.00g238440;PGEN_.00g249580;PGEN_.00g253760;PGEN_.00g259260;PGEN_.00g273920;PGEN_.00g287710;PGEN_.00g331030;PGEN_.00g332250;PGEN_.00g336570"
"13","GO:0004000",198,0.0434806908871626,0.99321738554246,3,12,"adenosine deaminase activity","MF","greenyellow","Day7","hydrolase activity, acting on carbo...","PGEN_.00g142000;PGEN_.00g201620;PGEN_.00g318240"
