"","GO_terms","X","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology","moduleColor","Day","slim_term","Gene_IDs"
"1","GO:0000213",79,0.00185826891508965,1,2,2,"tRNA-intron endonuclease activity","MF","turquoise","Day7","nuclease activity","PGEN_.00g299320;PGEN_.00g306010"
"2","GO:0003755",135,0.0388399982582995,0.991508270616253,4,25,"peptidyl-prolyl cis-trans isomerase activity","MF","turquoise","Day7","isomerase activity","PGEN_.00g037130;PGEN_.00g115800;PGEN_.00g183520;PGEN_.00g282910"
"3","GO:0003834",103,0.0162736711613676,0.999301352800172,2,5,"beta-carotene 15,15'-monooxygenase activity","MF","turquoise","Day7","oxidoreductase activity","PGEN_.00g006490;PGEN_.00g039290;PGEN_.00g040690;PGEN_.00g048930;PGEN_.00g135600;PGEN_.00g162660;PGEN_.00g169450;PGEN_.00g189040;PGEN_.00g244560;PGEN_.00g251850;PGEN_.00g282850;PGEN_.00g286040;PGEN_.00g288870;PGEN_.00g300030;PGEN_.00g311290;PGEN_.00g317160;PGEN_.00g325500;PGEN_.00g333110"
"4","GO:0003995",145,0.0462250844418815,0.996201951616954,2,6,"acyl-CoA dehydrogenase activity","MF","turquoise","Day7","oxidoreductase activity","PGEN_.00g006490;PGEN_.00g039290;PGEN_.00g040690;PGEN_.00g048930;PGEN_.00g135600;PGEN_.00g162660;PGEN_.00g169450;PGEN_.00g189040;PGEN_.00g244560;PGEN_.00g251850;PGEN_.00g282850;PGEN_.00g286040;PGEN_.00g288870;PGEN_.00g300030;PGEN_.00g311290;PGEN_.00g317160;PGEN_.00g325500;PGEN_.00g333110"
"5","GO:0003997",110,0.0191406721797737,0.999224502568324,2,4,"acyl-CoA oxidase activity","MF","turquoise","Day7","oxidoreductase activity","PGEN_.00g006490;PGEN_.00g039290;PGEN_.00g040690;PGEN_.00g048930;PGEN_.00g135600;PGEN_.00g162660;PGEN_.00g169450;PGEN_.00g189040;PGEN_.00g244560;PGEN_.00g251850;PGEN_.00g282850;PGEN_.00g286040;PGEN_.00g288870;PGEN_.00g300030;PGEN_.00g311290;PGEN_.00g317160;PGEN_.00g325500;PGEN_.00g333110"
"6","GO:0004022",105,0.0170047708263354,0.999353543537235,2,4,"alcohol dehydrogenase (NAD+) activity","MF","turquoise","Day7","oxidoreductase activity","PGEN_.00g006490;PGEN_.00g039290;PGEN_.00g040690;PGEN_.00g048930;PGEN_.00g135600;PGEN_.00g162660;PGEN_.00g169450;PGEN_.00g189040;PGEN_.00g244560;PGEN_.00g251850;PGEN_.00g282850;PGEN_.00g286040;PGEN_.00g288870;PGEN_.00g300030;PGEN_.00g311290;PGEN_.00g317160;PGEN_.00g325500;PGEN_.00g333110"
"7","GO:0004090",82,0.00250886727095407,0.99975863965681,4,22,"carbonyl reductase (NADPH) activity","MF","turquoise","Day7","oxidoreductase activity","PGEN_.00g006490;PGEN_.00g039290;PGEN_.00g040690;PGEN_.00g048930;PGEN_.00g135600;PGEN_.00g162660;PGEN_.00g169450;PGEN_.00g189040;PGEN_.00g244560;PGEN_.00g251850;PGEN_.00g282850;PGEN_.00g286040;PGEN_.00g288870;PGEN_.00g300030;PGEN_.00g311290;PGEN_.00g317160;PGEN_.00g325500;PGEN_.00g333110"
"8","GO:0004175",119,0.0238437380836682,0.99182214403383,8,66,"endopeptidase activity","MF","turquoise","Day7","peptidase activity","PGEN_.00g006380;PGEN_.00g009930;PGEN_.00g013460;PGEN_.00g025650;PGEN_.00g033640;PGEN_.00g038400;PGEN_.00g041020;PGEN_.00g047200;PGEN_.00g057170;PGEN_.00g057190;PGEN_.00g057380;PGEN_.00g075120;PGEN_.00g131210;PGEN_.00g199810;PGEN_.00g200990;PGEN_.00g228480;PGEN_.00g272650;PGEN_.00g274640;PGEN_.00g298200;PGEN_.00g298410;PGEN_.00g323120;PGEN_.00g344990;PGEN_.00g345610;PGEN_.00g345680;PGEN_.00g348220;PGEN_.00g348570"
"9","GO:0004185",102,0.0159826224382164,0.999412270056473,2,4,"serine-type carboxypeptidase activity","MF","turquoise","Day7","peptidase activity","PGEN_.00g006380;PGEN_.00g009930;PGEN_.00g013460;PGEN_.00g025650;PGEN_.00g033640;PGEN_.00g038400;PGEN_.00g041020;PGEN_.00g047200;PGEN_.00g057170;PGEN_.00g057190;PGEN_.00g057380;PGEN_.00g075120;PGEN_.00g131210;PGEN_.00g199810;PGEN_.00g200990;PGEN_.00g228480;PGEN_.00g272650;PGEN_.00g274640;PGEN_.00g298200;PGEN_.00g298410;PGEN_.00g323120;PGEN_.00g344990;PGEN_.00g345610;PGEN_.00g345680;PGEN_.00g348220;PGEN_.00g348570"
"10","GO:0004197",131,0.0357725455555216,0.986657814988265,8,75,"cysteine-type endopeptidase activity","MF","turquoise","Day7","peptidase activity","PGEN_.00g006380;PGEN_.00g009930;PGEN_.00g013460;PGEN_.00g025650;PGEN_.00g033640;PGEN_.00g038400;PGEN_.00g041020;PGEN_.00g047200;PGEN_.00g057170;PGEN_.00g057190;PGEN_.00g057380;PGEN_.00g075120;PGEN_.00g131210;PGEN_.00g199810;PGEN_.00g200990;PGEN_.00g228480;PGEN_.00g272650;PGEN_.00g274640;PGEN_.00g298200;PGEN_.00g298410;PGEN_.00g323120;PGEN_.00g344990;PGEN_.00g345610;PGEN_.00g345680;PGEN_.00g348220;PGEN_.00g348570"
"11","GO:0004252",80,0.00196046514969707,0.999330141506226,14,108,"serine-type endopeptidase activity","MF","turquoise","Day7","peptidase activity","PGEN_.00g006380;PGEN_.00g009930;PGEN_.00g013460;PGEN_.00g025650;PGEN_.00g033640;PGEN_.00g038400;PGEN_.00g041020;PGEN_.00g047200;PGEN_.00g057170;PGEN_.00g057190;PGEN_.00g057380;PGEN_.00g075120;PGEN_.00g131210;PGEN_.00g199810;PGEN_.00g200990;PGEN_.00g228480;PGEN_.00g272650;PGEN_.00g274640;PGEN_.00g298200;PGEN_.00g298410;PGEN_.00g323120;PGEN_.00g344990;PGEN_.00g345610;PGEN_.00g345680;PGEN_.00g348220;PGEN_.00g348570"
"12","GO:0004336",86,0.00436852234410034,1,2,2,"galactosylceramidase activity","MF","turquoise","Day7","hydrolase activity, acting on glyco...","PGEN_.00g057120;PGEN_.00g057130;PGEN_.00g057150;PGEN_.00g169480;PGEN_.00g255520;PGEN_.00g256100"
"13","GO:0004568",107,0.0173526859471001,0.997167223944152,4,18,"chitinase activity","MF","turquoise","Day7","hydrolase activity, acting on glyco...","PGEN_.00g057120;PGEN_.00g057130;PGEN_.00g057150;PGEN_.00g169480;PGEN_.00g255520;PGEN_.00g256100"
"14","GO:0005484",112,0.0193842838796775,0.996614925231266,4,23,"SNAP receptor activity","MF","turquoise","Day7","protein-macromolecule adaptor activ...","PGEN_.00g013560;PGEN_.00g022820;PGEN_.00g036040;PGEN_.00g131350;PGEN_.00g149140;PGEN_.00g162260;PGEN_.00g343270"
"15","GO:0005504",97,0.01383673385358,0.99945508760937,2,5,"fatty acid binding","MF","turquoise","Day7","ion binding","PGEN_.00g003030;PGEN_.00g003940;PGEN_.00g005530;PGEN_.00g013150;PGEN_.00g017170;PGEN_.00g023080;PGEN_.00g023280;PGEN_.00g024130;PGEN_.00g025590;PGEN_.00g026920;PGEN_.00g033550;PGEN_.00g038510;PGEN_.00g041740;PGEN_.00g042020;PGEN_.00g046410;PGEN_.00g048930;PGEN_.00g049840;PGEN_.00g050040;PGEN_.00g050780;PGEN_.00g053440;PGEN_.00g056190;PGEN_.00g071610;PGEN_.00g081770;PGEN_.00g083780;PGEN_.00g096340;PGEN_.00g100450;PGEN_.00g108800;PGEN_.00g110140;PGEN_.00g111540;PGEN_.00g117940;PGEN_.00g118300;PGEN_.00g131210;PGEN_.00g131350;PGEN_.00g132570;PGEN_.00g133550;PGEN_.00g133560;PGEN_.00g135600;PGEN_.00g136520;PGEN_.00g136910;PGEN_.00g136960;PGEN_.00g137330;PGEN_.00g140190;PGEN_.00g149480;PGEN_.00g150480;PGEN_.00g156260;PGEN_.00g157400;PGEN_.00g158040;PGEN_.00g160870;PGEN_.00g162260;PGEN_.00g163440;PGEN_.00g164540;PGEN_.00g164550;PGEN_.00g164650;PGEN_.00g164660;PGEN_.00g174890;PGEN_.00g177440;PGEN_.00g178990;PGEN_.00g192910;PGEN_.00g193490;PGEN_.00g197630;PGEN_.00g198530;PGEN_.00g211330;PGEN_.00g214550;PGEN_.00g219720;PGEN_.00g221300;PGEN_.00g234710;PGEN_.00g251070;PGEN_.00g251840;PGEN_.00g256170;PGEN_.00g257740;PGEN_.00g261770;PGEN_.00g263590;PGEN_.00g267990;PGEN_.00g268270;PGEN_.00g272730;PGEN_.00g273730;PGEN_.00g276360;PGEN_.00g281550;PGEN_.00g300660;PGEN_.00g305230;PGEN_.00g308130;PGEN_.00g311860;PGEN_.00g312080;PGEN_.00g312990;PGEN_.00g313710;PGEN_.00g313720;PGEN_.00g318440;PGEN_.00g323100;PGEN_.00g331660;PGEN_.00g343270"
"16","GO:0005504",97,0.01383673385358,0.99945508760937,2,5,"fatty acid binding","MF","turquoise","Day7","lipid binding","PGEN_.00g017170;PGEN_.00g019450;PGEN_.00g024130;PGEN_.00g080180;PGEN_.00g111540;PGEN_.00g131350;PGEN_.00g135600;PGEN_.00g140190;PGEN_.00g150480;PGEN_.00g150640;PGEN_.00g156310;PGEN_.00g158040;PGEN_.00g162260;PGEN_.00g177440;PGEN_.00g198530;PGEN_.00g205460;PGEN_.00g256170;PGEN_.00g261770;PGEN_.00g264740;PGEN_.00g272730;PGEN_.00g279590;PGEN_.00g301690;PGEN_.00g305230;PGEN_.00g313710;PGEN_.00g313720;PGEN_.00g343270"
