"","PgenIDs","slim_term","over_represented_pvalue","GO_terms","term","ontology","moduleColor","Gene_terms"
"1","PGEN_.00g003030","ion binding",0.0362520171403588,"GO:0030976","thiamine pyrophosphate binding","MF","turquoise","E3 ubiquitin-protein ligase MIB1"
"2","PGEN_.00g003030","ion binding",0.000482845741911844,"GO:0032266","phosphatidylinositol-3-phosphate binding","MF","turquoise","E3 ubiquitin-protein ligase MIB1"
"3","PGEN_.00g003030","ion binding",0.0260168779063769,"GO:1901981","phosphatidylinositol phosphate binding","MF","turquoise","E3 ubiquitin-protein ligase MIB1"
"4","PGEN_.00g003030","ion binding",0.00013986344225609,"GO:0008270","zinc ion binding","MF","turquoise","E3 ubiquitin-protein ligase MIB1"
"5","PGEN_.00g003030","ion binding",0.01383673385358,"GO:0005504","fatty acid binding","MF","turquoise","E3 ubiquitin-protein ligase MIB1"
"6","PGEN_.00g003030","ion binding",0.00547549866253074,"GO:0035091","phosphatidylinositol binding","MF","turquoise","E3 ubiquitin-protein ligase MIB1"
"7","PGEN_.00g003030","ion binding",0.0189349878991914,"GO:0005540","hyaluronic acid binding","MF","turquoise","E3 ubiquitin-protein ligase MIB1"
"8","PGEN_.00g003030","ion binding",0.0492351366119839,"GO:0005507","copper ion binding","MF","turquoise","E3 ubiquitin-protein ligase MIB1"
"9","PGEN_.00g003940","ion binding",0.00547549866253074,"GO:0035091","phosphatidylinositol binding","MF","turquoise","Regucalcin (RC) (Gluconolactonase) (GNL)"
"10","PGEN_.00g003940","ion binding",0.0189349878991914,"GO:0005540","hyaluronic acid binding","MF","turquoise","Regucalcin (RC) (Gluconolactonase) (GNL)"
"11","PGEN_.00g003940","ion binding",0.00013986344225609,"GO:0008270","zinc ion binding","MF","turquoise","Regucalcin (RC) (Gluconolactonase) (GNL)"
"12","PGEN_.00g003940","ion binding",0.0260168779063769,"GO:1901981","phosphatidylinositol phosphate binding","MF","turquoise","Regucalcin (RC) (Gluconolactonase) (GNL)"
"13","PGEN_.00g003940","ion binding",0.0362520171403588,"GO:0030976","thiamine pyrophosphate binding","MF","turquoise","Regucalcin (RC) (Gluconolactonase) (GNL)"
"14","PGEN_.00g003940","ion binding",0.000482845741911844,"GO:0032266","phosphatidylinositol-3-phosphate binding","MF","turquoise","Regucalcin (RC) (Gluconolactonase) (GNL)"
"15","PGEN_.00g003940","ion binding",0.01383673385358,"GO:0005504","fatty acid binding","MF","turquoise","Regucalcin (RC) (Gluconolactonase) (GNL)"
"16","PGEN_.00g003940","ion binding",0.0492351366119839,"GO:0005507","copper ion binding","MF","turquoise","Regucalcin (RC) (Gluconolactonase) (GNL)"
"17","PGEN_.00g005530","ion binding",0.0189349878991914,"GO:0005540","hyaluronic acid binding","MF","turquoise","Brevican core protein"
"18","PGEN_.00g005530","ion binding",0.0362520171403588,"GO:0030976","thiamine pyrophosphate binding","MF","turquoise","Brevican core protein"
"19","PGEN_.00g005530","ion binding",0.000482845741911844,"GO:0032266","phosphatidylinositol-3-phosphate binding","MF","turquoise","Brevican core protein"
"20","PGEN_.00g005530","ion binding",0.01383673385358,"GO:0005504","fatty acid binding","MF","turquoise","Brevican core protein"
"21","PGEN_.00g005530","ion binding",0.00013986344225609,"GO:0008270","zinc ion binding","MF","turquoise","Brevican core protein"
"22","PGEN_.00g005530","ion binding",0.0260168779063769,"GO:1901981","phosphatidylinositol phosphate binding","MF","turquoise","Brevican core protein"
"23","PGEN_.00g005530","ion binding",0.0492351366119839,"GO:0005507","copper ion binding","MF","turquoise","Brevican core protein"
"24","PGEN_.00g005530","ion binding",0.00547549866253074,"GO:0035091","phosphatidylinositol binding","MF","turquoise","Brevican core protein"
"25","PGEN_.00g006380","peptidase activity",0.0357725455555216,"GO:0004197","cysteine-type endopeptidase activity","MF","turquoise","Counting factor associated protein D"
"26","PGEN_.00g006380","peptidase activity",0.0159826224382164,"GO:0004185","serine-type carboxypeptidase activity","MF","turquoise","Counting factor associated protein D"
"27","PGEN_.00g006380","peptidase activity",0.00196046514969707,"GO:0004252","serine-type endopeptidase activity","MF","turquoise","Counting factor associated protein D"
"28","PGEN_.00g006380","peptidase activity",0.0238437380836682,"GO:0004175","endopeptidase activity","MF","turquoise","Counting factor associated protein D"
"29","PGEN_.00g006490","oxidoreductase activity",0.0162736711613676,"GO:0003834","beta-carotene 15,15'-monooxygenase activity","MF","turquoise","Beta,beta-carotene 15,15'-dioxygenase"
