"","category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology","Day_moduleColor"
"1","GO:0045944",0.00992978360621617,0.992872111483072,88,548,"positive regulation of transcription by RNA polymerase II","BP","Day0_midnightblue"
"2","GO:0000122",0.00243943146907068,0.998438489678942,68,402,"negative regulation of transcription by RNA polymerase II","BP","Day0_midnightblue"
"3","GO:0016567",2.46731797822898e-05,0.999987573115509,60,314,"protein ubiquitination","BP","Day0_midnightblue"
"4","GO:0006915",0.000665610134236645,0.999613102686389,60,308,"apoptotic process","BP","Day0_midnightblue"
"5","GO:0060271",5.63386628323318e-12,1,58,171,"cilium assembly","BP","Day0_midnightblue"
"6","GO:0006511",0.000233337668006679,0.999878122147833,51,230,"ubiquitin-dependent protein catabolic process","BP","Day0_midnightblue"
"7","GO:0007283",0.000125031931243591,0.99993689393655,50,228,"spermatogenesis","BP","Day0_midnightblue"
"8","GO:0045892",0.0136493777005092,0.991084620925647,50,314,"negative regulation of transcription, DNA-templated","BP","Day0_midnightblue"
"9","GO:0045087",0.0186107850062231,0.987927720880069,44,298,"innate immune response","BP","Day0_midnightblue"
"10","GO:0006468",0.0175136973108124,0.988850151494306,43,229,"protein phosphorylation","BP","Day0_midnightblue"
"11","GO:0006974",0.00182016069428815,0.999022374991411,40,189,"cellular response to DNA damage stimulus","BP","Day0_midnightblue"
"12","GO:0007018",1.88062802836385e-07,0.999999944306267,35,102,"microtubule-based movement","BP","Day0_midnightblue"
"13","GO:0010628",0.0325171223256849,0.979300484119514,35,202,"positive regulation of gene expression","BP","Day0_midnightblue"
"14","GO:0010629",0.00563215244817656,0.99689715686185,34,178,"negative regulation of gene expression","BP","Day0_midnightblue"
"15","GO:0008285",0.0149665131206077,0.99110542388702,34,195,"negative regulation of cell population proliferation","BP","Day0_midnightblue"
"16","GO:0006281",0.0265132729892418,0.983522740397185,34,195,"DNA repair","BP","Day0_midnightblue"
"17","GO:0051607",0.000125040359461445,0.99994788652871,32,140,"defense response to virus","BP","Day0_midnightblue"
"18","GO:0016579",0.000310231178013263,0.999878695074572,26,97,"protein deubiquitination","BP","Day0_midnightblue"
"19","GO:0043161",0.00762252893921914,0.996092537392633,26,130,"proteasome-mediated ubiquitin-dependent protein catabolic process","BP","Day0_midnightblue"
"20","GO:0000398",0.00461537359569573,0.997775633554315,25,117,"mRNA splicing, via spliceosome","BP","Day0_midnightblue"
"21","GO:0008283",0.0396320200004017,0.976731832613004,24,142,"cell population proliferation","BP","Day0_midnightblue"
"22","GO:0000281",0.000513698407456005,0.999803815025701,23,89,"mitotic cytokinesis","BP","Day0_midnightblue"
"23","GO:0007219",0.0256595765477227,0.985915152688355,23,114,"Notch signaling pathway","BP","Day0_midnightblue"
"24","GO:0042981",0.00180359335842026,0.999240367582231,22,103,"regulation of apoptotic process","BP","Day0_midnightblue"
"25","GO:0046777",0.00745318321336969,0.996454907020898,22,99,"protein autophosphorylation","BP","Day0_midnightblue"
"26","GO:0003341",2.64097719604251e-09,0.999999999691227,21,36,"cilium movement","BP","Day0_midnightblue"
"27","GO:0018105",0.0039065963367682,0.998431780478693,18,70,"peptidyl-serine phosphorylation","BP","Day0_midnightblue"
"28","GO:0002040",0.00113008521802873,0.999623152888255,17,54,"sprouting angiogenesis","BP","Day0_midnightblue"
"29","GO:0007017",4.96682452103082e-07,0.999999923451237,16,42,"microtubule-based process","BP","Day0_midnightblue"
"30","GO:0140289",6.44359485678713e-06,0.999998837390216,16,36,"protein mono-ADP-ribosylation","BP","Day0_midnightblue"
"31","GO:0009615",7.97099245101105e-05,0.999980152707008,16,51,"response to virus","BP","Day0_midnightblue"
"32","GO:0006457",0.00265082546941845,0.999037880391726,16,64,"protein folding","BP","Day0_midnightblue"
"33","GO:0043123",0.00335163313732359,0.998757698807046,16,62,"positive regulation of I-kappaB kinase/NF-kappaB signaling","BP","Day0_midnightblue"
"34","GO:0030030",1.06411018593414e-05,0.999998160290026,15,32,"cell projection organization","BP","Day0_midnightblue"
"35","GO:0006471",0.000381946801064188,0.999896247595407,15,45,"protein ADP-ribosylation","BP","Day0_midnightblue"
"36","GO:0007030",0.0444451854748747,0.977737281310818,15,70,"Golgi organization","BP","Day0_midnightblue"
"37","GO:0007015",0.0366685576070524,0.982597987801015,14,66,"actin filament organization","BP","Day0_midnightblue"
"38","GO:0007288",4.48757812093194e-08,0.999999997130887,13,19,"sperm axoneme assembly","BP","Day0_midnightblue"
"39","GO:0043124",3.73491466022023e-05,0.999993562769767,13,29,"negative regulation of I-kappaB kinase/NF-kappaB signaling","BP","Day0_midnightblue"
"40","GO:0042531",0.000163223956631175,0.999966210459409,13,31,"positive regulation of tyrosine phosphorylation of STAT protein","BP","Day0_midnightblue"
"41","GO:0045454",0.00341187419875744,0.998886326195213,13,49,"cell redox homeostasis","BP","Day0_midnightblue"
"42","GO:0000086",0.00399933483518304,0.998681251877262,13,46,"G2/M transition of mitotic cell cycle","BP","Day0_midnightblue"
"43","GO:0032147",0.01460137608334,0.994298270771575,13,46,"activation of protein kinase activity","BP","Day0_midnightblue"
"44","GO:0060294",3.71644964593882e-09,0.999999999881743,12,15,"cilium movement involved in cell motility","BP","Day0_midnightblue"
"45","GO:0032088",0.00478917387702,0.998468209427164,12,42,"negative regulation of NF-kappaB transcription factor activity","BP","Day0_midnightblue"
"46","GO:0070212",0.00551440666077394,0.998217431360155,12,40,"protein poly-ADP-ribosylation","BP","Day0_midnightblue"
"47","GO:0030433",0.00834803671736354,0.997101187834116,12,44,"ubiquitin-dependent ERAD pathway","BP","Day0_midnightblue"
"48","GO:0007059",0.0325846781817363,0.985927402681511,12,52,"chromosome segregation","BP","Day0_midnightblue"
"49","GO:0010389",0.000143060498570362,0.999976557196327,11,23,"regulation of G2/M transition of mitotic cell cycle","BP","Day0_midnightblue"
"50","GO:0002230",0.000160998672675835,0.999971775196243,11,26,"positive regulation of defense response to virus by host","BP","Day0_midnightblue"
"51","GO:0060336",0.000248364428533859,0.999955542699412,11,24,"negative regulation of interferon-gamma-mediated signaling pathway","BP","Day0_midnightblue"
"52","GO:0042532",0.00139669438759813,0.999659613835296,11,31,"negative regulation of tyrosine phosphorylation of STAT protein","BP","Day0_midnightblue"
"53","GO:0019216",0.00481611661241509,0.998598428213983,11,32,"regulation of lipid metabolic process","BP","Day0_midnightblue"
"54","GO:0019228",0.00546484798172077,0.998317771469096,11,39,"neuronal action potential","BP","Day0_midnightblue"
"55","GO:0030514",0.0152497223757585,0.994379107804411,11,49,"negative regulation of BMP signaling pathway","BP","Day0_midnightblue"
"56","GO:0007009",0.02471155789875,0.99028112088908,11,45,"plasma membrane organization","BP","Day0_midnightblue"
"57","GO:0000381",0.029250560597407,0.988123788245815,11,47,"regulation of alternative mRNA splicing, via spliceosome","BP","Day0_midnightblue"
"58","GO:0000187",0.0300279314134588,0.987702653939585,11,49,"activation of MAPK activity","BP","Day0_midnightblue"
"59","GO:0007249",0.000633310427918805,0.999875417042282,10,26,"I-kappaB kinase/NF-kappaB signaling","BP","Day0_midnightblue"
"60","GO:1902216",0.000782438839922222,0.999848214500954,10,23,"positive regulation of interleukin-4-mediated signaling pathway","BP","Day0_midnightblue"
"61","GO:0030317",0.00672839705366331,0.998039100066018,10,32,"flagellated sperm motility","BP","Day0_midnightblue"
"62","GO:0008015",0.0114872559057824,0.996301267311148,10,35,"blood circulation","BP","Day0_midnightblue"
"63","GO:0006367",0.021527450287047,0.992173382115201,10,40,"transcription initiation from RNA polymerase II promoter","BP","Day0_midnightblue"
"64","GO:0032922",0.0240380714307244,0.991127346162384,10,39,"circadian regulation of gene expression","BP","Day0_midnightblue"
"65","GO:0070936",0.0288892186423582,0.988839442544224,10,44,"protein K48-linked ubiquitination","BP","Day0_midnightblue"
"66","GO:0050727",0.0303913470233338,0.988252472185415,10,41,"regulation of inflammatory response","BP","Day0_midnightblue"
"67","GO:0018107",0.0441907688725955,0.981618276411761,10,44,"peptidyl-threonine phosphorylation","BP","Day0_midnightblue"
"68","GO:1900182",0.000870804625588307,0.99984173020174,9,22,"positive regulation of protein localization to nucleus","BP","Day0_midnightblue"
"69","GO:0097711",0.004230302791119,0.998989218401939,9,24,"ciliary basal body-plasma membrane docking","BP","Day0_midnightblue"
"70","GO:0070534",0.00584319216186027,0.99843920931867,9,31,"protein K63-linked ubiquitination","BP","Day0_midnightblue"
"71","GO:0045088",0.00673166023031633,0.998171302995671,9,30,"regulation of innate immune response","BP","Day0_midnightblue"
"72","GO:0050852",0.0119729103338714,0.996466877395352,9,28,"T cell receptor signaling pathway","BP","Day0_midnightblue"
"73","GO:0007163",0.0142515462479018,0.995557406212102,9,32,"establishment or maintenance of cell polarity","BP","Day0_midnightblue"
"74","GO:0045727",0.0160244736148188,0.994929358909519,9,31,"positive regulation of translation","BP","Day0_midnightblue"
"75","GO:0006952",0.0169458406436877,0.994384025526562,9,40,"defense response","BP","Day0_midnightblue"
"76","GO:0051402",0.0189092182148047,0.993722124736302,9,35,"neuron apoptotic process","BP","Day0_midnightblue"
"77","GO:1905515",0.0202179044083889,0.993413614917085,9,29,"non-motile cilium assembly","BP","Day0_midnightblue"
"78","GO:0019221",0.0281595703786174,0.989886334510307,9,37,"cytokine-mediated signaling pathway","BP","Day0_midnightblue"
"79","GO:1902600",0.0305832488922484,0.988974159442369,9,34,"proton transmembrane transport","BP","Day0_midnightblue"
"80","GO:0006417",0.0311344921161922,0.988839280624429,9,32,"regulation of translation","BP","Day0_midnightblue"
"81","GO:0045732",0.0328933511410837,0.987932141469266,9,35,"positive regulation of protein catabolic process","BP","Day0_midnightblue"
"82","GO:0060285",0.000107714126774387,0.999990384548291,8,13,"cilium-dependent cell motility","BP","Day0_midnightblue"
"83","GO:0036159",0.000193971650503358,0.999978590575867,8,15,"inner dynein arm assembly","BP","Day0_midnightblue"
"84","GO:2001034",0.000563122086132286,0.999923299844285,8,16,"positive regulation of double-strand break repair via nonhomologous end joining","BP","Day0_midnightblue"
"85","GO:0099612",0.000910929254842354,0.999854343415506,8,19,"protein localization to axon","BP","Day0_midnightblue"
"86","GO:0002376",0.000991640400014901,0.999846955502349,8,17,"immune system process","BP","Day0_midnightblue"
"87","GO:0007080",0.00165305511597649,0.999722134678095,8,17,"mitotic metaphase plate congression","BP","Day0_midnightblue"
"88","GO:0010765",0.00206304316960862,0.99960866062456,8,21,"positive regulation of sodium ion transport","BP","Day0_midnightblue"
"89","GO:0071286",0.00237061082484829,0.999533084174025,8,22,"cellular response to magnesium ion","BP","Day0_midnightblue"
