"","category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology","moduleColor","Day"
"1","GO:0060271",5.63386628323318e-12,1,58,171,"cilium assembly","BP","midnightblue","Day0"
"2","GO:0003341",2.64097719604251e-09,0.999999999691227,21,36,"cilium movement","BP","midnightblue","Day0"
"3","GO:0060294",3.71644964593882e-09,0.999999999881743,12,15,"cilium movement involved in cell motility","BP","midnightblue","Day0"
"4","GO:0007288",4.48757812093194e-08,0.999999997130887,13,19,"sperm axoneme assembly","BP","midnightblue","Day0"
"5","GO:0007018",1.88062802836385e-07,0.999999944306267,35,102,"microtubule-based movement","BP","midnightblue","Day0"
"6","GO:0007017",4.96682452103082e-07,0.999999923451237,16,42,"microtubule-based process","BP","midnightblue","Day0"
"7","GO:0140289",6.44359485678713e-06,0.999998837390216,16,36,"protein mono-ADP-ribosylation","BP","midnightblue","Day0"
"8","GO:0030030",1.06411018593414e-05,0.999998160290026,15,32,"cell projection organization","BP","midnightblue","Day0"
"9","GO:0016567",2.46731797822898e-05,0.999987573115509,60,314,"protein ubiquitination","BP","midnightblue","Day0"
"10","GO:0043124",3.73491466022023e-05,0.999993562769767,13,29,"negative regulation of I-kappaB kinase/NF-kappaB signaling","BP","midnightblue","Day0"
"11","GO:0009615",7.97099245101105e-05,0.999980152707008,16,51,"response to virus","BP","midnightblue","Day0"
"12","GO:0007283",0.000125031931243591,0.99993689393655,50,228,"spermatogenesis","BP","midnightblue","Day0"
"13","GO:0051607",0.000125040359461445,0.99994788652871,32,140,"defense response to virus","BP","midnightblue","Day0"
"14","GO:0010389",0.000143060498570362,0.999976557196327,11,23,"regulation of G2/M transition of mitotic cell cycle","BP","midnightblue","Day0"
"15","GO:0002230",0.000160998672675835,0.999971775196243,11,26,"positive regulation of defense response to virus by host","BP","midnightblue","Day0"
"16","GO:0042531",0.000163223956631175,0.999966210459409,13,31,"positive regulation of tyrosine phosphorylation of STAT protein","BP","midnightblue","Day0"
"17","GO:0006511",0.000233337668006679,0.999878122147833,51,230,"ubiquitin-dependent protein catabolic process","BP","midnightblue","Day0"
"18","GO:0060336",0.000248364428533859,0.999955542699412,11,24,"negative regulation of interferon-gamma-mediated signaling pathway","BP","midnightblue","Day0"
"19","GO:0016579",0.000310231178013263,0.999878695074572,26,97,"protein deubiquitination","BP","midnightblue","Day0"
"20","GO:0006471",0.000381946801064188,0.999896247595407,15,45,"protein ADP-ribosylation","BP","midnightblue","Day0"
"21","GO:0000281",0.000513698407456005,0.999803815025701,23,89,"mitotic cytokinesis","BP","midnightblue","Day0"
"22","GO:0007249",0.000633310427918805,0.999875417042282,10,26,"I-kappaB kinase/NF-kappaB signaling","BP","midnightblue","Day0"
"23","GO:0006915",0.000665610134236645,0.999613102686389,60,308,"apoptotic process","BP","midnightblue","Day0"
"24","GO:1902216",0.000782438839922222,0.999848214500954,10,23,"positive regulation of interleukin-4-mediated signaling pathway","BP","midnightblue","Day0"
"25","GO:0002040",0.00113008521802873,0.999623152888255,17,54,"sprouting angiogenesis","BP","midnightblue","Day0"
"26","GO:0042532",0.00139669438759813,0.999659613835296,11,31,"negative regulation of tyrosine phosphorylation of STAT protein","BP","midnightblue","Day0"
"27","GO:0042981",0.00180359335842026,0.999240367582231,22,103,"regulation of apoptotic process","BP","midnightblue","Day0"
"28","GO:0006974",0.00182016069428815,0.999022374991411,40,189,"cellular response to DNA damage stimulus","BP","midnightblue","Day0"
"29","GO:0000122",0.00243943146907068,0.998438489678942,68,402,"negative regulation of transcription by RNA polymerase II","BP","midnightblue","Day0"
"30","GO:0006457",0.00265082546941845,0.999037880391726,16,64,"protein folding","BP","midnightblue","Day0"
"31","GO:0043123",0.00335163313732359,0.998757698807046,16,62,"positive regulation of I-kappaB kinase/NF-kappaB signaling","BP","midnightblue","Day0"
"32","GO:0045454",0.00341187419875744,0.998886326195213,13,49,"cell redox homeostasis","BP","midnightblue","Day0"
"33","GO:0018105",0.0039065963367682,0.998431780478693,18,70,"peptidyl-serine phosphorylation","BP","midnightblue","Day0"
"34","GO:0000086",0.00399933483518304,0.998681251877262,13,46,"G2/M transition of mitotic cell cycle","BP","midnightblue","Day0"
"35","GO:0000398",0.00461537359569573,0.997775633554315,25,117,"mRNA splicing, via spliceosome","BP","midnightblue","Day0"
"36","GO:0032088",0.00478917387702,0.998468209427164,12,42,"negative regulation of NF-kappaB transcription factor activity","BP","midnightblue","Day0"
"37","GO:0019216",0.00481611661241509,0.998598428213983,11,32,"regulation of lipid metabolic process","BP","midnightblue","Day0"
"38","GO:0019228",0.00546484798172077,0.998317771469096,11,39,"neuronal action potential","BP","midnightblue","Day0"
"39","GO:0070212",0.00551440666077394,0.998217431360155,12,40,"protein poly-ADP-ribosylation","BP","midnightblue","Day0"
"40","GO:0010629",0.00563215244817656,0.99689715686185,34,178,"negative regulation of gene expression","BP","midnightblue","Day0"
"41","GO:0030317",0.00672839705366331,0.998039100066018,10,32,"flagellated sperm motility","BP","midnightblue","Day0"
"42","GO:0046777",0.00745318321336969,0.996454907020898,22,99,"protein autophosphorylation","BP","midnightblue","Day0"
"43","GO:0043161",0.00762252893921914,0.996092537392633,26,130,"proteasome-mediated ubiquitin-dependent protein catabolic process","BP","midnightblue","Day0"
"44","GO:0030433",0.00834803671736354,0.997101187834116,12,44,"ubiquitin-dependent ERAD pathway","BP","midnightblue","Day0"
"45","GO:0045944",0.00992978360621617,0.992872111483072,88,548,"positive regulation of transcription by RNA polymerase II","BP","midnightblue","Day0"
"46","GO:0008015",0.0114872559057824,0.996301267311148,10,35,"blood circulation","BP","midnightblue","Day0"
"47","GO:0045892",0.0136493777005092,0.991084620925647,50,314,"negative regulation of transcription, DNA-templated","BP","midnightblue","Day0"
"48","GO:0032147",0.01460137608334,0.994298270771575,13,46,"activation of protein kinase activity","BP","midnightblue","Day0"
"49","GO:0008285",0.0149665131206077,0.99110542388702,34,195,"negative regulation of cell population proliferation","BP","midnightblue","Day0"
"50","GO:0030514",0.0152497223757585,0.994379107804411,11,49,"negative regulation of BMP signaling pathway","BP","midnightblue","Day0"
"51","GO:0006468",0.0175136973108124,0.988850151494306,43,229,"protein phosphorylation","BP","midnightblue","Day0"
"52","GO:0045087",0.0186107850062231,0.987927720880069,44,298,"innate immune response","BP","midnightblue","Day0"
"53","GO:0006367",0.021527450287047,0.992173382115201,10,40,"transcription initiation from RNA polymerase II promoter","BP","midnightblue","Day0"
"54","GO:0032922",0.0240380714307244,0.991127346162384,10,39,"circadian regulation of gene expression","BP","midnightblue","Day0"
"55","GO:0007009",0.02471155789875,0.99028112088908,11,45,"plasma membrane organization","BP","midnightblue","Day0"
"56","GO:0007219",0.0256595765477227,0.985915152688355,23,114,"Notch signaling pathway","BP","midnightblue","Day0"
"57","GO:0006281",0.0265132729892418,0.983522740397185,34,195,"DNA repair","BP","midnightblue","Day0"
"58","GO:0070936",0.0288892186423582,0.988839442544224,10,44,"protein K48-linked ubiquitination","BP","midnightblue","Day0"
"59","GO:0000381",0.029250560597407,0.988123788245815,11,47,"regulation of alternative mRNA splicing, via spliceosome","BP","midnightblue","Day0"
"60","GO:0000187",0.0300279314134588,0.987702653939585,11,49,"activation of MAPK activity","BP","midnightblue","Day0"
"61","GO:0050727",0.0303913470233338,0.988252472185415,10,41,"regulation of inflammatory response","BP","midnightblue","Day0"
"62","GO:0010628",0.0325171223256849,0.979300484119514,35,202,"positive regulation of gene expression","BP","midnightblue","Day0"
"63","GO:0007059",0.0325846781817363,0.985927402681511,12,52,"chromosome segregation","BP","midnightblue","Day0"
"64","GO:0007015",0.0366685576070524,0.982597987801015,14,66,"actin filament organization","BP","midnightblue","Day0"
"65","GO:0008283",0.0396320200004017,0.976731832613004,24,142,"cell population proliferation","BP","midnightblue","Day0"
"66","GO:0018107",0.0441907688725955,0.981618276411761,10,44,"peptidyl-threonine phosphorylation","BP","midnightblue","Day0"
"67","GO:0007030",0.0444451854748747,0.977737281310818,15,70,"Golgi organization","BP","midnightblue","Day0"
"68","GO:0005737",1.2219288474686e-23,1,603,3388,"cytoplasm","CC","midnightblue","Day0"
"69","GO:0031514",2.86496935507189e-19,1,46,89,"motile cilium","CC","midnightblue","Day0"
"70","GO:0005634",5.27130850113521e-17,1,528,3216,"nucleus","CC","midnightblue","Day0"
"71","GO:0005930",2.75543805376005e-16,1,41,74,"axoneme","CC","midnightblue","Day0"
"72","GO:0005929",1.56972874406127e-11,1,58,182,"cilium","CC","midnightblue","Day0"
"73","GO:0005874",2.6458052564154e-11,1,75,270,"microtubule","CC","midnightblue","Day0"
"74","GO:0005829",9.33723114683833e-09,1,385,2336,"cytosol","CC","midnightblue","Day0"
"75","GO:0005814",1.02482831481401e-08,0.999999997015485,41,121,"centriole","CC","midnightblue","Day0"
"76","GO:0036126",1.2441313627099e-08,0.999999998907466,16,26,"sperm flagellum","CC","midnightblue","Day0"
"77","GO:0030286",2.10642220326756e-08,0.999999995646004,26,71,"dynein complex","CC","midnightblue","Day0"
"78","GO:0036156",4.43594355532456e-07,0.999999975512691,11,15,"inner dynein arm","CC","midnightblue","Day0"
"79","GO:0005813",1.3579013078634e-06,0.999999546961121,72,312,"centrosome","CC","midnightblue","Day0"
"80","GO:0036064",4.01142089428714e-05,0.999985920574653,28,94,"ciliary basal body","CC","midnightblue","Day0"
"81","GO:0032391",8.00246514393862e-05,0.999989296439374,10,20,"photoreceptor connecting cilium","CC","midnightblue","Day0"
"82","GO:0005858",0.000117731396217947,0.999992603686401,7,10,"axonemal dynein complex","CC","midnightblue","Day0"
"83","GO:0005654",0.000268676464049703,0.999798098608966,235,1479,"nucleoplasm","CC","midnightblue","Day0"
"84","GO:0097342",0.000381743741664699,1,4,4,"ripoptosome","CC","midnightblue","Day0"
"85","GO:0034451",0.00043602455537139,0.999870174856661,16,57,"centriolar satellite","CC","midnightblue","Day0"
"86","GO:0005739",0.000519686788858376,0.999639910302125,128,805,"mitochondrion","CC","midnightblue","Day0"
"87","GO:0005952",0.000665749710690538,0.999967262572027,5,7,"cAMP-dependent protein kinase complex","CC","midnightblue","Day0"
"88","GO:0031594",0.000689523507464056,0.999725550338468,23,106,"neuromuscular junction","CC","midnightblue","Day0"
"89","GO:0097546",0.00075051705477431,0.99989706915396,8,15,"ciliary base","CC","midnightblue","Day0"
"90","GO:0031380",0.00101543403971099,0.999932875743859,5,8,"nuclear RNA-directed RNA polymerase complex","CC","midnightblue","Day0"
"91","GO:0000276",0.00119646201950486,0.999949094191222,4,6,"mitochondrial proton-transporting ATP synthase complex, coupling factor F(o)","CC","midnightblue","Day0"
"92","GO:0014731",0.00198276448801144,0.999511613664533,10,34,"spectrin-associated cytoskeleton","CC","midnightblue","Day0"
"93","GO:0005871",0.00200302335789055,0.999343862732111,15,48,"kinesin complex","CC","midnightblue","Day0"
"94","GO:0042641",0.00207126275701835,0.999504091142536,10,29,"actomyosin","CC","midnightblue","Day0"
"95","GO:0031265",0.00231638583539479,1,3,3,"CD95 death-inducing signaling complex","CC","midnightblue","Day0"
"96","GO:0000932",0.00335280623525951,0.998802886971713,15,58,"P-body","CC","midnightblue","Day0"
"97","GO:0015630",0.00352934478198844,0.998600057227229,18,69,"microtubule cytoskeleton","CC","midnightblue","Day0"
"98","GO:0000775",0.00425792872571456,0.998682713151731,12,38,"chromosome, centromeric region","CC","midnightblue","Day0"
"99","GO:0031205",0.00468111426388558,1,2,2,"endoplasmic reticulum Sec complex","CC","midnightblue","Day0"
"100","GO:0000502",0.00470625576315874,0.998700786547675,10,32,"proteasome complex","CC","midnightblue","Day0"
"101","GO:0000275",0.00514270073608986,0.999842964086278,3,4,"mitochondrial proton-transporting ATP synthase complex, catalytic sector F(1)","CC","midnightblue","Day0"
"102","GO:0033268",0.0054520393023199,0.99873151110845,8,24,"node of Ranvier","CC","midnightblue","Day0"
"103","GO:0005868",0.00607072291205306,0.998889778216898,6,19,"cytoplasmic dynein complex","CC","midnightblue","Day0"
"104","GO:0030315",0.00621818129322123,0.9978841967515,12,51,"T-tubule","CC","midnightblue","Day0"
"105","GO:0001518",0.00635728130796562,0.999559500535332,4,6,"voltage-gated sodium channel complex","CC","midnightblue","Day0"
"106","GO:0043194",0.00658494005378283,0.997874680157255,11,45,"axon initial segment","CC","midnightblue","Day0"
"107","GO:0044666",0.00715891919857479,0.998769799816878,6,14,"MLL3/4 complex","CC","midnightblue","Day0"
"108","GO:0030663",0.00725885239700507,0.999633680319578,3,5,"COPI-coated vesicle membrane","CC","midnightblue","Day0"
"109","GO:0031466",0.00791792605559924,0.999715240741425,3,4,"Cul5-RING ubiquitin ligase complex","CC","midnightblue","Day0"
"110","GO:0048188",0.00802407232487747,0.998547114946748,6,15,"Set1C/COMPASS complex","CC","midnightblue","Day0"
"111","GO:0090734",0.00837003757384137,0.998510744984618,6,14,"site of DNA damage","CC","midnightblue","Day0"
"112","GO:0045171",0.0094971817799553,0.996982289815167,10,39,"intercellular bridge","CC","midnightblue","Day0"
"113","GO:0031010",0.0103269761242183,1,2,2,"ISWI-type complex","CC","midnightblue","Day0"
"114","GO:0035145",0.0114521976403978,0.998864629047309,4,7,"exon-exon junction complex","CC","midnightblue","Day0"
"115","GO:0001520",0.0118488984219838,0.999501844657914,3,4,"outer dense fiber","CC","midnightblue","Day0"
"116","GO:0002081",0.0123334806077848,0.99947325125414,3,4,"outer acrosomal membrane","CC","midnightblue","Day0"
"117","GO:0005753",0.0125341118497163,0.999082911894703,3,6,"mitochondrial proton-transporting ATP synthase complex","CC","midnightblue","Day0"
"118","GO:0032991",0.0129421576328115,0.991220888923053,61,365,"protein-containing complex","CC","midnightblue","Day0"
"119","GO:0016459",0.0134708567097057,0.995974326840412,9,27,"myosin complex","CC","midnightblue","Day0"
"120","GO:0031475",0.0143059937794656,0.999503817004682,2,4,"myosin V complex","CC","midnightblue","Day0"
"121","GO:0097730",0.0143678281133407,0.995886289401909,8,28,"non-motile cilium","CC","midnightblue","Day0"
"122","GO:0008541",0.0147257075868095,0.998129321664998,4,9,"proteasome regulatory particle, lid subcomplex","CC","midnightblue","Day0"
"123","GO:0030992",0.0151166736507651,0.99750760244046,5,11,"intraciliary transport particle B","CC","midnightblue","Day0"
"124","GO:0070381",0.0159995287010023,1,2,2,"endosome to plasma membrane transport vesicle","CC","midnightblue","Day0"
"125","GO:0035686",0.0165198507691038,1,2,2,"sperm fibrous sheath","CC","midnightblue","Day0"
"126","GO:0051233",0.0176075506730014,0.996761280707281,5,13,"spindle midzone","CC","midnightblue","Day0"
"127","GO:0005638",0.0178363702021228,1,2,2,"lamin filament","CC","midnightblue","Day0"
"128","GO:0014704",0.0182194488080968,0.993990438459499,9,35,"intercalated disc","CC","midnightblue","Day0"
"129","GO:0005762",0.0196516207957397,0.993298489373914,9,41,"mitochondrial large ribosomal subunit","CC","midnightblue","Day0"
"130","GO:0005819",0.0197408345538341,0.990232043291751,19,85,"spindle","CC","midnightblue","Day0"
"131","GO:0097542",0.0206316309181931,0.996157771539296,5,12,"ciliary tip","CC","midnightblue","Day0"
"132","GO:0032996",0.0226445165723392,1,2,2,"Bcl3-Bcl10 complex","CC","midnightblue","Day0"
"133","GO:0033257",0.0226445165723392,1,2,2,"Bcl3/NF-kappaB2 complex","CC","midnightblue","Day0"
"134","GO:0000940",0.022801523988647,0.998207862020059,3,5,"condensed chromosome outer kinetochore","CC","midnightblue","Day0"
"135","GO:0071797",0.0229193954742015,1,2,2,"LUBAC complex","CC","midnightblue","Day0"
"136","GO:0035631",0.0242520183766969,0.996395655291012,4,9,"CD40 receptor complex","CC","midnightblue","Day0"
"137","GO:1990718",0.0265797189417569,1,2,2,"axonemal central pair projection","CC","midnightblue","Day0"
"138","GO:0070724",0.0303334873520409,1,1,1,"BMP receptor complex","CC","midnightblue","Day0"
"139","GO:0071006",0.0303859934313563,0.995142323272429,4,9,"U2-type catalytic step 1 spliceosome","CC","midnightblue","Day0"
"140","GO:0070852",0.0364704314509045,0.995276169908657,3,8,"cell body fiber","CC","midnightblue","Day0"
"141","GO:0005750",0.0365941540644869,0.997884130378737,2,4,"mitochondrial respiratory chain complex III","CC","midnightblue","Day0"
"142","GO:0005743",0.0382000040714119,0.975557038013013,33,223,"mitochondrial inner membrane","CC","midnightblue","Day0"
"143","GO:0005856",0.038235888825527,0.973800278290943,46,274,"cytoskeleton","CC","midnightblue","Day0"
"144","GO:0045271",0.038536201558215,1,1,1,"respiratory chain complex I","CC","midnightblue","Day0"
