"","slim_term","slim_cat","GO_count","GO_terms","GO_list","Gene_count","Gene_IDs","module_day"
"1","RNA binding","GO:0003723",4,"GO:0000339","GO:0000339;GO:0003725;GO:0003729",39,"PGEN_.00g018000;PGEN_.00g041110;PGEN_.00g053840;PGEN_.00g073540;PGEN_.00g073960;PGEN_.00g110820;PGEN_.00g122660;PGEN_.00g128750;PGEN_.00g139410;PGEN_.00g142030;PGEN_.00g142230;PGEN_.00g143850;PGEN_.00g151110;PGEN_.00g152610;PGEN_.00g152810;PGEN_.00g157400;PGEN_.00g173610;PGEN_.00g183970;PGEN_.00g191370;PGEN_.00g199560;PGEN_.00g204100;PGEN_.00g207680;PGEN_.00g233610;PGEN_.00g236410;PGEN_.00g236440;PGEN_.00g236820;PGEN_.00g244000;PGEN_.00g248800;PGEN_.00g256280;PGEN_.00g256920;PGEN_.00g263030;PGEN_.00g264540;PGEN_.00g315450;PGEN_.00g317730;PGEN_.00g322550;PGEN_.00g324360;PGEN_.00g342560;PGEN_.00g347190;PGEN_.00g347630","midnightblue_Day0"
"2","nucleotidyltransferase activity","GO:0016779",1,"GO:0001730","GO:0001730",2,"PGEN_.00g236410;PGEN_.00g236440","midnightblue_Day0"
"3","transferase activity, transferring ...","GO:0016757",4,"GO:0003950","GO:0003950;GO:0004514;GO:0097363;GO:1990404",23,"PGEN_.00g008060;PGEN_.00g008070;PGEN_.00g080070;PGEN_.00g091150;PGEN_.00g091700;PGEN_.00g091720;PGEN_.00g164120;PGEN_.00g165840;PGEN_.00g165850;PGEN_.00g206100;PGEN_.00g206220;PGEN_.00g238100;PGEN_.00g245100;PGEN_.00g246900;PGEN_.00g248180;PGEN_.00g250480;PGEN_.00g251680;PGEN_.00g254630;PGEN_.00g258830;PGEN_.00g270660;PGEN_.00g304960;PGEN_.00g304980;PGEN_.00g316150","midnightblue_Day0"
"4","transferase activity, transferring ...","GO:0016746",0,"GO:0003950","",0,"","midnightblue_Day0"
"5","transferase activity, transferring ...","GO:0016765",0,"GO:0003950","",0,"","midnightblue_Day0"
"6","kinase activity","GO:0016301",10,"GO:0004017","GO:0004017;GO:0004111;GO:0004127;GO:0004550;GO:0004674;GO:0004683;GO:0004708;GO:0005025;GO:0008545;GO:0009931",82,"PGEN_.00g001030;PGEN_.00g003210;PGEN_.00g006140;PGEN_.00g014120;PGEN_.00g016570;PGEN_.00g017180;PGEN_.00g018850;PGEN_.00g035180;PGEN_.00g041700;PGEN_.00g053030;PGEN_.00g055310;PGEN_.00g056490;PGEN_.00g056570;PGEN_.00g056780;PGEN_.00g062320;PGEN_.00g062370;PGEN_.00g063840;PGEN_.00g069090;PGEN_.00g072020;PGEN_.00g079740;PGEN_.00g085690;PGEN_.00g098860;PGEN_.00g117650;PGEN_.00g117670;PGEN_.00g130200;PGEN_.00g131630;PGEN_.00g132450;PGEN_.00g138110;PGEN_.00g138120;PGEN_.00g138520;PGEN_.00g138680;PGEN_.00g139150;PGEN_.00g140060;PGEN_.00g140080;PGEN_.00g140150;PGEN_.00g144640;PGEN_.00g145440;PGEN_.00g150730;PGEN_.00g165370;PGEN_.00g177910;PGEN_.00g177960;PGEN_.00g181080;PGEN_.00g184290;PGEN_.00g184340;PGEN_.00g184640;PGEN_.00g197620;PGEN_.00g200450;PGEN_.00g201170;PGEN_.00g210210;PGEN_.00g212730;PGEN_.00g213430;PGEN_.00g213460;PGEN_.00g214900;PGEN_.00g216710;PGEN_.00g218100;PGEN_.00g218850;PGEN_.00g219620;PGEN_.00g220300;PGEN_.00g223150;PGEN_.00g223190;PGEN_.00g223450;PGEN_.00g223560;PGEN_.00g223690;PGEN_.00g224980;PGEN_.00g231150;PGEN_.00g231160;PGEN_.00g240130;PGEN_.00g248070;PGEN_.00g253220;PGEN_.00g258920;PGEN_.00g266550;PGEN_.00g281870;PGEN_.00g281890;PGEN_.00g282580;PGEN_.00g283980;PGEN_.00g286100;PGEN_.00g306720;PGEN_.00g329110;PGEN_.00g329270;PGEN_.00g332760;PGEN_.00g332770;PGEN_.00g337470","midnightblue_Day0"
"7","ligase activity","GO:0016874",1,"GO:0004516","GO:0004516",2,"PGEN_.00g304960;PGEN_.00g304980","midnightblue_Day0"
"8","nuclease activity","GO:0004518",3,"GO:0004525","GO:0004525;GO:0004540;GO:0033897",10,"PGEN_.00g006280;PGEN_.00g006290;PGEN_.00g009970;PGEN_.00g009980;PGEN_.00g027840;PGEN_.00g152610;PGEN_.00g157390;PGEN_.00g172690;PGEN_.00g173610;PGEN_.00g331400","midnightblue_Day0"
"9","phosphatase activity","GO:0016791",3,"GO:0004724","GO:0004724;GO:0017017;GO:1990439",7,"PGEN_.00g015220;PGEN_.00g032120;PGEN_.00g077980;PGEN_.00g140150;PGEN_.00g142260;PGEN_.00g253250;PGEN_.00g331600","midnightblue_Day0"
"10","peptidase activity","GO:0008233",3,"GO:0004843","GO:0004843;GO:0036459;GO:0097199",19,"PGEN_.00g023910;PGEN_.00g051540;PGEN_.00g056190;PGEN_.00g072730;PGEN_.00g083660;PGEN_.00g152520;PGEN_.00g163220;PGEN_.00g170110;PGEN_.00g203390;PGEN_.00g211050;PGEN_.00g211860;PGEN_.00g216080;PGEN_.00g238290;PGEN_.00g239060;PGEN_.00g239070;PGEN_.00g259910;PGEN_.00g291370;PGEN_.00g321850;PGEN_.00g327960","midnightblue_Day0"
"11","enzyme regulator activity","GO:0030234",2,"GO:0004864","GO:0004864;GO:0008047",14,"PGEN_.00g008370;PGEN_.00g019390;PGEN_.00g027360;PGEN_.00g056780;PGEN_.00g091180;PGEN_.00g203470;PGEN_.00g248150;PGEN_.00g250180;PGEN_.00g250220;PGEN_.00g250810;PGEN_.00g253110;PGEN_.00g255070;PGEN_.00g258390;PGEN_.00g308890","midnightblue_Day0"
"12","structural molecule activity","GO:0005198",1,"GO:0005200","GO:0005200",24,"PGEN_.00g013040;PGEN_.00g017720;PGEN_.00g045220;PGEN_.00g045510;PGEN_.00g060920;PGEN_.00g088500;PGEN_.00g102540;PGEN_.00g104410;PGEN_.00g152970;PGEN_.00g153140;PGEN_.00g168190;PGEN_.00g191700;PGEN_.00g195470;PGEN_.00g204100;PGEN_.00g209240;PGEN_.00g233610;PGEN_.00g233770;PGEN_.00g264620;PGEN_.00g274550;PGEN_.00g274560;PGEN_.00g274590;PGEN_.00g303220;PGEN_.00g329110;PGEN_.00g336900","midnightblue_Day0"
