"","category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology","moduleColor","Day"
"1","GO:0007017",1.41873022777839e-11,1,10,42,"microtubule-based process","BP","magenta","Day14"
"2","GO:0000398",1.33191359460495e-05,0.999998060092879,10,117,"mRNA splicing, via spliceosome","BP","magenta","Day14"
"3","GO:0006915",0.00163390382813574,0.999464974796085,13,308,"apoptotic process","BP","magenta","Day14"
"4","GO:0051301",0.00668133534389159,0.997528665820838,12,314,"cell division","BP","magenta","Day14"
"5","GO:0006355",0.0123109772157286,0.995273217923218,11,401,"regulation of transcription, DNA-templated","BP","magenta","Day14"
"6","GO:0007275",0.017661145758251,0.992863670741015,11,364,"multicellular organism development","BP","magenta","Day14"
"7","GO:0005634",8.0055437780314e-09,1,86,3216,"nucleus","CC","magenta","Day14"
"8","GO:0005737",2.72725676168906e-05,0.999984943187204,81,3388,"cytoplasm","CC","magenta","Day14"
"9","GO:0016607",0.000275151396372583,0.999930797923315,12,216,"nuclear speck","CC","magenta","Day14"
"10","GO:0005829",0.000501299559770618,0.999713519361498,58,2336,"cytosol","CC","magenta","Day14"
"11","GO:0030849",0.000503050501872257,1,2,2,"autosome","CC","magenta","Day14"
"12","GO:0005874",0.000516727916203319,0.999851269483777,13,270,"microtubule","CC","magenta","Day14"
"13","GO:0000805",0.00100051692108121,0.999993823308576,2,3,"X chromosome","CC","magenta","Day14"
"14","GO:0000806",0.00100051692108121,0.999993823308576,2,3,"Y chromosome","CC","magenta","Day14"
"15","GO:0097342",0.0018328396712728,0.999978260918989,2,4,"ripoptosome","CC","magenta","Day14"
"16","GO:0030893",0.00259736934292619,0.999963167123984,2,4,"meiotic cohesin complex","CC","magenta","Day14"
"17","GO:0005929",0.00306885283565058,0.999165821195193,9,182,"cilium","CC","magenta","Day14"
"18","GO:0016589",0.0041305556734214,0.999913767751283,2,5,"NURF complex","CC","magenta","Day14"
"19","GO:0036064",0.00627025321534586,0.998657128418148,6,94,"ciliary basal body","CC","magenta","Day14"
"20","GO:0000123",0.00669410944093743,0.999446291642997,3,20,"histone acetyltransferase complex","CC","magenta","Day14"
"21","GO:0001741",0.00684888473254472,0.999786966619078,2,7,"XY body","CC","magenta","Day14"
"22","GO:0016580",0.00708506481659631,0.9997757047006,2,7,"Sin3 complex","CC","magenta","Day14"
"23","GO:0005689",0.00780021793077237,0.99971694694016,2,10,"U12-type spliceosomal complex","CC","magenta","Day14"
"24","GO:0043209",0.0141989290765382,0.998385564284942,3,33,"myelin sheath","CC","magenta","Day14"
"25","GO:0071005",0.0165904757496104,0.997990836336368,3,36,"U2-type precatalytic spliceosome","CC","magenta","Day14"
"26","GO:0002102",0.0179660396053028,0.998990131070029,2,10,"podosome","CC","magenta","Day14"
"27","GO:0000786",0.0180971336292592,0.998909105743366,2,16,"nucleosome","CC","magenta","Day14"
"28","GO:0016363",0.0194808064044455,0.996377171862211,4,59,"nuclear matrix","CC","magenta","Day14"
"29","GO:0000803",0.0209860039142092,1,1,1,"sex chromosome","CC","magenta","Day14"
"30","GO:0045095",0.02168946431485,0.999881452211494,1,2,"keratin filament","CC","magenta","Day14"
"31","GO:0000785",0.0217628519648417,0.995800698511362,4,65,"chromatin","CC","magenta","Day14"
"32","GO:0090443",0.0224610565818384,1,1,1,"FAR/SIN/STRIPAK complex","CC","magenta","Day14"
"33","GO:0031021",0.0224610565835792,1,1,1,"interphase microtubule organizing center","CC","magenta","Day14"
"34","GO:0048188",0.02324099458393,0.998411062808112,2,15,"Set1C/COMPASS complex","CC","magenta","Day14"
"35","GO:0071004",0.0241964088018605,0.998323299995368,2,14,"U2-type prespliceosome","CC","magenta","Day14"
"36","GO:0005654",0.0248632754815243,0.98439126647133,34,1479,"nucleoplasm","CC","magenta","Day14"
"37","GO:0030137",0.0283065508299401,0.999696828703279,1,4,"COPI-coated vesicle","CC","magenta","Day14"
"38","GO:0036464",0.0298625236135317,0.995456872161447,3,40,"cytoplasmic ribonucleoprotein granule","CC","magenta","Day14"
