"","GO_terms","X","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology","moduleColor","Day","slim_term","Gene_IDs"
"1","GO:0000278",16,0.0490198548952709,0.978218242809519,10,93,"mitotic cell cycle","BP","brown","Day14","cell cycle","PGEN_.00g002750;PGEN_.00g017180;PGEN_.00g033030;PGEN_.00g119480;PGEN_.00g147170;PGEN_.00g162530;PGEN_.00g166570;PGEN_.00g184290;PGEN_.00g196870;PGEN_.00g220910"
"2","GO:0006869",6,0.00214222810794208,0.99942945481172,10,57,"lipid transport","BP","brown","Day14","transport","PGEN_.00g008030;PGEN_.00g012190;PGEN_.00g019320;PGEN_.00g020290;PGEN_.00g021240;PGEN_.00g023990;PGEN_.00g024130;PGEN_.00g026480;PGEN_.00g034480;PGEN_.00g036060;PGEN_.00g044960;PGEN_.00g055970;PGEN_.00g056330;PGEN_.00g057120;PGEN_.00g062920;PGEN_.00g082330;PGEN_.00g095990;PGEN_.00g104520;PGEN_.00g109150;PGEN_.00g122170;PGEN_.00g132090;PGEN_.00g134530;PGEN_.00g147170;PGEN_.00g147870;PGEN_.00g149140;PGEN_.00g150640;PGEN_.00g155710;PGEN_.00g156010;PGEN_.00g162260;PGEN_.00g169480;PGEN_.00g177930;PGEN_.00g180380;PGEN_.00g192770;PGEN_.00g198530;PGEN_.00g204640;PGEN_.00g204750;PGEN_.00g208100;PGEN_.00g213930;PGEN_.00g216310;PGEN_.00g217890;PGEN_.00g220140;PGEN_.00g225360;PGEN_.00g228950;PGEN_.00g236720;PGEN_.00g272730;PGEN_.00g274350;PGEN_.00g279590;PGEN_.00g282910;PGEN_.00g283520;PGEN_.00g288810;PGEN_.00g295070;PGEN_.00g297150;PGEN_.00g297280;PGEN_.00g297680;PGEN_.00g305960;PGEN_.00g313220;PGEN_.00g313920;PGEN_.00g316080;PGEN_.00g319270;PGEN_.00g325430;PGEN_.00g331740;PGEN_.00g338640;PGEN_.00g339990;PGEN_.00g341690;PGEN_.00g342850;PGEN_.00g342950;PGEN_.00g343270;PGEN_.00g348850"
"3","GO:0006886",1,7.60149240045205e-07,0.999999767730035,29,184,"intracellular protein transport","BP","brown","Day14","transport","PGEN_.00g008030;PGEN_.00g012190;PGEN_.00g019320;PGEN_.00g020290;PGEN_.00g021240;PGEN_.00g023990;PGEN_.00g024130;PGEN_.00g026480;PGEN_.00g034480;PGEN_.00g036060;PGEN_.00g044960;PGEN_.00g055970;PGEN_.00g056330;PGEN_.00g057120;PGEN_.00g062920;PGEN_.00g082330;PGEN_.00g095990;PGEN_.00g104520;PGEN_.00g109150;PGEN_.00g122170;PGEN_.00g132090;PGEN_.00g134530;PGEN_.00g147170;PGEN_.00g147870;PGEN_.00g149140;PGEN_.00g150640;PGEN_.00g155710;PGEN_.00g156010;PGEN_.00g162260;PGEN_.00g169480;PGEN_.00g177930;PGEN_.00g180380;PGEN_.00g192770;PGEN_.00g198530;PGEN_.00g204640;PGEN_.00g204750;PGEN_.00g208100;PGEN_.00g213930;PGEN_.00g216310;PGEN_.00g217890;PGEN_.00g220140;PGEN_.00g225360;PGEN_.00g228950;PGEN_.00g236720;PGEN_.00g272730;PGEN_.00g274350;PGEN_.00g279590;PGEN_.00g282910;PGEN_.00g283520;PGEN_.00g288810;PGEN_.00g295070;PGEN_.00g297150;PGEN_.00g297280;PGEN_.00g297680;PGEN_.00g305960;PGEN_.00g313220;PGEN_.00g313920;PGEN_.00g316080;PGEN_.00g319270;PGEN_.00g325430;PGEN_.00g331740;PGEN_.00g338640;PGEN_.00g339990;PGEN_.00g341690;PGEN_.00g342850;PGEN_.00g342950;PGEN_.00g343270;PGEN_.00g348850"
"4","GO:0006886",1,7.60149240045205e-07,0.999999767730035,29,184,"intracellular protein transport","BP","brown","Day14","protein transport","PGEN_.00g012190;PGEN_.00g021240;PGEN_.00g024130;PGEN_.00g026480;PGEN_.00g036060;PGEN_.00g062920;PGEN_.00g095990;PGEN_.00g132090;PGEN_.00g134530;PGEN_.00g147170;PGEN_.00g149140;PGEN_.00g155710;PGEN_.00g156010;PGEN_.00g162260;PGEN_.00g180380;PGEN_.00g192770;PGEN_.00g198530;PGEN_.00g204750;PGEN_.00g228950;PGEN_.00g272730;PGEN_.00g274350;PGEN_.00g295070;PGEN_.00g297680;PGEN_.00g305960;PGEN_.00g313920;PGEN_.00g325430;PGEN_.00g331740;PGEN_.00g338640;PGEN_.00g339990"
"5","GO:0006897",8,0.00618865758971266,0.99739938288458,16,143,"endocytosis","BP","brown","Day14","transport","PGEN_.00g008030;PGEN_.00g012190;PGEN_.00g019320;PGEN_.00g020290;PGEN_.00g021240;PGEN_.00g023990;PGEN_.00g024130;PGEN_.00g026480;PGEN_.00g034480;PGEN_.00g036060;PGEN_.00g044960;PGEN_.00g055970;PGEN_.00g056330;PGEN_.00g057120;PGEN_.00g062920;PGEN_.00g082330;PGEN_.00g095990;PGEN_.00g104520;PGEN_.00g109150;PGEN_.00g122170;PGEN_.00g132090;PGEN_.00g134530;PGEN_.00g147170;PGEN_.00g147870;PGEN_.00g149140;PGEN_.00g150640;PGEN_.00g155710;PGEN_.00g156010;PGEN_.00g162260;PGEN_.00g169480;PGEN_.00g177930;PGEN_.00g180380;PGEN_.00g192770;PGEN_.00g198530;PGEN_.00g204640;PGEN_.00g204750;PGEN_.00g208100;PGEN_.00g213930;PGEN_.00g216310;PGEN_.00g217890;PGEN_.00g220140;PGEN_.00g225360;PGEN_.00g228950;PGEN_.00g236720;PGEN_.00g272730;PGEN_.00g274350;PGEN_.00g279590;PGEN_.00g282910;PGEN_.00g283520;PGEN_.00g288810;PGEN_.00g295070;PGEN_.00g297150;PGEN_.00g297280;PGEN_.00g297680;PGEN_.00g305960;PGEN_.00g313220;PGEN_.00g313920;PGEN_.00g316080;PGEN_.00g319270;PGEN_.00g325430;PGEN_.00g331740;PGEN_.00g338640;PGEN_.00g339990;PGEN_.00g341690;PGEN_.00g342850;PGEN_.00g342950;PGEN_.00g343270;PGEN_.00g348850"
"6","GO:0006897",8,0.00618865758971266,0.99739938288458,16,143,"endocytosis","BP","brown","Day14","vesicle-mediated transport","PGEN_.00g019320;PGEN_.00g020290;PGEN_.00g055970;PGEN_.00g056330;PGEN_.00g057120;PGEN_.00g062920;PGEN_.00g082330;PGEN_.00g104520;PGEN_.00g109150;PGEN_.00g122170;PGEN_.00g169480;PGEN_.00g198530;PGEN_.00g204640;PGEN_.00g213930;PGEN_.00g220140;PGEN_.00g225360;PGEN_.00g236720;PGEN_.00g282910;PGEN_.00g283520;PGEN_.00g288810;PGEN_.00g297150;PGEN_.00g297280;PGEN_.00g313220;PGEN_.00g341690;PGEN_.00g343270;PGEN_.00g348850"
"7","GO:0006914",14,0.0201835598047744,0.992291130283466,10,86,"autophagy","BP","brown","Day14","catabolic process","PGEN_.00g006380;PGEN_.00g009410;PGEN_.00g014140;PGEN_.00g019210;PGEN_.00g021240;PGEN_.00g025650;PGEN_.00g048740;PGEN_.00g109150;PGEN_.00g117310;PGEN_.00g147170;PGEN_.00g170120;PGEN_.00g193090;PGEN_.00g208780;PGEN_.00g274640;PGEN_.00g285590;PGEN_.00g298200;PGEN_.00g298410;PGEN_.00g339990;PGEN_.00g341690;PGEN_.00g345680"
"8","GO:0007596",3,0.000147327366169701,0.999969933670029,11,57,"blood coagulation","BP","brown","Day14","response to stress","PGEN_.00g038400;PGEN_.00g055970;PGEN_.00g057170;PGEN_.00g117940;PGEN_.00g142770;PGEN_.00g153080;PGEN_.00g170730;PGEN_.00g300020;PGEN_.00g313060;PGEN_.00g331740;PGEN_.00g345410"
"9","GO:0008203",10,0.0108158438512877,0.996273754154521,10,77,"cholesterol metabolic process","BP","brown","Day14","lipid metabolic process","PGEN_.00g001540;PGEN_.00g013170;PGEN_.00g014740;PGEN_.00g019450;PGEN_.00g049180;PGEN_.00g136520;PGEN_.00g137330;PGEN_.00g176480;PGEN_.00g301690;PGEN_.00g319270"
"10","GO:0008203",10,0.0108158438512877,0.996273754154521,10,77,"cholesterol metabolic process","BP","brown","Day14","small molecule metabolic process","PGEN_.00g001540;PGEN_.00g013170;PGEN_.00g014740;PGEN_.00g019450;PGEN_.00g049180;PGEN_.00g136520;PGEN_.00g137330;PGEN_.00g176480;PGEN_.00g301690;PGEN_.00g319270"
