"","category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology","moduleColor","Day"
"1","GO:0140289",2.89570052010492e-10,0.999999999986809,11,36,"protein mono-ADP-ribosylation","BP","pink","Day21"
"2","GO:0002040",4.65432671037191e-09,0.999999999641245,12,54,"sprouting angiogenesis","BP","pink","Day21"
"3","GO:0051607",4.96648938968281e-07,0.999999922098035,14,140,"defense response to virus","BP","pink","Day21"
"4","GO:0045087",5.7943472864112e-06,0.999998554236084,18,298,"innate immune response","BP","pink","Day21"
"5","GO:0016567",6.61294706608704e-06,0.999998259265174,19,314,"protein ubiquitination","BP","pink","Day21"
"6","GO:0006511",2.26948212511751e-05,0.99999402681595,17,230,"ubiquitin-dependent protein catabolic process","BP","pink","Day21"
"7","GO:0045944",4.31369989312673e-05,0.999983731555368,27,548,"positive regulation of transcription by RNA polymerase II","BP","pink","Day21"
"8","GO:0043066",0.000776910220884773,0.999741915992125,15,286,"negative regulation of apoptotic process","BP","pink","Day21"
"9","GO:0006915",0.00118332382029504,0.999573672251736,16,308,"apoptotic process","BP","pink","Day21"
"10","GO:0000122",0.00133922104234304,0.99947719500245,18,402,"negative regulation of transcription by RNA polymerase II","BP","pink","Day21"
"11","GO:0045893",0.0269398960895627,0.987925479049393,12,302,"positive regulation of transcription, DNA-templated","BP","pink","Day21"
"12","GO:0005737",4.50361783387567e-09,1,116,3388,"cytoplasm","CC","pink","Day21"
"13","GO:0005634",1.41779849195324e-05,0.999992139741963,96,3216,"nucleus","CC","pink","Day21"
"14","GO:0005829",0.000127232093011078,0.999925494089802,76,2336,"cytosol","CC","pink","Day21"
"15","GO:0031380",0.000413439193830468,0.99998961294697,3,8,"nuclear RNA-directed RNA polymerase complex","CC","pink","Day21"
"16","GO:0000790",0.000492075441991033,0.99987724170981,11,161,"nuclear chromatin","CC","pink","Day21"
"17","GO:0031265",0.00146119272379907,0.999989043452941,2,3,"CD95 death-inducing signaling complex","CC","pink","Day21"
"18","GO:0097342",0.00326657297950876,0.999947821458612,2,4,"ripoptosome","CC","pink","Day21"
"19","GO:0005845",0.00385625348402691,0.999932895377476,2,4,"mRNA cap binding complex","CC","pink","Day21"
"20","GO:0034451",0.00414023798941191,0.999344372830661,5,57,"centriolar satellite","CC","pink","Day21"
"21","GO:0070852",0.00674821619201895,0.999783503035072,2,8,"cell body fiber","CC","pink","Day21"
"22","GO:0005730",0.00964958343359482,0.99544216315445,18,443,"nucleolus","CC","pink","Day21"
