"","category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology","moduleColor","Day"
"1","GO:0006281",0.00676058053271132,0.997194557952825,15,195,"DNA repair","BP","red","Day21"
"2","GO:0035556",0.0142144534141465,0.993091710075569,18,192,"intracellular signal transduction","BP","red","Day21"
"3","GO:0006915",0.0243353869537882,0.986872207326259,20,308,"apoptotic process","BP","red","Day21"
"4","GO:0006357",0.0266316796547723,0.986949518276544,15,228,"regulation of transcription by RNA polymerase II","BP","red","Day21"
"5","GO:0006897",0.0452127338129526,0.97911146926071,11,143,"endocytosis","BP","red","Day21"
"6","GO:0005739",7.68093058723985e-08,1,55,805,"mitochondrion","CC","red","Day21"
"7","GO:0005634",3.86950162007707e-05,0.999974450622682,155,3216,"nucleus","CC","red","Day21"
"8","GO:0005759",0.000453286611452448,0.99985248626866,16,175,"mitochondrial matrix","CC","red","Day21"
"9","GO:0005654",0.000567927135653533,0.999634609950628,87,1479,"nucleoplasm","CC","red","Day21"
"10","GO:0016020",0.00241647357590229,0.998440292197599,68,1074,"membrane","CC","red","Day21"
"11","GO:0030426",0.00276871418304134,0.999164563913774,11,82,"growth cone","CC","red","Day21"
"12","GO:0008290",0.0038546174956649,0.999952319292527,2,3,"F-actin capping protein complex","CC","red","Day21"
"13","GO:0001405",0.00415625565375654,1,1,1,"PAM complex, Tim23 associated import motor","CC","red","Day21"
"14","GO:0031966",0.00459326776757187,0.998834492519468,8,58,"mitochondrial membrane","CC","red","Day21"
"15","GO:0048471",0.00540034456088869,0.997076717574032,30,429,"perinuclear region of cytoplasm","CC","red","Day21"
"16","GO:0071014",0.00569788453251063,0.999597566625021,3,11,"post-mRNA release spliceosomal complex","CC","red","Day21"
"17","GO:0031301",0.00609735982626168,0.9999042068549,2,3,"integral component of organelle membrane","CC","red","Day21"
"18","GO:0005737",0.00813371687746425,0.99372572599094,160,3388,"cytoplasm","CC","red","Day21"
"19","GO:0033596",0.00828980363227315,1,2,2,"TSC1-TSC2 complex","CC","red","Day21"
"20","GO:0005715",0.00837405362743885,1,2,2,"late recombination nodule","CC","red","Day21"
"21","GO:0060171",0.0126725767292947,0.998913962625131,3,8,"stereocilium membrane","CC","red","Day21"
"22","GO:0097165",0.0134705729182679,0.999677877499427,2,3,"nuclear stress granule","CC","red","Day21"
"23","GO:0070847",0.0164332492203185,0.999291332728565,2,5,"core mediator complex","CC","red","Day21"
"24","GO:0044613",0.0166320361830376,0.999278142287765,2,5,"nuclear pore central transport channel","CC","red","Day21"
"25","GO:0034366",0.0177944164952589,0.999023361597235,2,9,"spherical high-density lipoprotein particle","CC","red","Day21"
"26","GO:0005712",0.0181372064189083,0.999490693692035,2,3,"chiasma","CC","red","Day21"
"27","GO:0032389",0.018964015460931,0.999454402962259,2,3,"MutLalpha complex","CC","red","Day21"
"28","GO:0000439",0.020783153858061,0.998897267264321,2,6,"transcription factor TFIIH core complex","CC","red","Day21"
