"","category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology","moduleColor","Day"
"270","GO:0060271",5.47033071368391e-18,1,56,171,"cilium assembly","BP","turquoise","Day21"
"23","GO:0003341",4.17931681727279e-11,1,20,36,"cilium movement","BP","turquoise","Day21"
"89","GO:0007018",5.50945690239452e-11,1,34,102,"microtubule-based movement","BP","turquoise","Day21"
"148","GO:0030030",9.35105380683584e-11,1,18,32,"cell projection organization","BP","turquoise","Day21"
"99","GO:0007288",5.41393876356104e-09,0.9999999997258,12,19,"sperm axoneme assembly","BP","turquoise","Day21"
"322","GO:0097711",8.41027243341677e-08,0.999999992799476,13,24,"ciliary basal body-plasma membrane docking","BP","turquoise","Day21"
"273","GO:0060294",5.35131625942529e-07,0.999999971742247,9,15,"cilium movement involved in cell motility","BP","turquoise","Day21"
"116","GO:0010389",5.43355337044821e-07,0.999999949106212,12,23,"regulation of G2/M transition of mitotic cell cycle","BP","turquoise","Day21"
"235","GO:0044782",2.14348394542436e-06,0.99999988480143,8,14,"cilium organization","BP","turquoise","Day21"
"189","GO:0034454",3.57518336545993e-06,0.999999830643022,7,13,"microtubule anchoring at centrosome","BP","turquoise","Day21"
"211","GO:0036159",1.22556072443774e-05,0.99999910737094,8,15,"inner dynein arm assembly","BP","turquoise","Day21"
"269","GO:0060215",1.34647790426854e-05,0.999999583304927,5,10,"primitive hemopoiesis","BP","turquoise","Day21"
"355","GO:1905515",1.3499403238257e-05,0.999998023854016,12,29,"non-motile cilium assembly","BP","turquoise","Day21"
"100","GO:0007290",1.68964864054749e-05,0.999999771395269,4,6,"spermatid nucleus elongation","BP","turquoise","Day21"
"155","GO:0030317",5.81028519362438e-05,0.999990371998333,11,32,"flagellated sperm motility","BP","turquoise","Day21"
"181","GO:0033333",5.89753946422392e-05,0.999998388616674,4,9,"fin development","BP","turquoise","Day21"
"24","GO:0003351",6.82979987843985e-05,0.999993076399664,8,17,"epithelial cilium movement involved in extracellular fluid movement","BP","turquoise","Day21"
"271","GO:0060285",8.84613069821525e-05,0.999992945073375,7,13,"cilium-dependent cell motility","BP","turquoise","Day21"
"196","GO:0035220",9.13934560713534e-05,0.999993710026258,6,13,"wing disc development","BP","turquoise","Day21"
"5","GO:0000281",0.000144749531414186,0.999954504506428,19,89,"mitotic cytokinesis","BP","turquoise","Day21"
"195","GO:0035166",0.000165639306994476,0.999993737516282,4,10,"post-embryonic hemopoiesis","BP","turquoise","Day21"
"366","GO:2000582",0.000182725572328288,0.999988297714097,5,14,"positive regulation of ATP-dependent microtubule motor activity, plus-end-directed","BP","turquoise","Day21"
"326","GO:0098535",0.000196409496072568,1,4,4,"de novo centriole assembly involved in multi-ciliated epithelial cell differentiation","BP","turquoise","Day21"
"216","GO:0042073",0.000200957601938322,0.999975306074396,8,18,"intraciliary transport","BP","turquoise","Day21"
"72","GO:0006228",0.000204789766819748,0.99998945210945,5,9,"UTP biosynthetic process","BP","turquoise","Day21"
"186","GO:0034243",0.000270128604373213,0.999988368104755,4,10,"regulation of transcription elongation from RNA polymerase II promoter","BP","turquoise","Day21"
"356","GO:1905517",0.00028904482591601,0.999987326379624,4,10,"macrophage migration","BP","turquoise","Day21"
"253","GO:0048246",0.000323943612855215,0.999985356110126,4,10,"macrophage chemotaxis","BP","turquoise","Day21"
"70","GO:0006165",0.000337891584871241,0.999993264524502,4,5,"nucleoside diphosphate phosphorylation","BP","turquoise","Day21"
"93","GO:0007098",0.000351707181297138,0.999950763789065,8,20,"centrosome cycle","BP","turquoise","Day21"
"96","GO:0007224",0.000353624808070591,0.999924007377285,11,39,"smoothened signaling pathway","BP","turquoise","Day21"
"220","GO:0042770",0.000381744956102023,0.999979902228406,5,8,"signal transduction in response to DNA damage","BP","turquoise","Day21"
"1","GO:0000086",0.000430222649590014,0.999896408648243,12,46,"G2/M transition of mitotic cell cycle","BP","turquoise","Day21"
"151","GO:0030218",0.000437620723629302,0.999940490781577,7,25,"erythrocyte differentiation","BP","turquoise","Day21"
"73","GO:0006241",0.000457258758943969,0.999969451691653,5,10,"CTP biosynthetic process","BP","turquoise","Day21"
"193","GO:0035082",0.000459968456063703,0.999955229093738,6,14,"axoneme assembly","BP","turquoise","Day21"
"71","GO:0006183",0.000510701517889923,0.999965013940289,5,10,"GTP biosynthetic process","BP","turquoise","Day21"
"159","GO:0030593",0.000518001981955941,0.999959315269502,5,13,"neutrophil chemotaxis","BP","turquoise","Day21"
"257","GO:0051017",0.000518905988622021,0.999930338250798,7,21,"actin filament bundle assembly","BP","turquoise","Day21"
"101","GO:0007291",0.000679243737099976,0.999982730230573,3,6,"sperm individualization","BP","turquoise","Day21"
"351","GO:1904801",0.000684577090045499,0.999982546980045,3,6,"positive regulation of neuron remodeling","BP","turquoise","Day21"
"140","GO:0021549",0.000708551945162982,0.999879400780849,8,27,"cerebellum development","BP","turquoise","Day21"
"277","GO:0060378",0.000766022660307927,0.999988294180979,3,4,"regulation of brood size","BP","turquoise","Day21"
"114","GO:0009142",0.000825724421822332,0.999968355396175,4,6,"nucleoside triphosphate biosynthetic process","BP","turquoise","Day21"
"289","GO:0070286",0.000843708772045113,0.99993139654743,5,11,"axonemal dynein complex assembly","BP","turquoise","Day21"
"80","GO:0006726",0.000908491963356136,0.999985251123765,3,4,"eye pigment biosynthetic process","BP","turquoise","Day21"
"81","GO:0006728",0.00108938214518992,1,2,2,"pteridine biosynthetic process","BP","turquoise","Day21"
"98","GO:0007283",0.00154299085176837,0.999211030542806,34,228,"spermatogenesis","BP","turquoise","Day21"
"210","GO:0036158",0.0016442196205835,0.999726052040411,7,22,"outer dynein arm assembly","BP","turquoise","Day21"
"88","GO:0007017",0.00173156141323521,0.999635538837962,8,42,"microtubule-based process","BP","turquoise","Day21"
"94","GO:0007099",0.00179014478796693,0.999764586603977,6,15,"centriole replication","BP","turquoise","Day21"
"142","GO:0021591",0.00195885970962561,0.999617633559833,8,24,"ventricular system development","BP","turquoise","Day21"
"150","GO:0030163",0.00227891435673944,0.999632647010822,6,29,"protein catabolic process","BP","turquoise","Day21"
"170","GO:0031344",0.00256871610017479,1,2,2,"regulation of cell projection organization","BP","turquoise","Day21"
"312","GO:0090398",0.00280988746342983,0.999816884318163,4,7,"cellular senescence","BP","turquoise","Day21"
"157","GO:0030576",0.00281580464340028,0.999931258264523,3,4,"Cajal body organization","BP","turquoise","Day21"
"16","GO:0001736",0.00297398847364745,0.999377297595687,8,24,"establishment of planar polarity","BP","turquoise","Day21"
"339","GO:1902017",0.00320227494359236,0.999504206959561,6,17,"regulation of cilium assembly","BP","turquoise","Day21"
"168","GO:0031285",0.00335402304819968,0.999912676516681,3,4,"regulation of sorocarp stalk cell differentiation","BP","turquoise","Day21"
"250","GO:0048066",0.00345652657304287,0.999646985468232,4,18,"developmental pigmentation","BP","turquoise","Day21"
"203","GO:0035795",0.00350469720306513,1,2,2,"negative regulation of mitochondrial membrane permeability","BP","turquoise","Day21"
"349","GO:1904158",0.00358883281678978,0.999904197392045,3,4,"axonemal central apparatus assembly","BP","turquoise","Day21"
"19","GO:0002064",0.00377431610193452,0.999897348040002,3,4,"epithelial cell development","BP","turquoise","Day21"
"350","GO:1904612",0.0038584321085797,1,1,1,"response to 2,3,7,8-tetrachlorodibenzodioxine","BP","turquoise","Day21"
"281","GO:0061052",0.00388165964738003,0.999797847159879,3,7,"negative regulation of cell growth involved in cardiac muscle cell development","BP","turquoise","Day21"
"357","GO:1990120",0.00394314938210434,1,2,2,"messenger ribonucleoprotein complex assembly","BP","turquoise","Day21"
"86","GO:0006997",0.00437842867337525,0.999639141347559,4,8,"nucleus organization","BP","turquoise","Day21"
"17","GO:0001778",0.00447852323971052,0.999581115606702,4,10,"plasma membrane repair","BP","turquoise","Day21"
"298","GO:0071539",0.00476356046287418,0.999415560292677,5,11,"protein localization to centrosome","BP","turquoise","Day21"
"79","GO:0006662",0.0047832490477613,1,2,2,"glycerol ether metabolic process","BP","turquoise","Day21"
"285","GO:0061512",0.00509093529973112,0.999317340664075,5,13,"protein localization to cilium","BP","turquoise","Day21"
"334","GO:0140289",0.00512825347492911,0.998625934793848,9,36,"protein mono-ADP-ribosylation","BP","turquoise","Day21"
"282","GO:0061122",0.00551841074045378,1,2,2,"positive regulation of positive chemotaxis to cAMP","BP","turquoise","Day21"
"124","GO:0015949",0.00607483848121018,0.999713302184578,3,5,"nucleobase-containing small molecule interconversion","BP","turquoise","Day21"
"25","GO:0003352",0.00692228267916783,1,2,2,"regulation of cilium movement","BP","turquoise","Day21"
"115","GO:0010070",0.00735706153637057,1,1,1,"zygote asymmetric cell division","BP","turquoise","Day21"
"158","GO:0030590",0.00735706153637057,1,1,1,"first cell cycle pseudocleavage","BP","turquoise","Day21"
"236","GO:0045167",0.00735706153637057,1,1,1,"asymmetric protein localization involved in cell fate determination","BP","turquoise","Day21"
"97","GO:0007257",0.00788040016105739,0.998475890574445,6,19,"activation of JUN kinase activity","BP","turquoise","Day21"
"95","GO:0007112",0.00788266337494896,1,2,2,"male meiosis cytokinesis","BP","turquoise","Day21"
"153","GO:0030263",0.00800767684052845,0.999112258848741,4,10,"apoptotic chromosome condensation","BP","turquoise","Day21"
"262","GO:0051493",0.00801501340498129,0.998797062270875,5,13,"regulation of cytoskeleton organization","BP","turquoise","Day21"
"169","GO:0031295",0.009250356360825,0.998311719554148,5,28,"T cell costimulation","BP","turquoise","Day21"
"361","GO:1990573",0.00973940662608862,0.999288314847648,3,7,"potassium ion import across plasma membrane","BP","turquoise","Day21"
"141","GO:0021572",0.00987185219436396,1,1,1,"rhombomere 6 development","BP","turquoise","Day21"
"264","GO:0051988",0.0101034270276479,0.999319130106947,3,6,"regulation of attachment of spindle microtubules to kinetochore","BP","turquoise","Day21"
"18","GO:0001835",0.0102248167812995,0.998291980558108,5,15,"blastocyst hatching","BP","turquoise","Day21"
"6","GO:0000379",0.010294912461218,0.999786509111344,2,3,"tRNA-type intron splice site recognition and cleavage","BP","turquoise","Day21"
"304","GO:0071907",0.0103822657522313,0.999400223905485,3,5,"determination of digestive tract left/right asymmetry","BP","turquoise","Day21"
"200","GO:0035721",0.0104584083330293,0.998803930614071,4,9,"intraciliary retrograde transport","BP","turquoise","Day21"
"215","GO:0042048",0.010500313365581,0.998133973474681,5,19,"olfactory behavior","BP","turquoise","Day21"
"117","GO:0010650",0.0105681183123773,0.998139288772289,5,18,"positive regulation of cell communication by electrical coupling","BP","turquoise","Day21"
"185","GO:0034112",0.0105681183123773,0.998139288772289,5,18,"positive regulation of homotypic cell-cell adhesion","BP","turquoise","Day21"
"301","GO:0071709",0.0105681183123773,0.998139288772289,5,18,"membrane assembly","BP","turquoise","Day21"
"336","GO:1900827",0.0105681183123773,0.998139288772289,5,18,"positive regulation of membrane depolarization during cardiac muscle cell action potential","BP","turquoise","Day21"
"288","GO:0070212",0.0107805491649667,0.996693333241561,9,40,"protein poly-ADP-ribosylation","BP","turquoise","Day21"
"125","GO:0015969",0.0108497412646054,0.997968560817355,5,25,"guanosine tetraphosphate metabolic process","BP","turquoise","Day21"
"239","GO:0045454",0.0108559214943362,0.996593423727623,9,49,"cell redox homeostasis","BP","turquoise","Day21"
"204","GO:0035845",0.0114909170785245,0.999309868020411,3,5,"photoreceptor cell outer segment organization","BP","turquoise","Day21"
"139","GO:0021532",0.0115342411705902,0.999306263811926,3,5,"neural tube patterning","BP","turquoise","Day21"
"245","GO:0045838",0.0132486974860402,0.997458164713957,5,21,"positive regulation of membrane potential","BP","turquoise","Day21"
"261","GO:0051299",0.0133459393068039,1,2,2,"centrosome separation","BP","turquoise","Day21"
"307","GO:0072666",0.0134544142110665,0.99967809706036,2,3,"establishment of protein localization to vacuole","BP","turquoise","Day21"
"344","GO:1902260",0.0135813982085154,0.997399726937703,5,20,"negative regulation of delayed rectifier potassium channel activity","BP","turquoise","Day21"
"91","GO:0007051",0.0136255609593915,0.998869702273797,3,7,"spindle organization","BP","turquoise","Day21"
"310","GO:0090314",0.0136503316032063,0.996836905096624,6,26,"positive regulation of protein targeting to membrane","BP","turquoise","Day21"
"341","GO:1902187",0.0139939530431674,0.999520459991678,2,4,"negative regulation of viral release from host cell","BP","turquoise","Day21"
"26","GO:0003356",0.0141634695269393,1,2,2,"regulation of cilium beat frequency","BP","turquoise","Day21"
"246","GO:0046314",0.0141748063354063,0.999651221372642,2,3,"phosphocreatine biosynthetic process","BP","turquoise","Day21"
