"","slim_term","slim_cat","GO_count","GO_terms","GO_list","Gene_count","Gene_IDs","module_day"
"1","nuclease activity","GO:0004518",1,"GO:0000213","GO:0000213",2,"PGEN_.00g299320;PGEN_.00g306010","Day21_turquoise"
"2","DNA binding","GO:0003677",2,"GO:0001046","GO:0001046",2,"PGEN_.00g187250;PGEN_.00g214430","Day21_turquoise"
"3","transcription factor binding","GO:0008134",1,"GO:0001103","GO:0001103",4,"PGEN_.00g015730;PGEN_.00g015860;PGEN_.00g094000;PGEN_.00g179830","Day21_turquoise"
"4","enzyme regulator activity","GO:0030234",2,"GO:0001671","GO:0001671;GO:0005092",5,"PGEN_.00g011560;PGEN_.00g021180;PGEN_.00g023070;PGEN_.00g147650;PGEN_.00g227670","Day21_turquoise"
"5","transferase activity, transferring ...","GO:0016757",2,"GO:0003810","GO:0003950;GO:1990404",10,"PGEN_.00g165850;PGEN_.00g177090;PGEN_.00g206220;PGEN_.00g245100;PGEN_.00g246750;PGEN_.00g247060;PGEN_.00g250040;PGEN_.00g250530;PGEN_.00g258830;PGEN_.00g316150","Day21_turquoise"
"6","transferase activity, transferring ...","GO:0016746",1,"GO:0003810","GO:0003810",5,"PGEN_.00g172220;PGEN_.00g177350;PGEN_.00g177380;PGEN_.00g184420;PGEN_.00g280940","Day21_turquoise"
"7","transferase activity, transferring ...","GO:0016765",0,"GO:0003810","",0,"","Day21_turquoise"
"8","kinase activity","GO:0016301",5,"GO:0004017","GO:0004017;GO:0004111;GO:0004127;GO:0004550;GO:0004674",61,"PGEN_.00g014120;PGEN_.00g016290;PGEN_.00g017180;PGEN_.00g030920;PGEN_.00g034620;PGEN_.00g035180;PGEN_.00g046220;PGEN_.00g053030;PGEN_.00g056490;PGEN_.00g056780;PGEN_.00g062320;PGEN_.00g062370;PGEN_.00g063840;PGEN_.00g069090;PGEN_.00g072020;PGEN_.00g079740;PGEN_.00g085690;PGEN_.00g089320;PGEN_.00g095260;PGEN_.00g098860;PGEN_.00g117650;PGEN_.00g130130;PGEN_.00g130200;PGEN_.00g138680;PGEN_.00g140080;PGEN_.00g144640;PGEN_.00g147680;PGEN_.00g175740;PGEN_.00g177910;PGEN_.00g184290;PGEN_.00g184640;PGEN_.00g197620;PGEN_.00g197710;PGEN_.00g200450;PGEN_.00g212730;PGEN_.00g213430;PGEN_.00g216710;PGEN_.00g220300;PGEN_.00g223690;PGEN_.00g224420;PGEN_.00g229460;PGEN_.00g231150;PGEN_.00g231160;PGEN_.00g251160;PGEN_.00g258910;PGEN_.00g258920;PGEN_.00g264480;PGEN_.00g266550;PGEN_.00g274340;PGEN_.00g275460;PGEN_.00g281870;PGEN_.00g281890;PGEN_.00g282580;PGEN_.00g287520;PGEN_.00g293460;PGEN_.00g316320;PGEN_.00g322810;PGEN_.00g332760;PGEN_.00g332770;PGEN_.00g337470;PGEN_.00g337480","Day21_turquoise"
"9","peptidase activity","GO:0008233",3,"GO:0004298","GO:0004298;GO:0008235;GO:0070140",7,"PGEN_.00g019780;PGEN_.00g023620;PGEN_.00g076290;PGEN_.00g187440;PGEN_.00g255080;PGEN_.00g269110;PGEN_.00g301730","Day21_turquoise"
"10","phosphatase activity","GO:0016791",1,"GO:0004721","GO:0004721",9,"PGEN_.00g008550;PGEN_.00g031200;PGEN_.00g056490;PGEN_.00g062370;PGEN_.00g079740;PGEN_.00g132050;PGEN_.00g200450;PGEN_.00g322810;PGEN_.00g325950","Day21_turquoise"
"11","oxidoreductase activity","GO:0016491",2,"GO:0004734","GO:0004734;GO:0045174",2,"PGEN_.00g169390;PGEN_.00g173750","Day21_turquoise"
"12","structural molecule activity","GO:0005198",1,"GO:0005200","GO:0005200",15,"PGEN_.00g017720;PGEN_.00g045220;PGEN_.00g088500;PGEN_.00g102540;PGEN_.00g103610;PGEN_.00g104410;PGEN_.00g153140;PGEN_.00g162860;PGEN_.00g168190;PGEN_.00g191700;PGEN_.00g223910;PGEN_.00g224180;PGEN_.00g233610;PGEN_.00g274560;PGEN_.00g336900","Day21_turquoise"
