"","GO_terms","X","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology","moduleColor","Day","slim_term","Gene_IDs"
"1","GO:0000086",12,0.000430222649590014,0.999896408648243,12,46,"G2/M transition of mitotic cell cycle","BP","turquoise","Day21","mitotic cell cycle","PGEN_.00g011250;PGEN_.00g011280;PGEN_.00g017180;PGEN_.00g017720;PGEN_.00g022310;PGEN_.00g022610;PGEN_.00g056490;PGEN_.00g062370;PGEN_.00g074100;PGEN_.00g074110;PGEN_.00g079740;PGEN_.00g088500;PGEN_.00g093580;PGEN_.00g103610;PGEN_.00g115710;PGEN_.00g153140;PGEN_.00g160920;PGEN_.00g179830;PGEN_.00g186690;PGEN_.00g187600;PGEN_.00g193920;PGEN_.00g200450;PGEN_.00g236860;PGEN_.00g261750;PGEN_.00g274200;PGEN_.00g277450;PGEN_.00g280370;PGEN_.00g290540;PGEN_.00g307570;PGEN_.00g307980;PGEN_.00g322810;PGEN_.00g336900"
"2","GO:0000086",12,0.000430222649590014,0.999896408648243,12,46,"G2/M transition of mitotic cell cycle","BP","turquoise","Day21","cell cycle","PGEN_.00g011250;PGEN_.00g011280;PGEN_.00g017180;PGEN_.00g017720;PGEN_.00g022310;PGEN_.00g022610;PGEN_.00g056490;PGEN_.00g062370;PGEN_.00g074100;PGEN_.00g074110;PGEN_.00g079740;PGEN_.00g088500;PGEN_.00g093580;PGEN_.00g103610;PGEN_.00g115710;PGEN_.00g153140;PGEN_.00g160920;PGEN_.00g179830;PGEN_.00g186690;PGEN_.00g187600;PGEN_.00g193920;PGEN_.00g200450;PGEN_.00g236860;PGEN_.00g261750;PGEN_.00g274200;PGEN_.00g277450;PGEN_.00g280370;PGEN_.00g290540;PGEN_.00g307570;PGEN_.00g307980;PGEN_.00g322810;PGEN_.00g336900"
"3","GO:0000281",10,0.000144749531414186,0.999954504506428,19,89,"mitotic cytokinesis","BP","turquoise","Day21","cell division","PGEN_.00g017720;PGEN_.00g022310;PGEN_.00g022610;PGEN_.00g056490;PGEN_.00g062370;PGEN_.00g079740;PGEN_.00g088500;PGEN_.00g093580;PGEN_.00g103610;PGEN_.00g153140;PGEN_.00g179830;PGEN_.00g186690;PGEN_.00g200450;PGEN_.00g236860;PGEN_.00g290540;PGEN_.00g307570;PGEN_.00g307980;PGEN_.00g322810;PGEN_.00g336900"
"4","GO:0000281",10,0.000144749531414186,0.999954504506428,19,89,"mitotic cytokinesis","BP","turquoise","Day21","mitotic cell cycle","PGEN_.00g011250;PGEN_.00g011280;PGEN_.00g017180;PGEN_.00g017720;PGEN_.00g022310;PGEN_.00g022610;PGEN_.00g056490;PGEN_.00g062370;PGEN_.00g074100;PGEN_.00g074110;PGEN_.00g079740;PGEN_.00g088500;PGEN_.00g093580;PGEN_.00g103610;PGEN_.00g115710;PGEN_.00g153140;PGEN_.00g160920;PGEN_.00g179830;PGEN_.00g186690;PGEN_.00g187600;PGEN_.00g193920;PGEN_.00g200450;PGEN_.00g236860;PGEN_.00g261750;PGEN_.00g274200;PGEN_.00g277450;PGEN_.00g280370;PGEN_.00g290540;PGEN_.00g307570;PGEN_.00g307980;PGEN_.00g322810;PGEN_.00g336900"
"5","GO:0000281",10,0.000144749531414186,0.999954504506428,19,89,"mitotic cytokinesis","BP","turquoise","Day21","cell cycle","PGEN_.00g011250;PGEN_.00g011280;PGEN_.00g017180;PGEN_.00g017720;PGEN_.00g022310;PGEN_.00g022610;PGEN_.00g056490;PGEN_.00g062370;PGEN_.00g074100;PGEN_.00g074110;PGEN_.00g079740;PGEN_.00g088500;PGEN_.00g093580;PGEN_.00g103610;PGEN_.00g115710;PGEN_.00g153140;PGEN_.00g160920;PGEN_.00g179830;PGEN_.00g186690;PGEN_.00g187600;PGEN_.00g193920;PGEN_.00g200450;PGEN_.00g236860;PGEN_.00g261750;PGEN_.00g274200;PGEN_.00g277450;PGEN_.00g280370;PGEN_.00g290540;PGEN_.00g307570;PGEN_.00g307980;PGEN_.00g322810;PGEN_.00g336900"
"6","GO:0006355",18,0.0355310465237711,0.976676981775471,36,401,"regulation of transcription, DNA-templated","BP","turquoise","Day21","biosynthetic process","PGEN_.00g013290;PGEN_.00g052920;PGEN_.00g055260;PGEN_.00g068110;PGEN_.00g072990;PGEN_.00g110140;PGEN_.00g122260;PGEN_.00g143150;PGEN_.00g145380;PGEN_.00g150980;PGEN_.00g161110;PGEN_.00g168650;PGEN_.00g168950;PGEN_.00g179160;PGEN_.00g187570;PGEN_.00g205940;PGEN_.00g209890;PGEN_.00g210470;PGEN_.00g216090;PGEN_.00g219730;PGEN_.00g230790;PGEN_.00g241350;PGEN_.00g247980;PGEN_.00g251300;PGEN_.00g251490;PGEN_.00g258910;PGEN_.00g258920;PGEN_.00g265470;PGEN_.00g273730;PGEN_.00g275120;PGEN_.00g282230;PGEN_.00g302170;PGEN_.00g303180;PGEN_.00g305950;PGEN_.00g317310;PGEN_.00g345660"
"7","GO:0006355",18,0.0355310465237711,0.976676981775471,36,401,"regulation of transcription, DNA-templated","BP","turquoise","Day21","cellular nitrogen compound metaboli...","PGEN_.00g013290;PGEN_.00g052920;PGEN_.00g055260;PGEN_.00g059760;PGEN_.00g068110;PGEN_.00g072990;PGEN_.00g110140;PGEN_.00g122260;PGEN_.00g128750;PGEN_.00g143150;PGEN_.00g145380;PGEN_.00g150980;PGEN_.00g153800;PGEN_.00g161110;PGEN_.00g168650;PGEN_.00g168950;PGEN_.00g176230;PGEN_.00g179160;PGEN_.00g183970;PGEN_.00g187250;PGEN_.00g187570;PGEN_.00g205940;PGEN_.00g209890;PGEN_.00g210470;PGEN_.00g216090;PGEN_.00g219730;PGEN_.00g230790;PGEN_.00g241350;PGEN_.00g245850;PGEN_.00g247980;PGEN_.00g251300;PGEN_.00g251490;PGEN_.00g258910;PGEN_.00g258920;PGEN_.00g261650;PGEN_.00g265470;PGEN_.00g273730;PGEN_.00g275120;PGEN_.00g282230;PGEN_.00g299320;PGEN_.00g302170;PGEN_.00g303180;PGEN_.00g303290;PGEN_.00g305950;PGEN_.00g306010;PGEN_.00g306850;PGEN_.00g317310;PGEN_.00g331890;PGEN_.00g345660"
"8","GO:0006397",15,0.0239256490012445,0.988106343234197,17,116,"mRNA processing","BP","turquoise","Day21","cellular nitrogen compound metaboli...","PGEN_.00g013290;PGEN_.00g052920;PGEN_.00g055260;PGEN_.00g059760;PGEN_.00g068110;PGEN_.00g072990;PGEN_.00g110140;PGEN_.00g122260;PGEN_.00g128750;PGEN_.00g143150;PGEN_.00g145380;PGEN_.00g150980;PGEN_.00g153800;PGEN_.00g161110;PGEN_.00g168650;PGEN_.00g168950;PGEN_.00g176230;PGEN_.00g179160;PGEN_.00g183970;PGEN_.00g187250;PGEN_.00g187570;PGEN_.00g205940;PGEN_.00g209890;PGEN_.00g210470;PGEN_.00g216090;PGEN_.00g219730;PGEN_.00g230790;PGEN_.00g241350;PGEN_.00g245850;PGEN_.00g247980;PGEN_.00g251300;PGEN_.00g251490;PGEN_.00g258910;PGEN_.00g258920;PGEN_.00g261650;PGEN_.00g265470;PGEN_.00g273730;PGEN_.00g275120;PGEN_.00g282230;PGEN_.00g299320;PGEN_.00g302170;PGEN_.00g303180;PGEN_.00g303290;PGEN_.00g305950;PGEN_.00g306010;PGEN_.00g306850;PGEN_.00g317310;PGEN_.00g331890;PGEN_.00g345660"
"9","GO:0006468",19,0.0391542199202639,0.975404935906775,30,229,"protein phosphorylation","BP","turquoise","Day21","cellular protein modification proce...","PGEN_.00g016290;PGEN_.00g017180;PGEN_.00g019780;PGEN_.00g030920;PGEN_.00g048910;PGEN_.00g053030;PGEN_.00g056190;PGEN_.00g056780;PGEN_.00g070350;PGEN_.00g071580;PGEN_.00g072550;PGEN_.00g076010;PGEN_.00g082600;PGEN_.00g091490;PGEN_.00g091700;PGEN_.00g138680;PGEN_.00g140080;PGEN_.00g152540;PGEN_.00g175740;PGEN_.00g177910;PGEN_.00g184290;PGEN_.00g196870;PGEN_.00g197620;PGEN_.00g200570;PGEN_.00g201170;PGEN_.00g210470;PGEN_.00g213430;PGEN_.00g216290;PGEN_.00g216300;PGEN_.00g216710;PGEN_.00g220300;PGEN_.00g223690;PGEN_.00g224420;PGEN_.00g239070;PGEN_.00g251160;PGEN_.00g258910;PGEN_.00g258920;PGEN_.00g264480;PGEN_.00g274340;PGEN_.00g275460;PGEN_.00g293460;PGEN_.00g305470;PGEN_.00g316320;PGEN_.00g328060;PGEN_.00g337480"
"10","GO:0007224",11,0.000353624808070591,0.999924007377285,11,39,"smoothened signaling pathway","BP","turquoise","Day21","signal transduction","PGEN_.00g018800;PGEN_.00g022300;PGEN_.00g022310;PGEN_.00g022600;PGEN_.00g022610;PGEN_.00g022630;PGEN_.00g025410;PGEN_.00g030580;PGEN_.00g033270;PGEN_.00g069950;PGEN_.00g073720;PGEN_.00g094000;PGEN_.00g098290;PGEN_.00g102670;PGEN_.00g185790;PGEN_.00g223690;PGEN_.00g224420;PGEN_.00g224960;PGEN_.00g236110;PGEN_.00g257450;PGEN_.00g289770;PGEN_.00g297760"
"11","GO:0007283",13,0.00154299085176837,0.999211030542806,34,228,"spermatogenesis","BP","turquoise","Day21","reproduction","PGEN_.00g008540;PGEN_.00g021670;PGEN_.00g022690;PGEN_.00g022750;PGEN_.00g025510;PGEN_.00g025530;PGEN_.00g035180;PGEN_.00g037170;PGEN_.00g044930;PGEN_.00g047390;PGEN_.00g048660;PGEN_.00g048730;PGEN_.00g048740;PGEN_.00g053950;PGEN_.00g058280;PGEN_.00g059540;PGEN_.00g068110;PGEN_.00g070750;PGEN_.00g071580;PGEN_.00g073720;PGEN_.00g095630;PGEN_.00g102260;PGEN_.00g114870;PGEN_.00g114880;PGEN_.00g127630;PGEN_.00g131020;PGEN_.00g141080;PGEN_.00g153660;PGEN_.00g178340;PGEN_.00g183010;PGEN_.00g183200;PGEN_.00g183970;PGEN_.00g189470;PGEN_.00g191700;PGEN_.00g196810;PGEN_.00g198540;PGEN_.00g199160;PGEN_.00g200710;PGEN_.00g213680;PGEN_.00g215100;PGEN_.00g221670;PGEN_.00g231230;PGEN_.00g233420;PGEN_.00g240610;PGEN_.00g253560;PGEN_.00g253570;PGEN_.00g253580;PGEN_.00g261330;PGEN_.00g271840;PGEN_.00g282870;PGEN_.00g303270;PGEN_.00g305470;PGEN_.00g324560;PGEN_.00g332760;PGEN_.00g332770"
"12","GO:0007288",5,5.41393876356104e-09,0.9999999997258,12,19,"sperm axoneme assembly","BP","turquoise","Day21","cytoskeleton organization","PGEN_.00g058280;PGEN_.00g059540;PGEN_.00g073720;PGEN_.00g114870;PGEN_.00g114880;PGEN_.00g127630;PGEN_.00g240610;PGEN_.00g253560;PGEN_.00g253570;PGEN_.00g253580;PGEN_.00g261330;PGEN_.00g282870"
"13","GO:0007288",5,5.41393876356104e-09,0.9999999997258,12,19,"sperm axoneme assembly","BP","turquoise","Day21","cellular component assembly","PGEN_.00g001890;PGEN_.00g004260;PGEN_.00g011250;PGEN_.00g011280;PGEN_.00g015730;PGEN_.00g016290;PGEN_.00g017180;PGEN_.00g020270;PGEN_.00g025760;PGEN_.00g026930;PGEN_.00g031040;PGEN_.00g035180;PGEN_.00g037170;PGEN_.00g039960;PGEN_.00g045420;PGEN_.00g049630;PGEN_.00g052920;PGEN_.00g053950;PGEN_.00g055700;PGEN_.00g058280;PGEN_.00g059110;PGEN_.00g059540;PGEN_.00g061810;PGEN_.00g061850;PGEN_.00g070750;PGEN_.00g073720;PGEN_.00g074100;PGEN_.00g074110;PGEN_.00g076140;PGEN_.00g088690;PGEN_.00g089330;PGEN_.00g094000;PGEN_.00g098290;PGEN_.00g099600;PGEN_.00g108780;PGEN_.00g111680;PGEN_.00g114870;PGEN_.00g114880;PGEN_.00g115710;PGEN_.00g121150;PGEN_.00g127630;PGEN_.00g147680;PGEN_.00g153660;PGEN_.00g160910;PGEN_.00g160920;PGEN_.00g166200;PGEN_.00g168500;PGEN_.00g169770;PGEN_.00g173900;PGEN_.00g178340;PGEN_.00g179830;PGEN_.00g185180;PGEN_.00g185790;PGEN_.00g187600;PGEN_.00g189030;PGEN_.00g193840;PGEN_.00g193920;PGEN_.00g217170;PGEN_.00g224960;PGEN_.00g233420;PGEN_.00g236110;PGEN_.00g240610;PGEN_.00g253560;PGEN_.00g253570;PGEN_.00g253580;PGEN_.00g259900;PGEN_.00g260530;PGEN_.00g261330;PGEN_.00g266580;PGEN_.00g274200;PGEN_.00g277450;PGEN_.00g282870;PGEN_.00g289770;PGEN_.00g290540;PGEN_.00g332130"
"14","GO:0007288",5,5.41393876356104e-09,0.9999999997258,12,19,"sperm axoneme assembly","BP","turquoise","Day21","reproduction","PGEN_.00g008540;PGEN_.00g021670;PGEN_.00g022690;PGEN_.00g022750;PGEN_.00g025510;PGEN_.00g025530;PGEN_.00g035180;PGEN_.00g037170;PGEN_.00g044930;PGEN_.00g047390;PGEN_.00g048660;PGEN_.00g048730;PGEN_.00g048740;PGEN_.00g053950;PGEN_.00g058280;PGEN_.00g059540;PGEN_.00g068110;PGEN_.00g070750;PGEN_.00g071580;PGEN_.00g073720;PGEN_.00g095630;PGEN_.00g102260;PGEN_.00g114870;PGEN_.00g114880;PGEN_.00g127630;PGEN_.00g131020;PGEN_.00g141080;PGEN_.00g153660;PGEN_.00g178340;PGEN_.00g183010;PGEN_.00g183200;PGEN_.00g183970;PGEN_.00g189470;PGEN_.00g191700;PGEN_.00g196810;PGEN_.00g198540;PGEN_.00g199160;PGEN_.00g200710;PGEN_.00g213680;PGEN_.00g215100;PGEN_.00g221670;PGEN_.00g231230;PGEN_.00g233420;PGEN_.00g240610;PGEN_.00g253560;PGEN_.00g253570;PGEN_.00g253580;PGEN_.00g261330;PGEN_.00g271840;PGEN_.00g282870;PGEN_.00g303270;PGEN_.00g305470;PGEN_.00g324560;PGEN_.00g332760;PGEN_.00g332770"
