"","GO_terms","X","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology","moduleColor","Day","slim_term","Gene_IDs"
"1","GO:0000062",148,0.0225055215359825,0.997342349423566,3,11,"fatty-acyl-CoA binding","MF","blue","Day21","ion binding","PGEN_.00g000300;PGEN_.00g000490;PGEN_.00g000600;PGEN_.00g002680;PGEN_.00g002760;PGEN_.00g003090;PGEN_.00g003940;PGEN_.00g004840;PGEN_.00g004870;PGEN_.00g006490;PGEN_.00g009970;PGEN_.00g011740;PGEN_.00g013550;PGEN_.00g014020;PGEN_.00g014860;PGEN_.00g017010;PGEN_.00g017170;PGEN_.00g017530;PGEN_.00g017830;PGEN_.00g017980;PGEN_.00g018460;PGEN_.00g023670;PGEN_.00g024130;PGEN_.00g025110;PGEN_.00g025590;PGEN_.00g026170;PGEN_.00g031520;PGEN_.00g032130;PGEN_.00g032460;PGEN_.00g033560;PGEN_.00g038510;PGEN_.00g040080;PGEN_.00g040090;PGEN_.00g041430;PGEN_.00g041740;PGEN_.00g043360;PGEN_.00g043370;PGEN_.00g047170;PGEN_.00g047680;PGEN_.00g048930;PGEN_.00g049840;PGEN_.00g050530;PGEN_.00g050570;PGEN_.00g051140;PGEN_.00g053600;PGEN_.00g055980;PGEN_.00g056450;PGEN_.00g056590;PGEN_.00g057680;PGEN_.00g060060;PGEN_.00g061390;PGEN_.00g061400;PGEN_.00g062480;PGEN_.00g064220;PGEN_.00g064470;PGEN_.00g067070;PGEN_.00g070090;PGEN_.00g070150;PGEN_.00g072320;PGEN_.00g073500;PGEN_.00g073560;PGEN_.00g074930;PGEN_.00g075840;PGEN_.00g075970;PGEN_.00g077860;PGEN_.00g079680;PGEN_.00g080000;PGEN_.00g085050;PGEN_.00g086200;PGEN_.00g086450;PGEN_.00g088990;PGEN_.00g090590;PGEN_.00g091340;PGEN_.00g091510;PGEN_.00g096340;PGEN_.00g100450;PGEN_.00g108790;PGEN_.00g108800;PGEN_.00g108830;PGEN_.00g108860;PGEN_.00g110700;PGEN_.00g112000;PGEN_.00g113860;PGEN_.00g114200;PGEN_.00g115890;PGEN_.00g117940;PGEN_.00g118320;PGEN_.00g122780;PGEN_.00g125580;PGEN_.00g127760;PGEN_.00g129410;PGEN_.00g131030;PGEN_.00g131820;PGEN_.00g132070;PGEN_.00g132090;PGEN_.00g132260;PGEN_.00g133130;PGEN_.00g133550;PGEN_.00g133560;PGEN_.00g135600;PGEN_.00g135620;PGEN_.00g136910;PGEN_.00g136960;PGEN_.00g140560;PGEN_.00g141520;PGEN_.00g142080;PGEN_.00g143200;PGEN_.00g143240;PGEN_.00g145560;PGEN_.00g145620;PGEN_.00g149360;PGEN_.00g153300;PGEN_.00g153420;PGEN_.00g153630;PGEN_.00g153790;PGEN_.00g156260;PGEN_.00g158920;PGEN_.00g162260;PGEN_.00g163440;PGEN_.00g164540;PGEN_.00g164550;PGEN_.00g164650;PGEN_.00g164660;PGEN_.00g164700;PGEN_.00g166570;PGEN_.00g166860;PGEN_.00g166930;PGEN_.00g170390;PGEN_.00g170870;PGEN_.00g171900;PGEN_.00g172160;PGEN_.00g172700;PGEN_.00g174890;PGEN_.00g175610;PGEN_.00g176990;PGEN_.00g177440;PGEN_.00g177850;PGEN_.00g179510;PGEN_.00g179690;PGEN_.00g181500;PGEN_.00g181780;PGEN_.00g182480;PGEN_.00g187590;PGEN_.00g188370;PGEN_.00g189660;PGEN_.00g191640;PGEN_.00g192770;PGEN_.00g192790;PGEN_.00g192910;PGEN_.00g193090;PGEN_.00g193120;PGEN_.00g195250;PGEN_.00g196040;PGEN_.00g198530;PGEN_.00g199700;PGEN_.00g201440;PGEN_.00g201650;PGEN_.00g204450;PGEN_.00g205320;PGEN_.00g205330;PGEN_.00g208710;PGEN_.00g210520;PGEN_.00g211680;PGEN_.00g212630;PGEN_.00g212870;PGEN_.00g213370;PGEN_.00g213610;PGEN_.00g214340;PGEN_.00g214570;PGEN_.00g214740;PGEN_.00g215270;PGEN_.00g215660;PGEN_.00g215680;PGEN_.00g219400;PGEN_.00g220190;PGEN_.00g221090;PGEN_.00g221300;PGEN_.00g221990;PGEN_.00g222080;PGEN_.00g222130;PGEN_.00g224320;PGEN_.00g224340;PGEN_.00g226990;PGEN_.00g227060;PGEN_.00g229230;PGEN_.00g235430;PGEN_.00g237580;PGEN_.00g237620;PGEN_.00g240650;PGEN_.00g242070;PGEN_.00g243590;PGEN_.00g244190;PGEN_.00g245730;PGEN_.00g246740;PGEN_.00g249870;PGEN_.00g250920;PGEN_.00g251460;PGEN_.00g251580;PGEN_.00g253900;PGEN_.00g254890;PGEN_.00g255570;PGEN_.00g255890;PGEN_.00g257690;PGEN_.00g257740;PGEN_.00g258020;PGEN_.00g258820;PGEN_.00g259260;PGEN_.00g260720;PGEN_.00g262820;PGEN_.00g262850;PGEN_.00g263240;PGEN_.00g268580;PGEN_.00g268810;PGEN_.00g268840;PGEN_.00g268970;PGEN_.00g271910;PGEN_.00g272730;PGEN_.00g275350;PGEN_.00g275950;PGEN_.00g276360;PGEN_.00g277250;PGEN_.00g279430;PGEN_.00g281640;PGEN_.00g284520;PGEN_.00g286040;PGEN_.00g286650;PGEN_.00g287710;PGEN_.00g290440;PGEN_.00g291330;PGEN_.00g291860;PGEN_.00g294130;PGEN_.00g294190;PGEN_.00g299560;PGEN_.00g303150;PGEN_.00g304070;PGEN_.00g305230;PGEN_.00g305330;PGEN_.00g307120;PGEN_.00g308130;PGEN_.00g308430;PGEN_.00g308530;PGEN_.00g311070;PGEN_.00g311250;PGEN_.00g311290;PGEN_.00g311720;PGEN_.00g313690;PGEN_.00g313720;PGEN_.00g317030;PGEN_.00g317870;PGEN_.00g318710;PGEN_.00g319860;PGEN_.00g320290;PGEN_.00g320430;PGEN_.00g321220;PGEN_.00g321960;PGEN_.00g325090;PGEN_.00g326130;PGEN_.00g326890;PGEN_.00g328840;PGEN_.00g329130;PGEN_.00g329150;PGEN_.00g332620;PGEN_.00g334430;PGEN_.00g334660;PGEN_.00g339700;PGEN_.00g340820;PGEN_.00g343370;PGEN_.00g344510;PGEN_.00g345170;PGEN_.00g345220;PGEN_.00g345620;PGEN_.00g347870;PGEN_.00g347940"
"2","GO:0003779",136,0.0124594247496518,0.993259718617731,26,166,"actin binding","MF","blue","Day21","cytoskeletal protein binding","PGEN_.00g005660;PGEN_.00g009370;PGEN_.00g024130;PGEN_.00g042280;PGEN_.00g043360;PGEN_.00g043370;PGEN_.00g054990;PGEN_.00g055460;PGEN_.00g075970;PGEN_.00g080030;PGEN_.00g099510;PGEN_.00g113630;PGEN_.00g125950;PGEN_.00g131030;PGEN_.00g147960;PGEN_.00g164700;PGEN_.00g166860;PGEN_.00g171350;PGEN_.00g205030;PGEN_.00g210520;PGEN_.00g212320;PGEN_.00g213610;PGEN_.00g237660;PGEN_.00g257240;PGEN_.00g257250;PGEN_.00g259260;PGEN_.00g282910;PGEN_.00g287710;PGEN_.00g306890;PGEN_.00g329130;PGEN_.00g329150"
"3","GO:0003997",164,0.0343722597235782,0.998081392577632,2,4,"acyl-CoA oxidase activity","MF","blue","Day21","oxidoreductase activity","PGEN_.00g031220;PGEN_.00g038920;PGEN_.00g048930;PGEN_.00g055210;PGEN_.00g130000;PGEN_.00g133410;PGEN_.00g135600;PGEN_.00g169450;PGEN_.00g189040;PGEN_.00g196600;PGEN_.00g203570;PGEN_.00g209790;PGEN_.00g210960;PGEN_.00g213740;PGEN_.00g231830;PGEN_.00g231870;PGEN_.00g264440;PGEN_.00g270000;PGEN_.00g275220;PGEN_.00g300030;PGEN_.00g311290;PGEN_.00g318540;PGEN_.00g325710"
"4","GO:0004022",165,0.0347719756512282,0.998046581152275,2,4,"alcohol dehydrogenase (NAD+) activity","MF","blue","Day21","oxidoreductase activity","PGEN_.00g031220;PGEN_.00g038920;PGEN_.00g048930;PGEN_.00g055210;PGEN_.00g130000;PGEN_.00g133410;PGEN_.00g135600;PGEN_.00g169450;PGEN_.00g189040;PGEN_.00g196600;PGEN_.00g203570;PGEN_.00g209790;PGEN_.00g210960;PGEN_.00g213740;PGEN_.00g231830;PGEN_.00g231870;PGEN_.00g264440;PGEN_.00g270000;PGEN_.00g275220;PGEN_.00g300030;PGEN_.00g311290;PGEN_.00g318540;PGEN_.00g325710"
"5","GO:0004040",161,0.0328612768106126,0.998210878237159,2,4,"amidase activity","MF","blue","Day21","hydrolase activity, acting on carbo...","PGEN_.00g270820;PGEN_.00g273260"
"6","GO:0004090",160,0.0321655394482185,0.995146766854928,3,22,"carbonyl reductase (NADPH) activity","MF","blue","Day21","oxidoreductase activity","PGEN_.00g031220;PGEN_.00g038920;PGEN_.00g048930;PGEN_.00g055210;PGEN_.00g130000;PGEN_.00g133410;PGEN_.00g135600;PGEN_.00g169450;PGEN_.00g189040;PGEN_.00g196600;PGEN_.00g203570;PGEN_.00g209790;PGEN_.00g210960;PGEN_.00g213740;PGEN_.00g231830;PGEN_.00g231870;PGEN_.00g264440;PGEN_.00g270000;PGEN_.00g275220;PGEN_.00g300030;PGEN_.00g311290;PGEN_.00g318540;PGEN_.00g325710"
"7","GO:0004103",126,0.00388912913831991,1,2,2,"choline kinase activity","MF","blue","Day21","kinase activity","PGEN_.00g165780;PGEN_.00g165790;PGEN_.00g329130;PGEN_.00g329150"
"8","GO:0004197",115,0.000153057936963129,0.999958988001503,15,75,"cysteine-type endopeptidase activity","MF","blue","Day21","peptidase activity","PGEN_.00g003240;PGEN_.00g006380;PGEN_.00g009930;PGEN_.00g025650;PGEN_.00g033640;PGEN_.00g047200;PGEN_.00g049840;PGEN_.00g057170;PGEN_.00g057190;PGEN_.00g103520;PGEN_.00g115590;PGEN_.00g133550;PGEN_.00g133560;PGEN_.00g153860;PGEN_.00g164540;PGEN_.00g164550;PGEN_.00g164650;PGEN_.00g164660;PGEN_.00g172700;PGEN_.00g193090;PGEN_.00g193120;PGEN_.00g199810;PGEN_.00g205320;PGEN_.00g205330;PGEN_.00g205720;PGEN_.00g208780;PGEN_.00g214340;PGEN_.00g228920;PGEN_.00g238800;PGEN_.00g239060;PGEN_.00g244190;PGEN_.00g257690;PGEN_.00g259910;PGEN_.00g260520;PGEN_.00g271920;PGEN_.00g272650;PGEN_.00g279430;PGEN_.00g279510;PGEN_.00g291850;PGEN_.00g291860;PGEN_.00g298200;PGEN_.00g298410;PGEN_.00g302380;PGEN_.00g321220;PGEN_.00g323120;PGEN_.00g326890;PGEN_.00g331110;PGEN_.00g334660;PGEN_.00g339700;PGEN_.00g345610;PGEN_.00g345680;PGEN_.00g348220;PGEN_.00g348570"
"9","GO:0004222",129,0.00553958119473513,0.997432434021806,21,131,"metalloendopeptidase activity","MF","blue","Day21","peptidase activity","PGEN_.00g003240;PGEN_.00g006380;PGEN_.00g009930;PGEN_.00g025650;PGEN_.00g033640;PGEN_.00g047200;PGEN_.00g049840;PGEN_.00g057170;PGEN_.00g057190;PGEN_.00g103520;PGEN_.00g115590;PGEN_.00g133550;PGEN_.00g133560;PGEN_.00g153860;PGEN_.00g164540;PGEN_.00g164550;PGEN_.00g164650;PGEN_.00g164660;PGEN_.00g172700;PGEN_.00g193090;PGEN_.00g193120;PGEN_.00g199810;PGEN_.00g205320;PGEN_.00g205330;PGEN_.00g205720;PGEN_.00g208780;PGEN_.00g214340;PGEN_.00g228920;PGEN_.00g238800;PGEN_.00g239060;PGEN_.00g244190;PGEN_.00g257690;PGEN_.00g259910;PGEN_.00g260520;PGEN_.00g271920;PGEN_.00g272650;PGEN_.00g279430;PGEN_.00g279510;PGEN_.00g291850;PGEN_.00g291860;PGEN_.00g298200;PGEN_.00g298410;PGEN_.00g302380;PGEN_.00g321220;PGEN_.00g323120;PGEN_.00g326890;PGEN_.00g331110;PGEN_.00g334660;PGEN_.00g339700;PGEN_.00g345610;PGEN_.00g345680;PGEN_.00g348220;PGEN_.00g348570"
"10","GO:0004252",124,0.00264419541370128,0.998967210096699,17,108,"serine-type endopeptidase activity","MF","blue","Day21","peptidase activity","PGEN_.00g003240;PGEN_.00g006380;PGEN_.00g009930;PGEN_.00g025650;PGEN_.00g033640;PGEN_.00g047200;PGEN_.00g049840;PGEN_.00g057170;PGEN_.00g057190;PGEN_.00g103520;PGEN_.00g115590;PGEN_.00g133550;PGEN_.00g133560;PGEN_.00g153860;PGEN_.00g164540;PGEN_.00g164550;PGEN_.00g164650;PGEN_.00g164660;PGEN_.00g172700;PGEN_.00g193090;PGEN_.00g193120;PGEN_.00g199810;PGEN_.00g205320;PGEN_.00g205330;PGEN_.00g205720;PGEN_.00g208780;PGEN_.00g214340;PGEN_.00g228920;PGEN_.00g238800;PGEN_.00g239060;PGEN_.00g244190;PGEN_.00g257690;PGEN_.00g259910;PGEN_.00g260520;PGEN_.00g271920;PGEN_.00g272650;PGEN_.00g279430;PGEN_.00g279510;PGEN_.00g291850;PGEN_.00g291860;PGEN_.00g298200;PGEN_.00g298410;PGEN_.00g302380;PGEN_.00g321220;PGEN_.00g323120;PGEN_.00g326890;PGEN_.00g331110;PGEN_.00g334660;PGEN_.00g339700;PGEN_.00g345610;PGEN_.00g345680;PGEN_.00g348220;PGEN_.00g348570"
