"","GO_terms","X","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology","moduleColor","Day","slim_term","Gene_IDs"
"1","GO:0000340",150,0.038782668081013,0.99710994721136,2,6,"RNA 7-methylguanosine cap binding","MF","yellow","Day21","RNA binding","PGEN_.00g082950;PGEN_.00g142880;PGEN_.00g145040;PGEN_.00g194280;PGEN_.00g273240"
"2","GO:0001227",124,0.0108158955452658,0.99646195315842,9,100,"DNA-binding transcription repressor activity, RNA polymerase II-specific","MF","yellow","Day21","DNA-binding transcription factor ac...","PGEN_.00g011050;PGEN_.00g092450;PGEN_.00g108630;PGEN_.00g113850;PGEN_.00g117060;PGEN_.00g216480;PGEN_.00g267200;PGEN_.00g271820;PGEN_.00g284000"
"3","GO:0003779",93,0.000405134609549886,0.99985569252975,19,166,"actin binding","MF","yellow","Day21","cytoskeletal protein binding","PGEN_.00g008370;PGEN_.00g008380;PGEN_.00g015880;PGEN_.00g019330;PGEN_.00g025930;PGEN_.00g036080;PGEN_.00g053780;PGEN_.00g054960;PGEN_.00g063580;PGEN_.00g064190;PGEN_.00g076020;PGEN_.00g092700;PGEN_.00g139380;PGEN_.00g147150;PGEN_.00g161700;PGEN_.00g181830;PGEN_.00g219490;PGEN_.00g219500;PGEN_.00g223990;PGEN_.00g233340;PGEN_.00g238430;PGEN_.00g238440;PGEN_.00g243980;PGEN_.00g249580;PGEN_.00g253760;PGEN_.00g326570;PGEN_.00g326580;PGEN_.00g330290;PGEN_.00g331050;PGEN_.00g332250;PGEN_.00g336570;PGEN_.00g339990"
"4","GO:0004715",111,0.00545562425335121,0.999115445603029,5,31,"non-membrane spanning protein tyrosine kinase activity","MF","yellow","Day21","kinase activity","PGEN_.00g004280;PGEN_.00g008400;PGEN_.00g080420;PGEN_.00g109150;PGEN_.00g231680;PGEN_.00g320520;PGEN_.00g344450"
"5","GO:0004721",113,0.00602655808005055,0.998777895633941,6,38,"phosphoprotein phosphatase activity","MF","yellow","Day21","phosphatase activity","PGEN_.00g015220;PGEN_.00g138110;PGEN_.00g138120;PGEN_.00g139380;PGEN_.00g282040;PGEN_.00g286100;PGEN_.00g298760;PGEN_.00g348600"
"6","GO:0004864",107,0.00395752023579974,0.999601749608036,4,14,"protein phosphatase inhibitor activity","MF","yellow","Day21","enzyme regulator activity","PGEN_.00g008370;PGEN_.00g008380;PGEN_.00g024500;PGEN_.00g032160;PGEN_.00g049380;PGEN_.00g071610;PGEN_.00g074360;PGEN_.00g092040;PGEN_.00g113650;PGEN_.00g128160;PGEN_.00g145970;PGEN_.00g161570;PGEN_.00g162330;PGEN_.00g190160;PGEN_.00g271580;PGEN_.00g271590;PGEN_.00g286700;PGEN_.00g300260;PGEN_.00g312430;PGEN_.00g322450;PGEN_.00g331050;PGEN_.00g332250"
"7","GO:0004869",91,0.000232638538605299,0.999983950256985,5,15,"cysteine-type endopeptidase inhibitor activity","MF","yellow","Day21","enzyme regulator activity","PGEN_.00g008370;PGEN_.00g008380;PGEN_.00g024500;PGEN_.00g032160;PGEN_.00g049380;PGEN_.00g071610;PGEN_.00g074360;PGEN_.00g092040;PGEN_.00g113650;PGEN_.00g128160;PGEN_.00g145970;PGEN_.00g161570;PGEN_.00g162330;PGEN_.00g190160;PGEN_.00g271580;PGEN_.00g271590;PGEN_.00g286700;PGEN_.00g300260;PGEN_.00g312430;PGEN_.00g322450;PGEN_.00g331050;PGEN_.00g332250"
"8","GO:0008138",160,0.0498803807934898,0.991099030005756,3,21,"protein tyrosine/serine/threonine phosphatase activity","MF","yellow","Day21","phosphatase activity","PGEN_.00g015220;PGEN_.00g138110;PGEN_.00g138120;PGEN_.00g139380;PGEN_.00g282040;PGEN_.00g286100;PGEN_.00g298760;PGEN_.00g348600"
"9","GO:0008157",143,0.0253577935784975,0.998501700659608,2,6,"protein phosphatase 1 binding","MF","yellow","Day21","enzyme binding","PGEN_.00g001690;PGEN_.00g008380;PGEN_.00g011150;PGEN_.00g036080;PGEN_.00g055970;PGEN_.00g062250;PGEN_.00g062800;PGEN_.00g067330;PGEN_.00g067360;PGEN_.00g071610;PGEN_.00g074910;PGEN_.00g076780;PGEN_.00g082680;PGEN_.00g100700;PGEN_.00g118300;PGEN_.00g121110;PGEN_.00g161400;PGEN_.00g162330;PGEN_.00g175380;PGEN_.00g177960;PGEN_.00g179710;PGEN_.00g181010;PGEN_.00g214370;PGEN_.00g214390;PGEN_.00g216270;PGEN_.00g216640;PGEN_.00g239490;PGEN_.00g239770;PGEN_.00g244000;PGEN_.00g244140;PGEN_.00g270570;PGEN_.00g272080;PGEN_.00g312430;PGEN_.00g319120;PGEN_.00g320630;PGEN_.00g322450;PGEN_.00g331050"
"10","GO:0010855",154,0.0423982707060079,0.99637785156562,2,8,"adenylate cyclase inhibitor activity","MF","yellow","Day21","enzyme regulator activity","PGEN_.00g008370;PGEN_.00g008380;PGEN_.00g024500;PGEN_.00g032160;PGEN_.00g049380;PGEN_.00g071610;PGEN_.00g074360;PGEN_.00g092040;PGEN_.00g113650;PGEN_.00g128160;PGEN_.00g145970;PGEN_.00g161570;PGEN_.00g162330;PGEN_.00g190160;PGEN_.00g271580;PGEN_.00g271590;PGEN_.00g286700;PGEN_.00g300260;PGEN_.00g312430;PGEN_.00g322450;PGEN_.00g331050;PGEN_.00g332250"
