"","category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology","moduleColor","Day"
"278","GO:0070165",5.10533570953213e-06,0.999999833947807,5,19,"positive regulation of adiponectin secretion","BP","brown","Day7"
"295","GO:0071638",6.44459181016386e-06,0.999999657739693,6,27,"negative regulation of monocyte chemotactic protein-1 production","BP","brown","Day7"
"197","GO:0035356",7.63073053161853e-06,0.999999591330224,6,24,"cellular triglyceride homeostasis","BP","brown","Day7"
"279","GO:0070206",1.33290986391085e-05,0.999999464224458,5,20,"protein trimerization","BP","brown","Day7"
"207","GO:0042147",7.05405670755228e-05,0.999989508951019,9,45,"retrograde transport, endosome to Golgi","BP","brown","Day7"
"148","GO:0019254",0.000111452030568474,1,3,3,"carnitine metabolic process, CoA-linked","BP","brown","Day7"
"85","GO:0006886",0.000138148213009282,0.999953322810469,20,184,"intracellular protein transport","BP","brown","Day7"
"285","GO:0070633",0.00024088815970711,0.999984076463925,5,13,"transepithelial transport","BP","brown","Day7"
"318","GO:1901223",0.000262097467962194,0.999971643879771,6,35,"negative regulation of NIK/NF-kappaB signaling","BP","brown","Day7"
"129","GO:0016042",0.00028215912232873,0.999947754488211,9,61,"lipid catabolic process","BP","brown","Day7"
"173","GO:0031639",0.000375737088608304,0.999983248019975,4,9,"plasminogen activation","BP","brown","Day7"
"321","GO:1902307",0.000440202966914222,0.999994471557522,3,4,"positive regulation of sodium ion transmembrane transport","BP","brown","Day7"
"265","GO:0051919",0.000590390371351326,0.999968667030176,4,10,"positive regulation of fibrinolysis","BP","brown","Day7"
"210","GO:0042493",0.000668259696310096,0.999784058640932,15,152,"response to drug","BP","brown","Day7"
"7","GO:0001561",0.00075051249495027,0.999983356440424,3,5,"fatty acid alpha-oxidation","BP","brown","Day7"
"224","GO:0043312",0.00144240409513549,0.999627766305835,10,78,"neutrophil degranulation","BP","brown","Day7"
"325","GO:1903232",0.00177945941602021,1,2,2,"melanosome assembly","BP","brown","Day7"
"234","GO:0045721",0.00185992545713623,0.999763498265924,5,34,"negative regulation of gluconeogenesis","BP","brown","Day7"
"263","GO:0051603",0.00215015515027128,0.999584191465034,7,42,"proteolysis involved in cellular protein catabolic process","BP","brown","Day7"
"193","GO:0034498",0.00265651427792311,0.999871528578305,3,8,"early endosome to Golgi transport","BP","brown","Day7"
"2","GO:0000272",0.00297859991325011,0.999594690553808,5,24,"polysaccharide catabolic process","BP","brown","Day7"
"231","GO:0045329",0.00302340792165274,1,2,2,"carnitine biosynthetic process","BP","brown","Day7"
"73","GO:0006069",0.00304164462207061,1,2,2,"ethanol oxidation","BP","brown","Day7"
"274","GO:0061502",0.00315550648613515,1,2,2,"early endosome to recycling endosome transport","BP","brown","Day7"
"323","GO:1902954",0.0032550312306485,1,2,2,"regulation of early endosome to recycling endosome transport","BP","brown","Day7"
"187","GO:0033344",0.0033463698643741,0.999669171166839,4,16,"cholesterol efflux","BP","brown","Day7"
"216","GO:0042730",0.00344861828610367,0.999514270632853,5,24,"fibrinolysis","BP","brown","Day7"
"273","GO:0060355",0.00356111221126545,0.999779457237805,3,13,"positive regulation of cell adhesion molecule production","BP","brown","Day7"
"217","GO:0042732",0.0035769063540526,0.999607157602798,4,30,"D-xylose metabolic process","BP","brown","Day7"
"190","GO:0034138",0.00374249724962975,0.99976406548742,3,13,"toll-like receptor 3 signaling pathway","BP","brown","Day7"
"14","GO:0002542",0.00381760174432291,0.999952996477399,2,3,"Factor XII activation","BP","brown","Day7"
"280","GO:0070373",0.00385494313368648,0.999267277569391,6,55,"negative regulation of ERK1 and ERK2 cascade","BP","brown","Day7"
"188","GO:0033539",0.00388420137148536,0.999784677047054,3,8,"fatty acid beta-oxidation using acyl-CoA dehydrogenase","BP","brown","Day7"
"149","GO:0019395",0.00405077298664164,0.999772008317757,3,8,"fatty acid oxidation","BP","brown","Day7"
"72","GO:0006032",0.004246938202905,0.999367931718931,5,25,"chitin catabolic process","BP","brown","Day7"
"117","GO:0009756",0.0043760289394077,0.999918578653068,2,4,"carbohydrate mediated signaling","BP","brown","Day7"
"19","GO:0003429",0.00481346844626919,0.999251190815426,5,28,"growth plate cartilage chondrocyte morphogenesis","BP","brown","Day7"
"299","GO:0090240",0.00498336920980136,0.999929520891196,2,3,"positive regulation of histone H4 acetylation","BP","brown","Day7"
"123","GO:0010923",0.00564121298482813,0.999106493423142,5,24,"negative regulation of phosphatase activity","BP","brown","Day7"
"127","GO:0015918",0.00573247663191604,0.999594050758367,3,11,"sterol transport","BP","brown","Day7"
"324","GO:1903077",0.00610006180358648,0.999541354059313,3,13,"negative regulation of protein localization to plasma membrane","BP","brown","Day7"
"236","GO:0046168",0.0061327795294887,0.99990332386208,2,3,"glycerol-3-phosphate catabolic process","BP","brown","Day7"
"181","GO:0032648",0.00613750696113726,0.999903210258472,2,3,"regulation of interferon-beta production","BP","brown","Day7"
"211","GO:0042572",0.00683993513856387,0.999082495364607,4,37,"retinol metabolic process","BP","brown","Day7"
"79","GO:0006635",0.00686150068077444,0.9988375646025,5,28,"fatty acid beta-oxidation","BP","brown","Day7"
"88","GO:0006910",0.00701327872102923,0.999103905863825,4,21,"phagocytosis, recognition","BP","brown","Day7"
"76","GO:0006508",0.00703327602764015,0.997075161044057,15,173,"proteolysis","BP","brown","Day7"
"84","GO:0006739",0.00727267563751511,0.999377965468313,3,20,"NADP metabolic process","BP","brown","Day7"
"81","GO:0006684",0.0073754659323306,0.99987190045297,2,3,"sphingomyelin metabolic process","BP","brown","Day7"
"298","GO:0080111",0.00756372847539733,0.999812878334445,2,4,"DNA demethylation","BP","brown","Day7"
"245","GO:0048268",0.0084665813204619,0.999347690582546,3,9,"clathrin coat assembly","BP","brown","Day7"
"131","GO:0016082",0.00893455031033688,0.999274355837907,3,10,"synaptic vesicle priming","BP","brown","Day7"
"218","GO:0042797",0.00899400507455126,1,1,1,"tRNA transcription by RNA polymerase III","BP","brown","Day7"
"262","GO:0051385",0.00904914827260692,0.999824905423421,2,3,"response to mineralocorticoid","BP","brown","Day7"
"260","GO:0051259",0.00916802567839927,0.998295221224092,5,35,"protein complex oligomerization","BP","brown","Day7"
"161","GO:0030308",0.00926037475890417,0.997882124661651,6,57,"negative regulation of cell growth","BP","brown","Day7"
"93","GO:0007417",0.00979208911889917,0.996844042894979,9,104,"central nervous system development","BP","brown","Day7"
"132","GO:0016121",0.0103976662176298,0.999648036543234,2,5,"carotene catabolic process","BP","brown","Day7"
"233","GO:0045599",0.0106829965563458,0.997890072984671,5,48,"negative regulation of fat cell differentiation","BP","brown","Day7"
"95","GO:0007597",0.0107077592858226,0.999631889212003,2,5,"blood coagulation, intrinsic pathway","BP","brown","Day7"
"178","GO:0032365",0.0108735114559789,1,1,1,"intracellular lipid transport","BP","brown","Day7"
"287","GO:0071073",0.0108735114559789,1,1,1,"positive regulation of phospholipid biosynthetic process","BP","brown","Day7"
