"","category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology","moduleColor","Day"
"370","GO:0051965",3.59360344325892e-05,0.999994968729827,9,60,"positive regulation of synapse assembly","BP","yellow","Day7"
"274","GO:0042088",0.000146694653118177,0.999998743568331,3,4,"T-helper 1 type immune response","BP","yellow","Day7"
"200","GO:0030509",0.00020419404588013,0.999978821675744,6,37,"BMP signaling pathway","BP","yellow","Day7"
"290","GO:0043066",0.000274096158255993,0.999901180446435,20,286,"negative regulation of apoptotic process","BP","yellow","Day7"
"178","GO:0019730",0.000310947918593627,0.999983567880291,4,18,"antimicrobial humoral response","BP","yellow","Day7"
"336","GO:0046777",0.00044189787937561,0.999893062422493,11,99,"protein autophosphorylation","BP","yellow","Day7"
"118","GO:0007249",0.000517834092248234,0.999952219198969,5,26,"I-kappaB kinase/NF-kappaB signaling","BP","yellow","Day7"
"167","GO:0016567",0.000557629515131858,0.999792546513184,19,314,"protein ubiquitination","BP","yellow","Day7"
"41","GO:0003289",0.000684176885283168,1,2,2,"atrial septum primum morphogenesis","BP","yellow","Day7"
"28","GO:0002315",0.000756335096852919,0.999952895420144,4,13,"marginal zone B cell differentiation","BP","yellow","Day7"
"4","GO:0000350",0.000849709759891438,1,2,2,"generation of catalytic spliceosome for second transesterification step","BP","yellow","Day7"
"322","GO:0045732",0.000966638351536365,0.999865907534339,6,35,"positive regulation of protein catabolic process","BP","yellow","Day7"
"355","GO:0048667",0.00108433770246071,0.999964230390235,3,7,"cell morphogenesis involved in neuron differentiation","BP","yellow","Day7"
"389","GO:0061312",0.00119723974659725,0.99999188447721,2,3,"BMP signaling pathway involved in heart development","BP","yellow","Day7"
"224","GO:0032715",0.00126038428429392,0.999902013417818,4,19,"negative regulation of interleukin-6 production","BP","yellow","Day7"
"102","GO:0006914",0.00128970541940484,0.999697802989701,9,86,"autophagy","BP","yellow","Day7"
"111","GO:0007166",0.00134725467122913,0.999623820419147,11,111,"cell surface receptor signaling pathway","BP","yellow","Day7"
"26","GO:0002268",0.00142630407432662,1,2,2,"follicular dendritic cell differentiation","BP","yellow","Day7"
"30","GO:0002455",0.00142630407432662,1,2,2,"humoral immune response mediated by circulating immunoglobulin","BP","yellow","Day7"
"308","GO:0045064",0.00142630407432662,1,2,2,"T-helper 2 cell differentiation","BP","yellow","Day7"
"164","GO:0016477",0.00146998075875037,0.999557031921586,12,124,"cell migration","BP","yellow","Day7"
"12","GO:0001701",0.00177109927426316,0.999421687714458,13,147,"in utero embryonic development","BP","yellow","Day7"
"29","GO:0002376",0.00188245988061529,0.99983977285785,4,17,"immune system process","BP","yellow","Day7"
"216","GO:0032147",0.00195782261299327,0.99962507947872,7,46,"activation of protein kinase activity","BP","yellow","Day7"
"38","GO:0003183",0.00210997111659583,0.999973050986014,2,4,"mitral valve morphogenesis","BP","yellow","Day7"
"230","GO:0032933",0.00215722425046777,1,2,2,"SREBP signaling pathway","BP","yellow","Day7"
"228","GO:0032815",0.00220059178141865,1,2,2,"negative regulation of natural killer cell activation","BP","yellow","Day7"
"252","GO:0035305",0.0022490102977871,1,2,2,"negative regulation of dephosphorylation","BP","yellow","Day7"
"492","GO:1990776",0.0022490102977871,1,2,2,"response to angiotensin","BP","yellow","Day7"
"189","GO:0030036",0.00249100088148285,0.999299094853228,10,100,"actin cytoskeleton organization","BP","yellow","Day7"
"108","GO:0007088",0.00251762868201529,0.999870873080293,3,10,"regulation of mitotic nuclear division","BP","yellow","Day7"
"367","GO:0051491",0.00276766780078381,0.999615812033132,5,33,"positive regulation of filopodium assembly","BP","yellow","Day7"
"439","GO:0098969",0.00307676800519053,0.999966145114861,2,3,"neurotransmitter receptor transport to postsynaptic membrane","BP","yellow","Day7"
"456","GO:1901741",0.00318625678981362,0.999828119267189,3,9,"positive regulation of myoblast fusion","BP","yellow","Day7"
"121","GO:0007294",0.00323122049383771,0.999963533803569,2,3,"germarium-derived oocyte fate determination","BP","yellow","Day7"
"429","GO:0090128",0.00326562066692176,0.99996294314729,2,3,"regulation of synapse maturation","BP","yellow","Day7"
"328","GO:0045944",0.00337819054694107,0.99824765041935,29,548,"positive regulation of transcription by RNA polymerase II","BP","yellow","Day7"
"351","GO:0048378",0.00359153430129692,0.999957187276141,2,3,"regulation of lateral mesodermal cell fate specification","BP","yellow","Day7"
"106","GO:0006983",0.00362316501619718,0.999956613520159,2,3,"ER overload response","BP","yellow","Day7"
"158","GO:0016032",0.00390780925702634,0.998918420090027,9,89,"viral process","BP","yellow","Day7"
"201","GO:0030511",0.0039805845235902,0.999747978983129,3,12,"positive regulation of transforming growth factor beta receptor signaling pathway","BP","yellow","Day7"
