"","slim_term","slim_cat","GO_count","GO_terms","GO_list","Gene_count","Gene_IDs","module_day"
"1","anatomical structure development","GO:0048856",1,"GO:0001701","GO:0001701",13,"PGEN_.00g044190;PGEN_.00g044420;PGEN_.00g056570;PGEN_.00g114720;PGEN_.00g155000;PGEN_.00g163060;PGEN_.00g177160;PGEN_.00g195420;PGEN_.00g226740;PGEN_.00g239070;PGEN_.00g258210;PGEN_.00g265020;PGEN_.00g271100","Day7_yellow"
"2","embryo development","GO:0009790",1,"GO:0001701","GO:0001701",13,"PGEN_.00g044190;PGEN_.00g044420;PGEN_.00g056570;PGEN_.00g114720;PGEN_.00g155000;PGEN_.00g163060;PGEN_.00g177160;PGEN_.00g195420;PGEN_.00g226740;PGEN_.00g239070;PGEN_.00g258210;PGEN_.00g265020;PGEN_.00g271100","Day7_yellow"
"3","cellular protein modification proce...","GO:0006464",4,"GO:0006468","GO:0006468;GO:0006470;GO:0016567;GO:0046777",46,"PGEN_.00g055380;PGEN_.00g055470;PGEN_.00g056490;PGEN_.00g056570;PGEN_.00g086160;PGEN_.00g089290;PGEN_.00g093280;PGEN_.00g104470;PGEN_.00g118120;PGEN_.00g131630;PGEN_.00g139380;PGEN_.00g140080;PGEN_.00g140230;PGEN_.00g141950;PGEN_.00g155000;PGEN_.00g162530;PGEN_.00g174090;PGEN_.00g183210;PGEN_.00g186060;PGEN_.00g199580;PGEN_.00g200710;PGEN_.00g213830;PGEN_.00g215660;PGEN_.00g216710;PGEN_.00g219750;PGEN_.00g221000;PGEN_.00g223150;PGEN_.00g224980;PGEN_.00g225900;PGEN_.00g233710;PGEN_.00g234590;PGEN_.00g240170;PGEN_.00g248070;PGEN_.00g251160;PGEN_.00g257480;PGEN_.00g258910;PGEN_.00g264160;PGEN_.00g266680;PGEN_.00g271100;PGEN_.00g285160;PGEN_.00g301780;PGEN_.00g312430;PGEN_.00g322450;PGEN_.00g329270;PGEN_.00g331910;PGEN_.00g334510","Day7_yellow"
"4","catabolic process","GO:0009056",1,"GO:0006511","GO:0006511",13,"PGEN_.00g001960;PGEN_.00g128360;PGEN_.00g152540;PGEN_.00g174090;PGEN_.00g183210;PGEN_.00g199580;PGEN_.00g234590;PGEN_.00g239600;PGEN_.00g264160;PGEN_.00g302370;PGEN_.00g312430;PGEN_.00g322450;PGEN_.00g328840","Day7_yellow"
"5","response to stress","GO:0006950",2,"GO:0006974","GO:0006974;GO:0045087",26,"PGEN_.00g018550;PGEN_.00g058440;PGEN_.00g058530;PGEN_.00g063200;PGEN_.00g103860;PGEN_.00g104030;PGEN_.00g108610;PGEN_.00g132640;PGEN_.00g155000;PGEN_.00g164100;PGEN_.00g173580;PGEN_.00g200710;PGEN_.00g210270;PGEN_.00g210290;PGEN_.00g213830;PGEN_.00g215560;PGEN_.00g234590;PGEN_.00g239600;PGEN_.00g243730;PGEN_.00g244000;PGEN_.00g283300;PGEN_.00g302770;PGEN_.00g308890;PGEN_.00g312430;PGEN_.00g316630;PGEN_.00g331590","Day7_yellow"
"6","signal transduction","GO:0007165",4,"GO:0007166","GO:0007166;GO:0007186;GO:0035556",29,"PGEN_.00g003480;PGEN_.00g027220;PGEN_.00g045090;PGEN_.00g058440;PGEN_.00g058530;PGEN_.00g062110;PGEN_.00g064970;PGEN_.00g083050;PGEN_.00g110930;PGEN_.00g112690;PGEN_.00g118120;PGEN_.00g121110;PGEN_.00g122460;PGEN_.00g208730;PGEN_.00g213450;PGEN_.00g223150;PGEN_.00g223990;PGEN_.00g224070;PGEN_.00g251160;PGEN_.00g262720;PGEN_.00g265020;PGEN_.00g271420;PGEN_.00g278670;PGEN_.00g279040;PGEN_.00g322450;PGEN_.00g325640;PGEN_.00g327960;PGEN_.00g329270;PGEN_.00g334510","Day7_yellow"
"7","cell motility","GO:0048870",1,"GO:0016477","GO:0016477",12,"PGEN_.00g054650;PGEN_.00g072730;PGEN_.00g093280;PGEN_.00g116670;PGEN_.00g140080;PGEN_.00g163060;PGEN_.00g193830;PGEN_.00g195300;PGEN_.00g195980;PGEN_.00g271100;PGEN_.00g279040;PGEN_.00g329270","Day7_yellow"
"8","locomotion","GO:0040011",1,"GO:0016477","GO:0016477",12,"PGEN_.00g054650;PGEN_.00g072730;PGEN_.00g093280;PGEN_.00g116670;PGEN_.00g140080;PGEN_.00g163060;PGEN_.00g193830;PGEN_.00g195300;PGEN_.00g195980;PGEN_.00g271100;PGEN_.00g279040;PGEN_.00g329270","Day7_yellow"
"9","cytoskeleton organization","GO:0007010",1,"GO:0030036","GO:0030036",10,"PGEN_.00g058570;PGEN_.00g131630;PGEN_.00g139380;PGEN_.00g171310;PGEN_.00g181830;PGEN_.00g217630;PGEN_.00g223990;PGEN_.00g224070;PGEN_.00g224320;PGEN_.00g226740","Day7_yellow"
"10","cell death","GO:0008219",1,"GO:0043066","GO:0043066",20,"PGEN_.00g019730;PGEN_.00g027220;PGEN_.00g034960;PGEN_.00g055470;PGEN_.00g063200;PGEN_.00g071850;PGEN_.00g072360;PGEN_.00g103860;PGEN_.00g104030;PGEN_.00g104810;PGEN_.00g127260;PGEN_.00g164100;PGEN_.00g193830;PGEN_.00g216710;PGEN_.00g248070;PGEN_.00g257480;PGEN_.00g275620;PGEN_.00g279490;PGEN_.00g312430;PGEN_.00g317500","Day7_yellow"
