"","slim_term","slim_cat","GO_count","GO_terms","GO_list","Gene_count","Gene_IDs","module_day"
"1","ion binding","GO:0043167",8,"GO:0000287","GO:0000287;GO:0005504;GO:0005540;GO:0008270;GO:0030976;GO:0031404;GO:0035091;GO:0070538",66,"PGEN_.00g001030;PGEN_.00g003030;PGEN_.00g003940;PGEN_.00g005530;PGEN_.00g014380;PGEN_.00g021940;PGEN_.00g024130;PGEN_.00g025590;PGEN_.00g038510;PGEN_.00g040090;PGEN_.00g042250;PGEN_.00g044210;PGEN_.00g046630;PGEN_.00g048930;PGEN_.00g049840;PGEN_.00g055720;PGEN_.00g071610;PGEN_.00g077860;PGEN_.00g083780;PGEN_.00g108800;PGEN_.00g115120;PGEN_.00g132570;PGEN_.00g135600;PGEN_.00g136520;PGEN_.00g137330;PGEN_.00g140190;PGEN_.00g154930;PGEN_.00g156260;PGEN_.00g156290;PGEN_.00g158040;PGEN_.00g160870;PGEN_.00g164540;PGEN_.00g164550;PGEN_.00g164650;PGEN_.00g164660;PGEN_.00g165960;PGEN_.00g167600;PGEN_.00g168260;PGEN_.00g174890;PGEN_.00g177440;PGEN_.00g178990;PGEN_.00g192770;PGEN_.00g192910;PGEN_.00g193490;PGEN_.00g197630;PGEN_.00g198530;PGEN_.00g206470;PGEN_.00g212870;PGEN_.00g242070;PGEN_.00g245730;PGEN_.00g251580;PGEN_.00g253230;PGEN_.00g263590;PGEN_.00g267990;PGEN_.00g268270;PGEN_.00g272230;PGEN_.00g274340;PGEN_.00g276360;PGEN_.00g298600;PGEN_.00g300660;PGEN_.00g305230;PGEN_.00g308130;PGEN_.00g311860;PGEN_.00g318440;PGEN_.00g323100;PGEN_.00g331660","Day7_brown"
"2","oxidoreductase activity","GO:0016491",16,"GO:0003834","GO:0003834;GO:0003857;GO:0003997;GO:0004022;GO:0004090;GO:0004367;GO:0004497;GO:0004602;GO:0010436;GO:0016614;GO:0016655;GO:0016705;GO:0044105;GO:0050038;GO:0051903",23,"PGEN_.00g002440;PGEN_.00g006490;PGEN_.00g039290;PGEN_.00g039850;PGEN_.00g040690;PGEN_.00g042250;PGEN_.00g048930;PGEN_.00g049360;PGEN_.00g057660;PGEN_.00g069180;PGEN_.00g116940;PGEN_.00g121900;PGEN_.00g121940;PGEN_.00g135600;PGEN_.00g176480;PGEN_.00g188590;PGEN_.00g189040;PGEN_.00g285980;PGEN_.00g288870;PGEN_.00g300030;PGEN_.00g311290;PGEN_.00g317160;PGEN_.00g325500","Day7_brown"
"3","isomerase activity","GO:0016853",1,"GO:0004165","GO:0004165",2,"PGEN_.00g069180;PGEN_.00g184550","Day7_brown"
"4","peptidase activity","GO:0008233",7,"GO:0004175","GO:0004175;GO:0004197;GO:0004252;GO:0008238;GO:0008239;GO:0008240;GO:0008241",26,"PGEN_.00g006380;PGEN_.00g009930;PGEN_.00g033640;PGEN_.00g038400;PGEN_.00g041020;PGEN_.00g047200;PGEN_.00g057170;PGEN_.00g057190;PGEN_.00g057380;PGEN_.00g108800;PGEN_.00g115120;PGEN_.00g156240;PGEN_.00g170730;PGEN_.00g199810;PGEN_.00g228480;PGEN_.00g228920;PGEN_.00g272650;PGEN_.00g298200;PGEN_.00g298410;PGEN_.00g321850;PGEN_.00g344990;PGEN_.00g345610;PGEN_.00g345680;PGEN_.00g346560;PGEN_.00g348220;PGEN_.00g348570","Day7_brown"
"5","lyase activity","GO:0016829",2,"GO:0004300","GO:0004300;GO:0016830",4,"PGEN_.00g069180;PGEN_.00g184550;PGEN_.00g267990;PGEN_.00g268270","Day7_brown"
"6","hydrolase activity, acting on glyco...","GO:0016798",3,"GO:0004553","GO:0004553;GO:0004568;GO:0008810",7,"PGEN_.00g057120;PGEN_.00g057130;PGEN_.00g057150;PGEN_.00g169480;PGEN_.00g173140;PGEN_.00g323450;PGEN_.00g326620","Day7_brown"
"7","kinase activity","GO:0016301",1,"GO:0004697","GO:0004697",2,"PGEN_.00g017830;PGEN_.00g018970","Day7_brown"
"8","protein-macromolecule adaptor activ...","GO:0030674",1,"GO:0005484","GO:0005484",3,"PGEN_.00g022820;PGEN_.00g082970;PGEN_.00g149140","Day7_brown"
"9","lipid binding","GO:0008289",6,"GO:0005504","GO:0005504;GO:0015485;GO:0032934;GO:0035091;GO:0070538",17,"PGEN_.00g014740;PGEN_.00g019450;PGEN_.00g024130;PGEN_.00g040090;PGEN_.00g044210;PGEN_.00g077860;PGEN_.00g135600;PGEN_.00g140190;PGEN_.00g150640;PGEN_.00g158040;PGEN_.00g177440;PGEN_.00g192770;PGEN_.00g198530;PGEN_.00g205460;PGEN_.00g279590;PGEN_.00g301690;PGEN_.00g305230","Day7_brown"
"10","enzyme regulator activity","GO:0030234",1,"GO:0016004","GO:0016004",2,"PGEN_.00g050300;PGEN_.00g327850","Day7_brown"
