"","slim_term","slim_cat","GO_count","GO_terms","GO_list","Gene_count","Gene_IDs"
"1","anatomical structure development","GO:0048856",18,"GO:0001702","GO:0001702;GO:0001942;GO:0007409;GO:0008584;GO:0009953;GO:0009954;GO:0016525;GO:0042475;GO:0042733;GO:0048813;GO:0050771;GO:0051124;GO:0051965;GO:0060173;GO:0060612;GO:0097104;GO:0097105",17,"PGEN_.00g012860;PGEN_.00g019730;PGEN_.00g058440;PGEN_.00g058530;PGEN_.00g077560;PGEN_.00g104470;PGEN_.00g176060;PGEN_.00g179710;PGEN_.00g188700;PGEN_.00g237950;PGEN_.00g239490;PGEN_.00g239770;PGEN_.00g249580;PGEN_.00g299380;PGEN_.00g320520;PGEN_.00g326580;PGEN_.00g329270"
"2","embryo development","GO:0009790",2,"GO:0001702","GO:0001702;GO:0042733",6,"PGEN_.00g179710;PGEN_.00g188700;PGEN_.00g239490;PGEN_.00g239770;PGEN_.00g299380;PGEN_.00g329270"
"3","cellular protein modification proce...","GO:0006464",3,"GO:0006470","GO:0006470;GO:0031397;GO:0050731",14,"PGEN_.00g009870;PGEN_.00g015220;PGEN_.00g058440;PGEN_.00g058530;PGEN_.00g082680;PGEN_.00g093280;PGEN_.00g104470;PGEN_.00g138120;PGEN_.00g139380;PGEN_.00g179710;PGEN_.00g186060;PGEN_.00g239490;PGEN_.00g239770;PGEN_.00g282040"
"4","transport","GO:0006810",4,"GO:0006821","GO:0006821;GO:0006897;GO:0030001;GO:1902476",18,"PGEN_.00g025100;PGEN_.00g041010;PGEN_.00g058310;PGEN_.00g077330;PGEN_.00g109150;PGEN_.00g116670;PGEN_.00g139740;PGEN_.00g162080;PGEN_.00g179710;PGEN_.00g188700;PGEN_.00g188710;PGEN_.00g238430;PGEN_.00g239490;PGEN_.00g239770;PGEN_.00g259960;PGEN_.00g260450;PGEN_.00g291980;PGEN_.00g299380"
"5","vesicle-mediated transport","GO:0016192",1,"GO:0006897","GO:0006897",11,"PGEN_.00g025100;PGEN_.00g109150;PGEN_.00g116670;PGEN_.00g179710;PGEN_.00g188710;PGEN_.00g238430;PGEN_.00g239490;PGEN_.00g239770;PGEN_.00g259960;PGEN_.00g260450;PGEN_.00g291980"
"6","catabolic process","GO:0009056",2,"GO:0006914","GO:0006914;GO:0150094",7,"PGEN_.00g082680;PGEN_.00g109150;PGEN_.00g163020;PGEN_.00g179710;PGEN_.00g213190;PGEN_.00g239490;PGEN_.00g239770"
"7","cell differentiation","GO:0030154",3,"GO:0007409","GO:0007409;GO:0048813;GO:0050771",7,"PGEN_.00g058440;PGEN_.00g058530;PGEN_.00g176060;PGEN_.00g179710;PGEN_.00g239490;PGEN_.00g239770;PGEN_.00g249580"
"8","cell morphogenesis","GO:0000902",3,"GO:0007409","GO:0007409;GO:0048813;GO:0050771",7,"PGEN_.00g058440;PGEN_.00g058530;PGEN_.00g176060;PGEN_.00g179710;PGEN_.00g239490;PGEN_.00g239770;PGEN_.00g249580"
"9","nervous system process","GO:0050877",1,"GO:0007605","GO:0007605",5,"PGEN_.00g183420;PGEN_.00g188700;PGEN_.00g250990;PGEN_.00g271100;PGEN_.00g299380"
"10","reproduction","GO:0000003",1,"GO:0008584","GO:0008584",3,"PGEN_.00g019730;PGEN_.00g188700;PGEN_.00g299380"
"11","cell motility","GO:0048870",3,"GO:0010596","GO:0010596;GO:0016477;GO:0030335",13,"PGEN_.00g053780;PGEN_.00g058440;PGEN_.00g058530;PGEN_.00g093280;PGEN_.00g104470;PGEN_.00g116670;PGEN_.00g172840;PGEN_.00g271100;PGEN_.00g284890;PGEN_.00g286070;PGEN_.00g298760;PGEN_.00g329270;PGEN_.00g330270"
"12","locomotion","GO:0040011",3,"GO:0010596","GO:0010596;GO:0016477;GO:0030335",13,"PGEN_.00g053780;PGEN_.00g058440;PGEN_.00g058530;PGEN_.00g093280;PGEN_.00g104470;PGEN_.00g116670;PGEN_.00g172840;PGEN_.00g271100;PGEN_.00g284890;PGEN_.00g286070;PGEN_.00g298760;PGEN_.00g329270;PGEN_.00g330270"
"13","signal transduction","GO:0007165",5,"GO:0016055","GO:0016055;GO:0030514;GO:0048015;GO:0090090;GO:0090263",16,"PGEN_.00g037780;PGEN_.00g109150;PGEN_.00g116670;PGEN_.00g146450;PGEN_.00g163520;PGEN_.00g179710;PGEN_.00g181830;PGEN_.00g188700;PGEN_.00g218110;PGEN_.00g239490;PGEN_.00g239770;PGEN_.00g271100;PGEN_.00g271580;PGEN_.00g271590;PGEN_.00g299380;PGEN_.00g320520"
"14","cell-cell signaling","GO:0007267",3,"GO:0016055","GO:0016055;GO:0090090;GO:0090263",9,"PGEN_.00g037780;PGEN_.00g163520;PGEN_.00g179710;PGEN_.00g181830;PGEN_.00g218110;PGEN_.00g239490;PGEN_.00g239770;PGEN_.00g271580;PGEN_.00g271590"
"15","protein maturation","GO:0051604",1,"GO:0016485","GO:0016485",3,"PGEN_.00g072100;PGEN_.00g176060;PGEN_.00g330270"
"16","anatomical structure formation invo...","GO:0048646",1,"GO:0016525","GO:0016525",4,"PGEN_.00g058440;PGEN_.00g058530;PGEN_.00g104470;PGEN_.00g237950"
"17","immune system process","GO:0002376",4,"GO:0019730","GO:0019730;GO:0045087;GO:0045088;GO:0051607",14,"PGEN_.00g003430;PGEN_.00g012860;PGEN_.00g058440;PGEN_.00g058530;PGEN_.00g173580;PGEN_.00g211820;PGEN_.00g213190;PGEN_.00g236800;PGEN_.00g244000;PGEN_.00g254320;PGEN_.00g271580;PGEN_.00g271590;PGEN_.00g302770;PGEN_.00g346290"
"18","cellular component assembly","GO:0022607",8,"GO:0030032","GO:0030032;GO:0051017;GO:0051124;GO:0051290;GO:0051965;GO:0097104;GO:0097105;GO:0097178",15,"PGEN_.00g048130;PGEN_.00g053780;PGEN_.00g058440;PGEN_.00g058530;PGEN_.00g063580;PGEN_.00g077560;PGEN_.00g149230;PGEN_.00g172840;PGEN_.00g179710;PGEN_.00g238430;PGEN_.00g239490;PGEN_.00g239770;PGEN_.00g243980;PGEN_.00g284890;PGEN_.00g326580"
"19","cytoskeleton organization","GO:0007010",2,"GO:0030036","GO:0030036;GO:0051017",8,"PGEN_.00g025100;PGEN_.00g053780;PGEN_.00g063580;PGEN_.00g092700;PGEN_.00g139380;PGEN_.00g149230;PGEN_.00g181830;PGEN_.00g291980"
"20","response to stress","GO:0006950",4,"GO:0045087","GO:0045087;GO:0045088;GO:0050829;GO:0051607",13,"PGEN_.00g003430;PGEN_.00g058440;PGEN_.00g058530;PGEN_.00g173580;PGEN_.00g211820;PGEN_.00g213190;PGEN_.00g236800;PGEN_.00g244000;PGEN_.00g254320;PGEN_.00g271580;PGEN_.00g271590;PGEN_.00g302770;PGEN_.00g346290"
"21","lipid metabolic process","GO:0006629",1,"GO:0046854","GO:0046854",3,"PGEN_.00g109150;PGEN_.00g146450;PGEN_.00g320520"
"22","cell junction organization","GO:0034330",8,"GO:0050808","GO:0050808;GO:0051124;GO:0051965;GO:0071340;GO:0097104;GO:0097105;GO:1901631;GO:1904395",7,"PGEN_.00g058440;PGEN_.00g058530;PGEN_.00g077560;PGEN_.00g179710;PGEN_.00g239490;PGEN_.00g239770;PGEN_.00g326580"
"23","growth","GO:0040007",1,"GO:0051124","GO:0051124",3,"PGEN_.00g179710;PGEN_.00g239490;PGEN_.00g239770"
"24","protein-containing complex assembly","GO:0065003",1,"GO:0051290","GO:0051290",3,"PGEN_.00g179710;PGEN_.00g239490;PGEN_.00g239770"
"25","membrane organization","GO:0061024",5,"GO:0071340","GO:0071340;GO:0097104;GO:0097105;GO:1901631;GO:1904395",3,"PGEN_.00g179710;PGEN_.00g239490;PGEN_.00g239770"
"26","transmembrane transport","GO:0055085",1,"GO:1902476","GO:1902476",3,"PGEN_.00g058310;PGEN_.00g077330;PGEN_.00g162080"
