"","PgenIDs","slim_term","over_represented_pvalue","GO_terms","term","ontology","Gene_terms"
"1","PGEN_.00g009870","phosphatase activity",0.0171998582385856,"GO:0004721","phosphoprotein phosphatase activity","MF","Receptor-type tyrosine-protein phosphatase T (R-PTP-T)"
"2","PGEN_.00g009870","phosphatase activity",0.00215562195283252,"GO:0008138","protein tyrosine/serine/threonine phosphatase activity","MF","Receptor-type tyrosine-protein phosphatase T (R-PTP-T)"
"3","PGEN_.00g009870","phosphatase activity",0.017223320761212,"GO:0004725","protein tyrosine phosphatase activity","MF","Receptor-type tyrosine-protein phosphatase T (R-PTP-T)"
"4","PGEN_.00g011150","lipid binding",0.0139558372444339,"GO:0001530","lipopolysaccharide binding","MF","Kinesin-like protein KIF16B (Sorting nexin-23)"
"5","PGEN_.00g011150","lipid binding",0.00645147312928267,"GO:0032266","phosphatidylinositol-3-phosphate binding","MF","Kinesin-like protein KIF16B (Sorting nexin-23)"
"6","PGEN_.00g015220","phosphatase activity",0.0171998582385856,"GO:0004721","phosphoprotein phosphatase activity","MF","Dual specificity protein phosphatase 10"
"7","PGEN_.00g015220","phosphatase activity",0.017223320761212,"GO:0004725","protein tyrosine phosphatase activity","MF","Dual specificity protein phosphatase 10"
"8","PGEN_.00g015220","phosphatase activity",0.00215562195283252,"GO:0008138","protein tyrosine/serine/threonine phosphatase activity","MF","Dual specificity protein phosphatase 10"
"9","PGEN_.00g025930","cytoskeletal protein binding",0.00512846044075099,"GO:0003779","actin binding","MF","Protein enabled homolog"
"10","PGEN_.00g025930","cytoskeletal protein binding",0.000282989766164847,"GO:0051015","actin filament binding","MF","Protein enabled homolog"
"11","PGEN_.00g053780","cytoskeletal protein binding",0.00512846044075099,"GO:0003779","actin binding","MF","Fascin-2 (Retinal fascin)"
"12","PGEN_.00g053780","cytoskeletal protein binding",0.000282989766164847,"GO:0051015","actin filament binding","MF","Fascin-2 (Retinal fascin)"
"13","PGEN_.00g058440","lipid binding",0.0139558372444339,"GO:0001530","lipopolysaccharide binding","MF","Adhesion G protein-coupled receptor B1 (Brain-specific angiogenesis inhibitor 1) [Cleaved into: Vasculostatin-40 (Vstat40); Vasculostatin-120 (Vstat120)]"
"14","PGEN_.00g058440","lipid binding",0.00645147312928267,"GO:0032266","phosphatidylinositol-3-phosphate binding","MF","Adhesion G protein-coupled receptor B1 (Brain-specific angiogenesis inhibitor 1) [Cleaved into: Vasculostatin-40 (Vstat40); Vasculostatin-120 (Vstat120)]"
"15","PGEN_.00g058530","lipid binding",0.0139558372444339,"GO:0001530","lipopolysaccharide binding","MF","Adhesion G protein-coupled receptor B1 (Brain-specific angiogenesis inhibitor 1) [Cleaved into: Vasculostatin-40 (Vstat40); Vasculostatin-120 (Vstat120)]"
"16","PGEN_.00g058530","lipid binding",0.00645147312928267,"GO:0032266","phosphatidylinositol-3-phosphate binding","MF","Adhesion G protein-coupled receptor B1 (Brain-specific angiogenesis inhibitor 1) [Cleaved into: Vasculostatin-40 (Vstat40); Vasculostatin-120 (Vstat120)]"
"17","PGEN_.00g063580","cytoskeletal protein binding",0.000282989766164847,"GO:0051015","actin filament binding","MF","Allograft inflammatory factor 1-like (Ionized calcium-binding adapter molecule 2)"
"18","PGEN_.00g063580","cytoskeletal protein binding",0.00512846044075099,"GO:0003779","actin binding","MF","Allograft inflammatory factor 1-like (Ionized calcium-binding adapter molecule 2)"
"19","PGEN_.00g064190","cytoskeletal protein binding",0.00512846044075099,"GO:0003779","actin binding","MF","Macoilin (Macoilin-1) (Transmembrane protein 57)"
"20","PGEN_.00g064190","cytoskeletal protein binding",0.000282989766164847,"GO:0051015","actin filament binding","MF","Macoilin (Macoilin-1) (Transmembrane protein 57)"
"21","PGEN_.00g092700","cytoskeletal protein binding",0.00512846044075099,"GO:0003779","actin binding","MF","Inverted formin-2"
"22","PGEN_.00g092700","cytoskeletal protein binding",0.000282989766164847,"GO:0051015","actin filament binding","MF","Inverted formin-2"
"23","PGEN_.00g093280","phosphatase activity",0.0171998582385856,"GO:0004721","phosphoprotein phosphatase activity","MF","Receptor-type tyrosine-protein phosphatase kappa (Protein-tyrosine phosphatase kappa) (R-PTP-kappa)"
"24","PGEN_.00g093280","phosphatase activity",0.00215562195283252,"GO:0008138","protein tyrosine/serine/threonine phosphatase activity","MF","Receptor-type tyrosine-protein phosphatase kappa (Protein-tyrosine phosphatase kappa) (R-PTP-kappa)"
"25","PGEN_.00g093280","phosphatase activity",0.017223320761212,"GO:0004725","protein tyrosine phosphatase activity","MF","Receptor-type tyrosine-protein phosphatase kappa (Protein-tyrosine phosphatase kappa) (R-PTP-kappa)"
"26","PGEN_.00g104470","phosphatase activity",0.017223320761212,"GO:0004725","protein tyrosine phosphatase activity","MF","Receptor-type tyrosine-protein phosphatase mu (Protein-tyrosine phosphatase mu) (R-PTP-mu)"
