"","PgenIDs","slim_term","over_represented_pvalue","GO_terms","term","ontology","Gene_terms"
"1","PGEN_.00g026480","transport",0.0396993693423278,"GO:0042147","retrograde transport, endosome to Golgi","BP","Ras-related protein Rab-32B"
"2","PGEN_.00g026480","transport",6.80683492923425e-05,"GO:0015031","protein transport","BP","Ras-related protein Rab-32B"
"3","PGEN_.00g026480","transport",0.00680230720995371,"GO:0046326","positive regulation of glucose import","BP","Ras-related protein Rab-32B"
"4","PGEN_.00g026480","protein transport",1.31067151230975e-05,"GO:0006886","intracellular protein transport","BP","Ras-related protein Rab-32B"
"5","PGEN_.00g026480","transport",0.0297450262584826,"GO:1902600","proton transmembrane transport","BP","Ras-related protein Rab-32B"
"6","PGEN_.00g026480","transport",1.31067151230975e-05,"GO:0006886","intracellular protein transport","BP","Ras-related protein Rab-32B"
"7","PGEN_.00g026480","transport",0.022326901575167,"GO:0006897","endocytosis","BP","Ras-related protein Rab-32B"
"8","PGEN_.00g026480","transport",0.0276675260737552,"GO:0006888","endoplasmic reticulum to Golgi vesicle-mediated transport","BP","Ras-related protein Rab-32B"
"9","PGEN_.00g026480","transport",0.0111202817469882,"GO:0072583","clathrin-dependent endocytosis","BP","Ras-related protein Rab-32B"
"10","PGEN_.00g039850","lipid metabolic process",0.00587311384407228,"GO:0006633","fatty acid biosynthetic process","BP","Cytochrome P450 4V2"
"11","PGEN_.00g039850","lipid metabolic process",0.0160138812442658,"GO:0006635","fatty acid beta-oxidation","BP","Cytochrome P450 4V2"
"12","PGEN_.00g039850","lipid metabolic process",0.0059313622543644,"GO:0008610","lipid biosynthetic process","BP","Cytochrome P450 4V2"
"13","PGEN_.00g039850","lipid metabolic process",0.0251963181455334,"GO:0001523","retinoid metabolic process","BP","Cytochrome P450 4V2"
"14","PGEN_.00g039850","lipid metabolic process",0.0176504260641862,"GO:0006661","phosphatidylinositol biosynthetic process","BP","Cytochrome P450 4V2"
"15","PGEN_.00g039850","nervous system process",0.0125839699933232,"GO:0007601","visual perception","BP","Cytochrome P450 4V2"
"16","PGEN_.00g041020","catabolic process",0.00496068762528144,"GO:0006914","autophagy","BP","Ubiquitin carboxyl-terminal hydrolase 7"
"17","PGEN_.00g041020","anatomical structure development",0.00362498673085415,"GO:0042472","inner ear morphogenesis","BP","Ubiquitin carboxyl-terminal hydrolase 7"
"18","PGEN_.00g041020","anatomical structure development",0.0159425272760316,"GO:0048704","embryonic skeletal system morphogenesis","BP","Ubiquitin carboxyl-terminal hydrolase 7"
"19","PGEN_.00g041020","catabolic process",0.0018757030479253,"GO:0000045","autophagosome assembly","BP","Ubiquitin carboxyl-terminal hydrolase 7"
"20","PGEN_.00g041020","catabolic process",3.27809824638474e-05,"GO:0016236","macroautophagy","BP","Ubiquitin carboxyl-terminal hydrolase 7"
"21","PGEN_.00g041020","catabolic process",0.0118128425250763,"GO:0006511","ubiquitin-dependent protein catabolic process","BP","Ubiquitin carboxyl-terminal hydrolase 7"
"22","PGEN_.00g041020","anatomical structure development",0.0189952805883812,"GO:0007275","multicellular organism development","BP","Ubiquitin carboxyl-terminal hydrolase 7"
"23","PGEN_.00g041020","anatomical structure development",0.00507900128887407,"GO:0061371","determination of heart left/right asymmetry","BP","Ubiquitin carboxyl-terminal hydrolase 7"
"24","PGEN_.00g041020","anatomical structure development",0.0103245882408938,"GO:0002062","chondrocyte differentiation","BP","Ubiquitin carboxyl-terminal hydrolase 7"
"25","PGEN_.00g041020","catabolic process",0.0160138812442658,"GO:0006635","fatty acid beta-oxidation","BP","Ubiquitin carboxyl-terminal hydrolase 7"
"26","PGEN_.00g051210","transmembrane transport",0.0297450262584826,"GO:1902600","proton transmembrane transport","BP","Mitochondrial uncoupling protein 4 (UCP 4) (Solute carrier family 25 member 27)"
"27","PGEN_.00g051210","response to stress",0.00678874824348966,"GO:0009409","response to cold","BP","Mitochondrial uncoupling protein 4 (UCP 4) (Solute carrier family 25 member 27)"
"28","PGEN_.00g051210","transport",0.0276675260737552,"GO:0006888","endoplasmic reticulum to Golgi vesicle-mediated transport","BP","Mitochondrial uncoupling protein 4 (UCP 4) (Solute carrier family 25 member 27)"
"29","PGEN_.00g051210","transport",0.00680230720995371,"GO:0046326","positive regulation of glucose import","BP","Mitochondrial uncoupling protein 4 (UCP 4) (Solute carrier family 25 member 27)"
"30","PGEN_.00g051210","transport",1.31067151230975e-05,"GO:0006886","intracellular protein transport","BP","Mitochondrial uncoupling protein 4 (UCP 4) (Solute carrier family 25 member 27)"
"31","PGEN_.00g051210","transport",0.0396993693423278,"GO:0042147","retrograde transport, endosome to Golgi","BP","Mitochondrial uncoupling protein 4 (UCP 4) (Solute carrier family 25 member 27)"
"32","PGEN_.00g051210","transport",6.80683492923425e-05,"GO:0015031","protein transport","BP","Mitochondrial uncoupling protein 4 (UCP 4) (Solute carrier family 25 member 27)"
"33","PGEN_.00g051210","response to stress",0.000448211382694286,"GO:0042594","response to starvation","BP","Mitochondrial uncoupling protein 4 (UCP 4) (Solute carrier family 25 member 27)"
"34","PGEN_.00g051210","transmembrane transport",0.00680230720995371,"GO:0046326","positive regulation of glucose import","BP","Mitochondrial uncoupling protein 4 (UCP 4) (Solute carrier family 25 member 27)"
"35","PGEN_.00g051210","transport",0.0297450262584826,"GO:1902600","proton transmembrane transport","BP","Mitochondrial uncoupling protein 4 (UCP 4) (Solute carrier family 25 member 27)"
"36","PGEN_.00g051210","transport",0.0111202817469882,"GO:0072583","clathrin-dependent endocytosis","BP","Mitochondrial uncoupling protein 4 (UCP 4) (Solute carrier family 25 member 27)"
"37","PGEN_.00g051210","transport",0.022326901575167,"GO:0006897","endocytosis","BP","Mitochondrial uncoupling protein 4 (UCP 4) (Solute carrier family 25 member 27)"
"38","PGEN_.00g051530","autophagy",0.0018757030479253,"GO:0000045","autophagosome assembly","BP","Vacuolar protein 8"
"39","PGEN_.00g051530","catabolic process",0.0160138812442658,"GO:0006635","fatty acid beta-oxidation","BP","Vacuolar protein 8"
"40","PGEN_.00g051530","catabolic process",3.27809824638474e-05,"GO:0016236","macroautophagy","BP","Vacuolar protein 8"
"41","PGEN_.00g051530","catabolic process",0.0018757030479253,"GO:0000045","autophagosome assembly","BP","Vacuolar protein 8"
"42","PGEN_.00g051530","catabolic process",0.00496068762528144,"GO:0006914","autophagy","BP","Vacuolar protein 8"
"43","PGEN_.00g051530","catabolic process",0.0118128425250763,"GO:0006511","ubiquitin-dependent protein catabolic process","BP","Vacuolar protein 8"
"44","PGEN_.00g051530","autophagy",3.27809824638474e-05,"GO:0016236","macroautophagy","BP","Vacuolar protein 8"
"45","PGEN_.00g069760","catabolic process",0.00496068762528144,"GO:0006914","autophagy","BP","Guanine nucleotide exchange protein smcr8a (Smith-Magenis syndrome chromosomal region candidate gene 8 protein homolog A)"
"46","PGEN_.00g069760","catabolic process",0.0160138812442658,"GO:0006635","fatty acid beta-oxidation","BP","Guanine nucleotide exchange protein smcr8a (Smith-Magenis syndrome chromosomal region candidate gene 8 protein homolog A)"
"47","PGEN_.00g069760","catabolic process",3.27809824638474e-05,"GO:0016236","macroautophagy","BP","Guanine nucleotide exchange protein smcr8a (Smith-Magenis syndrome chromosomal region candidate gene 8 protein homolog A)"
"48","PGEN_.00g069760","catabolic process",0.0018757030479253,"GO:0000045","autophagosome assembly","BP","Guanine nucleotide exchange protein smcr8a (Smith-Magenis syndrome chromosomal region candidate gene 8 protein homolog A)"
"49","PGEN_.00g069760","catabolic process",0.0118128425250763,"GO:0006511","ubiquitin-dependent protein catabolic process","BP","Guanine nucleotide exchange protein smcr8a (Smith-Magenis syndrome chromosomal region candidate gene 8 protein homolog A)"
"50","PGEN_.00g071610","anatomical structure development",0.0159425272760316,"GO:0048704","embryonic skeletal system morphogenesis","BP","Death-associated inhibitor of apoptosis 1"
"51","PGEN_.00g071610","anatomical structure development",0.00507900128887407,"GO:0061371","determination of heart left/right asymmetry","BP","Death-associated inhibitor of apoptosis 1"
"52","PGEN_.00g071610","catabolic process",0.00496068762528144,"GO:0006914","autophagy","BP","Death-associated inhibitor of apoptosis 1"
"53","PGEN_.00g071610","catabolic process",3.27809824638474e-05,"GO:0016236","macroautophagy","BP","Death-associated inhibitor of apoptosis 1"
"54","PGEN_.00g071610","catabolic process",0.0018757030479253,"GO:0000045","autophagosome assembly","BP","Death-associated inhibitor of apoptosis 1"
"55","PGEN_.00g071610","anatomical structure development",0.0103245882408938,"GO:0002062","chondrocyte differentiation","BP","Death-associated inhibitor of apoptosis 1"
"56","PGEN_.00g071610","anatomical structure development",0.00362498673085415,"GO:0042472","inner ear morphogenesis","BP","Death-associated inhibitor of apoptosis 1"
"57","PGEN_.00g071610","anatomical structure development",0.0189952805883812,"GO:0007275","multicellular organism development","BP","Death-associated inhibitor of apoptosis 1"
"58","PGEN_.00g071610","catabolic process",0.0160138812442658,"GO:0006635","fatty acid beta-oxidation","BP","Death-associated inhibitor of apoptosis 1"
"59","PGEN_.00g071610","catabolic process",0.0118128425250763,"GO:0006511","ubiquitin-dependent protein catabolic process","BP","Death-associated inhibitor of apoptosis 1"
"60","PGEN_.00g072090","anatomical structure development",0.00507900128887407,"GO:0061371","determination of heart left/right asymmetry","BP","Baculoviral IAP repeat-containing protein 7"
"61","PGEN_.00g072090","anatomical structure development",0.00362498673085415,"GO:0042472","inner ear morphogenesis","BP","Baculoviral IAP repeat-containing protein 7"
"62","PGEN_.00g072090","anatomical structure development",0.0159425272760316,"GO:0048704","embryonic skeletal system morphogenesis","BP","Baculoviral IAP repeat-containing protein 7"
"63","PGEN_.00g072090","anatomical structure development",0.0103245882408938,"GO:0002062","chondrocyte differentiation","BP","Baculoviral IAP repeat-containing protein 7"
"64","PGEN_.00g072090","anatomical structure development",0.0189952805883812,"GO:0007275","multicellular organism development","BP","Baculoviral IAP repeat-containing protein 7"
"65","PGEN_.00g089630","biosynthetic process",0.0176504260641862,"GO:0006661","phosphatidylinositol biosynthetic process","BP","Fatty acid hydroxylase domain-containing protein 2"
"66","PGEN_.00g089630","lipid metabolic process",0.00587311384407228,"GO:0006633","fatty acid biosynthetic process","BP","Fatty acid hydroxylase domain-containing protein 2"
"67","PGEN_.00g089630","lipid metabolic process",0.0176504260641862,"GO:0006661","phosphatidylinositol biosynthetic process","BP","Fatty acid hydroxylase domain-containing protein 2"
"68","PGEN_.00g089630","biosynthetic process",0.0059313622543644,"GO:0008610","lipid biosynthetic process","BP","Fatty acid hydroxylase domain-containing protein 2"
"69","PGEN_.00g089630","lipid metabolic process",0.0059313622543644,"GO:0008610","lipid biosynthetic process","BP","Fatty acid hydroxylase domain-containing protein 2"
"70","PGEN_.00g089630","lipid metabolic process",0.0251963181455334,"GO:0001523","retinoid metabolic process","BP","Fatty acid hydroxylase domain-containing protein 2"
"71","PGEN_.00g089630","biosynthetic process",0.00587311384407228,"GO:0006633","fatty acid biosynthetic process","BP","Fatty acid hydroxylase domain-containing protein 2"
"72","PGEN_.00g089630","lipid metabolic process",0.0160138812442658,"GO:0006635","fatty acid beta-oxidation","BP","Fatty acid hydroxylase domain-containing protein 2"
"73","PGEN_.00g120390","transport",1.31067151230975e-05,"GO:0006886","intracellular protein transport","BP","Cytoplasmic dynein 1 intermediate chain 2 (Cytoplasmic dynein intermediate chain 2) (Dynein intermediate chain 2, cytosolic) (DH IC-2)"
"74","PGEN_.00g120390","transport",6.80683492923425e-05,"GO:0015031","protein transport","BP","Cytoplasmic dynein 1 intermediate chain 2 (Cytoplasmic dynein intermediate chain 2) (Dynein intermediate chain 2, cytosolic) (DH IC-2)"
"75","PGEN_.00g120390","transport",0.00680230720995371,"GO:0046326","positive regulation of glucose import","BP","Cytoplasmic dynein 1 intermediate chain 2 (Cytoplasmic dynein intermediate chain 2) (Dynein intermediate chain 2, cytosolic) (DH IC-2)"
"76","PGEN_.00g120390","transport",0.0111202817469882,"GO:0072583","clathrin-dependent endocytosis","BP","Cytoplasmic dynein 1 intermediate chain 2 (Cytoplasmic dynein intermediate chain 2) (Dynein intermediate chain 2, cytosolic) (DH IC-2)"
"77","PGEN_.00g120390","vesicle-mediated transport",0.0111202817469882,"GO:0072583","clathrin-dependent endocytosis","BP","Cytoplasmic dynein 1 intermediate chain 2 (Cytoplasmic dynein intermediate chain 2) (Dynein intermediate chain 2, cytosolic) (DH IC-2)"
"78","PGEN_.00g120390","transport",0.0276675260737552,"GO:0006888","endoplasmic reticulum to Golgi vesicle-mediated transport","BP","Cytoplasmic dynein 1 intermediate chain 2 (Cytoplasmic dynein intermediate chain 2) (Dynein intermediate chain 2, cytosolic) (DH IC-2)"
"79","PGEN_.00g120390","vesicle-mediated transport",0.022326901575167,"GO:0006897","endocytosis","BP","Cytoplasmic dynein 1 intermediate chain 2 (Cytoplasmic dynein intermediate chain 2) (Dynein intermediate chain 2, cytosolic) (DH IC-2)"
"80","PGEN_.00g120390","vesicle-mediated transport",0.0396993693423278,"GO:0042147","retrograde transport, endosome to Golgi","BP","Cytoplasmic dynein 1 intermediate chain 2 (Cytoplasmic dynein intermediate chain 2) (Dynein intermediate chain 2, cytosolic) (DH IC-2)"
"81","PGEN_.00g120390","transport",0.0396993693423278,"GO:0042147","retrograde transport, endosome to Golgi","BP","Cytoplasmic dynein 1 intermediate chain 2 (Cytoplasmic dynein intermediate chain 2) (Dynein intermediate chain 2, cytosolic) (DH IC-2)"
"82","PGEN_.00g120390","transport",0.0297450262584826,"GO:1902600","proton transmembrane transport","BP","Cytoplasmic dynein 1 intermediate chain 2 (Cytoplasmic dynein intermediate chain 2) (Dynein intermediate chain 2, cytosolic) (DH IC-2)"
"83","PGEN_.00g120390","vesicle-mediated transport",0.0276675260737552,"GO:0006888","endoplasmic reticulum to Golgi vesicle-mediated transport","BP","Cytoplasmic dynein 1 intermediate chain 2 (Cytoplasmic dynein intermediate chain 2) (Dynein intermediate chain 2, cytosolic) (DH IC-2)"
"84","PGEN_.00g120390","transport",0.022326901575167,"GO:0006897","endocytosis","BP","Cytoplasmic dynein 1 intermediate chain 2 (Cytoplasmic dynein intermediate chain 2) (Dynein intermediate chain 2, cytosolic) (DH IC-2)"
"85","PGEN_.00g120490","signal transduction",0.0274731889596555,"GO:0007266","Rho protein signal transduction","BP","Ras-related protein ced-10 (CErac1) (Cell death protein 10) (Cell-corpse engulfment protein ced-10) (Ras-related protein rac-1)"
"86","PGEN_.00g120490","signal transduction",0.0140965855810916,"GO:0051897","positive regulation of protein kinase B signaling","BP","Ras-related protein ced-10 (CErac1) (Cell death protein 10) (Cell-corpse engulfment protein ced-10) (Ras-related protein rac-1)"
"87","PGEN_.00g120490","cytoskeleton organization",0.00157364137899085,"GO:0032956","regulation of actin cytoskeleton organization","BP","Ras-related protein ced-10 (CErac1) (Cell death protein 10) (Cell-corpse engulfment protein ced-10) (Ras-related protein rac-1)"
"88","PGEN_.00g127760","response to stress",0.000448211382694286,"GO:0042594","response to starvation","BP","Long-chain specific acyl-CoA dehydrogenase, mitochondrial (LCAD)"
"89","PGEN_.00g127760","response to stress",0.00678874824348966,"GO:0009409","response to cold","BP","Long-chain specific acyl-CoA dehydrogenase, mitochondrial (LCAD)"
"90","PGEN_.00g132570","transport",1.31067151230975e-05,"GO:0006886","intracellular protein transport","BP","Rab5 GDP/GTP exchange factor (Rabex-5)"
"91","PGEN_.00g132570","transport",0.00680230720995371,"GO:0046326","positive regulation of glucose import","BP","Rab5 GDP/GTP exchange factor (Rabex-5)"
"92","PGEN_.00g132570","transport",0.0276675260737552,"GO:0006888","endoplasmic reticulum to Golgi vesicle-mediated transport","BP","Rab5 GDP/GTP exchange factor (Rabex-5)"
"93","PGEN_.00g132570","transport",6.80683492923425e-05,"GO:0015031","protein transport","BP","Rab5 GDP/GTP exchange factor (Rabex-5)"
"94","PGEN_.00g132570","vesicle-mediated transport",0.0111202817469882,"GO:0072583","clathrin-dependent endocytosis","BP","Rab5 GDP/GTP exchange factor (Rabex-5)"
"95","PGEN_.00g132570","transport",0.0111202817469882,"GO:0072583","clathrin-dependent endocytosis","BP","Rab5 GDP/GTP exchange factor (Rabex-5)"
"96","PGEN_.00g132570","vesicle-mediated transport",0.0396993693423278,"GO:0042147","retrograde transport, endosome to Golgi","BP","Rab5 GDP/GTP exchange factor (Rabex-5)"
"97","PGEN_.00g132570","transport",0.0396993693423278,"GO:0042147","retrograde transport, endosome to Golgi","BP","Rab5 GDP/GTP exchange factor (Rabex-5)"
"98","PGEN_.00g132570","vesicle-mediated transport",0.022326901575167,"GO:0006897","endocytosis","BP","Rab5 GDP/GTP exchange factor (Rabex-5)"
"99","PGEN_.00g132570","transport",0.0297450262584826,"GO:1902600","proton transmembrane transport","BP","Rab5 GDP/GTP exchange factor (Rabex-5)"
"100","PGEN_.00g132570","vesicle-mediated transport",0.0276675260737552,"GO:0006888","endoplasmic reticulum to Golgi vesicle-mediated transport","BP","Rab5 GDP/GTP exchange factor (Rabex-5)"
"101","PGEN_.00g132570","transport",0.022326901575167,"GO:0006897","endocytosis","BP","Rab5 GDP/GTP exchange factor (Rabex-5)"
"102","PGEN_.00g165960","anatomical structure development",0.0189952805883812,"GO:0007275","multicellular organism development","BP","Nuclear receptor subfamily 1 group D member 2 (Orphan nuclear receptor RVR) (Rev-erb-beta)"
"103","PGEN_.00g165960","anatomical structure development",0.00362498673085415,"GO:0042472","inner ear morphogenesis","BP","Nuclear receptor subfamily 1 group D member 2 (Orphan nuclear receptor RVR) (Rev-erb-beta)"
