"","slim_term","slim_cat","GO_count","GO_terms","GO_list","Gene_count","Gene_IDs"
"1","cellular nitrogen compound metaboli...","GO:0034641",8,"GO:0000122","GO:0000122;GO:0006302;GO:0006357;GO:0006397;GO:0008380;GO:0017148;GO:0045944;GO:0051091",30,"PGEN_.00g014620;PGEN_.00g015770;PGEN_.00g018860;PGEN_.00g034140;PGEN_.00g045430;PGEN_.00g077840;PGEN_.00g083640;PGEN_.00g092010;PGEN_.00g104080;PGEN_.00g104170;PGEN_.00g104810;PGEN_.00g119570;PGEN_.00g127260;PGEN_.00g155000;PGEN_.00g164100;PGEN_.00g174680;PGEN_.00g175950;PGEN_.00g179590;PGEN_.00g183420;PGEN_.00g189530;PGEN_.00g198770;PGEN_.00g232090;PGEN_.00g234590;PGEN_.00g244000;PGEN_.00g248070;PGEN_.00g258910;PGEN_.00g302170;PGEN_.00g302300;PGEN_.00g308890;PGEN_.00g316700"
"2","biosynthetic process","GO:0009058",5,"GO:0000122","GO:0000122;GO:0006357;GO:0017148;GO:0045944;GO:0051091",22,"PGEN_.00g014620;PGEN_.00g015770;PGEN_.00g018860;PGEN_.00g034140;PGEN_.00g045430;PGEN_.00g083640;PGEN_.00g104080;PGEN_.00g104170;PGEN_.00g104810;PGEN_.00g119570;PGEN_.00g155000;PGEN_.00g164100;PGEN_.00g174680;PGEN_.00g183420;PGEN_.00g189530;PGEN_.00g198770;PGEN_.00g232090;PGEN_.00g244000;PGEN_.00g248070;PGEN_.00g302170;PGEN_.00g302300;PGEN_.00g316700"
"3","transcription, DNA-templated","GO:0006351",4,"GO:0000122","GO:0000122;GO:0006357;GO:0045944;GO:0051091",20,"PGEN_.00g014620;PGEN_.00g015770;PGEN_.00g018860;PGEN_.00g034140;PGEN_.00g083640;PGEN_.00g104080;PGEN_.00g104170;PGEN_.00g104810;PGEN_.00g119570;PGEN_.00g155000;PGEN_.00g164100;PGEN_.00g174680;PGEN_.00g183420;PGEN_.00g189530;PGEN_.00g198770;PGEN_.00g232090;PGEN_.00g244000;PGEN_.00g302170;PGEN_.00g302300;PGEN_.00g316700"
"4","cytoskeleton organization","GO:0007010",1,"GO:0000226","GO:0000226",3,"PGEN_.00g057650;PGEN_.00g127260;PGEN_.00g278620"
"5","anatomical structure development","GO:0048856",3,"GO:0001701","GO:0001701;GO:0007420;GO:0051965",14,"PGEN_.00g003480;PGEN_.00g058530;PGEN_.00g092010;PGEN_.00g114720;PGEN_.00g119570;PGEN_.00g155000;PGEN_.00g163060;PGEN_.00g177160;PGEN_.00g226740;PGEN_.00g239070;PGEN_.00g265020;PGEN_.00g278620;PGEN_.00g308890;PGEN_.00g326580"
"6","embryo development","GO:0009790",1,"GO:0001701","GO:0001701",7,"PGEN_.00g114720;PGEN_.00g155000;PGEN_.00g163060;PGEN_.00g177160;PGEN_.00g226740;PGEN_.00g239070;PGEN_.00g265020"
"7","response to stress","GO:0006950",2,"GO:0006302","GO:0006302;GO:0045087",9,"PGEN_.00g014620;PGEN_.00g058530;PGEN_.00g108610;PGEN_.00g164100;PGEN_.00g210270;PGEN_.00g210290;PGEN_.00g234590;PGEN_.00g244000;PGEN_.00g308890"
"8","DNA metabolic process","GO:0006259",1,"GO:0006302","GO:0006302",3,"PGEN_.00g014620;PGEN_.00g234590;PGEN_.00g308890"
"9","cellular protein modification proce...","GO:0006464",3,"GO:0006470","GO:0006470;GO:0016579;GO:0032147",15,"PGEN_.00g001960;PGEN_.00g014620;PGEN_.00g049540;PGEN_.00g056490;PGEN_.00g093280;PGEN_.00g116950;PGEN_.00g139380;PGEN_.00g141950;PGEN_.00g155000;PGEN_.00g186060;PGEN_.00g233710;PGEN_.00g239070;PGEN_.00g240170;PGEN_.00g244000;PGEN_.00g266680"
"10","homeostatic process","GO:0042592",3,"GO:0006874","GO:0006874;GO:0007204;GO:0042632",9,"PGEN_.00g047650;PGEN_.00g083050;PGEN_.00g109150;PGEN_.00g127070;PGEN_.00g164100;PGEN_.00g183210;PGEN_.00g183420;PGEN_.00g262720;PGEN_.00g265020"
