"","PgenIDs","slim_term","over_represented_pvalue","GO_terms","term","ontology","Gene_terms"
"1","PGEN_.00g021940","ion binding",0.00243454914033781,"GO:0008270","zinc ion binding","MF","Metastasis-associated protein MTA1"
"2","PGEN_.00g021940","ion binding",0.00221553369012673,"GO:0046872","metal ion binding","MF","Metastasis-associated protein MTA1"
"3","PGEN_.00g027840","ion binding",0.00243454914033781,"GO:0008270","zinc ion binding","MF","Endoribonuclease Dicer"
"4","PGEN_.00g027840","ion binding",0.00221553369012673,"GO:0046872","metal ion binding","MF","Endoribonuclease Dicer"
"5","PGEN_.00g041020","peptidase activity",0.000392759066061728,"GO:0004175","endopeptidase activity","MF","Ubiquitin carboxyl-terminal hydrolase 7"
"6","PGEN_.00g041020","peptidase activity",0.000523119634501489,"GO:0004197","cysteine-type endopeptidase activity","MF","Ubiquitin carboxyl-terminal hydrolase 7"
"7","PGEN_.00g048930","ion binding",0.00243454914033781,"GO:0008270","zinc ion binding","MF","Alcohol dehydrogenase class-3"
"8","PGEN_.00g048930","ion binding",0.00221553369012673,"GO:0046872","metal ion binding","MF","Alcohol dehydrogenase class-3"
"9","PGEN_.00g056680","ion binding",0.00221553369012673,"GO:0046872","metal ion binding","MF","Zinc finger protein 33B (Zinc finger protein 11B) (Zinc finger protein KOX2)"
"10","PGEN_.00g056680","ion binding",0.00243454914033781,"GO:0008270","zinc ion binding","MF","Zinc finger protein 33B (Zinc finger protein 11B) (Zinc finger protein KOX2)"
"11","PGEN_.00g071610","ion binding",0.00221553369012673,"GO:0046872","metal ion binding","MF","Death-associated inhibitor of apoptosis 1"
"12","PGEN_.00g071610","ion binding",0.00243454914033781,"GO:0008270","zinc ion binding","MF","Death-associated inhibitor of apoptosis 1"
"13","PGEN_.00g072090","ion binding",0.00221553369012673,"GO:0046872","metal ion binding","MF","Baculoviral IAP repeat-containing protein 7"
"14","PGEN_.00g072090","ion binding",0.00243454914033781,"GO:0008270","zinc ion binding","MF","Baculoviral IAP repeat-containing protein 7"
"15","PGEN_.00g111840","ion binding",0.00243454914033781,"GO:0008270","zinc ion binding","MF","Zinc finger protein 511"
"16","PGEN_.00g111840","ion binding",0.00221553369012673,"GO:0046872","metal ion binding","MF","Zinc finger protein 511"
"17","PGEN_.00g125900","ion binding",0.00243454914033781,"GO:0008270","zinc ion binding","MF","Zinc finger protein 415"
"18","PGEN_.00g125900","ion binding",0.00221553369012673,"GO:0046872","metal ion binding","MF","Zinc finger protein 415"
"19","PGEN_.00g132570","ion binding",0.00221553369012673,"GO:0046872","metal ion binding","MF","Rab5 GDP/GTP exchange factor (Rabex-5)"
"20","PGEN_.00g132570","ion binding",0.00243454914033781,"GO:0008270","zinc ion binding","MF","Rab5 GDP/GTP exchange factor (Rabex-5)"
"21","PGEN_.00g140190","ion binding",0.00221553369012673,"GO:0046872","metal ion binding","MF","PHD finger protein 12 (PHD factor 1) (Pf1)"
"22","PGEN_.00g140190","ion binding",0.00243454914033781,"GO:0008270","zinc ion binding","MF","PHD finger protein 12 (PHD factor 1) (Pf1)"
"23","PGEN_.00g142180","ion binding",0.00243454914033781,"GO:0008270","zinc ion binding","MF","S-adenosyl-L-methionine-dependent tRNA 4-demethylwyosine synthase TYW1"
"24","PGEN_.00g142180","ion binding",0.00221553369012673,"GO:0046872","metal ion binding","MF","S-adenosyl-L-methionine-dependent tRNA 4-demethylwyosine synthase TYW1"
"25","PGEN_.00g156290","ion binding",0.00221553369012673,"GO:0046872","metal ion binding","MF","Serine/arginine-rich splicing factor RS2Z33 (RS-containing zinc finger protein 33) (At-RS2Z33) (At-RSZ33) (AtRSZ33)"
"26","PGEN_.00g156290","ion binding",0.00243454914033781,"GO:0008270","zinc ion binding","MF","Serine/arginine-rich splicing factor RS2Z33 (RS-containing zinc finger protein 33) (At-RS2Z33) (At-RSZ33) (AtRSZ33)"
"27","PGEN_.00g160870","ion binding",0.00221553369012673,"GO:0046872","metal ion binding","MF","DNA-directed RNA polymerases I, II, and III subunit RPABC5 (RNA polymerases I, II, and III subunit ABC5) (DNA-directed RNA polymerase III subunit L) (RNA polymerase II 7.6 kDa subunit) (RPB7.6) (RPB10 homolog)"
"28","PGEN_.00g160870","ion binding",0.00243454914033781,"GO:0008270","zinc ion binding","MF","DNA-directed RNA polymerases I, II, and III subunit RPABC5 (RNA polymerases I, II, and III subunit ABC5) (DNA-directed RNA polymerase III subunit L) (RNA polymerase II 7.6 kDa subunit) (RPB7.6) (RPB10 homolog)"
"29","PGEN_.00g165960","DNA-binding transcription factor ac...",0.0176386708546468,"GO:0000981","DNA-binding transcription factor activity, RNA polymerase II-specific","MF","Nuclear receptor subfamily 1 group D member 2 (Orphan nuclear receptor RVR) (Rev-erb-beta)"
"30","PGEN_.00g165960","ion binding",0.00243454914033781,"GO:0008270","zinc ion binding","MF","Nuclear receptor subfamily 1 group D member 2 (Orphan nuclear receptor RVR) (Rev-erb-beta)"
"31","PGEN_.00g165960","ion binding",0.00221553369012673,"GO:0046872","metal ion binding","MF","Nuclear receptor subfamily 1 group D member 2 (Orphan nuclear receptor RVR) (Rev-erb-beta)"
"32","PGEN_.00g177880","ion binding",0.00243454914033781,"GO:0008270","zinc ion binding","MF","E3 ubiquitin-protein ligase AMFR"
"33","PGEN_.00g177880","ion binding",0.00221553369012673,"GO:0046872","metal ion binding","MF","E3 ubiquitin-protein ligase AMFR"
"34","PGEN_.00g178990","ion binding",0.00243454914033781,"GO:0008270","zinc ion binding","MF","Lipopolysaccharide-induced tumor necrosis factor-alpha factor homolog (LPS-induced TNF-alpha factor homolog) (Small integral membrane protein of lysosome/late endosome)"
"35","PGEN_.00g178990","ion binding",0.00221553369012673,"GO:0046872","metal ion binding","MF","Lipopolysaccharide-induced tumor necrosis factor-alpha factor homolog (LPS-induced TNF-alpha factor homolog) (Small integral membrane protein of lysosome/late endosome)"
"36","PGEN_.00g179020","DNA-binding transcription factor ac...",0.0176386708546468,"GO:0000981","DNA-binding transcription factor activity, RNA polymerase II-specific","MF","Homeobox protein araucan"
"37","PGEN_.00g197630","ion binding",0.00221553369012673,"GO:0046872","metal ion binding","MF","Cytosolic carboxypeptidase 1"
"38","PGEN_.00g197630","ion binding",0.00243454914033781,"GO:0008270","zinc ion binding","MF","Cytosolic carboxypeptidase 1"
"39","PGEN_.00g200590","ion binding",0.00221553369012673,"GO:0046872","metal ion binding","MF","Tyrosine-protein kinase CSK"
"40","PGEN_.00g200590","ion binding",0.00243454914033781,"GO:0008270","zinc ion binding","MF","Tyrosine-protein kinase CSK"
"41","PGEN_.00g201390","ion binding",0.00243454914033781,"GO:0008270","zinc ion binding","MF","Polypeptide N-acetylgalactosaminyltransferase 2 (pp-GaNTase 2)"
"42","PGEN_.00g201390","ion binding",0.00221553369012673,"GO:0046872","metal ion binding","MF","Polypeptide N-acetylgalactosaminyltransferase 2 (pp-GaNTase 2)"
"43","PGEN_.00g219730","ion binding",0.00243454914033781,"GO:0008270","zinc ion binding","MF","Zinc finger protein 862"
"44","PGEN_.00g219730","ion binding",0.00221553369012673,"GO:0046872","metal ion binding","MF","Zinc finger protein 862"
"45","PGEN_.00g227830","ion binding",0.00243454914033781,"GO:0008270","zinc ion binding","MF","Zinc finger protein ZIC 4 (XlZic4) (Zinc finger protein of the cerebellum 4)"
"46","PGEN_.00g227830","ion binding",0.00221553369012673,"GO:0046872","metal ion binding","MF","Zinc finger protein ZIC 4 (XlZic4) (Zinc finger protein of the cerebellum 4)"
"47","PGEN_.00g228480","ion binding",0.00221553369012673,"GO:0046872","metal ion binding","MF","Mitochondrial intermediate peptidase (MIP)"
"48","PGEN_.00g228480","peptidase activity",0.000523119634501489,"GO:0004197","cysteine-type endopeptidase activity","MF","Mitochondrial intermediate peptidase (MIP)"
"49","PGEN_.00g228480","peptidase activity",0.000392759066061728,"GO:0004175","endopeptidase activity","MF","Mitochondrial intermediate peptidase (MIP)"
"50","PGEN_.00g228480","ion binding",0.00243454914033781,"GO:0008270","zinc ion binding","MF","Mitochondrial intermediate peptidase (MIP)"
"51","PGEN_.00g236680","ion binding",0.00221553369012673,"GO:0046872","metal ion binding","MF","Zinc finger protein 28 (Zfp-28) (Protein mKR5)"
"52","PGEN_.00g236680","ion binding",0.00243454914033781,"GO:0008270","zinc ion binding","MF","Zinc finger protein 28 (Zfp-28) (Protein mKR5)"
"53","PGEN_.00g258020","ion binding",0.00243454914033781,"GO:0008270","zinc ion binding","MF","Acylpyruvase FAHD1, mitochondrial"
"54","PGEN_.00g258020","ion binding",0.00221553369012673,"GO:0046872","metal ion binding","MF","Acylpyruvase FAHD1, mitochondrial"
"55","PGEN_.00g298200","peptidase activity",0.000523119634501489,"GO:0004197","cysteine-type endopeptidase activity","MF","Cathepsin B"
"56","PGEN_.00g298200","peptidase activity",0.000392759066061728,"GO:0004175","endopeptidase activity","MF","Cathepsin B"
"57","PGEN_.00g298410","peptidase activity",0.000523119634501489,"GO:0004197","cysteine-type endopeptidase activity","MF","Cathepsin B"
"58","PGEN_.00g298410","peptidase activity",0.000392759066061728,"GO:0004175","endopeptidase activity","MF","Cathepsin B"
"59","PGEN_.00g303670","ion binding",0.00221553369012673,"GO:0046872","metal ion binding","MF","Zinc finger and BTB domain-containing protein 24 (Zinc finger protein 450)"
"60","PGEN_.00g303670","ion binding",0.00243454914033781,"GO:0008270","zinc ion binding","MF","Zinc finger and BTB domain-containing protein 24 (Zinc finger protein 450)"
"61","PGEN_.00g305330","ion binding",0.00221553369012673,"GO:0046872","metal ion binding","MF","Poly(U)-specific endoribonuclease"
"62","PGEN_.00g305330","ion binding",0.00243454914033781,"GO:0008270","zinc ion binding","MF","Poly(U)-specific endoribonuclease"
