"","Cgigas_KEGG_IDs","Cgigas_PathwayID","Pathway_Description","Pathway_gene_list","Pathway_gene_count","gene_IDs","Gene_terms"
"1","crg:105317035","crg04146","Peroxisome","105317035/105319409/105320492/105320624/105325181/105329358/105332999/105336995/105338951/105339902/105342001/105342925/105346656",13,"105317035","D-aspartate oxidase"
"2","crg:105317810","crg04144","Endocytosis","105317810/105318103/105318650/105320540/105326718/105327720/105328080/105333773/105334470/105335021/105337075/105337930/105339937/105339958/105342074/105342447/105342463/105347356/105333224",19,"105317810","AP-2 complex subunit sigma"
"3","crg:105318103","crg04144","Endocytosis","105317810/105318103/105318650/105320540/105326718/105327720/105328080/105333773/105334470/105335021/105337075/105337930/105339937/105339958/105342074/105342447/105342463/105347356/105333224",19,"105318103","cdc42 homolog"
"4","crg:105318146","crg04142","Lysosome","105318146/105318218/105319353/105320723/105323285/105325272/105326821/105328336/105328916/105329422/105329527/105331028/105331657/105334333/105335927/105336087/105339958/105340763/105342463/105347059/105339566",21,"105318146","ganglioside GM2 activator"
"5","crg:105318218","crg04142","Lysosome","105318146/105318218/105319353/105320723/105323285/105325272/105326821/105328336/105328916/105329422/105329527/105331028/105331657/105334333/105335927/105336087/105339958/105340763/105342463/105347059/105339566",21,"105318218","V-type proton ATPase subunit d"
"6","crg:105318650","crg04144","Endocytosis","105317810/105318103/105318650/105320540/105326718/105327720/105328080/105333773/105334470/105335021/105337075/105337930/105339937/105339958/105342074/105342447/105342463/105347356/105333224",19,"105318650","vacuolar protein sorting-associated protein 29"
"7","crg:105319102","crg00071","Fatty acid degradation","105319102/105319409/105321895/105332999/105333323/105333437/105335621/105336470/105342925/105346656/105348652/105326193",12,"105319102","carnitine O-palmitoyltransferase 1, liver isoform"
"8","crg:105319102","crg01212","Fatty acid metabolism","105319102/105319409/105320624/105321895/105325272/105330728/105332999/105333323/105333437/105342925/105346656/105348652",12,"105319102","carnitine O-palmitoyltransferase 1, liver isoform"
"9","crg:105319353","crg04142","Lysosome","105318146/105318218/105319353/105320723/105323285/105325272/105326821/105328336/105328916/105329422/105329527/105331028/105331657/105334333/105335927/105336087/105339958/105340763/105342463/105347059/105339566",21,"105319353","legumain"
"10","crg:105319409","crg00071","Fatty acid degradation","105319102/105319409/105321895/105332999/105333323/105333437/105335621/105336470/105342925/105346656/105348652/105326193",12,"105319409","peroxisomal acyl-coenzyme A oxidase 1"
"11","crg:105319409","crg04146","Peroxisome","105317035/105319409/105320492/105320624/105325181/105329358/105332999/105336995/105338951/105339902/105342001/105342925/105346656",13,"105319409","peroxisomal acyl-coenzyme A oxidase 1"
"12","crg:105319409","crg00410","beta-Alanine metabolism","105319409/105331957/105332278/105340590/105346656/105326193",6,"105319409","peroxisomal acyl-coenzyme A oxidase 1"
