"","Cgigas_KEGG_IDs","Cgigas_PathwayID","Pathway_Description","Pathway_gene_list","Pathway_gene_count","gene_IDs","Gene_terms"
"1","crg:105317810","crg04144","Endocytosis","105321025/105317810/105324517/105333773/105336720/105339958/105342258/105342781/105348659/105343449",10,"105317810","AP-2 complex subunit sigma"
"2","crg:105321025","crg04144","Endocytosis","105321025/105317810/105324517/105333773/105336720/105339958/105342258/105342781/105348659/105343449",10,"105321025","charged multivesicular body protein 5"
"3","crg:105324517","crg04144","Endocytosis","105321025/105317810/105324517/105333773/105336720/105339958/105342258/105342781/105348659/105343449",10,"105324517","G protein-coupled receptor kinase 5"
"4","crg:105333773","crg04144","Endocytosis","105321025/105317810/105324517/105333773/105336720/105339958/105342258/105342781/105348659/105343449",10,"105333773","charged multivesicular body protein 2b"
"5","crg:105336720","crg04144","Endocytosis","105321025/105317810/105324517/105333773/105336720/105339958/105342258/105342781/105348659/105343449",10,"105336720","ADP-ribosylation factor 4"
"6","crg:105339958","crg04144","Endocytosis","105321025/105317810/105324517/105333773/105336720/105339958/105342258/105342781/105348659/105343449",10,"105339958","cation-independent mannose-6-phosphate receptor"
"7","crg:105342258","crg04144","Endocytosis","105321025/105317810/105324517/105333773/105336720/105339958/105342258/105342781/105348659/105343449",10,"105342258","E3 ubiquitin-protein ligase CBL-B"
"8","crg:105342781","crg04144","Endocytosis","105321025/105317810/105324517/105333773/105336720/105339958/105342258/105342781/105348659/105343449",10,"105342781","ras-like GTP-binding protein RHO"
"9","crg:105343449","crg04144","Endocytosis","105321025/105317810/105324517/105333773/105336720/105339958/105342258/105342781/105348659/105343449",10,"105343449","NEDD4-like E3 ubiquitin-protein ligase WWP1"
"10","crg:105348659","crg04144","Endocytosis","105321025/105317810/105324517/105333773/105336720/105339958/105342258/105342781/105348659/105343449",10,"105348659","TNF receptor-associated factor 6"
