"","Cgigas_KEGG_IDs","Cgigas_PathwayID","Pathway_Description","Pathway_gene_list","Pathway_gene_count","gene_IDs","Gene_name"
"1","crg:105317044","crg01200","Carbon metabolism","105336648/105341094/105336470/105339902/105317783/105332278/105346656/105335896/105333137/105330227/105332291/105339502/105329204/105330845/105339789/105337089/105341248/105331916/105340512/105347662/105317044",21,"105317044","cytoplasmic aconitate hydratase isoform X1"
"2","crg:105317406","crg04144","Endocytosis","105318284/105317810/105318103/105342074/105333900/105340300/105347356/105336007/105339958/109619106/105321025/105325897/105340059/105342245/105333224/105342447/105335021/105325540/105342944/105322050/105328970/105327432/105317406/105332531/105342783/105317888/105337930/105326340/105342463/105329694",30,"105317406","early endosome antigen 1"
"3","crg:105317506","crg03010","Ribosome","105340582/105347132/105342397/105332191/105339837/105331823/105342603/105332495/105348141/105348361/105347326/105335873/105324897/105317506/105344628/105324073/105338085/105341326/105348430/105328421/105342025/105333469/105325638/105347733/105319573/105347800/105338870/105338606/105338035/105330605/105329912/105340032/105344646/105319364/105321315",35,"105317506","40S ribosomal protein S11"
"4","crg:105317783","crg01200","Carbon metabolism","105336648/105341094/105336470/105339902/105317783/105332278/105346656/105335896/105333137/105330227/105332291/105339502/105329204/105330845/105339789/105337089/105341248/105331916/105340512/105347662/105317044",21,"105317783","hexokinase-1"
"5","crg:105317810","crg04144","Endocytosis","105318284/105317810/105318103/105342074/105333900/105340300/105347356/105336007/105339958/109619106/105321025/105325897/105340059/105342245/105333224/105342447/105335021/105325540/105342944/105322050/105328970/105327432/105317406/105332531/105342783/105317888/105337930/105326340/105342463/105329694",30,"105317810","AP-2 complex subunit sigma isoform X1"
"6","crg:105317888","crg04144","Endocytosis","105318284/105317810/105318103/105342074/105333900/105340300/105347356/105336007/105339958/109619106/105321025/105325897/105340059/105342245/105333224/105342447/105335021/105325540/105342944/105322050/105328970/105327432/105317406/105332531/105342783/105317888/105337930/105326340/105342463/105329694",30,"105317888","actin-related protein 3 isoform X1"
"7","crg:105318103","crg04144","Endocytosis","105318284/105317810/105318103/105342074/105333900/105340300/105347356/105336007/105339958/109619106/105321025/105325897/105340059/105342245/105333224/105342447/105335021/105325540/105342944/105322050/105328970/105327432/105317406/105332531/105342783/105317888/105337930/105326340/105342463/105329694",30,"105318103","cdc42 homolog"
"8","crg:105318218","crg04142","Lysosome","105348565/105340688/105340690/105319353/105347059/105323790/105320723/105339958/105329422/105321566/105326821/105331028/105340059/105333214/105318218/105325388/105339566/105344281/105338718/105334333/105337411/105328916/105318342/105338347/105341804/105342463/105344064/105320698/105323775/105338683/105331760",31,"105318218","V-type proton ATPase subunit d-like"
"9","crg:105318284","crg04144","Endocytosis","105318284/105317810/105318103/105342074/105333900/105340300/105347356/105336007/105339958/109619106/105321025/105325897/105340059/105342245/105333224/105342447/105335021/105325540/105342944/105322050/105328970/105327432/105317406/105332531/105342783/105317888/105337930/105326340/105342463/105329694",30,"105318284","ADP-ribosylation factor GTPase-activating protein 1 isoform X1"
"10","crg:105318342","crg04142","Lysosome","105348565/105340688/105340690/105319353/105347059/105323790/105320723/105339958/105329422/105321566/105326821/105331028/105340059/105333214/105318218/105325388/105339566/105344281/105338718/105334333/105337411/105328916/105318342/105338347/105341804/105342463/105344064/105320698/105323775/105338683/105331760",31,"105318342","V-type proton ATPase subunit H isoform X1"
