"","Cgigas_KEGG_IDs","Cgigas_PathwayID","Pathway_Description","Pathway_gene_list","Pathway_gene_count","gene_IDs","Gene_name"
"1","crg:105317113","crg03010","Ribosome","105319797/105340582/105347132/105342397/105332191/105331157/105339837/105325786/105331823/105317113/105342603/105337988/105348141/105335803/105321543/105348361/105347326/105335873/105339104/105321589/105337115/105319021/105317506/105344628/105324073/105338085/105341326/105330130/105348430/105342025/105333469/105325638/105347733/105319573/105347800/105338870/105338606/105338035/105338952/105340032/105344646/105319364/105321315/105318789/105323167",45,"105317113","60S ribosomal protein L10a-like"
"2","crg:105317506","crg03010","Ribosome","105319797/105340582/105347132/105342397/105332191/105331157/105339837/105325786/105331823/105317113/105342603/105337988/105348141/105335803/105321543/105348361/105347326/105335873/105339104/105321589/105337115/105319021/105317506/105344628/105324073/105338085/105341326/105330130/105348430/105342025/105333469/105325638/105347733/105319573/105347800/105338870/105338606/105338035/105338952/105340032/105344646/105319364/105321315/105318789/105323167",45,"105317506","40S ribosomal protein S11"
"3","crg:105318424","crg00190","Oxidative phosphorylation","105343349/109618245/105319162/105344113/105347217/105318424/105319312/105328413/105332067/105323421/105338985/105319097/105337089",13,"105318424","NADH dehydrogenase [ubiquinone] flavoprotein 2, mitochondrial-like"
"4","crg:105318789","crg03010","Ribosome","105319797/105340582/105347132/105342397/105332191/105331157/105339837/105325786/105331823/105317113/105342603/105337988/105348141/105335803/105321543/105348361/105347326/105335873/105339104/105321589/105337115/105319021/105317506/105344628/105324073/105338085/105341326/105330130/105348430/105342025/105333469/105325638/105347733/105319573/105347800/105338870/105338606/105338035/105338952/105340032/105344646/105319364/105321315/105318789/105323167",45,"105318789","40S ribosomal protein S26"
"5","crg:105319021","crg03010","Ribosome","105319797/105340582/105347132/105342397/105332191/105331157/105339837/105325786/105331823/105317113/105342603/105337988/105348141/105335803/105321543/105348361/105347326/105335873/105339104/105321589/105337115/105319021/105317506/105344628/105324073/105338085/105341326/105330130/105348430/105342025/105333469/105325638/105347733/105319573/105347800/105338870/105338606/105338035/105338952/105340032/105344646/105319364/105321315/105318789/105323167",45,"105319021","60S ribosomal protein L15"
"6","crg:105319097","crg00190","Oxidative phosphorylation","105343349/109618245/105319162/105344113/105347217/105318424/105319312/105328413/105332067/105323421/105338985/105319097/105337089",13,"105319097","ATP synthase subunit beta, mitochondrial"
"7","crg:105319162","crg00190","Oxidative phosphorylation","105343349/109618245/105319162/105344113/105347217/105318424/105319312/105328413/105332067/105323421/105338985/105319097/105337089",13,"105319162","LOW QUALITY PROTEIN: ATP synthase lipid-binding protein, mitochondrial-like"
"8","crg:105319312","crg00190","Oxidative phosphorylation","105343349/109618245/105319162/105344113/105347217/105318424/105319312/105328413/105332067/105323421/105338985/105319097/105337089",13,"105319312","NADH dehydrogenase [ubiquinone] iron-sulfur protein 3, mitochondrial"
"9","crg:105319364","crg03010","Ribosome","105319797/105340582/105347132/105342397/105332191/105331157/105339837/105325786/105331823/105317113/105342603/105337988/105348141/105335803/105321543/105348361/105347326/105335873/105339104/105321589/105337115/105319021/105317506/105344628/105324073/105338085/105341326/105330130/105348430/105342025/105333469/105325638/105347733/105319573/105347800/105338870/105338606/105338035/105338952/105340032/105344646/105319364/105321315/105318789/105323167",45,"105319364","60S acidic ribosomal protein P0"
"10","crg:105319573","crg03010","Ribosome","105319797/105340582/105347132/105342397/105332191/105331157/105339837/105325786/105331823/105317113/105342603/105337988/105348141/105335803/105321543/105348361/105347326/105335873/105339104/105321589/105337115/105319021/105317506/105344628/105324073/105338085/105341326/105330130/105348430/105342025/105333469/105325638/105347733/105319573/105347800/105338870/105338606/105338035/105338952/105340032/105344646/105319364/105321315/105318789/105323167",45,"105319573","60S ribosomal protein L37a"
"11","crg:105319797","crg03010","Ribosome","105319797/105340582/105347132/105342397/105332191/105331157/105339837/105325786/105331823/105317113/105342603/105337988/105348141/105335803/105321543/105348361/105347326/105335873/105339104/105321589/105337115/105319021/105317506/105344628/105324073/105338085/105341326/105330130/105348430/105342025/105333469/105325638/105347733/105319573/105347800/105338870/105338606/105338035/105338952/105340032/105344646/105319364/105321315/105318789/105323167",45,"105319797","40S ribosomal protein S7"
"12","crg:105321315","crg03010","Ribosome","105319797/105340582/105347132/105342397/105332191/105331157/105339837/105325786/105331823/105317113/105342603/105337988/105348141/105335803/105321543/105348361/105347326/105335873/105339104/105321589/105337115/105319021/105317506/105344628/105324073/105338085/105341326/105330130/105348430/105342025/105333469/105325638/105347733/105319573/105347800/105338870/105338606/105338035/105338952/105340032/105344646/105319364/105321315/105318789/105323167",45,"105321315","60S ribosomal protein L19"
"13","crg:105321543","crg03010","Ribosome","105319797/105340582/105347132/105342397/105332191/105331157/105339837/105325786/105331823/105317113/105342603/105337988/105348141/105335803/105321543/105348361/105347326/105335873/105339104/105321589/105337115/105319021/105317506/105344628/105324073/105338085/105341326/105330130/105348430/105342025/105333469/105325638/105347733/105319573/105347800/105338870/105338606/105338035/105338952/105340032/105344646/105319364/105321315/105318789/105323167",45,"105321543","60S ribosomal protein L21-like"
"14","crg:105321589","crg03010","Ribosome","105319797/105340582/105347132/105342397/105332191/105331157/105339837/105325786/105331823/105317113/105342603/105337988/105348141/105335803/105321543/105348361/105347326/105335873/105339104/105321589/105337115/105319021/105317506/105344628/105324073/105338085/105341326/105330130/105348430/105342025/105333469/105325638/105347733/105319573/105347800/105338870/105338606/105338035/105338952/105340032/105344646/105319364/105321315/105318789/105323167",45,"105321589","60S ribosomal protein L6"
"15","crg:105323167","crg03010","Ribosome","105319797/105340582/105347132/105342397/105332191/105331157/105339837/105325786/105331823/105317113/105342603/105337988/105348141/105335803/105321543/105348361/105347326/105335873/105339104/105321589/105337115/105319021/105317506/105344628/105324073/105338085/105341326/105330130/105348430/105342025/105333469/105325638/105347733/105319573/105347800/105338870/105338606/105338035/105338952/105340032/105344646/105319364/105321315/105318789/105323167",45,"105323167","40S ribosomal protein S27-like"
"16","crg:105323421","crg00190","Oxidative phosphorylation","105343349/109618245/105319162/105344113/105347217/105318424/105319312/105328413/105332067/105323421/105338985/105319097/105337089",13,"105323421","probable NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 12"
"17","crg:105324073","crg03010","Ribosome","105319797/105340582/105347132/105342397/105332191/105331157/105339837/105325786/105331823/105317113/105342603/105337988/105348141/105335803/105321543/105348361/105347326/105335873/105339104/105321589/105337115/105319021/105317506/105344628/105324073/105338085/105341326/105330130/105348430/105342025/105333469/105325638/105347733/105319573/105347800/105338870/105338606/105338035/105338952/105340032/105344646/105319364/105321315/105318789/105323167",45,"105324073","60S ribosomal protein L12"
"18","crg:105325638","crg03010","Ribosome","105319797/105340582/105347132/105342397/105332191/105331157/105339837/105325786/105331823/105317113/105342603/105337988/105348141/105335803/105321543/105348361/105347326/105335873/105339104/105321589/105337115/105319021/105317506/105344628/105324073/105338085/105341326/105330130/105348430/105342025/105333469/105325638/105347733/105319573/105347800/105338870/105338606/105338035/105338952/105340032/105344646/105319364/105321315/105318789/105323167",45,"105325638","60S ribosomal protein L26-like"
"19","crg:105325786","crg03010","Ribosome","105319797/105340582/105347132/105342397/105332191/105331157/105339837/105325786/105331823/105317113/105342603/105337988/105348141/105335803/105321543/105348361/105347326/105335873/105339104/105321589/105337115/105319021/105317506/105344628/105324073/105338085/105341326/105330130/105348430/105342025/105333469/105325638/105347733/105319573/105347800/105338870/105338606/105338035/105338952/105340032/105344646/105319364/105321315/105318789/105323167",45,"105325786","39S ribosomal protein L27, mitochondrial-like"
"20","crg:105328413","crg00190","Oxidative phosphorylation","105343349/109618245/105319162/105344113/105347217/105318424/105319312/105328413/105332067/105323421/105338985/105319097/105337089",13,"105328413","NADH dehydrogenase [ubiquinone] iron-sulfur protein 4, mitochondrial isoform X2"
"21","crg:105330130","crg03010","Ribosome","105319797/105340582/105347132/105342397/105332191/105331157/105339837/105325786/105331823/105317113/105342603/105337988/105348141/105335803/105321543/105348361/105347326/105335873/105339104/105321589/105337115/105319021/105317506/105344628/105324073/105338085/105341326/105330130/105348430/105342025/105333469/105325638/105347733/105319573/105347800/105338870/105338606/105338035/105338952/105340032/105344646/105319364/105321315/105318789/105323167",45,"105330130","60S ribosomal protein L4"
"22","crg:105331157","crg03010","Ribosome","105319797/105340582/105347132/105342397/105332191/105331157/105339837/105325786/105331823/105317113/105342603/105337988/105348141/105335803/105321543/105348361/105347326/105335873/105339104/105321589/105337115/105319021/105317506/105344628/105324073/105338085/105341326/105330130/105348430/105342025/105333469/105325638/105347733/105319573/105347800/105338870/105338606/105338035/105338952/105340032/105344646/105319364/105321315/105318789/105323167",45,"105331157","40S ribosomal protein S15Aa"
"23","crg:105331823","crg03010","Ribosome","105319797/105340582/105347132/105342397/105332191/105331157/105339837/105325786/105331823/105317113/105342603/105337988/105348141/105335803/105321543/105348361/105347326/105335873/105339104/105321589/105337115/105319021/105317506/105344628/105324073/105338085/105341326/105330130/105348430/105342025/105333469/105325638/105347733/105319573/105347800/105338870/105338606/105338035/105338952/105340032/105344646/105319364/105321315/105318789/105323167",45,"105331823","40S ribosomal protein S24-like isoform X1"
"24","crg:105332067","crg00190","Oxidative phosphorylation","105343349/109618245/105319162/105344113/105347217/105318424/105319312/105328413/105332067/105323421/105338985/105319097/105337089",13,"105332067","ATP synthase subunit alpha, mitochondrial-like"
"25","crg:105332191","crg03010","Ribosome","105319797/105340582/105347132/105342397/105332191/105331157/105339837/105325786/105331823/105317113/105342603/105337988/105348141/105335803/105321543/105348361/105347326/105335873/105339104/105321589/105337115/105319021/105317506/105344628/105324073/105338085/105341326/105330130/105348430/105342025/105333469/105325638/105347733/105319573/105347800/105338870/105338606/105338035/105338952/105340032/105344646/105319364/105321315/105318789/105323167",45,"105332191","40S ribosomal protein S2"
"26","crg:105333469","crg03010","Ribosome","105319797/105340582/105347132/105342397/105332191/105331157/105339837/105325786/105331823/105317113/105342603/105337988/105348141/105335803/105321543/105348361/105347326/105335873/105339104/105321589/105337115/105319021/105317506/105344628/105324073/105338085/105341326/105330130/105348430/105342025/105333469/105325638/105347733/105319573/105347800/105338870/105338606/105338035/105338952/105340032/105344646/105319364/105321315/105318789/105323167",45,"105333469","60S ribosomal protein L35a"
"27","crg:105335803","crg03010","Ribosome","105319797/105340582/105347132/105342397/105332191/105331157/105339837/105325786/105331823/105317113/105342603/105337988/105348141/105335803/105321543/105348361/105347326/105335873/105339104/105321589/105337115/105319021/105317506/105344628/105324073/105338085/105341326/105330130/105348430/105342025/105333469/105325638/105347733/105319573/105347800/105338870/105338606/105338035/105338952/105340032/105344646/105319364/105321315/105318789/105323167",45,"105335803","60S ribosomal protein L13a"
"28","crg:105335873","crg03010","Ribosome","105319797/105340582/105347132/105342397/105332191/105331157/105339837/105325786/105331823/105317113/105342603/105337988/105348141/105335803/105321543/105348361/105347326/105335873/105339104/105321589/105337115/105319021/105317506/105344628/105324073/105338085/105341326/105330130/105348430/105342025/105333469/105325638/105347733/105319573/105347800/105338870/105338606/105338035/105338952/105340032/105344646/105319364/105321315/105318789/105323167",45,"105335873","40S ribosomal protein S3"
"29","crg:105337089","crg00190","Oxidative phosphorylation","105343349/109618245/105319162/105344113/105347217/105318424/105319312/105328413/105332067/105323421/105338985/105319097/105337089",13,"105337089","succinate dehydrogenase [ubiquinone] flavoprotein subunit, mitochondrial"
"30","crg:105337115","crg03010","Ribosome","105319797/105340582/105347132/105342397/105332191/105331157/105339837/105325786/105331823/105317113/105342603/105337988/105348141/105335803/105321543/105348361/105347326/105335873/105339104/105321589/105337115/105319021/105317506/105344628/105324073/105338085/105341326/105330130/105348430/105342025/105333469/105325638/105347733/105319573/105347800/105338870/105338606/105338035/105338952/105340032/105344646/105319364/105321315/105318789/105323167",45,"105337115","60S ribosomal protein L32"
"31","crg:105337988","crg03010","Ribosome","105319797/105340582/105347132/105342397/105332191/105331157/105339837/105325786/105331823/105317113/105342603/105337988/105348141/105335803/105321543/105348361/105347326/105335873/105339104/105321589/105337115/105319021/105317506/105344628/105324073/105338085/105341326/105330130/105348430/105342025/105333469/105325638/105347733/105319573/105347800/105338870/105338606/105338035/105338952/105340032/105344646/105319364/105321315/105318789/105323167",45,"105337988","39S ribosomal protein L21, mitochondrial"
"32","crg:105338035","crg03010","Ribosome","105319797/105340582/105347132/105342397/105332191/105331157/105339837/105325786/105331823/105317113/105342603/105337988/105348141/105335803/105321543/105348361/105347326/105335873/105339104/105321589/105337115/105319021/105317506/105344628/105324073/105338085/105341326/105330130/105348430/105342025/105333469/105325638/105347733/105319573/105347800/105338870/105338606/105338035/105338952/105340032/105344646/105319364/105321315/105318789/105323167",45,"105338035","60S ribosomal protein L11"
"33","crg:105338085","crg03010","Ribosome","105319797/105340582/105347132/105342397/105332191/105331157/105339837/105325786/105331823/105317113/105342603/105337988/105348141/105335803/105321543/105348361/105347326/105335873/105339104/105321589/105337115/105319021/105317506/105344628/105324073/105338085/105341326/105330130/105348430/105342025/105333469/105325638/105347733/105319573/105347800/105338870/105338606/105338035/105338952/105340032/105344646/105319364/105321315/105318789/105323167",45,"105338085","40S ribosomal protein S13"
"34","crg:105338606","crg03010","Ribosome","105319797/105340582/105347132/105342397/105332191/105331157/105339837/105325786/105331823/105317113/105342603/105337988/105348141/105335803/105321543/105348361/105347326/105335873/105339104/105321589/105337115/105319021/105317506/105344628/105324073/105338085/105341326/105330130/105348430/105342025/105333469/105325638/105347733/105319573/105347800/105338870/105338606/105338035/105338952/105340032/105344646/105319364/105321315/105318789/105323167",45,"105338606","60S ribosomal protein L5-like"
"35","crg:105338870","crg03010","Ribosome","105319797/105340582/105347132/105342397/105332191/105331157/105339837/105325786/105331823/105317113/105342603/105337988/105348141/105335803/105321543/105348361/105347326/105335873/105339104/105321589/105337115/105319021/105317506/105344628/105324073/105338085/105341326/105330130/105348430/105342025/105333469/105325638/105347733/105319573/105347800/105338870/105338606/105338035/105338952/105340032/105344646/105319364/105321315/105318789/105323167",45,"105338870","60S ribosomal protein L7a"
"36","crg:105338952","crg03010","Ribosome","105319797/105340582/105347132/105342397/105332191/105331157/105339837/105325786/105331823/105317113/105342603/105337988/105348141/105335803/105321543/105348361/105347326/105335873/105339104/105321589/105337115/105319021/105317506/105344628/105324073/105338085/105341326/105330130/105348430/105342025/105333469/105325638/105347733/105319573/105347800/105338870/105338606/105338035/105338952/105340032/105344646/105319364/105321315/105318789/105323167",45,"105338952","28S ribosomal protein S14, mitochondrial"
"37","crg:105338985","crg00190","Oxidative phosphorylation","105343349/109618245/105319162/105344113/105347217/105318424/105319312/105328413/105332067/105323421/105338985/105319097/105337089",13,"105338985","ATP synthase subunit gamma, mitochondrial"
"38","crg:105339104","crg03010","Ribosome","105319797/105340582/105347132/105342397/105332191/105331157/105339837/105325786/105331823/105317113/105342603/105337988/105348141/105335803/105321543/105348361/105347326/105335873/105339104/105321589/105337115/105319021/105317506/105344628/105324073/105338085/105341326/105330130/105348430/105342025/105333469/105325638/105347733/105319573/105347800/105338870/105338606/105338035/105338952/105340032/105344646/105319364/105321315/105318789/105323167",45,"105339104","40S ribosomal protein S25"
