"","Cgigas_KEGG_IDs","Cgigas_PathwayID","Pathway_Description","Pathway_gene_list","Pathway_gene_count","gene_IDs","Gene_name"
"1","crg:105317888","crg04144","Endocytosis","105326718/105333900/105339958/105321861/105345550/105333773/105347007/105332048/105348659/105343449/105331606/105334890/105332783/105324517/105317888/105334480/105334470/105330118/105334311",19,"105317888","actin-related protein 3 isoform X1"
"2","crg:105318591","crg04140","Autophagy - animal","105334653/105341321/105338878/105342791/105331286/105331792/105345355/105319313/105343707/105334418/105342014/105348659/105331926/105341596/105318591/105333842/105321014/105325397/105327465/105342662",20,"105318591","serine/threonine-protein kinase TBK1"
"3","crg:105318591","crg04137","Mitophagy - animal","105345355/105321193/105342014/105331926/105318591/105333842/105348843/105325397/105326138",9,"105318591","serine/threonine-protein kinase TBK1"
"4","crg:105319313","crg04140","Autophagy - animal","105334653/105341321/105338878/105342791/105331286/105331792/105345355/105319313/105343707/105334418/105342014/105348659/105331926/105341596/105318591/105333842/105321014/105325397/105327465/105342662",20,"105319313","synaptosomal-associated protein 29"
"5","crg:105321014","crg04140","Autophagy - animal","105334653/105341321/105338878/105342791/105331286/105331792/105345355/105319313/105343707/105334418/105342014/105348659/105331926/105341596/105318591/105333842/105321014/105325397/105327465/105342662",20,"105321014","serine/threonine-protein kinase/endoribonuclease IRE1"
"6","crg:105321193","crg04137","Mitophagy - animal","105345355/105321193/105342014/105331926/105318591/105333842/105348843/105325397/105326138",9,"105321193","tax1-binding protein 1 homolog isoform X1"
"7","crg:105321861","crg04144","Endocytosis","105326718/105333900/105339958/105321861/105345550/105333773/105347007/105332048/105348659/105343449/105331606/105334890/105332783/105324517/105317888/105334480/105334470/105330118/105334311",19,"105321861","charged multivesicular body protein 1a"
"8","crg:105324517","crg04144","Endocytosis","105326718/105333900/105339958/105321861/105345550/105333773/105347007/105332048/105348659/105343449/105331606/105334890/105332783/105324517/105317888/105334480/105334470/105330118/105334311",19,"105324517","G protein-coupled receptor kinase 5 isoform X2"
"9","crg:105325397","crg04137","Mitophagy - animal","105345355/105321193/105342014/105331926/105318591/105333842/105348843/105325397/105326138",9,"105325397","ras-related protein M-Ras"
"10","crg:105325397","crg04140","Autophagy - animal","105334653/105341321/105338878/105342791/105331286/105331792/105345355/105319313/105343707/105334418/105342014/105348659/105331926/105341596/105318591/105333842/105321014/105325397/105327465/105342662",20,"105325397","ras-related protein M-Ras"
"11","crg:105326138","crg04137","Mitophagy - animal","105345355/105321193/105342014/105331926/105318591/105333842/105348843/105325397/105326138",9,"105326138","serine/threonine-protein kinase PINK1, mitochondrial"
"12","crg:105326718","crg04144","Endocytosis","105326718/105333900/105339958/105321861/105345550/105333773/105347007/105332048/105348659/105343449/105331606/105334890/105332783/105324517/105317888/105334480/105334470/105330118/105334311",19,"105326718","ras-related protein Rab-11B-like"
"13","crg:105327465","crg04140","Autophagy - animal","105334653/105341321/105338878/105342791/105331286/105331792/105345355/105319313/105343707/105334418/105342014/105348659/105331926/105341596/105318591/105333842/105321014/105325397/105327465/105342662",20,"105327465","hamartin isoform X3"
"14","crg:105329475","crg04068","FoxO signaling pathway","105341321/105340555/105331286/105331792/105329475/105334418/105342014/105331926/105344743/105342662/105330118",11,"105329475","growth factor receptor-bound protein 2 isoform X1"
"15","crg:105330118","crg04068","FoxO signaling pathway","105341321/105340555/105331286/105331792/105329475/105334418/105342014/105331926/105344743/105342662/105330118",11,"105330118","Egfr; epidermal growth factor receptor precursor"
"16","crg:105330118","crg04144","Endocytosis","105326718/105333900/105339958/105321861/105345550/105333773/105347007/105332048/105348659/105343449/105331606/105334890/105332783/105324517/105317888/105334480/105334470/105330118/105334311",19,"105330118","Egfr; epidermal growth factor receptor precursor"
"17","crg:105331286","crg04140","Autophagy - animal","105334653/105341321/105338878/105342791/105331286/105331792/105345355/105319313/105343707/105334418/105342014/105348659/105331926/105341596/105318591/105333842/105321014/105325397/105327465/105342662",20,"105331286","phosphatidylinositol 3,4,5-trisphosphate 3-phosphatase and dual-specificity protein phosphatase PTEN"
"18","crg:105331286","crg04068","FoxO signaling pathway","105341321/105340555/105331286/105331792/105329475/105334418/105342014/105331926/105344743/105342662/105330118",11,"105331286","phosphatidylinositol 3,4,5-trisphosphate 3-phosphatase and dual-specificity protein phosphatase PTEN"
"19","crg:105331606","crg04144","Endocytosis","105326718/105333900/105339958/105321861/105345550/105333773/105347007/105332048/105348659/105343449/105331606/105334890/105332783/105324517/105317888/105334480/105334470/105330118/105334311",19,"105331606","vacuolar protein sorting-associated protein 4B-like isoform X1"
"20","crg:105331792","crg04068","FoxO signaling pathway","105341321/105340555/105331286/105331792/105329475/105334418/105342014/105331926/105344743/105342662/105330118",11,"105331792","3-phosphoinositide-dependent protein kinase 1 isoform X2"
"21","crg:105331792","crg04140","Autophagy - animal","105334653/105341321/105338878/105342791/105331286/105331792/105345355/105319313/105343707/105334418/105342014/105348659/105331926/105341596/105318591/105333842/105321014/105325397/105327465/105342662",20,"105331792","3-phosphoinositide-dependent protein kinase 1 isoform X2"
"22","crg:105331926","crg04140","Autophagy - animal","105334653/105341321/105338878/105342791/105331286/105331792/105345355/105319313/105343707/105334418/105342014/105348659/105331926/105341596/105318591/105333842/105321014/105325397/105327465/105342662",20,"105331926","gamma-aminobutyric acid receptor-associated protein-like 2"
"23","crg:105331926","crg04137","Mitophagy - animal","105345355/105321193/105342014/105331926/105318591/105333842/105348843/105325397/105326138",9,"105331926","gamma-aminobutyric acid receptor-associated protein-like 2"
"24","crg:105331926","crg04068","FoxO signaling pathway","105341321/105340555/105331286/105331792/105329475/105334418/105342014/105331926/105344743/105342662/105330118",11,"105331926","gamma-aminobutyric acid receptor-associated protein-like 2"
"25","crg:105332048","crg04144","Endocytosis","105326718/105333900/105339958/105321861/105345550/105333773/105347007/105332048/105348659/105343449/105331606/105334890/105332783/105324517/105317888/105334480/105334470/105330118/105334311",19,"105332048","ARF GTPase-activating protein GIT2 isoform X1"
"26","crg:105332783","crg04144","Endocytosis","105326718/105333900/105339958/105321861/105345550/105333773/105347007/105332048/105348659/105343449/105331606/105334890/105332783/105324517/105317888/105334480/105334470/105330118/105334311",19,"105332783","beta-arrestin-1 isoform X1"
"27","crg:105333773","crg04144","Endocytosis","105326718/105333900/105339958/105321861/105345550/105333773/105347007/105332048/105348659/105343449/105331606/105334890/105332783/105324517/105317888/105334480/105334470/105330118/105334311",19,"105333773","charged multivesicular body protein 2b isoform X2"
"28","crg:105333842","crg04137","Mitophagy - animal","105345355/105321193/105342014/105331926/105318591/105333842/105348843/105325397/105326138",9,"105333842","serine/threonine-protein kinase TBK1"
"29","crg:105333842","crg04140","Autophagy - animal","105334653/105341321/105338878/105342791/105331286/105331792/105345355/105319313/105343707/105334418/105342014/105348659/105331926/105341596/105318591/105333842/105321014/105325397/105327465/105342662",20,"105333842","serine/threonine-protein kinase TBK1"
"30","crg:105333900","crg04144","Endocytosis","105326718/105333900/105339958/105321861/105345550/105333773/105347007/105332048/105348659/105343449/105331606/105334890/105332783/105324517/105317888/105334480/105334470/105330118/105334311",19,"105333900","hepatocyte growth factor-regulated tyrosine kinase substrate-like isoform X1"
"31","crg:105334311","crg04144","Endocytosis","105326718/105333900/105339958/105321861/105345550/105333773/105347007/105332048/105348659/105343449/105331606/105334890/105332783/105324517/105317888/105334480/105334470/105330118/105334311",19,"105334311","ras-related protein Rab-11A"
"32","crg:105334418","crg04068","FoxO signaling pathway","105341321/105340555/105331286/105331792/105329475/105334418/105342014/105331926/105344743/105342662/105330118",11,"105334418","mitogen-activated protein kinase 1"
"33","crg:105334418","crg04140","Autophagy - animal","105334653/105341321/105338878/105342791/105331286/105331792/105345355/105319313/105343707/105334418/105342014/105348659/105331926/105341596/105318591/105333842/105321014/105325397/105327465/105342662",20,"105334418","mitogen-activated protein kinase 1"
"34","crg:105334470","crg04144","Endocytosis","105326718/105333900/105339958/105321861/105345550/105333773/105347007/105332048/105348659/105343449/105331606/105334890/105332783/105324517/105317888/105334480/105334470/105330118/105334311",19,"105334470","arf-GAP with coiled-coil, ANK repeat and PH domain-containing protein 2 isoform X1"
"35","crg:105334480","crg04144","Endocytosis","105326718/105333900/105339958/105321861/105345550/105333773/105347007/105332048/105348659/105343449/105331606/105334890/105332783/105324517/105317888/105334480/105334470/105330118/105334311",19,"105334480","F-actin-capping protein subunit beta-like"
"36","crg:105334653","crg04140","Autophagy - animal","105334653/105341321/105338878/105342791/105331286/105331792/105345355/105319313/105343707/105334418/105342014/105348659/105331926/105341596/105318591/105333842/105321014/105325397/105327465/105342662",20,"105334653","cathepsin L1-like isoform X2"
"37","crg:105334890","crg04144","Endocytosis","105326718/105333900/105339958/105321861/105345550/105333773/105347007/105332048/105348659/105343449/105331606/105334890/105332783/105324517/105317888/105334480/105334470/105330118/105334311",19,"105334890","F-actin-capping protein subunit alpha-1 isoform X1"
"38","crg:105338878","crg04140","Autophagy - animal","105334653/105341321/105338878/105342791/105331286/105331792/105345355/105319313/105343707/105334418/105342014/105348659/105331926/105341596/105318591/105333842/105321014/105325397/105327465/105342662",20,"105338878","autophagy-related protein 2 homolog B"
"39","crg:105339958","crg04144","Endocytosis","105326718/105333900/105339958/105321861/105345550/105333773/105347007/105332048/105348659/105343449/105331606/105334890/105332783/105324517/105317888/105334480/105334470/105330118/105334311",19,"105339958","cation-independent mannose-6-phosphate receptor"
"40","crg:105340555","crg04068","FoxO signaling pathway","105341321/105340555/105331286/105331792/105329475/105334418/105342014/105331926/105344743/105342662/105330118",11,"105340555","serine/threonine-protein kinase PLK1"
"41","crg:105341321","crg04140","Autophagy - animal","105334653/105341321/105338878/105342791/105331286/105331792/105345355/105319313/105343707/105334418/105342014/105348659/105331926/105341596/105318591/105333842/105321014/105325397/105327465/105342662",20,"105341321","5'-AMP-activated protein kinase catalytic subunit alpha-2 isoform X1"
"42","crg:105341321","crg04068","FoxO signaling pathway","105341321/105340555/105331286/105331792/105329475/105334418/105342014/105331926/105344743/105342662/105330118",11,"105341321","5'-AMP-activated protein kinase catalytic subunit alpha-2 isoform X1"
"43","crg:105341596","crg04140","Autophagy - animal","105334653/105341321/105338878/105342791/105331286/105331792/105345355/105319313/105343707/105334418/105342014/105348659/105331926/105341596/105318591/105333842/105321014/105325397/105327465/105342662",20,"105341596","cathepsin L1"
"44","crg:105342014","crg04137","Mitophagy - animal","105345355/105321193/105342014/105331926/105318591/105333842/105348843/105325397/105326138",9,"105342014","GTPase HRas"
"45","crg:105342014","crg04068","FoxO signaling pathway","105341321/105340555/105331286/105331792/105329475/105334418/105342014/105331926/105344743/105342662/105330118",11,"105342014","GTPase HRas"
"46","crg:105342014","crg04140","Autophagy - animal","105334653/105341321/105338878/105342791/105331286/105331792/105345355/105319313/105343707/105334418/105342014/105348659/105331926/105341596/105318591/105333842/105321014/105325397/105327465/105342662",20,"105342014","GTPase HRas"
"47","crg:105342662","crg04140","Autophagy - animal","105334653/105341321/105338878/105342791/105331286/105331792/105345355/105319313/105343707/105334418/105342014/105348659/105331926/105341596/105318591/105333842/105321014/105325397/105327465/105342662",20,"105342662","insulin receptor substrate 1-B isoform X1"
"48","crg:105342662","crg04068","FoxO signaling pathway","105341321/105340555/105331286/105331792/105329475/105334418/105342014/105331926/105344743/105342662/105330118",11,"105342662","insulin receptor substrate 1-B isoform X1"
"49","crg:105342791","crg04140","Autophagy - animal","105334653/105341321/105338878/105342791/105331286/105331792/105345355/105319313/105343707/105334418/105342014/105348659/105331926/105341596/105318591/105333842/105321014/105325397/105327465/105342662",20,"105342791","zinc finger FYVE domain-containing protein 1"
"50","crg:105343449","crg04144","Endocytosis","105326718/105333900/105339958/105321861/105345550/105333773/105347007/105332048/105348659/105343449/105331606/105334890/105332783/105324517/105317888/105334480/105334470/105330118/105334311",19,"105343449","NEDD4-like E3 ubiquitin-protein ligase WWP1 isoform X1"
"51","crg:105343707","crg04140","Autophagy - animal","105334653/105341321/105338878/105342791/105331286/105331792/105345355/105319313/105343707/105334418/105342014/105348659/105331926/105341596/105318591/105333842/105321014/105325397/105327465/105342662",20,"105343707","serine/threonine-protein kinase ULK2 isoform X1"
"52","crg:105344743","crg04068","FoxO signaling pathway","105341321/105340555/105331286/105331792/105329475/105334418/105342014/105331926/105344743/105342662/105330118",11,"105344743","CD40 ligand"
"53","crg:105345355","crg04140","Autophagy - animal","105334653/105341321/105338878/105342791/105331286/105331792/105345355/105319313/105343707/105334418/105342014/105348659/105331926/105341596/105318591/105333842/105321014/105325397/105327465/105342662",20,"105345355","ras-related protein R-Ras2-like"
"54","crg:105345355","crg04137","Mitophagy - animal","105345355/105321193/105342014/105331926/105318591/105333842/105348843/105325397/105326138",9,"105345355","ras-related protein R-Ras2-like"
"55","crg:105345550","crg04144","Endocytosis","105326718/105333900/105339958/105321861/105345550/105333773/105347007/105332048/105348659/105343449/105331606/105334890/105332783/105324517/105317888/105334480/105334470/105330118/105334311",19,"105345550","low density lipoprotein receptor adapter protein 1-A"
"56","crg:105347007","crg04144","Endocytosis","105326718/105333900/105339958/105321861/105345550/105333773/105347007/105332048/105348659/105343449/105331606/105334890/105332783/105324517/105317888/105334480/105334470/105330118/105334311",19,"105347007","ras-related protein Rab-35-like"
"57","crg:105348659","crg04144","Endocytosis","105326718/105333900/105339958/105321861/105345550/105333773/105347007/105332048/105348659/105343449/105331606/105334890/105332783/105324517/105317888/105334480/105334470/105330118/105334311",19,"105348659","TNF receptor-associated factor 6 isoform X1"
"58","crg:105348659","crg04140","Autophagy - animal","105334653/105341321/105338878/105342791/105331286/105331792/105345355/105319313/105343707/105334418/105342014/105348659/105331926/105341596/105318591/105333842/105321014/105325397/105327465/105342662",20,"105348659","TNF receptor-associated factor 6 isoform X1"
"59","crg:105348843","crg04137","Mitophagy - animal","105345355/105321193/105342014/105331926/105318591/105333842/105348843/105325397/105326138",9,"105348843","optineurin"
