"","Cgigas_KEGG_IDs","Cgigas_PathwayID","Pathway_Description","Pathway_gene_list","Pathway_gene_count","gene_IDs","Gene_name"
"1","crg:105317113","crg03010","Ribosome","105319797/105340582/105323810/105347132/105342397/105332191/105331157/105339837/105325786/105331823/105317113/105342603/105324694/105332495/105335803/105327405/105321543/105348361/105347326/105335873/105326418/105339104/105321589/105319021/105317506/105344628/105318421/105347828/105324073/105338085/105347208/105341326/105330130/105320864/105348430/105328421/105342025/105333469/105325638/105347733/105319573/105347800/105338870/105338606/105338035/105330605/105329912/105340032/105344646/105319364/105321315/105318789/105323167",53,"105317113","60S ribosomal protein L10a-like"
"2","crg:105317506","crg03010","Ribosome","105319797/105340582/105323810/105347132/105342397/105332191/105331157/105339837/105325786/105331823/105317113/105342603/105324694/105332495/105335803/105327405/105321543/105348361/105347326/105335873/105326418/105339104/105321589/105319021/105317506/105344628/105318421/105347828/105324073/105338085/105347208/105341326/105330130/105320864/105348430/105328421/105342025/105333469/105325638/105347733/105319573/105347800/105338870/105338606/105338035/105330605/105329912/105340032/105344646/105319364/105321315/105318789/105323167",53,"105317506","40S ribosomal protein S11"
"3","crg:105318421","crg03010","Ribosome","105319797/105340582/105323810/105347132/105342397/105332191/105331157/105339837/105325786/105331823/105317113/105342603/105324694/105332495/105335803/105327405/105321543/105348361/105347326/105335873/105326418/105339104/105321589/105319021/105317506/105344628/105318421/105347828/105324073/105338085/105347208/105341326/105330130/105320864/105348430/105328421/105342025/105333469/105325638/105347733/105319573/105347800/105338870/105338606/105338035/105330605/105329912/105340032/105344646/105319364/105321315/105318789/105323167",53,"105318421","39S ribosomal protein L16, mitochondrial-like"
"4","crg:105318424","crg00190","Oxidative phosphorylation","105343349/109618245/105347858/105332143/105319162/105344651/105347217/105318424/105332292/105328413/105340053/105332067/105323421/105338985/105344150/105319097/105326432/105337089/105341248",19,"105318424","NADH dehydrogenase [ubiquinone] flavoprotein 2, mitochondrial-like"
"5","crg:105318789","crg03010","Ribosome","105319797/105340582/105323810/105347132/105342397/105332191/105331157/105339837/105325786/105331823/105317113/105342603/105324694/105332495/105335803/105327405/105321543/105348361/105347326/105335873/105326418/105339104/105321589/105319021/105317506/105344628/105318421/105347828/105324073/105338085/105347208/105341326/105330130/105320864/105348430/105328421/105342025/105333469/105325638/105347733/105319573/105347800/105338870/105338606/105338035/105330605/105329912/105340032/105344646/105319364/105321315/105318789/105323167",53,"105318789","40S ribosomal protein S26"
"6","crg:105319021","crg03010","Ribosome","105319797/105340582/105323810/105347132/105342397/105332191/105331157/105339837/105325786/105331823/105317113/105342603/105324694/105332495/105335803/105327405/105321543/105348361/105347326/105335873/105326418/105339104/105321589/105319021/105317506/105344628/105318421/105347828/105324073/105338085/105347208/105341326/105330130/105320864/105348430/105328421/105342025/105333469/105325638/105347733/105319573/105347800/105338870/105338606/105338035/105330605/105329912/105340032/105344646/105319364/105321315/105318789/105323167",53,"105319021","60S ribosomal protein L15"
"7","crg:105319097","crg00190","Oxidative phosphorylation","105343349/109618245/105347858/105332143/105319162/105344651/105347217/105318424/105332292/105328413/105340053/105332067/105323421/105338985/105344150/105319097/105326432/105337089/105341248",19,"105319097","ATP synthase subunit beta, mitochondrial"
"8","crg:105319162","crg00190","Oxidative phosphorylation","105343349/109618245/105347858/105332143/105319162/105344651/105347217/105318424/105332292/105328413/105340053/105332067/105323421/105338985/105344150/105319097/105326432/105337089/105341248",19,"105319162","LOW QUALITY PROTEIN: ATP synthase lipid-binding protein, mitochondrial-like"
"9","crg:105319364","crg03010","Ribosome","105319797/105340582/105323810/105347132/105342397/105332191/105331157/105339837/105325786/105331823/105317113/105342603/105324694/105332495/105335803/105327405/105321543/105348361/105347326/105335873/105326418/105339104/105321589/105319021/105317506/105344628/105318421/105347828/105324073/105338085/105347208/105341326/105330130/105320864/105348430/105328421/105342025/105333469/105325638/105347733/105319573/105347800/105338870/105338606/105338035/105330605/105329912/105340032/105344646/105319364/105321315/105318789/105323167",53,"105319364","60S acidic ribosomal protein P0"
"10","crg:105319573","crg03010","Ribosome","105319797/105340582/105323810/105347132/105342397/105332191/105331157/105339837/105325786/105331823/105317113/105342603/105324694/105332495/105335803/105327405/105321543/105348361/105347326/105335873/105326418/105339104/105321589/105319021/105317506/105344628/105318421/105347828/105324073/105338085/105347208/105341326/105330130/105320864/105348430/105328421/105342025/105333469/105325638/105347733/105319573/105347800/105338870/105338606/105338035/105330605/105329912/105340032/105344646/105319364/105321315/105318789/105323167",53,"105319573","60S ribosomal protein L37a"
