"","Cgigas_KEGG_IDs","Cgigas_PathwayID","Pathway_Description","Pathway_gene_list","Pathway_gene_count","gene_IDs","Gene_name"
"1","crg:105317810","crg04144","Endocytosis","105317810/105339958/105333773/105321025/105325897/105342258/105347007/105348659/105343449/105328970/105342783/105334890/105324517/105326340",14,"105317810","AP-2 complex subunit sigma isoform X1"
"2","crg:105321025","crg04144","Endocytosis","105317810/105339958/105333773/105321025/105325897/105342258/105347007/105348659/105343449/105328970/105342783/105334890/105324517/105326340",14,"105321025","charged multivesicular body protein 5-like"
"3","crg:105324517","crg04144","Endocytosis","105317810/105339958/105333773/105321025/105325897/105342258/105347007/105348659/105343449/105328970/105342783/105334890/105324517/105326340",14,"105324517","G protein-coupled receptor kinase 5 isoform X2"
"4","crg:105325897","crg04144","Endocytosis","105317810/105339958/105333773/105321025/105325897/105342258/105347007/105348659/105343449/105328970/105342783/105334890/105324517/105326340",14,"105325897","arf-GAP with GTPase, ANK repeat and PH domain-containing protein 3 isoform X5"
"5","crg:105326340","crg04144","Endocytosis","105317810/105339958/105333773/105321025/105325897/105342258/105347007/105348659/105343449/105328970/105342783/105334890/105324517/105326340",14,"105326340","signal transducing adapter molecule 2-like isoform X1"
"6","crg:105328970","crg04144","Endocytosis","105317810/105339958/105333773/105321025/105325897/105342258/105347007/105348659/105343449/105328970/105342783/105334890/105324517/105326340",14,"105328970","ADP-ribosylation factor 2"
"7","crg:105333773","crg04144","Endocytosis","105317810/105339958/105333773/105321025/105325897/105342258/105347007/105348659/105343449/105328970/105342783/105334890/105324517/105326340",14,"105333773","charged multivesicular body protein 2b isoform X2"
"8","crg:105334890","crg04144","Endocytosis","105317810/105339958/105333773/105321025/105325897/105342258/105347007/105348659/105343449/105328970/105342783/105334890/105324517/105326340",14,"105334890","F-actin-capping protein subunit alpha-1 isoform X1"
"9","crg:105339958","crg04144","Endocytosis","105317810/105339958/105333773/105321025/105325897/105342258/105347007/105348659/105343449/105328970/105342783/105334890/105324517/105326340",14,"105339958","cation-independent mannose-6-phosphate receptor"
"10","crg:105342258","crg04144","Endocytosis","105317810/105339958/105333773/105321025/105325897/105342258/105347007/105348659/105343449/105328970/105342783/105334890/105324517/105326340",14,"105342258","E3 ubiquitin-protein ligase CBL-B"
"11","crg:105342783","crg04144","Endocytosis","105317810/105339958/105333773/105321025/105325897/105342258/105347007/105348659/105343449/105328970/105342783/105334890/105324517/105326340",14,"105342783","ras-like GTP-binding protein Rho1"
"12","crg:105343449","crg04144","Endocytosis","105317810/105339958/105333773/105321025/105325897/105342258/105347007/105348659/105343449/105328970/105342783/105334890/105324517/105326340",14,"105343449","NEDD4-like E3 ubiquitin-protein ligase WWP1 isoform X1"
"13","crg:105347007","crg04144","Endocytosis","105317810/105339958/105333773/105321025/105325897/105342258/105347007/105348659/105343449/105328970/105342783/105334890/105324517/105326340",14,"105347007","ras-related protein Rab-35-like"
"14","crg:105348659","crg04144","Endocytosis","105317810/105339958/105333773/105321025/105325897/105342258/105347007/105348659/105343449/105328970/105342783/105334890/105324517/105326340",14,"105348659","TNF receptor-associated factor 6 isoform X1"
