"","MEturquoise","MEyellow","MEblue","MEbrown"
"SG25",-0.0941758228928082,-0.0281562410080443,0.0181106642438677,0.145594481944922
"SG60",-0.076805624222796,-0.145416496626176,0.0335923690329057,0.270643375313191
"SG90",-0.592500039264978,-0.108124220943479,0.593351045122921,0.105762811405669
"SG128",0.104494563058342,0.35058549828407,-0.227949699702828,0.0285789436670871
"SG89",-0.501508616793859,0.0518926265581755,0.357674345864271,0.265983522741855
"SG40",0.0579397808092528,-0.0427439460809954,-0.103751237557819,0.0968568791457026
"SG43",0.136355485020594,-0.0331404060892528,-0.0906061162292359,-0.135446682190645
"SG44",-0.111808252250559,-0.0879891692435781,0.139243380741897,-0.0357356759057048
"SG77",-0.0548907856878413,0.120486471080434,-0.00797058253652437,0.129393442385962
"SG19",0.0629861251118194,-0.0821601950703314,-0.0728171067579486,0.154485861127877
"SG57",0.0375526649294765,-0.0167573278203752,-0.155229313895414,0.255180106155657
"SG20",0.031391285514095,-0.160050302301659,-0.00683045742698674,0.155953655243553
"SG62",-0.356304062186574,-0.133691583272457,0.400510992036488,-0.200686648444779
"SG41",0.162623945197968,-0.122369023758403,-0.0339022726815287,-0.115357485699268
"SG129",0.0482621913573561,0.327092000823087,-0.177249729170992,0.206374976861149
"SG61",-0.00694975136146094,-0.104737871666773,0.0651128475898684,-0.102345320915245
"SG45",0.00803243356346742,-0.0717395562106306,0.00736635644261486,-0.00329583954873341
"SG58",0.11811098710846,-0.0777700570207294,-0.170588637101611,0.215117552927635
"SG26",0.0494010399118762,-0.0941602404107822,-0.0545027157180157,0.0164958632109792
"SG140",0.118220354020033,0.25556782178685,-0.117140133419443,-0.260272858724566
"SG63",0.0946018046362976,-0.10481713700296,-0.0102206071560796,-0.19693652143659
"SG100",0.17018584759775,0.00428062144141159,-0.0435336092100555,-0.142995043906158
"SG17",0.129913428262951,-0.109384024241992,-0.0375336541979044,-0.145557555286698
"SG138",0.0392042794187499,0.391270947412447,-0.189193514549041,0.122622967475407
"SG42",0.00446692064305536,-0.0796066130845057,0.107117211498099,-0.228338746540754
"SG139",0.114209194699392,-0.079593596575493,0.00434790339931903,-0.0696943681622017
"SG99",0.152672493593628,0.237107153504753,-0.18038168216623,0.0955291222125751
"SG130",0.0724904516627322,0.366983583913425,-0.128027451613183,-0.233791522299725
"SG24",-0.023707977682158,-0.101797441631415,0.0983122187636302,-0.230172837030237
"SG18",-0.0105247643736137,-0.129306821320609,0.00525605188598642,0.133198419406164
"SG127",0.155606238207613,0.224219473602913,-0.177902648331766,-0.0545496094821982
"SG23",0.0753272631219057,-0.167695774530909,0.0414656486287581,-0.369739788654396
"SG39",-0.114873080730164,-0.248278152496015,0.11387013417198,0.127144523002514
