"","MEblue","MEblack","MEgreen","MEpink","MEturquoise","MEsalmon","MEgreenyellow","MEmagenta"
"SG102",-0.40340546823351,0.25284966909707,0.239433509752446,0.180353594530015,-0.114102328875779,-0.05066851409207,0.0778394392568555,0.256406654944071
"SG118",0.14912057736504,-0.0780721374618628,0.0780348664311182,0.10790607419059,0.126977008081225,-0.106145677551093,-0.239904491923542,-0.833099839469825
"SG131",-0.483714885612208,-0.287385100142669,-0.153263029712296,-0.31066232989859,0.449430455986279,-0.00370943505674359,0.191961303413548,-0.057470317702242
"SG15",-0.179770302453458,0.424153763854382,0.388433216983838,0.245721684354956,-0.225568887664687,-0.129460892540507,-0.0903115655425841,-0.0888752341960591
"SG16",-0.0115347226511869,-0.0348049341944125,-0.0973421494675068,0.0244569060342377,-0.10049150745633,-0.178373854455429,0.273672417084411,0.183778999198159
"SG81",-0.12978264828343,-0.549463252231046,-0.346730538550611,0.0465507642924054,0.458743625536815,-0.0477414550621419,0.31540283644298,0.0882175585356709
"SG82",-0.22062036714704,0.0859288454950457,-0.117772285435759,0.366982312294039,0.115336871153029,-0.0605517028934509,0.0625586376426173,0.125000556708743
"SG93",0.0619243405839648,0.253634597897129,-0.358424139966532,0.246743033148547,-0.39303647743818,0.000447199896912734,0.294345511174395,0.14807439500008
"SG10",0.547282692196543,-0.25689858320194,0.392610819738646,0.123474391140757,-0.124937938762955,0.0749090316210626,-0.390334332733472,-0.23251735314425
"SG107",-0.00380042066996324,-0.348685019032447,-0.488099760487036,-0.629147558217862,0.259573184643316,-0.134506098589197,0.352570112693455,-0.103602169242027
"SG12",0.38259654334737,0.109165297626009,0.128799657096062,0.194373451596193,-0.271154386004577,-0.0983491695090414,-0.185006643717602,0.123560496186163
"SG2",0.107672726459288,0.106090262785597,0.0291953775134062,-0.186756073233552,-0.126026448699913,-0.162299531326006,-0.0326120480035462,0.227954271858343
"SG65",0.139805073121017,0.199070651023819,0.031013352137185,-0.239705199884194,-0.182078755652073,0.264869781909991,-0.112958410481202,0.075571442090164
"SG79",0.0467638661712026,-0.0691703636217958,0.281658227567808,0.0647308009083607,0.304508999801688,-0.232985262563812,-0.548418434695542,-0.021178750393978
"SG91",-0.00253700419363062,0.193586302107122,-0.00754712360076892,-0.235021851255901,-0.177173414647859,0.864565580211523,0.0311956693892294,0.108179289626986
