"","Primary_Treatment","Second_Treament","Third_Treatment","Day_Treatment","Day_PrimTreatment","Day_PrimSecTreatment","Day_FullTreatment","PrimSecThird"
"SG130","M","A",NA,"Day7_M","Day7_M","Day7_M_A","Day7_M_A_NA","Day7_MA"
"SG139","M","A",NA,"Day7_M","Day7_M","Day7_M_A","Day7_M_A_NA","Day7_MA"
"SG23","M","A",NA,"Day7_M","Day7_M","Day7_M_A","Day7_M_A_NA","Day7_MA"
"SG24","M","A",NA,"Day7_M","Day7_M","Day7_M_A","Day7_M_A_NA","Day7_MA"
"SG25","M","M",NA,"Day7_M","Day7_M","Day7_M_M","Day7_M_M_NA","Day7_MM"
"SG42","M","A",NA,"Day7_M","Day7_M","Day7_M_A","Day7_M_A_NA","Day7_MA"
"SG43","M","M",NA,"Day7_M","Day7_M","Day7_M_M","Day7_M_M_NA","Day7_MM"
"SG44","M","M",NA,"Day7_M","Day7_M","Day7_M_M","Day7_M_M_NA","Day7_MM"
"SG60","M","M",NA,"Day7_M","Day7_M","Day7_M_M","Day7_M_M_NA","Day7_MM"
"SG77","M","M",NA,"Day7_M","Day7_M","Day7_M_M","Day7_M_M_NA","Day7_MM"
"SG127","A","A",NA,"Day7_A","Day7_A","Day7_A_A","Day7_A_A_NA","Day7_AA"
"SG128","A","M",NA,"Day7_A","Day7_A","Day7_A_M","Day7_A_M_NA","Day7_AM"
"SG138","A","A",NA,"Day7_A","Day7_A","Day7_A_A","Day7_A_A_NA","Day7_AA"
"SG17","A","A",NA,"Day7_A","Day7_A","Day7_A_A","Day7_A_A_NA","Day7_AA"
"SG18","A","A",NA,"Day7_A","Day7_A","Day7_A_A","Day7_A_A_NA","Day7_AA"
"SG19","A","M",NA,"Day7_A","Day7_A","Day7_A_M","Day7_A_M_NA","Day7_AM"
"SG20","A","M",NA,"Day7_A","Day7_A","Day7_A_M","Day7_A_M_NA","Day7_AM"
"SG39","A","A",NA,"Day7_A","Day7_A","Day7_A_A","Day7_A_A_NA","Day7_AA"
"SG40","A","M",NA,"Day7_A","Day7_A","Day7_A_M","Day7_A_M_NA","Day7_AM"
"SG57","A","M",NA,"Day7_A","Day7_A","Day7_A_M","Day7_A_M_NA","Day7_AM"
"SG89","A","M",NA,"Day7_A","Day7_A","Day7_A_M","Day7_A_M_NA","Day7_AM"
"SG99","A","A",NA,"Day7_A","Day7_A","Day7_A_A","Day7_A_A_NA","Day7_AA"
"SG102","M","M",NA,"Day14_M","Day14_M","Day14_M_M","Day14_M_M_NA","Day14_MM"
"SG108","M","A",NA,"Day14_M","Day14_M","Day14_M_A","Day14_M_A_NA","Day14_MA"
"SG118","M","M",NA,"Day14_M","Day14_M","Day14_M_M","Day14_M_M_NA","Day14_MM"
"SG14","M","A",NA,"Day14_M","Day14_M","Day14_M_A","Day14_M_A_NA","Day14_MA"
"SG15","M","M",NA,"Day14_M","Day14_M","Day14_M_M","Day14_M_M_NA","Day14_MM"
"SG4","M","A",NA,"Day14_M","Day14_M","Day14_M_A","Day14_M_A_NA","Day14_MA"
"SG80","M","A",NA,"Day14_M","Day14_M","Day14_M_A","Day14_M_A_NA","Day14_MA"
"SG81","M","M",NA,"Day14_M","Day14_M","Day14_M_M","Day14_M_M_NA","Day14_MM"
"SG93","M","M",NA,"Day14_M","Day14_M","Day14_M_M","Day14_M_M_NA","Day14_MM"
"SG1","A","A",NA,"Day14_A","Day14_A","Day14_A_A","Day14_A_A_NA","Day14_AA"
"SG10","A","M",NA,"Day14_A","Day14_A","Day14_A_M","Day14_A_M_NA","Day14_AM"
"SG101","A","M",NA,"Day14_A","Day14_A","Day14_A_M","Day14_A_M_NA","Day14_AM"
"SG107","A","M",NA,"Day14_A","Day14_A","Day14_A_M","Day14_A_M_NA","Day14_AM"
"SG2","A","M",NA,"Day14_A","Day14_A","Day14_A_M","Day14_A_M_NA","Day14_AM"
"SG46","A","A",NA,"Day14_A","Day14_A","Day14_A_A","Day14_A_A_NA","Day14_AA"
"SG64","A","A",NA,"Day14_A","Day14_A","Day14_A_A","Day14_A_A_NA","Day14_AA"
"SG65","A","M",NA,"Day14_A","Day14_A","Day14_A_M","Day14_A_M_NA","Day14_AM"
"SG78","A","A",NA,"Day14_A","Day14_A","Day14_A_A","Day14_A_A_NA","Day14_AA"
"SG8","A","A",NA,"Day14_A","Day14_A","Day14_A_A","Day14_A_A_NA","Day14_AA"
"SG106","M","M","A","Day21_M","Day21_M","Day21_M_M","Day21_M_M_A","Day21_MMA"
"SG112","M","A","A","Day21_M","Day21_M","Day21_M_A","Day21_M_A_A","Day21_MAA"
"SG113","M","A","M","Day21_M","Day21_M","Day21_M_A","Day21_M_A_M","Day21_MAM"
