"","MEturquoise","MEgreen","MEred","MEblue","MEbrown","MEyellow"
"SG130",0.019239596536004,-0.084319883419079,-0.0890311434578829,-0.0520050780710074,0.182326849475556,-0.153124997016007
"SG139",0.107894192136438,0.124660223356428,0.0364585001260926,-0.0176220042930879,-0.10177754579976,-0.0271869324213617
"SG23",0.0424467897726638,0.0475522903506972,-0.00444721329770881,0.062011979745823,-0.112353261844299,-0.228782760291132
"SG24",-0.0840086485477546,-0.0927544267975934,0.054149237094042,0.170648899157713,-0.0896209914480429,-0.124763016728405
"SG25",-0.107594929628636,0.00162385054674619,-0.114171733261713,0.00214339863705693,-0.0037237286572724,0.14018750160177
"SG42",-0.0117231800288725,0.130115994481731,-0.0164525382868618,0.0586342880874022,-0.0821868347091603,-0.11238012498086
"SG43",0.0758523380131862,-0.119236288036336,-0.0480674596875684,-0.0619210884992815,-0.00143672797781715,-0.0677565314615541
"SG44",-0.104530555739369,-0.000110163678820899,-0.0495196652676277,0.133380161783713,-0.0879010753164911,-0.00133330808024684
"SG60",-0.0940577966530807,0.0117936038634887,0.163316034515723,0.0574104965445326,-0.079570353908925,0.216735991522727
"SG77",-0.0826895781416561,-0.218950697788282,0.0610408918593675,0.0950056937967076,0.0339946160739223,0.115483312935468
"SG127",0.0910327699229417,-0.142659707221935,-0.0799897957088571,-0.0831560622168723,0.119285832932229,-0.0301287508361231
"SG128",0.00785327273036855,-0.280627824165457,0.077349541852644,-0.0839929929659948,0.201788800015544,0.0364515189820882
"SG138",0.0211587480215648,0.00315697919438568,-0.172532946927864,-0.152362670008577,0.191908885641656,0.0680676062755261
"SG17",0.0620324101596425,-0.146578778890778,0.0964868737037778,0.0262682027964772,-0.0531708742424167,-0.0540735619886508
"SG18",-0.0108036115626946,-0.0538352153890936,0.183711304868756,0.0370213176408552,-0.108946685441379,0.119035723967466
"SG19",0.0537982151444819,-0.000400177387139667,-0.115884002321,-0.0741138291101633,-0.067055886572132,0.132567754048791
"SG20",0.0258927662812877,-0.042251674042717,0.102476467266616,0.0290956396273007,-0.126319288673717,0.135273146766864
"SG39",-0.0835947329041147,0.171600921733827,0.282814438836449,0.0804216582461544,-0.190508594261078,0.105651064738819
"SG40",0.0330604614272371,-0.0159276053156282,-0.0694415926786934,-0.0622834560599922,-0.0487207247040213,0.0716525567316512
"SG57",0.0168875333708151,-0.0138163473554816,-0.117525586226192,-0.138832068663557,-0.00406082095424035,0.196419239252161
"SG89",-0.391665588095478,0.00720247299695862,-0.188771646600269,0.348899997732411,-0.0608404415492818,0.209971008695266
"SG99",0.0991155397212876,-0.192046759756895,0.0461049383556819,-0.0818805192370367,0.107042204362874,0.0604704900942311
"SG102",0.0722942531783145,0.0169662107756355,0.0754648349379969,-0.00637301059515742,-0.000860540328417116,-0.133217278526573
"SG108",-0.0464054691395395,-0.162025309110943,0.0172429214232053,0.0296970352091347,0.113686085664972,0.00483266822618109
"SG118",0.00990798172087983,-0.0192783282528759,-0.0889305853599777,-0.115704026272912,0.14293155573006,0.147659764039684
"SG14",0.0229642759400862,-0.0995485677376992,0.00931121125674568,0.0102863018812845,-0.0591810908433064,0.0616804949747286
"SG15",0.10456585305482,0.109571434487795,-0.0459446641255831,-0.0380086535523507,-0.0789967766714817,-0.0666432902257784
"SG4",0.102744663991616,0.0438725657702944,0.00848495584025187,-0.0823856435696276,-0.0346109858428649,0.0612296831600069
"SG80",-0.047167906388172,-0.259433976392919,0.0396794253510933,0.0186879419657804,0.257864231816778,-0.0647086440702797
"SG81",-0.131388213547658,-0.167907551520834,0.0988353593907133,0.0491605672894575,0.291872430068804,0.0106408199643429
"SG93",0.0239602786680856,-0.0131051643112336,-0.0669272464665105,0.0933092289265542,-0.114662592319022,0.077072747716355
"SG1",-0.249174228544792,-0.0387202325352736,-0.030297307190036,0.277865078726805,-0.037252583554159,0.148064673851111
"SG10",-0.0580984964198156,0.141244442742248,0.0893021952085905,-0.0894375069268657,-0.0042276036377339,0.337786455907879
"SG101",-0.222084450759657,0.379220490499824,0.199749174930473,0.13894036758061,-0.0697123611392449,0.0980685308477409
"SG107",-0.157500725265143,-0.231020495402117,-0.335292474988647,0.0905922366302892,0.219885905557468,0.0861167670056459
"SG2",0.0234229553793873,-0.0211978708099731,-0.0882576241267135,-0.0392836028052084,-0.00554282248683879,0.114466629349666
"SG46",0.0797786067095038,0.0238142948763483,-0.102931504093916,-0.0977318112512523,-0.0361304615250524,0.154451774083327
"SG64",-0.156231584259051,-0.0129756468684545,-0.204850801544326,0.252672188925448,-0.0600054233372161,-0.0374316495026169
"SG65",0.0884163281438534,-0.0569528982003492,-0.0610021550298327,-0.0699289266754913,-0.020972570499575,0.149054625143784
"SG78",0.0218591070354492,-0.147357200856791,-0.1060349618658,-0.116340290897987,0.222928500618189,0.0205748720626772
"SG8",0.0389079871640727,-0.0399662743194187,-0.0255985509111023,-0.0441697236776409,-0.00632783260805173,0.157553091101846
"SG106",0.0519235610632253,-0.0209405796121556,-0.0152843696029702,-0.132583702088038,0.0103978995166293,0.0610127691504556
"SG112",0.113336442036799,0.0115730170292368,-0.0551713741765569,-0.17269530905259,0.0379974612789493,-0.000595450970992632
"SG113",0.0856875588246073,0.123890083903032,-0.0490115763219156,-0.041455581282949,-0.000976569415480527,-0.0912743760703643
"SG114",-0.205195853004836,-0.098523560553716,-0.0283195374273364,0.122089900488722,0.344567322926338,-0.0974381587747526
"SG121",0.00211511403567138,0.0749943035749942,-0.0660147400254371,0.0309379844198518,-0.0782409407586155,-0.16685609840143
"SG122",0.133938404719135,0.107464771806969,-0.0146406515637431,-0.0697717567018401,-0.059669066696734,-0.272669184317076
"SG123",-0.116007170440402,0.00887532470795262,0.167358126235162,0.0326900961160152,0.100512312692066,-0.0900817407005178
"SG135",0.0270334826774877,0.116095528556071,0.0618959168043189,-0.14442399436132,-0.00642764611496386,0.0660587489871591
"SG36",0.0728470710510845,0.0288052643619844,-0.104218215807585,-0.0338137864688879,-0.0716721028866923,-0.0652617312519996
"SG50",0.0889615776572591,0.0555957569498029,0.147231031050318,-0.000254748669099441,-0.0807358663609714,-0.182290264446389
"SG53",-0.320892125475613,-0.0183520375792441,-0.116827595863586,0.392792267199601,-0.0689184825320539,-0.0944470441654695
"SG72",0.00773247670205137,0.111889765632377,0.198986386068007,0.0465626168247174,-0.104100707491043,-0.0883711638230186
"SG73",0.0398507693728917,-0.0121571605459388,0.000792441042366777,0.0860852086724634,-0.0697446604244457,-0.15641679052934
"SG74",0.0900731095732092,0.122902653428994,0.0114828295748031,-0.0784630556255653,-0.0384875180006091,-0.139850777644016
"SG75",-0.047563846749615,-0.0221206757537187,0.0481535412168434,-0.00385167489701284,-0.0332409092923015,0.0497528533230144
