"","Primary_Treatment","Second_Treament","Third_Treatment","Day_Treatment","Day_PrimTreatment","Day_PrimSecTreatment","Day_FullTreatment","PrimSecThird"
"SG130","M","A",NA,"Day7_M","Day7_M","Day7_M_A","Day7_M_A_NA","Day7_MA"
"SG139","M","A",NA,"Day7_M","Day7_M","Day7_M_A","Day7_M_A_NA","Day7_MA"
"SG140","M","S",NA,"Day7_M","Day7_M","Day7_M_S","Day7_M_S_NA","Day7_MS"
"SG23","M","A",NA,"Day7_M","Day7_M","Day7_M_A","Day7_M_A_NA","Day7_MA"
"SG24","M","A",NA,"Day7_M","Day7_M","Day7_M_A","Day7_M_A_NA","Day7_MA"
"SG26","M","S",NA,"Day7_M","Day7_M","Day7_M_S","Day7_M_S_NA","Day7_MS"
"SG42","M","A",NA,"Day7_M","Day7_M","Day7_M_A","Day7_M_A_NA","Day7_MA"
"SG45","M","S",NA,"Day7_M","Day7_M","Day7_M_S","Day7_M_S_NA","Day7_MS"
"SG61","M","S",NA,"Day7_M","Day7_M","Day7_M_S","Day7_M_S_NA","Day7_MS"
"SG62","M","S",NA,"Day7_M","Day7_M","Day7_M_S","Day7_M_S_NA","Day7_MS"
"SG63","M","S",NA,"Day7_M","Day7_M","Day7_M_S","Day7_M_S_NA","Day7_MS"
"SG100","A","S",NA,"Day7_A","Day7_A","Day7_A_S","Day7_A_S_NA","Day7_AS"
"SG127","A","A",NA,"Day7_A","Day7_A","Day7_A_A","Day7_A_A_NA","Day7_AA"
"SG129","A","S",NA,"Day7_A","Day7_A","Day7_A_S","Day7_A_S_NA","Day7_AS"
"SG138","A","A",NA,"Day7_A","Day7_A","Day7_A_A","Day7_A_A_NA","Day7_AA"
"SG17","A","A",NA,"Day7_A","Day7_A","Day7_A_A","Day7_A_A_NA","Day7_AA"
"SG18","A","A",NA,"Day7_A","Day7_A","Day7_A_A","Day7_A_A_NA","Day7_AA"
"SG21","A","S",NA,"Day7_A","Day7_A","Day7_A_S","Day7_A_S_NA","Day7_AS"
"SG22","A","S",NA,"Day7_A","Day7_A","Day7_A_S","Day7_A_S_NA","Day7_AS"
"SG39","A","A",NA,"Day7_A","Day7_A","Day7_A_A","Day7_A_A_NA","Day7_AA"
"SG41","A","S",NA,"Day7_A","Day7_A","Day7_A_S","Day7_A_S_NA","Day7_AS"
"SG58","A","S",NA,"Day7_A","Day7_A","Day7_A_S","Day7_A_S_NA","Day7_AS"
"SG99","A","A",NA,"Day7_A","Day7_A","Day7_A_A","Day7_A_A_NA","Day7_AA"
"SG108","M","A",NA,"Day14_M","Day14_M","Day14_M_A","Day14_M_A_NA","Day14_MA"
"SG109","M","S",NA,"Day14_M","Day14_M","Day14_M_S","Day14_M_S_NA","Day14_MS"
"SG131","M","S",NA,"Day14_M","Day14_M","Day14_M_S","Day14_M_S_NA","Day14_MS"
"SG14","M","A",NA,"Day14_M","Day14_M","Day14_M_A","Day14_M_A_NA","Day14_MA"
"SG16","M","S",NA,"Day14_M","Day14_M","Day14_M_S","Day14_M_S_NA","Day14_MS"
"SG4","M","A",NA,"Day14_M","Day14_M","Day14_M_A","Day14_M_A_NA","Day14_MA"
"SG80","M","A",NA,"Day14_M","Day14_M","Day14_M_A","Day14_M_A_NA","Day14_MA"
"SG82","M","S",NA,"Day14_M","Day14_M","Day14_M_S","Day14_M_S_NA","Day14_MS"
"SG1","A","A",NA,"Day14_A","Day14_A","Day14_A_A","Day14_A_A_NA","Day14_AA"
"SG11","A","S",NA,"Day14_A","Day14_A","Day14_A_S","Day14_A_S_NA","Day14_AS"
"SG12","A","S",NA,"Day14_A","Day14_A","Day14_A_S","Day14_A_S_NA","Day14_AS"
"SG46","A","A",NA,"Day14_A","Day14_A","Day14_A_A","Day14_A_A_NA","Day14_AA"
"SG64","A","A",NA,"Day14_A","Day14_A","Day14_A_A","Day14_A_A_NA","Day14_AA"
"SG66","A","S",NA,"Day14_A","Day14_A","Day14_A_S","Day14_A_S_NA","Day14_AS"
"SG7","A","A",NA,"Day14_A","Day14_A","Day14_A_A","Day14_A_A_NA","Day14_AA"
"SG78","A","A",NA,"Day14_A","Day14_A","Day14_A_A","Day14_A_A_NA","Day14_AA"
"SG79","A","S",NA,"Day14_A","Day14_A","Day14_A_S","Day14_A_S_NA","Day14_AS"
"SG8","A","A",NA,"Day14_A","Day14_A","Day14_A_A","Day14_A_A_NA","Day14_AA"
"SG91","A","S",NA,"Day14_A","Day14_A","Day14_A_S","Day14_A_S_NA","Day14_AS"
"SG112","M","A","A","Day21_M","Day21_M","Day21_M_A","Day21_M_A_A","Day21_MAA"
"SG113","M","A","M","Day21_M","Day21_M","Day21_M_A","Day21_M_A_M","Day21_MAM"
