"","MEbrown","MEblue","MEgreen","MEred","MEturquoise","MEyellow"
"SG130",-0.124768267449147,-0.0746163112018307,-0.0969997843026807,-0.0893455374739489,0.052088704857284,0.18264502875582
"SG139",-0.0318528063924047,-0.0257751756693614,0.102412545333899,0.00158705179228591,0.0967136746560361,-0.102439958770269
"SG140",-0.128840238778828,-0.0508124395859868,-0.160538709161305,-0.0903932949722888,0.0598931473173562,0.105714119224882
"SG23",-0.181783576675141,0.0236628845635161,0.0634385448823596,-0.0546377259613702,0.0542107069715702,-0.103228280512075
"SG24",-0.113924896531689,0.0974584957935674,-0.115937697317548,-0.00210888189565001,-0.0204417480346044,-0.0649776820554094
"SG26",0.00916233487981117,-0.0386286828508276,-0.0395228673573966,-0.0812057542844677,0.0488583165613267,-0.0868170601397548
"SG42",-0.0997893051823275,0.0312342163018526,-0.00423614929809298,-0.0317157654039447,0.00467505560878871,-0.066724402340738
"SG45",0.000814033709099892,0.019367019345358,-0.0202628832334806,0.00814406600553327,0.00782340904743662,-0.0542846778773041
"SG61",-0.0596434323654765,0.0668381469313495,-0.0536655743557994,0.129140063977681,-0.0103294236847266,-0.0756605505647878
"SG62",-0.0737620600824254,0.213091119753023,0.151146014833769,0.00949718984018024,-0.200369462299865,-0.0750811987870704
"SG63",-0.0909820351474577,-0.00215067885111042,-0.0138925634017604,0.0682582928651901,0.0615895344622527,-0.0649779467933465
"SG100",-0.0699187000775092,-0.0625469116889787,0.0588734752519133,0.0634058742002327,0.119696111194194,-0.0439045031200904
"SG127",-0.0400692422441931,-0.0971126060288483,-0.140398175828677,-0.0929316888398753,0.106842428830329,0.114738295798303
"SG129",0.109411850630858,-0.0712355641350577,-0.0863460413286736,-0.0710254977468352,0.0516237891478316,0.145198082400955
"SG138",0.0596401338034044,-0.147340054590108,-0.0659801365839958,-0.133089452584809,0.0425821190628833,0.190387899071533
"SG17",-0.083948293273556,-0.00923367865281233,-0.150730619111172,0.0436431193433548,0.0796198954591002,-0.0488688325471899
"SG18",0.0818875820960691,-0.00106552875225061,-0.0957425305075935,0.107501554878242,0.00577855615883048,-0.0960361683696952
"SG21",0.045054009182472,0.262197038237396,0.458532361074994,0.248907959572573,-0.25984958172951,-0.197541257410678
"SG22",0.0813662960233789,0.324693433896901,0.202369210264277,0.0676544319888067,-0.182403931580317,-0.197588223082315
"SG39",0.0641486641105042,0.0723550580717124,0.19219991456552,0.165652142042132,-0.0598385387534731,-0.184438265010352
"SG41",-0.0583580049841326,-0.0198036579973849,-0.0180818559506528,0.0451551776028679,0.114047378625485,-0.0881082890261173
"SG58",0.125739066349189,-0.0728059496989413,-0.0960339652506917,-0.0451641124618624,0.0944171468518963,-0.0473368595482697
"SG99",0.0423751097333912,-0.101249559261203,-0.183927538040125,-0.00588208254426774,0.111922729344154,0.113027394134923
"SG108",-0.00614392594236473,-0.0180429359259942,-0.181042647722564,-0.0153426824998784,0.0110694776890947,0.118582078217637
"SG109",0.122223639361939,0.0584719185782575,0.0494776168662413,0.313132610614703,-0.177092753206703,0.202864092310314
"SG131",-0.149194736511873,-0.0530029343807239,-0.194471379498173,0.00735089361740538,0.0230328147572276,0.305529227299479
"SG14",0.0397839909550109,-0.0174240818215763,-0.0985941175934447,-0.0261237945576128,0.0427204136153932,-0.0651819993776153
"SG16",0.0229494278493366,0.0326969867132372,-0.0592352111600437,-0.0196697640289146,-0.0193305172469994,0.0149252493489187
"SG4",0.0354890970274199,-0.0775645045471655,0.00890782983502746,-0.0164180946463739,0.101675944831231,-0.039182095473626
"SG80",-0.0688381237099344,-0.0270735595938082,-0.213884042441239,0.00716847257378584,0.0144048696146229,0.263826629596418
"SG82",-0.0294226518559713,-0.037985210477333,-0.00534443505113298,0.0226023337439132,0.0629034351747993,0.127651255967382
"SG1",0.0958776767172007,0.20725082429633,-0.0287642906131004,-0.0311000982143456,-0.155451660932987,-0.00393880773736725
"SG11",0.435879287072452,0.105091152513806,0.117206166169087,0.175868678227661,-0.251090459284689,-0.161275397217866
"SG12",0.206578987845231,-0.0642379177700728,0.00927100963279521,-0.0467802616418287,0.062684906583202,-0.0500369235818732
"SG46",0.106921062221232,-0.0976743098890644,-0.00905088232986359,-0.104196461360632,0.0843818657026343,-0.041288592889828
"SG64",-0.0473843721510198,0.198992602481349,-0.0143416300427208,-0.168237522866216,-0.0813459055842459,-0.0348994792713684
"SG66",-0.0587939783925864,0.205435627307482,0.0992477170149339,-0.194271637678972,-0.0847442341395966,0.0713844333735987
"SG7",0.473511806988455,0.0546197169525802,0.0454854124526211,0.0573889651071673,-0.16543837015808,-0.0861405104736994
"SG78",0.00725090441793206,-0.128548866159535,-0.187228590496668,-0.110423619619994,0.0624729548472621,0.218729251891239
"SG79",0.0902454546431842,-0.165493204327694,-0.0099034232427737,-0.0676710168651371,0.060879047470855,0.220613239945304
"SG8",0.119069142510789,-0.0635104501225306,-0.0935641220345553,-0.0511877223074607,0.0710185157642235,-0.00855795906638043
"SG91",0.0425869267715637,-0.0345431956814549,-0.07799267353851,-0.0476408556793303,0.0608537692498456,-0.0377698657782174
"SG112",-0.00163985331964045,-0.16451360874386,-0.0202936052097583,-0.0768562187962876,0.108783869462962,0.0222466512876701
"SG113",-0.0702950247625618,-0.0491580738987253,0.0513540946977628,-0.0604408430047145,0.08671385577646,0.0187258444713585
"SG116",-0.0400975972742199,-0.0514123901586268,-0.0831450453953244,-0.126965992211941,0.0137390770421288,0.00767051241773228
"SG124",-0.00389478872044504,0.270574146919774,-0.0453542930755876,-0.130774139265353,-0.320069552760157,-0.01199510325863
"SG125",-0.17465349982819,-0.107086130040074,-0.0706519133434035,-0.0825999976972571,0.136347584364676,-0.0392086952564853
"SG136",-0.118385360776112,-0.0979908729146404,-0.027420678893234,-0.0233176038020205,0.0710364599544457,0.0363088740947739
"SG141",-0.111650102000308,0.258964955060023,-0.0334035494555395,-0.149157573197191,-0.245026349143099,0.175702895413671
"SG142",-0.12581112131584,0.00608273062265473,0.152847648450114,-0.0360378425705425,0.0440373622688492,-0.164347386436105
"SG36",-0.0547919576534754,-0.0493043806828939,0.019558858832846,-0.120988541711278,0.0758862025945864,-0.0638396130132189
"SG50",-0.144602210359827,-0.0225202016790557,0.0453054610854844,0.0723344785738899,0.0886054763483259,-0.0796478567785583
"SG51",-0.0833494594873012,0.224280765729129,0.187487574837821,0.35878137488298,-0.328544880884011,-0.0095717369092233
"SG52",-0.112871617767545,0.222280146995292,0.0988243142196534,0.3238781300262,-0.286190505503587,-0.0317657353726056
"SG56",-0.0532330802052594,-0.0824788629660611,-0.0498432588303237,-0.0688240890978374,0.0390635881708695,0.00333576507004223
"SG72",-0.0723131276594733,0.0174407220661184,0.0804822314947496,0.125577666167117,0.0224508606022327,-0.0940475194666516
"SG73",-0.122005501962415,0.047091329309779,-0.0575039685677296,-0.0152356483087961,0.0635975449564547,-0.0669161938538328
"SG76",-0.0447830761897353,-0.102748663601368,0.0541071150364333,-0.0212263690439449,0.110082376648647,-0.0734825944714926
"SG85",0.0377894265756041,-0.0156531190203553,-0.102350350528727,-0.0618258068204798,0.0386698921982011,-0.0602484205474528
"SG86",0.0739624976408441,-0.122700777127469,-0.0747286506467975,-0.0717076458339093,0.0169275401729945,0.0625185068152805
"SG110",-0.0726137963717648,0.21375370135793,-0.0622487347436628,-0.217272338292372,-0.242526414574892,0.218255171201824
"SG119",0.0367022677328594,-0.124321601226111,-0.0597008258856344,-0.059646571147535,0.0567578591653819,0.181274582608131
"SG132",0.0330344933746406,-0.0386701058507928,0.076235842876006,0.00689734111883178,-0.000256603460896926,0.0956659671100139
"SG134",0.115289292740281,-0.147139230466542,-0.048069173917376,-0.0768505910214387,0.0631131226184632,0.103184115236989
"SG28",-0.00402879601961237,-0.0626810321934065,0.0880730649106476,0.0217263646738554,0.105402132852838,-0.134355215082126
"SG35",0.0219169444815483,-0.0617860662545697,0.154287529908274,-0.047357192783696,0.0404957444261233,-0.0800384585920758
"SG48",0.140957437656349,0.0334654322813238,0.129350587091759,0.218940546558219,-0.106649042435691,-0.0727087162220053
"SG49",0.203000266014733,-0.0704691752328075,-0.0421856239978839,0.00544020807375164,0.00654439376804631,-0.0502015326891784
"SG67",-0.0903622631407515,-0.013358558588907,0.0572808131913374,0.20380832209624,0.0932159870803636,-0.118585597140058
"SG68",0.0124820181601099,-0.0933540558716062,-0.00622905446860007,0.0351310235508525,0.056008581169422,-0.0385484834397076
"SG71",-0.0221031686639136,-0.0019339684971826,0.237278025812095,0.161161550353644,-0.0120185182047618,-0.129607601030348
"SG83",-0.0605619270831968,0.0585299525850979,0.0172122190357183,0.0584100076491902,-0.0336662566444647,0.104617818218248
"SG84",0.116110623431031,-0.105567096738167,0.0717752026307101,0.0903508775013008,-0.0361660368341536,0.124839031811077
"SG94",-0.0299055757227192,-0.144265511051828,-0.00480719005572337,-0.0304182801846848,0.131918061740204,-0.0229726807659794
"SG96",-0.077840198675577,-0.0373286721981386,0.223622051520892,-0.150430158292492,0.0389624542416875,-0.0817870859444797
