Date,Tank.ID,Geoduck_ID,ALL_Treatment,EvA_Treatment,Day0_Treament,Day7_Treament,Day14,Day21_Treatment,Day,Number.animals,Box.position,Storage.Box.ID,Extracted_(X_done),Date_extraction,Qubit_RNA_Quantity,RNA_Quality_TapeStation,Qubit_DNA_Quantity,DNA_Quality_Gel,,Link to Extraction Notebook
20190724,H1_T8,29,A,A,A,NA,NA,NA,Day0,1,E7,Sam Gurr 2019 Thresholds Geoduck BOX #15,X,20200826,92.9,Yes,30.1,Yes,,https://samgurr.github.io/SamJGurr_Lab_Notebook/20200826-Juvenile-Panopea-generosa-DNA-RNA-Extractions/
20190724,H1_T6,22,A,A,A,NA,NA,NA,Day0,1,I6,Sam Gurr 2019 Thresholds Geoduck BOX #14,X,20200909,218,Yes,NA,Yes,,https://github.com/SamGurr/SamJGurr_Lab_Notebook/blob/master/_posts/2020-09-14-20200909-Juvenile-Panopea-generosa-DNA-RNA-Extractions.md
20190724,H1_T4,15,A,A,A,NA,NA,NA,Day0,1,I2,Sam Gurr 2019 Thresholds Geoduck BOX #1,X,20200910,68,Yes,23.5,Yes,,https://samgurr.github.io/SamJGurr_Lab_Notebook/20200910-Juvenile-Panopea-generosa-DNA-RNA-Extractions/
20190724,H1_T2,7,A,A,A,NA,NA,NA,Day0,1,G4,Sam Gurr 2019 Thresholds Geoduck BOX #1,X,20200923,68.4,Yes,29.4,Yes,,https://samgurr.github.io/SamJGurr_Lab_Notebook/20200923-Juvenile-Panopea-generosa-DNA-RNA-Extractions/
20190724,H1_T3,10,E,E,E,NA,NA,NA,Day0,1,D9,Sam Gurr 2019 Thresholds Geoduck BOX #1,X,20200826,183,Yes,39.9,Low,,https://samgurr.github.io/SamJGurr_Lab_Notebook/20200826-Juvenile-Panopea-generosa-DNA-RNA-Extractions/
20190724,H1_T5,18,E,E,E,NA,NA,NA,Day0,1,G6,Sam Gurr 2019 Thresholds Geoduck BOX #1,X,20200909,139.5,Yes,43.8,Yes,,https://samgurr.github.io/SamJGurr_Lab_Notebook/20200909-Juvenile-Panopea-generosa-DNA-RNA-Extractions/
20190724,H1_T7,27,E,E,E,NA,NA,NA,Day0,1,A2,Sam Gurr 2019 Thresholds Geoduck BOX #14,X,20200910,157,Yes,38.3,Yes,,https://samgurr.github.io/SamJGurr_Lab_Notebook/20200910-Juvenile-Panopea-generosa-DNA-RNA-Extractions/
20190724,H1_T1,1,E,E,E,NA,NA,NA,Day0,1,I6,Sam Gurr 2019 Thresholds Geoduck BOX #1,X,20200917,39.15,Yes,23.6,Yes,,https://samgurr.github.io/SamJGurr_Lab_Notebook/20200917-Juvenile-Panopea-generosa-DNA-RNA-Extractions/
20190731,25,417,AHA,A,NA,A,NA,NA,Day7,1,C6,Sam Gurr 2019 Thresholds Geoduck BOX #12,X,20200823,132,Yes,56,Yes,,https://samgurr.github.io/SamJGurr_Lab_Notebook/20200824-Juvenile-Panopea-generosa-DNA-RNA-Extractions/
20190731,33,451,AHA,A,NA,A,NA,NA,Day7,1,F4,Sam Gurr 2019 Thresholds Geoduck BOX #3,X,20200823,73.3,Yes,24.4,Yes,,https://samgurr.github.io/SamJGurr_Lab_Notebook/20200824-Juvenile-Panopea-generosa-DNA-RNA-Extractions/
20190731,36,462,AHA,A,NA,A,NA,NA,Day7,1,A3,Sam Gurr 2019 Thresholds Geoduck BOX #2,X,20200826,40.75,Yes,19.55,Yes,,https://samgurr.github.io/SamJGurr_Lab_Notebook/20200826-Juvenile-Panopea-generosa-DNA-RNA-Extractions/
20190731,30,439,AHA,A,NA,A,NA,NA,Day7,1,F7,Sam Gurr 2019 Thresholds Geoduck BOX #3,X,20200910,82,Yes,31.3,Yes,,https://samgurr.github.io/SamJGurr_Lab_Notebook/20200910-Juvenile-Panopea-generosa-DNA-RNA-Extractions/
20190731,34,453,AHA,A,NA,A,NA,NA,Day7,1,G8,Sam Gurr 2019 Thresholds Geoduck BOX #2,X,20200918,156,Yes,80.2,Yes,,https://samgurr.github.io/SamJGurr_Lab_Notebook/20200923-Juvenile-Panopea-generosa-DNA-RNA-Extractions/
20190731,26,422,AHA,A,NA,A,NA,NA,Day7,1,D8,Sam Gurr 2019 Thresholds Geoduck BOX #4,X,20200923,131,Yes,43.3,Yes,,https://samgurr.github.io/SamJGurr_Lab_Notebook/20200923-Juvenile-Panopea-generosa-DNA-RNA-Extractions/
20190731,10,359,AHM,A,NA,M,NA,NA,Day7,1,A8,Sam Gurr 2019 Thresholds Geoduck BOX #1,X,20200823,136.5,Yes,41.6,Yes,,https://samgurr.github.io/SamJGurr_Lab_Notebook/20200824-Juvenile-Panopea-generosa-DNA-RNA-Extractions/
20190731,12,367,AHM,A,NA,M,NA,NA,Day7,1,C9,Sam Gurr 2019 Thresholds Geoduck BOX #13,X,20200823,132.5,Yes,44.9,Yes,,https://samgurr.github.io/SamJGurr_Lab_Notebook/20200824-Juvenile-Panopea-generosa-DNA-RNA-Extractions/
20190731,6,343,AHM,A,NA,M,NA,NA,Day7,1,C3,Sam Gurr 2019 Thresholds Geoduck BOX #15,X,20200826,89.6,Yes,50.7,Yes,,https://samgurr.github.io/SamJGurr_Lab_Notebook/20200826-Juvenile-Panopea-generosa-DNA-RNA-Extractions/
20190731,5,362,AHM,A,NA,M,NA,NA,Day7,1,G4,Sam Gurr 2019 Thresholds Geoduck BOX #12,X,20200902,230,Yes,54.5,Yes,,https://samgurr.github.io/SamJGurr_Lab_Notebook/20200903-Juvenile-Panopea-generosa-DNA-RNA-Extractions/
20190731,11,339,AHM,A,NA,M,NA,NA,Day7,1,I1,Sam Gurr 2019 Thresholds Geoduck BOX #14,X,20200909,32.5,Yes,15.05,Yes,,https://samgurr.github.io/SamJGurr_Lab_Notebook/20200909-Juvenile-Panopea-generosa-DNA-RNA-Extractions/
20190731,4,334,AHM,A,NA,M,NA,NA,Day7,1,G7,Sam Gurr 2019 Thresholds Geoduck BOX #13,X,20200918,114.5,Yes,41.2,Yes,,https://samgurr.github.io/SamJGurr_Lab_Notebook/20200923-Juvenile-Panopea-generosa-DNA-RNA-Extractions/
20190731,15,379,AHS,A,NA,S,NA,NA,Day7,1,A1,Sam Gurr 2019 Thresholds Geoduck BOX #14,X,20200823,17.5,Yes,11.15,Yes,,https://samgurr.github.io/SamJGurr_Lab_Notebook/20200824-Juvenile-Panopea-generosa-DNA-RNA-Extractions/
20190731,21,402,AHS,A,NA,S,NA,NA,Day7,1,I8,Sam Gurr 2019 Thresholds Geoduck BOX #2,X,20200823,23.1,Yes,12.45,Low,,https://samgurr.github.io/SamJGurr_Lab_Notebook/20200824-Juvenile-Panopea-generosa-DNA-RNA-Extractions/
20190731,14,374,AHS,A,NA,S,NA,NA,Day7,1,B2,Sam Gurr 2019 Thresholds Geoduck BOX #15,X,20200826,69.4,Yes,35.3,Yes,,https://samgurr.github.io/SamJGurr_Lab_Notebook/20200826-Juvenile-Panopea-generosa-DNA-RNA-Extractions/
20190731,19,393,AHS,A,NA,S,NA,NA,Day7,1,B7,Sam Gurr 2019 Thresholds Geoduck BOX #13,X,20200902,239,Yes,72.4,Yes,,https://samgurr.github.io/SamJGurr_Lab_Notebook/20200903-Juvenile-Panopea-generosa-DNA-RNA-Extractions/
20190731,24,414,AHS,A,NA,S,NA,NA,Day7,1,D8,Sam Gurr 2019 Thresholds Geoduck BOX #15,X,20200910,116,Yes,52.3,Yes,,https://samgurr.github.io/SamJGurr_Lab_Notebook/20200910-Juvenile-Panopea-generosa-DNA-RNA-Extractions/
20190731,16,381,AHS,A,NA,S,NA,NA,Day7,1,I2,Sam Gurr 2019 Thresholds Geoduck BOX #2,X,20200918,97.9,Yes,38.2,Yes,,https://samgurr.github.io/SamJGurr_Lab_Notebook/20200923-Juvenile-Panopea-generosa-DNA-RNA-Extractions/
20190731,35,458,EHA,E,NA,A,NA,NA,Day7,1,H4,Sam Gurr 2019 Thresholds Geoduck BOX #14,X,20200823,36.8,Yes,23.9,Yes,,https://samgurr.github.io/SamJGurr_Lab_Notebook/20200824-Juvenile-Panopea-generosa-DNA-RNA-Extractions/
20190731,32,445,EHA,E,NA,A,NA,NA,Day7,1,H7,Sam Gurr 2019 Thresholds Geoduck BOX #2,X,20200823,108,Yes,47.7,Yes,,https://samgurr.github.io/SamJGurr_Lab_Notebook/20200824-Juvenile-Panopea-generosa-DNA-RNA-Extractions/
20190731,28,430,EHA,E,NA,A,NA,NA,Day7,1,I5,Sam Gurr 2019 Thresholds Geoduck BOX #14,X,20200826,133.5,Yes,73.8,Yes,,https://samgurr.github.io/SamJGurr_Lab_Notebook/20200826-Juvenile-Panopea-generosa-DNA-RNA-Extractions/
20190731,27,426,EHA,E,NA,A,NA,NA,Day7,1,F3,Sam Gurr 2019 Thresholds Geoduck BOX #14,X,20200902,21.2,Yes,8.71,Yes,,https://samgurr.github.io/SamJGurr_Lab_Notebook/20200903-Juvenile-Panopea-generosa-DNA-RNA-Extractions/
20190731,31,441,EHA,E,NA,A,NA,NA,Day7,1,F6,Sam Gurr 2019 Thresholds Geoduck BOX #15,X,20200918,126.5,Yes,76,Yes,,https://samgurr.github.io/SamJGurr_Lab_Notebook/20200923-Juvenile-Panopea-generosa-DNA-RNA-Extractions/
20190731,29,434,EHA,E,NA,A,NA,NA,Day7,1,I3,Sam Gurr 2019 Thresholds Geoduck BOX #14,X,20200923,115,Yes,68.6,Yes,,https://samgurr.github.io/SamJGurr_Lab_Notebook/20200923-Juvenile-Panopea-generosa-DNA-RNA-Extractions/
20190731,1,322,EHM,E,NA,M,NA,NA,Day7,1,E3,Sam Gurr 2019 Thresholds Geoduck BOX #15,X,20200823,84.8,Yes,46.6,Yes,,https://samgurr.github.io/SamJGurr_Lab_Notebook/20200824-Juvenile-Panopea-generosa-DNA-RNA-Extractions/
20190731,7,346,EHM,E,NA,M,NA,NA,Day7,1,B4,Sam Gurr 2019 Thresholds Geoduck BOX #12,X,20200826,166,Yes,81.3,Yes,,https://samgurr.github.io/SamJGurr_Lab_Notebook/20200826-Juvenile-Panopea-generosa-DNA-RNA-Extractions/
20190731,8,350,EHM,E,NA,M,NA,NA,Day7,1,A4,Sam Gurr 2019 Thresholds Geoduck BOX #5,X,20200826, 207 (previously NA),Yes,3.6 (previously NA),Yes,Redo Qubit == https://samgurr.github.io/SamJGurr_Lab_Notebook/REPEATED-QC-20201001-Juvenile-Panpoea-generosa-Extractions/,original QC == https://samgurr.github.io/SamJGurr_Lab_Notebook/20200827-Juvenile-Panopea-generosa-DNA-RNA-Extractions/
20190731,2,326,EHM,E,NA,M,NA,NA,Day7,1,E4,Sam Gurr 2019 Thresholds Geoduck BOX #5,X,20200902,173.5,Yes,51.7,Yes,,https://samgurr.github.io/SamJGurr_Lab_Notebook/20200903-Juvenile-Panopea-generosa-DNA-RNA-Extractions/
20190731,9,355,EHM,E,NA,M,NA,NA,Day7,1,A6,Sam Gurr 2019 Thresholds Geoduck BOX #14,X,20200908,168,Yes,94.5,Yes,,https://samgurr.github.io/SamJGurr_Lab_Notebook/20200909-Juvenile-Panopea-generosa-DNA-RNA-Extractions/
20190731,3,331,EHM,E,NA,M,NA,NA,Day7,1,B6,Sam Gurr 2019 Thresholds Geoduck BOX #15,X,20200909,19.3,Yes,19.25,Yes,,https://samgurr.github.io/SamJGurr_Lab_Notebook/20200909-Juvenile-Panopea-generosa-DNA-RNA-Extractions/
20190731,20,397,EHS,E,NA,S,NA,NA,Day7,1,B7,Sam Gurr 2019 Thresholds Geoduck BOX #15,X,20200823,199.5,Yes,109.5,Yes,,https://samgurr.github.io/SamJGurr_Lab_Notebook/20200824-Juvenile-Panopea-generosa-DNA-RNA-Extractions/
20190731,18,389,EHS,E,NA,S,NA,NA,Day7,1,E5,Sam Gurr 2019 Thresholds Geoduck BOX #5,X,20200826,135.5,Yes,62.1,Yes,,https://samgurr.github.io/SamJGurr_Lab_Notebook/20200826-Juvenile-Panopea-generosa-DNA-RNA-Extractions/
20190731,17,385,EHS,E,NA,S,NA,NA,Day7,1,C6,Sam Gurr 2019 Thresholds Geoduck BOX #14,X,20200902,91.3,Yes,44.8,Yes,,https://samgurr.github.io/SamJGurr_Lab_Notebook/20200903-Juvenile-Panopea-generosa-DNA-RNA-Extractions/
20190731,13,370,EHS,E,NA,S,NA,NA,Day7,1,I4,Sam Gurr 2019 Thresholds Geoduck BOX #15,X,20200902,58,Yes,20.9,Yes,,https://samgurr.github.io/SamJGurr_Lab_Notebook/20200903-Juvenile-Panopea-generosa-DNA-RNA-Extractions/
20190731,23,409,EHS,E,NA,S,NA,NA,Day7,1,E3,Sam Gurr 2019 Thresholds Geoduck BOX #5,X,20200902,169.5,Yes,76,Yes,,https://samgurr.github.io/SamJGurr_Lab_Notebook/20200903-Juvenile-Panopea-generosa-DNA-RNA-Extractions/
20190731,22,405,EHS,E,NA,S,NA,NA,Day7,1,H3,Sam Gurr 2019 Thresholds Geoduck BOX #2,X,20200923,92.1,Yes,50.5,Yes,,https://samgurr.github.io/SamJGurr_Lab_Notebook/20200923-Juvenile-Panopea-generosa-DNA-RNA-Extractions/
20190807,25,814,AHA,A,NA,NA,A,NA,DAY14,1,D6,Sam Gurr 2019 Thresholds Geoduck BOX #16,X,20200817,31.3,Yes,11.15,Low,,https://samgurr.github.io/SamJGurr_Lab_Notebook/20200817-20200818-Juvenile-Panopea-generosa-DNA-RNA-extractions/
20190807,34,849,AHA,A,NA,NA,A,NA,DAY14,1,E5,Sam Gurr 2019 Thresholds Geoduck BOX #16,X,20200818,55.8,Yes,19.2,Low,,https://samgurr.github.io/SamJGurr_Lab_Notebook/20200817-20200818-Juvenile-Panopea-generosa-DNA-RNA-extractions/
20190807,36,859,AHA,A,NA,NA,A,NA,DAY14,1,G7,Sam Gurr 2019 Thresholds Geoduck BOX #16,X,20200818,70.1,Yes,41.1,Yes,,https://samgurr.github.io/SamJGurr_Lab_Notebook/20200817-20200818-Juvenile-Panopea-generosa-DNA-RNA-extractions/
20190807,30,833,AHA,A,NA,NA,A,NA,DAY14,1,I6,Sam Gurr 2019 Thresholds Geoduck BOX #17,X,20200826,103.5,Yes,45.8,Yes,,https://samgurr.github.io/SamJGurr_Lab_Notebook/20200826-Juvenile-Panopea-generosa-DNA-RNA-Extractions/
20190807,26,819,AHA,A,NA,NA,A,NA,DAY14,1,B1,Sam Gurr 2019 Thresholds Geoduck BOX #19,X,20200902,22.5,Yes,22.3,Yes,,https://samgurr.github.io/SamJGurr_Lab_Notebook/20200903-Juvenile-Panopea-generosa-DNA-RNA-Extractions/
20190807,33,845,AHA,A,NA,NA,A,NA,DAY14,1,A4,Sam Gurr 2019 Thresholds Geoduck BOX #6,X,20200908,77.9,Yes,42.8,Yes,,https://samgurr.github.io/SamJGurr_Lab_Notebook/20200909-Juvenile-Panopea-generosa-DNA-RNA-Extractions/
20190807,4,729,AHM,A,NA,NA,M,NA,DAY14,1,D4,Sam Gurr 2019 Thresholds Geoduck BOX #16,X,20200817,89.5,Yes,41.7,Yes,,https://samgurr.github.io/SamJGurr_Lab_Notebook/20200817-20200818-Juvenile-Panopea-generosa-DNA-RNA-extractions/
20190807,6,737,AHM,A,NA,NA,M,NA,DAY14,1,I5,Sam Gurr 2019 Thresholds Geoduck BOX #16,X,20200818,12.4,Yes,19.45,Low,,https://samgurr.github.io/SamJGurr_Lab_Notebook/20200817-20200818-Juvenile-Panopea-generosa-DNA-RNA-extractions/
20190807,5,735,AHM,A,NA,NA,M,NA,DAY14,1,D6,Sam Gurr 2019 Thresholds Geoduck BOX #17,X,20200818,53.3,Yes,22.1,loading error,,https://samgurr.github.io/SamJGurr_Lab_Notebook/20200817-20200818-Juvenile-Panopea-generosa-DNA-RNA-extractions/
20190807,11,757,AHM,A,NA,NA,M,NA,DAY14,1,I8,Sam Gurr 2019 Thresholds Geoduck BOX #17,X,20200902,150,Yes,59.3,Yes,,https://samgurr.github.io/SamJGurr_Lab_Notebook/20200903-Juvenile-Panopea-generosa-DNA-RNA-Extractions/
20190807,10,754,AHM,A,NA,NA,M,NA,DAY14,1,B6,Sam Gurr 2019 Thresholds Geoduck BOX #17,X,20200910,33.9,Yes,17.3,Yes,,https://samgurr.github.io/SamJGurr_Lab_Notebook/20200910-Juvenile-Panopea-generosa-DNA-RNA-Extractions/
20190807,12,763,AHM,A,NA,NA,M,NA,DAY14,1,C8,Sam Gurr 2019 Thresholds Geoduck BOX #17,X,20200916,37.9,Yes,36.3,Yes,,https://samgurr.github.io/SamJGurr_Lab_Notebook/20200917-Juvenile-Panopea-generosa-DNA-RNA-Extractions/
