"","Gene.ID","SG117","SG137","SG38","SG97","SG88","SG87","SG98","SG37"
"1","PGEN_.00g029510",255,189,212,460,387,103,231,187
"2","PGEN_.00g223140",36,38,10,38,35,38,58,41
"3","PGEN_.00g049360",8,6,5,108,83,224,53,38
"4","PGEN_.00g175940",13,18,18,24,20,18,21,24
"5","PGEN_.00g218990",13,6,19,37,18,28,33,29
"6","PGEN_.00g295020",763,3,35,134,30,79,20,44
"7","PGEN_.00g075140",12,4,6,13,8,13,17,9
"8","PGEN_.00g261340",4,3,3,7,4,10,15,6
"9","PGEN_.00g108830",111,275,466,239,360,822,856,509
"10","PGEN_.00g097300",4,3,5,6,2,4,11,5
"11","PGEN_.00g078040",526,292,338,406,435,494,378,316
"12","PGEN_.00g334660",24,13,11,16,18,8,26,16
"13","PGEN_.00g340040",11,2,3,5,6,6,4,5
"14","PGEN_.00g047980",17,5,3,9,2,7,6,6
"15","PGEN_.00g184820",27,22,22,27,29,29,25,19
"16","PGEN_.00g178340",230,245,112,232,234,181,220,293
"17","PGEN_.00g002060",0,9,2,20,8,17,16,12
"18","PGEN_.00g006760",4,6,10,8,7,4,2,0
"19","PGEN_.00g314970",222,67,84,84,107,115,63,71
"20","PGEN_.00g037990",8,3,4,10,11,0,8,9
"21","PGEN_.00g199200",2,1,5,2,2,4,3,3
"22","PGEN_.00g195780",9,4,6,1,2,6,10,4
"23","PGEN_.00g004720",19,15,14,17,22,20,11,8
"24","PGEN_.00g219710",73,72,54,67,92,99,88,70
"25","PGEN_.00g284350",60,68,39,65,57,72,81,77
"26","PGEN_.00g245710",5,0,0,4,8,1,11,0
"27","PGEN_.00g333030",6,2,4,2,3,5,0,0
"28","PGEN_.00g044980",25,5,3,9,7,9,13,5
"29","PGEN_.00g111600",0,0,4,6,10,0,0,5
"30","PGEN_.00g101980",15,5,7,5,4,6,10,2
"31","PGEN_.00g129730",0,0,2,3,16,11,1,4
"32","PGEN_.00g005230",18,14,7,11,12,23,14,12
"33","PGEN_.00g217740",54,16,21,30,23,35,33,20
"34","PGEN_.00g010030",17,5,3,2,5,4,12,2
"35","PGEN_.00g087910",12,14,6,2,10,20,13,17
"36","PGEN_.00g243610",4,7,4,2,6,10,1,9
"37","PGEN_.00g064500",11,7,1,5,3,6,5,6
"38","PGEN_.00g121250",16,4,8,4,4,5,4,6
"39","PGEN_.00g019550",44,37,61,36,55,108,124,78
"40","PGEN_.00g347810",168,162,158,233,258,309,231,296
"41","PGEN_.00g338410",8,13,10,30,35,38,13,31
"42","PGEN_.00g010780",11,19,6,1,18,2,11,3
"43","PGEN_.00g130790",16,5,11,9,17,35,16,8
"44","PGEN_.00g044360",3,3,0,3,4,2,4,5
"45","PGEN_.00g304970",59,36,33,68,59,95,46,75
"46","PGEN_.00g218140",3,1,0,5,2,6,3,4
"47","PGEN_.00g118300",70,48,68,84,83,146,116,70
"48","PGEN_.00g163270",0,2,4,9,13,15,2,4
"49","PGEN_.00g092210",96,155,90,59,87,83,73,81
"50","PGEN_.00g242560",56,93,50,89,78,115,91,112
"51","PGEN_.00g332070",17,10,9,17,8,9,16,15
"52","PGEN_.00g266120",2,2,3,0,6,4,5,5
"53","PGEN_.00g328950",8,1,11,14,14,14,12,7
"54","PGEN_.00g122700",10,9,5,4,5,4,5,7
"55","PGEN_.00g235500",40,15,23,18,19,29,25,16
"56","PGEN_.00g065460",4,3,1,3,4,2,4,5
"57","PGEN_.00g083340",3,3,2,2,2,3,3,5
"58","PGEN_.00g018780",8,20,4,16,7,11,6,27
"59","PGEN_.00g348830",4,4,2,3,0,5,4,1
