"","geneSymbol","Genes"
"1","PGEN_.00g000320",NA
"2","PGEN_.00g001920","F-BAR domain only protein 2"
"3","PGEN_.00g006470","Multiple epidermal growth factor-like domains protein 6 (Multiple EGF-like domains protein 6) (Epidermal growth factor-like protein 3) (EGF-like protein 3)"
"4","PGEN_.00g013370","Zinc finger protein 839 (Renal carcinoma antigen NY-REN-50)"
"5","PGEN_.00g017410",NA
"6","PGEN_.00g026180","Furin-1 (EC 3.4.21.75) (Dibasic-processing enzyme) (Paired basic amino acid residue-cleaving enzyme) (PACE)"
"7","PGEN_.00g031840","Serine palmitoyltransferase 2 (EC 2.3.1.50) (Long chain base biosynthesis protein 2) (LCB 2) (Long chain base biosynthesis protein 2a) (LCB2a) (Serine-palmitoyl-CoA transferase 2) (SPT 2)"
"8","PGEN_.00g034140","Transcription factor MafK"
"9","PGEN_.00g037110","Testis-expressed protein 2 (Transmembrane protein 96)"
"10","PGEN_.00g038730",NA
"11","PGEN_.00g043410","Lysosomal alpha-mannosidase (Laman) (EC 3.2.1.24) (Lysosomal acid alpha-mannosidase) (Mannosidase alpha class 2B member 1) (Mannosidase alpha-B) [Cleaved into: Lysosomal alpha-mannosidase A peptide; Lysosomal alpha-mannosidase B peptide; Lysosomal alpha-mannosidase C peptide; Lysosomal alpha-mannosidase D peptide; Lysosomal alpha-mannosidase E peptide]"
"12","PGEN_.00g045430","CCR4-NOT transcription complex subunit 3 (CCR4-associated factor 3)"
"13","PGEN_.00g045600",NA
"14","PGEN_.00g046300",NA
"15","PGEN_.00g050060",NA
"16","PGEN_.00g056490","Probable serine/threonine-protein kinase pats1 (EC 2.7.11.1) (Protein associated with the transduction of signal 1)"
"17","PGEN_.00g057650","Tubulin-specific chaperone D (Beta-tubulin cofactor D) (Tubulin-folding cofactor D)"
"18","PGEN_.00g058860",NA
"19","PGEN_.00g063730",NA
"20","PGEN_.00g064210","Probable G-protein coupled receptor 158"
"21","PGEN_.00g077090",NA
"22","PGEN_.00g077330","Anoctamin-4 (Transmembrane protein 16D)"
"23","PGEN_.00g083260","Cysteine-rich hydrophobic domain-containing protein 1 (Brain X-linked protein)"
"24","PGEN_.00g087470",NA
"25","PGEN_.00g103390",NA
"26","PGEN_.00g108610","Myeloid differentiation primary response protein MyD88"
"27","PGEN_.00g114720","Sodium-dependent phosphate transport protein 2B (Sodium-phosphate transport protein 2B) (Na(+)-dependent phosphate cotransporter 2B) (Sodium/phosphate cotransporter 2B) (Na(+)/Pi cotransporter 2B) (NaPi-2b) (Solute carrier family 34 member 2) (rNaPi IIb)"
"28","PGEN_.00g116020","Skeletal aspartic acid-rich protein 2 (Fragment)"
"29","PGEN_.00g116670","Sortilin-related receptor (Gp250) (Low-density lipoprotein receptor relative with 11 ligand-binding repeats) (LDLR relative with 11 ligand-binding repeats) (LR11) (SorLA-1) (Sorting protein-related receptor containing LDLR class A repeats) (mSorLA)"
"30","PGEN_.00g118660",NA
"31","PGEN_.00g127070","Protein Aster-B (GRAM domain-containing protein 1B)"
"32","PGEN_.00g131960","Sushi, von Willebrand factor type A, EGF and pentraxin domain-containing protein 1 (CCP module-containing protein 22) (Polydom) (Selectin-like osteoblast-derived protein) (SEL-OB) (Serologically defined breast cancer antigen NY-BR-38)"
"33","PGEN_.00g136110",NA
"34","PGEN_.00g140080","Serine/threonine-protein kinase unc-51 (EC 2.7.11.1) (Uncoordinated protein 51)"
"35","PGEN_.00g140790","Collagen alpha-5(VI) chain (Collagen alpha-1(XXIX) chain) (von Willebrand factor A domain-containing protein 4)"
"36","PGEN_.00g146100",NA
"37","PGEN_.00g146320","Tricarboxylate transport protein, mitochondrial (Citrate transport protein) (CTP) (Solute carrier family 25 member 1) (Tricarboxylate carrier protein)"
"38","PGEN_.00g155000","TNF receptor-associated factor 6 (EC 2.3.2.27) (E3 ubiquitin-protein ligase TRAF6) (RING-type E3 ubiquitin transferase TRAF6)"
"39","PGEN_.00g160220",NA
"40","PGEN_.00g160860","ETS homologous factor (ETS domain-containing transcription factor)"
"41","PGEN_.00g163020","LIX1-like protein"
"42","PGEN_.00g166530","MOB kinase activator 3B (Mob1 homolog 2b) (Mps one binder kinase activator-like 2B)"
"43","PGEN_.00g170580",NA
"44","PGEN_.00g175170",NA
"45","PGEN_.00g183190","Protein tamozhennic"
"46","PGEN_.00g183210","E3 ubiquitin-protein ligase MYLIP (EC 2.3.2.27) (Inducible degrader of the LDL-receptor) (Idol) (Myosin regulatory light chain interacting protein) (MIR) (RING-type E3 ubiquitin transferase MYLIP)"
"47","PGEN_.00g186060","PH domain leucine-rich repeat protein phosphatase 1 (EC 3.1.3.16) (Pleckstrin homology domain-containing family E member 1) (PH domain-containing family E member 1) (Suprachiasmatic nucleus circadian oscillatory protein)"
"48","PGEN_.00g192440","Excitatory amino acid transporter 2 (GLT-1) (Sodium-dependent glutamate/aspartate transporter 2) (GLUT-R) (Solute carrier family 1 member 2)"
"49","PGEN_.00g192790","Zinc finger protein 79 (ZNFpT7)"
"50","PGEN_.00g198770","Junction-mediating and -regulatory protein"
"51","PGEN_.00g203820",NA
"52","PGEN_.00g206640",NA
"53","PGEN_.00g208100","ADP-ribosylation factor 4"
"54","PGEN_.00g210270","Toll-like receptor 4 (PmTLR4)"
"55","PGEN_.00g214380",NA
"56","PGEN_.00g215190","Interleukin-17 receptor D (IL-17 receptor D) (IL-17RD) (Interleukin-17 receptor-like protein) (Sef homolog) (mSef)"
"57","PGEN_.00g220500","Inhibitor of growth protein 3"
"58","PGEN_.00g223660","Sortilin"
"59","PGEN_.00g224070","FYVE, RhoGEF and PH domain-containing protein 4 (Actin filament-binding protein frabin) (FGD1-related F-actin-binding protein) (Zinc finger FYVE domain-containing protein 6)"
"60","PGEN_.00g233430","Protein FAM43A"
"61","PGEN_.00g233710","Serine/threonine-protein kinase 24 (EC 2.7.11.1) (Mammalian STE20-like protein kinase 3) (MST-3) (STE20-like kinase MST3) [Cleaved into: Serine/threonine-protein kinase 24 35 kDa subunit (Mammalian STE20-like protein kinase 3 N-terminal) (MST3/N); Serine/threonine-protein kinase 24 12 kDa subunit (Mammalian STE20-like protein kinase 3 C-terminal) (MST3/C)]"
"62","PGEN_.00g237280","Transmembrane 9 superfamily member 2"
"63","PGEN_.00g239040",NA
"64","PGEN_.00g252770",NA
"65","PGEN_.00g258490",NA
"66","PGEN_.00g262180","BTB/POZ domain-containing protein KCTD7"
"67","PGEN_.00g262720","Adenylate cyclase type 5 (EC 4.6.1.1) (ATP pyrophosphate-lyase 5) (Adenylate cyclase type V) (Adenylyl cyclase 5) (AC5)"
"68","PGEN_.00g264740","Sterol regulatory element-binding protein cleavage-activating protein (SCAP) (SREBP cleavage-activating protein)"
"69","PGEN_.00g265660",NA
"70","PGEN_.00g271290",NA
"71","PGEN_.00g278620","CDK5 regulatory subunit-associated protein 2 (CDK5 activator-binding protein C48)"
"72","PGEN_.00g278670","Atrial natriuretic peptide receptor 1 (EC 4.6.1.2) (Atrial natriuretic peptide receptor type A) (ANP-A) (ANPR-A) (NPR-A) (Guanylate cyclase A) (GC-A)"
"73","PGEN_.00g280100","Three prime repair exonuclease 2 (EC 3.1.11.2) (3'-5' exonuclease TREX2)"
"74","PGEN_.00g283400",NA
"75","PGEN_.00g285160","F-box/WD repeat-containing protein 5 (F-box and WD-40 domain-containing protein 5)"
"76","PGEN_.00g288390",NA
"77","PGEN_.00g289690","WD repeat-containing protein 46 (WD repeat-containing protein BING4)"
"78","PGEN_.00g290460",NA
"79","PGEN_.00g291040",NA
"80","PGEN_.00g297810",NA
"81","PGEN_.00g308890","X-ray repair cross-complementing protein 5 (EC 3.6.4.-) (86 kDa subunit of Ku antigen) (ATP-dependent DNA helicase 2 subunit 2) (ATP-dependent DNA helicase II 80 kDa subunit) (CTC box-binding factor 85 kDa subunit) (CTC85) (CTCBF) (DNA repair protein XRCC5) (Ku80) (Ku86) (Lupus Ku autoantigen protein p86) (Nuclear factor IV) (Thyroid-lupus autoantigen) (TLAA) (X-ray repair complementing defective repair in Chinese hamster cells 5 (double-strand-break rejoining))"
"82","PGEN_.00g316600","EF-hand domain-containing protein D2 (Swiprosin-1)"
"83","PGEN_.00g317500","N-alpha-acetyltransferase 38, NatC auxiliary subunit (LSM domain-containing protein 1)"
