"","geneSymbol","Genes"
"1","PGEN_.00g039850","Cytochrome P450 4V2 (EC 1.14.14.-) (Docosahexaenoic acid omega-hydroxylase CYP4V2) (EC 1.14.14.79)"
"2","PGEN_.00g048930","Alcohol dehydrogenase class-3 (EC 1.1.1.1) (Alcohol dehydrogenase class-III) (Glutathione-dependent formaldehyde dehydrogenase) (FALDH) (FDH) (GSH-FDH) (EC 1.1.1.-) (S-(hydroxymethyl)glutathione dehydrogenase) (EC 1.1.1.284)"
"3","PGEN_.00g051530","Vacuolar protein 8"
"4","PGEN_.00g069760","Guanine nucleotide exchange protein smcr8a (Smith-Magenis syndrome chromosomal region candidate gene 8 protein homolog A)"
"5","PGEN_.00g204750","TBC1 domain family member 22A"
"6","PGEN_.00g231610",NA
"7","PGEN_.00g264730","Actin-related protein 2/3 complex subunit 2 (Arp2/3 complex 34 kDa subunit) (p34-ARC)"
"8","PGEN_.00g273190","Putative phosphoenolpyruvate synthase (Putative PEP synthase) (Pyruvate, water dikinase)"
"9","PGEN_.00g285980","Dimethylaniline monooxygenase [N-oxide-forming] 5 (EC 1.14.13.8) (Dimethylaniline oxidase 5) (Hepatic flavin-containing monooxygenase 5) (FMO 5)"
"10","PGEN_.00g294360",NA
"11","PGEN_.00g312490","Tetratricopeptide repeat protein 39C (TPR repeat protein 39C)"
"12","PGEN_.00g317830","Solute carrier family 12 member 9"
"13","PGEN_.00g345680","Cathepsin L1 (EC 3.4.22.15) (Cathepsin L) [Cleaved into: Cathepsin L1 heavy chain; Cathepsin L1 light chain]"
