"","PgenIDs","slim_term","over_represented_pvalue","GO_terms","term","ontology","moduleColor","Gene_terms"
"1","PGEN_.00g000530","structural molecule activity",1.80524750914028e-09,"GO:0003735","structural constituent of ribosome","MF","pink","40S ribosomal protein S7 (Small ribosomal subunit protein eS7)"
"2","PGEN_.00g001730","ubiquitin-like protein binding",0.00586413127836555,"GO:0032183","SUMO binding","MF","pink","Plasminogen activator inhibitor 1 RNA-binding protein (PAI1 RNA-binding protein 1) (PAI-RBP1) (SERPINE1 mRNA-binding protein 1)"
"3","PGEN_.00g003050","ion binding",0.00631821469536611,"GO:0005524","ATP binding","MF","pink","NAD kinase 2, mitochondrial"
"4","PGEN_.00g003050","ion binding",0.0199770150509776,"GO:0046872","metal ion binding","MF","pink","NAD kinase 2, mitochondrial"
"5","PGEN_.00g003210","ion binding",0.0199770150509776,"GO:0046872","metal ion binding","MF","pink","Serine/threonine-protein kinase PrkC (Ser/Thr-protein kinase PrkC)"
"6","PGEN_.00g003210","kinase activity",0.00289032212979353,"GO:0004674","protein serine/threonine kinase activity","MF","pink","Serine/threonine-protein kinase PrkC (Ser/Thr-protein kinase PrkC)"
"7","PGEN_.00g003210","ion binding",0.00631821469536611,"GO:0005524","ATP binding","MF","pink","Serine/threonine-protein kinase PrkC (Ser/Thr-protein kinase PrkC)"
"8","PGEN_.00g009770","transmembrane transporter activity",0.000119604108739094,"GO:0004129","cytochrome-c oxidase activity","MF","pink","ATP synthase subunit delta, mitochondrial (ATP synthase F1 subunit delta) (F-ATPase delta subunit)"
"9","PGEN_.00g009770","transmembrane transporter activity",3.04111671822194e-09,"GO:0046933","proton-transporting ATP synthase activity, rotational mechanism","MF","pink","ATP synthase subunit delta, mitochondrial (ATP synthase F1 subunit delta) (F-ATPase delta subunit)"
"10","PGEN_.00g009770","transmembrane transporter activity",0.000181068211577282,"GO:0015078","proton transmembrane transporter activity","MF","pink","ATP synthase subunit delta, mitochondrial (ATP synthase F1 subunit delta) (F-ATPase delta subunit)"
"11","PGEN_.00g015370","ion binding",0.0199770150509776,"GO:0046872","metal ion binding","MF","pink","Translin-associated protein X (Translin-associated factor X)"
"12","PGEN_.00g015370","ion binding",0.00631821469536611,"GO:0005524","ATP binding","MF","pink","Translin-associated protein X (Translin-associated factor X)"
"13","PGEN_.00g017180","kinase activity",0.00289032212979353,"GO:0004674","protein serine/threonine kinase activity","MF","pink","Serine/threonine-protein kinase Nek2"
"14","PGEN_.00g017180","ion binding",0.0199770150509776,"GO:0046872","metal ion binding","MF","pink","Serine/threonine-protein kinase Nek2"
"15","PGEN_.00g017180","ion binding",0.00631821469536611,"GO:0005524","ATP binding","MF","pink","Serine/threonine-protein kinase Nek2"
"16","PGEN_.00g023620","ubiquitin-like protein binding",0.00586413127836555,"GO:0032183","SUMO binding","MF","pink","SUMO-specific isopeptidase USPL1"
"17","PGEN_.00g025890","RNA binding",0.0140428825421342,"GO:0070181","small ribosomal subunit rRNA binding","MF","pink","Eukaryotic translation initiation factor 3 subunit K (eIF3k) (Eukaryotic translation initiation factor 3 subunit 12) (Muscle-specific gene M9 protein) (PLAC-24) (eIF-3 p25) (eIF-3 p28)"
"18","PGEN_.00g025890","translation factor activity, RNA bi...",9.08601336953502e-05,"GO:0003743","translation initiation factor activity","MF","pink","Eukaryotic translation initiation factor 3 subunit K (eIF3k) (Eukaryotic translation initiation factor 3 subunit 12) (Muscle-specific gene M9 protein) (PLAC-24) (eIF-3 p25) (eIF-3 p28)"
"19","PGEN_.00g025890","RNA binding",0.000686256029554168,"GO:0003746","translation elongation factor activity","MF","pink","Eukaryotic translation initiation factor 3 subunit K (eIF3k) (Eukaryotic translation initiation factor 3 subunit 12) (Muscle-specific gene M9 protein) (PLAC-24) (eIF-3 p25) (eIF-3 p28)"
"20","PGEN_.00g025890","RNA binding",9.08601336953502e-05,"GO:0003743","translation initiation factor activity","MF","pink","Eukaryotic translation initiation factor 3 subunit K (eIF3k) (Eukaryotic translation initiation factor 3 subunit 12) (Muscle-specific gene M9 protein) (PLAC-24) (eIF-3 p25) (eIF-3 p28)"
"21","PGEN_.00g025890","translation factor activity, RNA bi...",0.000686256029554168,"GO:0003746","translation elongation factor activity","MF","pink","Eukaryotic translation initiation factor 3 subunit K (eIF3k) (Eukaryotic translation initiation factor 3 subunit 12) (Muscle-specific gene M9 protein) (PLAC-24) (eIF-3 p25) (eIF-3 p28)"
"22","PGEN_.00g028280","ion binding",0.0199770150509776,"GO:0046872","metal ion binding","MF","pink","Cytoplasmic dynein 1 heavy chain 1 (Cytoplasmic dynein heavy chain 1) (Dynein heavy chain, cytosolic)"
"23","PGEN_.00g028280","ion binding",0.00631821469536611,"GO:0005524","ATP binding","MF","pink","Cytoplasmic dynein 1 heavy chain 1 (Cytoplasmic dynein heavy chain 1) (Dynein heavy chain, cytosolic)"
"24","PGEN_.00g031190","translation factor activity, RNA bi...",9.08601336953502e-05,"GO:0003743","translation initiation factor activity","MF","pink","Elongation factor 1-gamma (EF-1-gamma) (eEF-1B gamma)"
"25","PGEN_.00g031190","translation factor activity, RNA bi...",0.000686256029554168,"GO:0003746","translation elongation factor activity","MF","pink","Elongation factor 1-gamma (EF-1-gamma) (eEF-1B gamma)"
"26","PGEN_.00g031190","RNA binding",0.0140428825421342,"GO:0070181","small ribosomal subunit rRNA binding","MF","pink","Elongation factor 1-gamma (EF-1-gamma) (eEF-1B gamma)"
"27","PGEN_.00g031190","RNA binding",9.08601336953502e-05,"GO:0003743","translation initiation factor activity","MF","pink","Elongation factor 1-gamma (EF-1-gamma) (eEF-1B gamma)"
"28","PGEN_.00g031190","RNA binding",0.000686256029554168,"GO:0003746","translation elongation factor activity","MF","pink","Elongation factor 1-gamma (EF-1-gamma) (eEF-1B gamma)"
"29","PGEN_.00g032030","ion binding",0.0199770150509776,"GO:0046872","metal ion binding","MF","pink","Aprataxin and PNK-like factor"
"30","PGEN_.00g032030","ion binding",0.00631821469536611,"GO:0005524","ATP binding","MF","pink","Aprataxin and PNK-like factor"
"31","PGEN_.00g036260","ion binding",0.0199770150509776,"GO:0046872","metal ion binding","MF","pink","5-demethoxyubiquinone hydroxylase, mitochondrial (DMQ hydroxylase)"
"32","PGEN_.00g036260","ion binding",0.00631821469536611,"GO:0005524","ATP binding","MF","pink","5-demethoxyubiquinone hydroxylase, mitochondrial (DMQ hydroxylase)"
"33","PGEN_.00g036390","transmembrane transporter activity",0.000119604108739094,"GO:0004129","cytochrome-c oxidase activity","MF","pink","ATP synthase subunit d, mitochondrial (ATPase subunit d)"
"34","PGEN_.00g036390","transmembrane transporter activity",0.000181068211577282,"GO:0015078","proton transmembrane transporter activity","MF","pink","ATP synthase subunit d, mitochondrial (ATPase subunit d)"
"35","PGEN_.00g036390","transmembrane transporter activity",3.04111671822194e-09,"GO:0046933","proton-transporting ATP synthase activity, rotational mechanism","MF","pink","ATP synthase subunit d, mitochondrial (ATPase subunit d)"
"36","PGEN_.00g036410","ion binding",0.00631821469536611,"GO:0005524","ATP binding","MF","pink","PHD finger protein 6"
"37","PGEN_.00g036410","ion binding",0.0199770150509776,"GO:0046872","metal ion binding","MF","pink","PHD finger protein 6"
"38","PGEN_.00g037100","ion binding",0.00631821469536611,"GO:0005524","ATP binding","MF","pink","Serine/threonine-protein kinase/endoribonuclease ire-1 (Inositol-requiring protein 2) [Includes: Serine/threonine-protein kinase"
"39","PGEN_.00g037100","ion binding",0.0199770150509776,"GO:0046872","metal ion binding","MF","pink","Serine/threonine-protein kinase/endoribonuclease ire-1 (Inositol-requiring protein 2) [Includes: Serine/threonine-protein kinase"
"40","PGEN_.00g037100","kinase activity",0.00289032212979353,"GO:0004674","protein serine/threonine kinase activity","MF","pink","Serine/threonine-protein kinase/endoribonuclease ire-1 (Inositol-requiring protein 2) [Includes: Serine/threonine-protein kinase"
"41","PGEN_.00g039350","ion binding",0.00631821469536611,"GO:0005524","ATP binding","MF","pink","WD repeat and FYVE domain-containing protein 3 (Beach domain, WD repeat and FYVE domain-containing protein 1) (BWF1)"
"42","PGEN_.00g039350","ion binding",0.0199770150509776,"GO:0046872","metal ion binding","MF","pink","WD repeat and FYVE domain-containing protein 3 (Beach domain, WD repeat and FYVE domain-containing protein 1) (BWF1)"
"43","PGEN_.00g043790","oxidoreductase activity",0.000119604108739094,"GO:0004129","cytochrome-c oxidase activity","MF","pink","Nucleoredoxin"
"44","PGEN_.00g043790","oxidoreductase activity",0.0223590154733397,"GO:0009055","electron transfer activity","MF","pink","Nucleoredoxin"
"45","PGEN_.00g043790","oxidoreductase activity",9.32572942833181e-05,"GO:0008137","NADH dehydrogenase (ubiquinone) activity","MF","pink","Nucleoredoxin"
"46","PGEN_.00g043790","oxidoreductase activity",0.00496672728583987,"GO:0047134","protein-disulfide reductase activity","MF","pink","Nucleoredoxin"
"47","PGEN_.00g044880","structural molecule activity",1.80524750914028e-09,"GO:0003735","structural constituent of ribosome","MF","pink","40S ribosomal protein S15a"
"48","PGEN_.00g046230","ion binding",0.0199770150509776,"GO:0046872","metal ion binding","MF","pink","DNA-dependent protein kinase catalytic subunit (DNA-PK catalytic subunit) (DNA-PKcs)"
"49","PGEN_.00g046230","kinase activity",0.00289032212979353,"GO:0004674","protein serine/threonine kinase activity","MF","pink","DNA-dependent protein kinase catalytic subunit (DNA-PK catalytic subunit) (DNA-PKcs)"
"50","PGEN_.00g046230","ion binding",0.00631821469536611,"GO:0005524","ATP binding","MF","pink","DNA-dependent protein kinase catalytic subunit (DNA-PK catalytic subunit) (DNA-PKcs)"
"51","PGEN_.00g052400","enzyme regulator activity",0.00194704933103018,"GO:0008656","cysteine-type endopeptidase activator activity involved in apoptotic process","MF","pink","Receptor of activated protein C kinase 1 (Guanine nucleotide-binding protein subunit beta-like protein 12.3) (Receptor for activated C kinase) (Receptor of activated protein kinase C 1) (RACK1)"
"52","PGEN_.00g054210","ion binding",0.00631821469536611,"GO:0005524","ATP binding","MF","pink","Probable ATP-dependent RNA helicase DDX46"
"53","PGEN_.00g054210","ion binding",0.0199770150509776,"GO:0046872","metal ion binding","MF","pink","Probable ATP-dependent RNA helicase DDX46"
"54","PGEN_.00g055310","kinase activity",0.00289032212979353,"GO:0004674","protein serine/threonine kinase activity","MF","pink","Casein kinase I isoform delta (CKI-delta) (CKId)"
"55","PGEN_.00g055310","ion binding",0.00631821469536611,"GO:0005524","ATP binding","MF","pink","Casein kinase I isoform delta (CKI-delta) (CKId)"
"56","PGEN_.00g055310","ion binding",0.0199770150509776,"GO:0046872","metal ion binding","MF","pink","Casein kinase I isoform delta (CKI-delta) (CKId)"
"57","PGEN_.00g056800","structural molecule activity",1.80524750914028e-09,"GO:0003735","structural constituent of ribosome","MF","pink","39S ribosomal protein L27, mitochondrial (L27mt) (MRP-L27) (Mitochondrial large ribosomal subunit protein bL27m)"
"58","PGEN_.00g059620","structural molecule activity",1.80524750914028e-09,"GO:0003735","structural constituent of ribosome","MF","pink","Probable 28S ribosomal protein S6, mitochondrial (MRP-S6) (S6mt)"
"59","PGEN_.00g059620","RNA binding",0.0140428825421342,"GO:0070181","small ribosomal subunit rRNA binding","MF","pink","Probable 28S ribosomal protein S6, mitochondrial (MRP-S6) (S6mt)"
"60","PGEN_.00g059620","rRNA binding",0.0140428825421342,"GO:0070181","small ribosomal subunit rRNA binding","MF","pink","Probable 28S ribosomal protein S6, mitochondrial (MRP-S6) (S6mt)"
"61","PGEN_.00g059620","RNA binding",0.000686256029554168,"GO:0003746","translation elongation factor activity","MF","pink","Probable 28S ribosomal protein S6, mitochondrial (MRP-S6) (S6mt)"
"62","PGEN_.00g059620","RNA binding",9.08601336953502e-05,"GO:0003743","translation initiation factor activity","MF","pink","Probable 28S ribosomal protein S6, mitochondrial (MRP-S6) (S6mt)"
