"","PgenIDs","slim_term","over_represented_pvalue","GO_terms","term","ontology","moduleColor","Gene_terms"
"1","PGEN_.00g001960","catabolic process",0.0463438171921101,"GO:0006511","ubiquitin-dependent protein catabolic process","BP","yellow","Ubiquitin carboxyl-terminal hydrolase 24"
"2","PGEN_.00g003480","signal transduction",0.0198288916097144,"GO:0035556","intracellular signal transduction","BP","yellow","Adhesion G protein-coupled receptor L3 (Calcium-independent alpha-latrotoxin receptor 3) (CIRL-3) (Latrophilin-3) (Lectomedin-3)"
"3","PGEN_.00g003480","signal transduction",0.0432909416475732,"GO:0007186","G protein-coupled receptor signaling pathway","BP","yellow","Adhesion G protein-coupled receptor L3 (Calcium-independent alpha-latrotoxin receptor 3) (CIRL-3) (Latrophilin-3) (Lectomedin-3)"
"4","PGEN_.00g003480","signal transduction",0.00134725467122913,"GO:0007166","cell surface receptor signaling pathway","BP","yellow","Adhesion G protein-coupled receptor L3 (Calcium-independent alpha-latrotoxin receptor 3) (CIRL-3) (Latrophilin-3) (Lectomedin-3)"
"5","PGEN_.00g006290","cellular nitrogen compound metaboli...",0.00692141729134509,"GO:0045892","negative regulation of transcription, DNA-templated","BP","yellow","Helicase with zinc finger domain 2 (ATP-dependent helicase PRIC285) (Helicase with zinc finger 2, transcriptional coactivator) (PPAR-alpha-interacting complex protein 285) (PPAR-gamma DNA-binding domain-interacting protein 1) (PDIP1) (PPAR-gamma DBD-interacting protein 1) (Peroxisomal proliferator-activated receptor A-interacting complex 285 kDa protein)"
"6","PGEN_.00g006290","biosynthetic process",0.00692141729134509,"GO:0045892","negative regulation of transcription, DNA-templated","BP","yellow","Helicase with zinc finger domain 2 (ATP-dependent helicase PRIC285) (Helicase with zinc finger 2, transcriptional coactivator) (PPAR-alpha-interacting complex protein 285) (PPAR-gamma DNA-binding domain-interacting protein 1) (PDIP1) (PPAR-gamma DBD-interacting protein 1) (Peroxisomal proliferator-activated receptor A-interacting complex 285 kDa protein)"
"7","PGEN_.00g006290","cellular nitrogen compound metaboli...",0.00337819054694107,"GO:0045944","positive regulation of transcription by RNA polymerase II","BP","yellow","Helicase with zinc finger domain 2 (ATP-dependent helicase PRIC285) (Helicase with zinc finger 2, transcriptional coactivator) (PPAR-alpha-interacting complex protein 285) (PPAR-gamma DNA-binding domain-interacting protein 1) (PDIP1) (PPAR-gamma DBD-interacting protein 1) (Peroxisomal proliferator-activated receptor A-interacting complex 285 kDa protein)"
"8","PGEN_.00g006290","biosynthetic process",0.00337819054694107,"GO:0045944","positive regulation of transcription by RNA polymerase II","BP","yellow","Helicase with zinc finger domain 2 (ATP-dependent helicase PRIC285) (Helicase with zinc finger 2, transcriptional coactivator) (PPAR-alpha-interacting complex protein 285) (PPAR-gamma DNA-binding domain-interacting protein 1) (PDIP1) (PPAR-gamma DBD-interacting protein 1) (Peroxisomal proliferator-activated receptor A-interacting complex 285 kDa protein)"
"9","PGEN_.00g006290","biosynthetic process",0.0269988039657682,"GO:0045893","positive regulation of transcription, DNA-templated","BP","yellow","Helicase with zinc finger domain 2 (ATP-dependent helicase PRIC285) (Helicase with zinc finger 2, transcriptional coactivator) (PPAR-alpha-interacting complex protein 285) (PPAR-gamma DNA-binding domain-interacting protein 1) (PDIP1) (PPAR-gamma DBD-interacting protein 1) (Peroxisomal proliferator-activated receptor A-interacting complex 285 kDa protein)"
"10","PGEN_.00g006290","cellular nitrogen compound metaboli...",0.0269988039657682,"GO:0045893","positive regulation of transcription, DNA-templated","BP","yellow","Helicase with zinc finger domain 2 (ATP-dependent helicase PRIC285) (Helicase with zinc finger 2, transcriptional coactivator) (PPAR-alpha-interacting complex protein 285) (PPAR-gamma DNA-binding domain-interacting protein 1) (PDIP1) (PPAR-gamma DBD-interacting protein 1) (Peroxisomal proliferator-activated receptor A-interacting complex 285 kDa protein)"
"11","PGEN_.00g011050","cellular nitrogen compound metaboli...",0.00692141729134509,"GO:0045892","negative regulation of transcription, DNA-templated","BP","yellow","Protein max (Class D basic helix-loop-helix protein 4) (bHLHd4) (Myc-associated factor X)"
"12","PGEN_.00g011050","biosynthetic process",0.0269988039657682,"GO:0045893","positive regulation of transcription, DNA-templated","BP","yellow","Protein max (Class D basic helix-loop-helix protein 4) (bHLHd4) (Myc-associated factor X)"
