"","Gene_IDs","Day","Uniprot","gene","count"
"1","PGEN_.00g031840","Day14","P97363","Serine palmitoyltransferase 2 ",1
"2","PGEN_.00g057680","Day21","Q5QQ53","Xylosyltransferase oxt ",1
"3","PGEN_.00g169370","Day7","P78417","Glutathione S-transferase omega-1 ",1
"4","PGEN_.00g169390","Day7","Q9VSL3","Pyrimidodiazepine synthase ",1
"5","PGEN_.00g171780","Day14","P97363","Serine palmitoyltransferase 2 ",1
"6","PGEN_.00g180630","Day7","P78417","Glutathione S-transferase omega-1 ",1
"7","PGEN_.00g180710","Day21","Q7ZVE6","Protein O-glucosyltransferase 2 ",1
"8","PGEN_.00g194520","Day14","Q5ZHV2","N-alpha-acetyltransferase 35, NatC auxiliary subunit ",1
"9","PGEN_.00g206080","Day14","Q9QY36","N-alpha-acetyltransferase 10 ",1
"10","PGEN_.00g215140","Day7","P21266","Glutathione S-transferase Mu 3 ",1
"11","PGEN_.00g219960","Day7","P91253","Probable glutathione S-transferase 7 ",1
