"","Gene_IDs","Day","Uniprot","gene","count"
"1","PGEN_.00g044190","Day7","Q9C0B0","RING finger protein unkempt homolog ",1
"2","PGEN_.00g044420","Day7","Q9C0B0","RING finger protein unkempt homolog ",1
"3","PGEN_.00g082950","Day21","Q9VF87","Cytoplasmic FMR1-interacting protein ",1
"4","PGEN_.00g122640","Day14","P48810","Heterogeneous nuclear ribonucleoprotein 87F ",1
"5","PGEN_.00g128790","Day14","Q91550","Interleukin enhancer-binding factor 3-A ",1
"6","PGEN_.00g142880","Day21","Q6P2Q9","Pre-mRNA-processing-splicing factor 8 ",1
"7","PGEN_.00g145040","Day21","Q5ZM19","Nuclear cap-binding protein subunit 3",1
"8","PGEN_.00g168650","Day14","P54254","Ataxin-1 ",1
"9","PGEN_.00g194280","Day21","P10155","60 kDa SS-A/Ro ribonucleoprotein ",1
"10","PGEN_.00g236820","Day14","P51116","Fragile X mental retardation syndrome-related protein 2",1
"11","PGEN_.00g266770","Day14","Q5RB68","Insulin-like growth factor 2 mRNA-binding protein 2 ",1
"12","PGEN_.00g273240","Day21","P10155","60 kDa SS-A/Ro ribonucleoprotein ",1
