"gene.ID","log2FoldChange","up","down","Effect","gene.annotation"
"PGEN_.00g001350",-2.28226006112892,FALSE,TRUE,"Day7_second","Apolipophorins [Cleaved into: Apolipophorin-2 (Apolipophorin II) (apoLp-2); Apolipophorin-1 (Apolipophorin I) (apoLp-1)]"
"PGEN_.00g001350",3.52971001984865,TRUE,FALSE,"Day14_primary","Apolipophorins [Cleaved into: Apolipophorin-2 (Apolipophorin II) (apoLp-2); Apolipophorin-1 (Apolipophorin I) (apoLp-1)]"
"PGEN_.00g001350",-1.62569408570239,FALSE,TRUE,"Day7_MAversusAM","Apolipophorins [Cleaved into: Apolipophorin-2 (Apolipophorin II) (apoLp-2); Apolipophorin-1 (Apolipophorin I) (apoLp-1)]"
"PGEN_.00g001420",1.39618711921369,TRUE,FALSE,"Day7_primary",NA
"PGEN_.00g002290",5.1777879821056,TRUE,FALSE,"Day21_primary","Dehydrogenase/reductase SDR family member 11 (17-beta-hydroxysteroid dehydrogenase) (3-beta-hydroxysteroid 3-dehydrogenase) (EC 1.1.1.270) (Estradiol 17-beta-dehydrogenase) (EC 1.1.1.62) (Short-chain dehydrogenase/reductase family 24C member 1)"
"PGEN_.00g002680",-1.49431070266747,FALSE,TRUE,"Day7_MAversusAM","Alkaline phosphatase, tissue-nonspecific isozyme (AP-TNAP) (TNSALP) (EC 3.1.3.1) (Alkaline phosphatase liver/bone/kidney isozyme)"
"PGEN_.00g003510",-3.02332447556268,FALSE,TRUE,"Day21_primary",NA
"PGEN_.00g003940",4.24599422426381,TRUE,FALSE,"Day21_primary","Regucalcin (RC) (Gluconolactonase) (GNL) (EC 3.1.1.17) (Senescence marker protein 30) (SMP-30)"
"PGEN_.00g003940",3.95229011117436,TRUE,FALSE,"Day14_primary","Regucalcin (RC) (Gluconolactonase) (GNL) (EC 3.1.1.17) (Senescence marker protein 30) (SMP-30)"
"PGEN_.00g003940",3.44394396217445,TRUE,FALSE,"Day7_primary","Regucalcin (RC) (Gluconolactonase) (GNL) (EC 3.1.1.17) (Senescence marker protein 30) (SMP-30)"
"PGEN_.00g005400",2.60797101292425,TRUE,FALSE,"Day14_primary",NA
"PGEN_.00g005530",4.21297290710833,TRUE,FALSE,"Day14_primary","Brevican core protein"
"PGEN_.00g006280",-1.20092663073944,TRUE,FALSE,"Day0_primary","Helicase with zinc finger domain 2 (ATP-dependent helicase PRIC285) (Helicase with zinc finger 2, transcriptional coactivator) (PPAR-alpha-interacting complex protein 285) (PPAR-gamma DNA-binding domain-interacting protein 1) (PDIP1) (PPAR-gamma DBD-interacting protein 1) (Peroxisomal proliferator-activated receptor A-interacting complex 285 kDa protein) (EC 3.6.4.-)"
"PGEN_.00g006380",-1.33969244425109,FALSE,TRUE,"Day7_second","Counting factor associated protein D"
"PGEN_.00g006380",-0.850157730887604,FALSE,TRUE,"Day7_MAversusAM","Counting factor associated protein D"
"PGEN_.00g007040",5.6178663015121,TRUE,FALSE,"Day21_primary","Perlucin-like protein"
"PGEN_.00g007040",5.06178401644022,TRUE,FALSE,"Day14_primary","Perlucin-like protein"
"PGEN_.00g007100",2.58049591236746,TRUE,FALSE,"Day14_primary","Phenylalanine--tRNA ligase alpha subunit B (EC 6.1.1.20) (Phenylalanyl-tRNA synthetase alpha subunit B) (PheRS)"
"PGEN_.00g007180",-2.50057477895085,FALSE,TRUE,"Day7_MAversusAM",NA
"PGEN_.00g007180",5.79360438208357,TRUE,FALSE,"Day14_primary",NA
"PGEN_.00g007180",-3.63966208423631,FALSE,TRUE,"Day7_second",NA
"PGEN_.00g008130",-0.575059584649796,FALSE,TRUE,"Day7_MAversusAM","Tyrosine-protein phosphatase Lar (EC 3.1.3.48) (Protein-tyrosine-phosphate phosphohydrolase) (dLAR)"
"PGEN_.00g009920",-3.08958156829973,FALSE,TRUE,"Day7_second",NA
"PGEN_.00g009920",-1.97669149913358,FALSE,TRUE,"Day7_MAversusAM",NA
"PGEN_.00g009920",8.23681328819072,TRUE,FALSE,"Day21_primary",NA
"PGEN_.00g009930",7.9561523999012,TRUE,FALSE,"Day21_primary","Neurotrypsin (EC 3.4.21.-) (Serine protease 12)"
"PGEN_.00g009930",5.15156375252807,TRUE,FALSE,"Day14_primary","Neurotrypsin (EC 3.4.21.-) (Serine protease 12)"
"PGEN_.00g009930",-2.35283362654347,FALSE,TRUE,"Day7_MAversusAM","Neurotrypsin (EC 3.4.21.-) (Serine protease 12)"
"PGEN_.00g009930",-3.09155551567683,FALSE,TRUE,"Day7_second","Neurotrypsin (EC 3.4.21.-) (Serine protease 12)"
"PGEN_.00g009970",3.18508508057331,TRUE,FALSE,"Day14_primary","Helicase with zinc finger domain 2 (ATP-dependent helicase PRIC285) (Helicase with zinc finger 2, transcriptional coactivator) (PPAR-alpha-interacting complex protein 285) (PPAR-gamma DNA-binding domain-interacting protein 1) (PDIP1) (PPAR-gamma DBD-interacting protein 1) (Peroxisomal proliferator-activated receptor A-interacting complex 285 kDa protein) (EC 3.6.4.-)"
"PGEN_.00g010140",-4.2063952486167,FALSE,TRUE,"Day7_second",NA
"PGEN_.00g010140",-3.71495134114133,FALSE,TRUE,"Day7_MAversusAM",NA
"PGEN_.00g010140",5.08095268424947,TRUE,FALSE,"Day14_primary",NA
"PGEN_.00g010440",-2.50582971927175,FALSE,TRUE,"Day14_primary",NA
"PGEN_.00g012210",0.729523102313635,TRUE,FALSE,"Day7_MAversusAM",NA
"PGEN_.00g012750",4.77163426006903,TRUE,FALSE,"Day7_primary",NA
"PGEN_.00g012750",4.61280725582406,TRUE,FALSE,"Day14_primary",NA
"PGEN_.00g012750",-2.84507555961727,FALSE,TRUE,"Day7_MAversusAM",NA
"PGEN_.00g013170",9.22743492624118,TRUE,FALSE,"Day14_primary","NPC intracellular cholesterol transporter 2 (16.5 kDa secretory protein) (Epididymal secretory protein E1) (Niemann Pick type C2 protein homolog)"
"PGEN_.00g013400",-1.53512389225822,FALSE,TRUE,"Day21_primary","Bromo adjacent homology domain-containing 1 protein (BAH domain-containing protein 1)"
"PGEN_.00g014020",2.79087915024616,TRUE,FALSE,"Day14_primary","3'(2'),5'-bisphosphate nucleotidase 1 (EC 3.1.3.7) (Bisphosphate 3'-nucleotidase 1) (PAP-inositol 1,4-phosphatase) (PIP)"
"PGEN_.00g014740",6.02178232103869,TRUE,FALSE,"Day14_primary","NPC intracellular cholesterol transporter 2 (EPI-1) (Epididymal secretory protein E1) (Niemann Pick type C2 protein homolog)"
"PGEN_.00g015030",2.44594759904764,TRUE,FALSE,"Day21_primary","Dipeptidyl peptidase 3 (EC 3.4.14.4) (Dipeptidyl aminopeptidase III) (Dipeptidyl arylamidase III) (Dipeptidyl peptidase III) (DPP III) (Enkephalinase B)"
"PGEN_.00g015870",-1.53164893378486,FALSE,TRUE,"Day21_primary","Spectrin beta chain"
"PGEN_.00g015880",-0.873110291701467,FALSE,TRUE,"Day14_primary","Spectrin beta chain, non-erythrocytic 5 (Beta-V spectrin)"
"PGEN_.00g017110",-1.8756351114293,FALSE,TRUE,"Day14_primary","Endothelial PAS domain-containing protein 1 (EPAS-1) (HIF-1-alpha-like factor) (HLF) (mHLF) (HIF-related factor) (HRF) (Hypoxia-inducible factor 2-alpha) (HIF-2-alpha) (HIF2-alpha)"
