"","V1","V2","V3","V4","V5","V6","V7","V8","V9","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"1","PGEN_.00g155650","Scaffold_07",8128019,8137487,"H2A0N4","PIF_PINMG","Protein PIF [Cleaved into: Protein Pif97; Protein Pif80 (Aragonite-binding protein)]","GO:0005576; GO:0006030; GO:0008061","extracellular region [GO:0005576]; chitin binding [GO:0008061]; chitin metabolic process [GO:0006030]",541.344185227554,-5.94833089256304,1.20035587639438,-4.95547279730959,7.21546174654869e-07,0.00116926193735302
"2","PGEN_.00g203030","Scaffold_09",35381868,35382788,NA,NA,NA,NA,NA,54.2322791801708,-4.45287080854552,0.913730098748586,-4.87328896645084,1.097555010031e-06,0.00116926193735302
"3","PGEN_.00g341840","Scaffold_18",7663999,7675542,NA,NA,NA,NA,NA,821.218987797612,-8.75087771971258,1.78113355331087,-4.91309464326578,8.9649973507022e-07,0.00116926193735302
"4","PGEN_.00g291230","Scaffold_14",34463819,34464786,NA,NA,NA,NA,NA,224.105393999085,-6.30741813327859,1.3166014939623,-4.79068128222798,1.66215971974902e-06,0.00132806561607946
"5","PGEN_.00g182870","Scaffold_08",39309764,39318887,"P86952","TYRO_PINMA","Tyrosinase-like protein (Tyrosinase-2)","GO:0005576; GO:0016491; GO:0046872","extracellular region [GO:0005576]; metal ion binding [GO:0046872]; oxidoreductase activity [GO:0016491]",718.108976673586,-4.76712323417799,1.10383116978401,-4.31870684998936,1.56946083541967e-05,0.00580323070583265
"6","PGEN_.00g191620","Scaffold_09",1475356,1492890,NA,NA,NA,NA,NA,339.825910489404,-6.63322654340522,1.53911174382892,-4.30977579763209,1.63420138775012e-05,0.00580323070583265
"7","PGEN_.00g230900","Scaffold_11",19556376,19571285,NA,NA,NA,NA,NA,255.817401507272,-4.07229942922332,0.944606475755231,-4.31110682992877,1.62439397939819e-05,0.00580323070583265
"8","PGEN_.00g266130","Scaffold_13",17696471,17708939,"Q5XWD5","IF_CANLF","Cobalamin binding intrinsic factor (Gastric intrinsic factor) (Intrinsic factor) (IF) (INF) (Pancreatic intrinsic factor)","GO:0005576; GO:0006824; GO:0015889; GO:0031419","extracellular region [GO:0005576]; cobalamin binding [GO:0031419]; cobalamin transport [GO:0015889]; cobalt ion transport [GO:0006824]",59.6903759001251,-5.10784695041442,1.15792310904623,-4.41121427710488,1.02792530806418e-05,0.00580323070583265
"9","PGEN_.00g284840","Scaffold_14",21250711,21254009,"Q08CS6","MOXD2_DANRE","DBH-like monooxygenase protein 2 homolog (EC 1.14.17.-)","GO:0004500; GO:0005507; GO:0005615; GO:0005737; GO:0006589; GO:0016021; GO:0016715; GO:0030667; GO:0042420; GO:0042421","cytoplasm [GO:0005737]; extracellular space [GO:0005615]; integral component of membrane [GO:0016021]; secretory granule membrane [GO:0030667]; copper ion binding [GO:0005507]; dopamine beta-monooxygenase activity [GO:0004500]; oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, reduced ascorbate as one donor, and incorporation of one atom of oxygen [GO:0016715]; dopamine catabolic process [GO:0042420]; norepinephrine biosynthetic process [GO:0042421]; octopamine biosynthetic process [GO:0006589]",96.8344722483224,-4.77260418192492,1.08692390343338,-4.39092761402082,1.12868113426699e-05,0.00580323070583265
"10","PGEN_.00g270880","Scaffold_13",30604716,30643471,"O00339","MATN2_HUMAN","Matrilin-2","GO:0001764; GO:0003429; GO:0005201; GO:0005509; GO:0005604; GO:0005615; GO:0007411; GO:0008347; GO:0031012; GO:0031104; GO:0048678; GO:0062023","basement membrane [GO:0005604]; collagen-containing extracellular matrix [GO:0062023]; extracellular matrix [GO:0031012]; extracellular space [GO:0005615]; calcium ion binding [GO:0005509]; extracellular matrix structural constituent [GO:0005201]; axon guidance [GO:0007411]; dendrite regeneration [GO:0031104]; glial cell migration [GO:0008347]; growth plate cartilage chondrocyte morphogenesis [GO:0003429]; neuron migration [GO:0001764]; response to axon injury [GO:0048678]",34.5980594106424,-4.02038856692255,0.95912516916223,-4.19172460090298,2.76841930784174e-05,0.00884786810786219
"11","PGEN_.00g096560","Scaffold_04",47002819,47024613,"Q53G44","IF44L_HUMAN","Interferon-induced protein 44-like","GO:0005525; GO:0005737; GO:0006955; GO:0051607","cytoplasm [GO:0005737]; GTP binding [GO:0005525]; defense response to virus [GO:0051607]; immune response [GO:0006955]",68.376911701638,2.3124686995083,0.559221840828779,4.13515447837512,3.54715944083145e-05,0.0103061105208157
"12","PGEN_.00g092270","Scaffold_04",35245149,35300084,"Q6YHK3","CD109_HUMAN","CD109 antigen (150 kDa TGF-beta-1-binding protein) (C3 and PZP-like alpha-2-macroglobulin domain-containing protein 7) (Platelet-specific Gov antigen) (p180) (r150) (CD antigen CD109)","GO:0001933; GO:0001942; GO:0002576; GO:0004867; GO:0005576; GO:0005615; GO:0005829; GO:0005886; GO:0009986; GO:0010839; GO:0030512; GO:0031092; GO:0031225; GO:0045616; GO:0050431; GO:0061045; GO:0072675","anchored component of membrane [GO:0031225]; cell surface [GO:0009986]; cytosol [GO:0005829]; extracellular region [GO:0005576]; extracellular space [GO:0005615]; plasma membrane [GO:0005886]; platelet alpha granule membrane [GO:0031092]; serine-type endopeptidase inhibitor activity [GO:0004867]; transforming growth factor beta binding [GO:0050431]; hair follicle development [GO:0001942]; negative regulation of keratinocyte proliferation [GO:0010839]; negative regulation of protein phosphorylation [GO:0001933]; negative regulation of transforming growth factor beta receptor signaling pathway [GO:0030512]; negative regulation of wound healing [GO:0061045]; osteoclast fusion [GO:0072675]; platelet degranulation [GO:0002576]; regulation of keratinocyte differentiation [GO:0045616]",91.4941449387313,-3.02120279942079,0.755105488831859,-4.00103408610439,6.30662714102251e-05,0.0167966502855899
"13","PGEN_.00g149990","Scaffold_06",54102622,54110052,NA,NA,NA,NA,NA,1220.87077393764,-5.99037580862486,1.51199953493788,-3.96188998091918,7.43588050468985e-05,0.0169750529235634
