"","GO_terms","X","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology","moduleColor","Day","slim_term","Gene_IDs"
"1","GO:0004017",56,0.0127928402267088,0.999410874193312,2,9,"adenylate kinase activity","MF","pink","Day21","kinase activity","PGEN_.00g281890;PGEN_.00g282580"
"2","GO:0004497",52,0.00877508705723074,0.998702063277295,4,65,"monooxygenase activity","MF","pink","Day21","oxidoreductase activity","PGEN_.00g002440;PGEN_.00g188590;PGEN_.00g254990;PGEN_.00g272130"
"3","GO:0005096",63,0.035573414722406,0.985679102521675,9,133,"GTPase activator activity","MF","pink","Day21","enzyme regulator activity","PGEN_.00g074910;PGEN_.00g076770;PGEN_.00g089160;PGEN_.00g149300;PGEN_.00g149330;PGEN_.00g149710;PGEN_.00g226990;PGEN_.00g239160;PGEN_.00g270240"
"4","GO:0005216",44,0.00150474021876054,0.999874662778682,4,22,"ion channel activity","MF","pink","Day21","transmembrane transporter activity","PGEN_.00g054420;PGEN_.00g055140;PGEN_.00g056380;PGEN_.00g195580;PGEN_.00g195620;PGEN_.00g207000;PGEN_.00g289750;PGEN_.00g293070"
"5","GO:0005248",50,0.00729986223182748,0.999436499609749,3,11,"voltage-gated sodium channel activity","MF","pink","Day21","transmembrane transporter activity","PGEN_.00g054420;PGEN_.00g055140;PGEN_.00g056380;PGEN_.00g195580;PGEN_.00g195620;PGEN_.00g207000;PGEN_.00g289750;PGEN_.00g293070"
"6","GO:0005262",60,0.0254168083174333,0.993746634958037,5,51,"calcium channel activity","MF","pink","Day21","transmembrane transporter activity","PGEN_.00g054420;PGEN_.00g055140;PGEN_.00g056380;PGEN_.00g195580;PGEN_.00g195620;PGEN_.00g207000;PGEN_.00g289750;PGEN_.00g293070"
"7","GO:0008017",58,0.0214996462805059,0.991582978637702,10,149,"microtubule binding","MF","pink","Day21","cytoskeletal protein binding","PGEN_.00g054650;PGEN_.00g091140;PGEN_.00g137060;PGEN_.00g142680;PGEN_.00g169330;PGEN_.00g259050;PGEN_.00g270530;PGEN_.00g279500;PGEN_.00g306480;PGEN_.00g316620"
"8","GO:0008266",59,0.0245652551314411,0.998298183089303,2,13,"poly(U) RNA binding","MF","pink","Day21","RNA binding","PGEN_.00g168650;PGEN_.00g168950"
"9","GO:0008270",53,0.00889460787870326,0.995274206208881,25,731,"zinc ion binding","MF","pink","Day21","ion binding","PGEN_.00g000210;PGEN_.00g002210;PGEN_.00g013370;PGEN_.00g014440;PGEN_.00g015030;PGEN_.00g017010;PGEN_.00g020440;PGEN_.00g022690;PGEN_.00g023460;PGEN_.00g024890;PGEN_.00g037160;PGEN_.00g039930;PGEN_.00g041050;PGEN_.00g041590;PGEN_.00g046680;PGEN_.00g058830;PGEN_.00g060340;PGEN_.00g063070;PGEN_.00g064850;PGEN_.00g069810;PGEN_.00g075960;PGEN_.00g076000;PGEN_.00g077480;PGEN_.00g084280;PGEN_.00g085110;PGEN_.00g091420;PGEN_.00g092020;PGEN_.00g093650;PGEN_.00g103430;PGEN_.00g121110;PGEN_.00g121510;PGEN_.00g122590;PGEN_.00g129720;PGEN_.00g140020;PGEN_.00g140040;PGEN_.00g140560;PGEN_.00g141520;PGEN_.00g149300;PGEN_.00g149330;PGEN_.00g153630;PGEN_.00g154900;PGEN_.00g157390;PGEN_.00g159900;PGEN_.00g162330;PGEN_.00g166290;PGEN_.00g166530;PGEN_.00g169590;PGEN_.00g172750;PGEN_.00g179570;PGEN_.00g183530;PGEN_.00g183770;PGEN_.00g186470;PGEN_.00g189660;PGEN_.00g200740;PGEN_.00g202660;PGEN_.00g206600;PGEN_.00g207000;PGEN_.00g210790;PGEN_.00g212520;PGEN_.00g219180;PGEN_.00g221300;PGEN_.00g222130;PGEN_.00g226960;PGEN_.00g226990;PGEN_.00g238100;PGEN_.00g240250;PGEN_.00g243700;PGEN_.00g244190;PGEN_.00g248170;PGEN_.00g251790;PGEN_.00g289750;PGEN_.00g293070;PGEN_.00g298100;PGEN_.00g298510;PGEN_.00g299050;PGEN_.00g302680;PGEN_.00g305470;PGEN_.00g316150;PGEN_.00g322310;PGEN_.00g346290"
"10","GO:0008569",46,0.0039808935657671,0.999256752583086,6,41,"ATP-dependent microtubule motor activity, minus-end-directed","MF","pink","Day21","ATPase activity","PGEN_.00g042430;PGEN_.00g169330;PGEN_.00g178340;PGEN_.00g206810;PGEN_.00g240440;PGEN_.00g344230"
"11","GO:0016597",68,0.048207274120202,0.995140318904855,2,14,"amino acid binding","MF","pink","Day21","ion binding","PGEN_.00g000210;PGEN_.00g002210;PGEN_.00g013370;PGEN_.00g014440;PGEN_.00g015030;PGEN_.00g017010;PGEN_.00g020440;PGEN_.00g022690;PGEN_.00g023460;PGEN_.00g024890;PGEN_.00g037160;PGEN_.00g039930;PGEN_.00g041050;PGEN_.00g041590;PGEN_.00g046680;PGEN_.00g058830;PGEN_.00g060340;PGEN_.00g063070;PGEN_.00g064850;PGEN_.00g069810;PGEN_.00g075960;PGEN_.00g076000;PGEN_.00g077480;PGEN_.00g084280;PGEN_.00g085110;PGEN_.00g091420;PGEN_.00g092020;PGEN_.00g093650;PGEN_.00g103430;PGEN_.00g121110;PGEN_.00g121510;PGEN_.00g122590;PGEN_.00g129720;PGEN_.00g140020;PGEN_.00g140040;PGEN_.00g140560;PGEN_.00g141520;PGEN_.00g149300;PGEN_.00g149330;PGEN_.00g153630;PGEN_.00g154900;PGEN_.00g157390;PGEN_.00g159900;PGEN_.00g162330;PGEN_.00g166290;PGEN_.00g166530;PGEN_.00g169590;PGEN_.00g172750;PGEN_.00g179570;PGEN_.00g183530;PGEN_.00g183770;PGEN_.00g186470;PGEN_.00g189660;PGEN_.00g200740;PGEN_.00g202660;PGEN_.00g206600;PGEN_.00g207000;PGEN_.00g210790;PGEN_.00g212520;PGEN_.00g219180;PGEN_.00g221300;PGEN_.00g222130;PGEN_.00g226960;PGEN_.00g226990;PGEN_.00g238100;PGEN_.00g240250;PGEN_.00g243700;PGEN_.00g244190;PGEN_.00g248170;PGEN_.00g251790;PGEN_.00g289750;PGEN_.00g293070;PGEN_.00g298100;PGEN_.00g298510;PGEN_.00g299050;PGEN_.00g302680;PGEN_.00g305470;PGEN_.00g316150;PGEN_.00g322310;PGEN_.00g346290"
"12","GO:0016705",48,0.00610231170823525,0.999514142366878,3,19,"oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen","MF","pink","Day21","oxidoreductase activity","PGEN_.00g002440;PGEN_.00g188590;PGEN_.00g254990;PGEN_.00g272130"
"13","GO:0022843",66,0.0441843632689501,0.99566608117647,2,17,"voltage-gated cation channel activity","MF","pink","Day21","transmembrane transporter activity","PGEN_.00g054420;PGEN_.00g055140;PGEN_.00g056380;PGEN_.00g195580;PGEN_.00g195620;PGEN_.00g207000;PGEN_.00g289750;PGEN_.00g293070"
"14","GO:0034046",55,0.0118253519020884,0.999477460805682,2,9,"poly(G) binding","MF","pink","Day21","RNA binding","PGEN_.00g168650;PGEN_.00g168950"
"15","GO:0046872",61,0.0273037709391007,0.98097724716074,54,1937,"metal ion binding","MF","pink","Day21","ion binding","PGEN_.00g000210;PGEN_.00g002210;PGEN_.00g013370;PGEN_.00g014440;PGEN_.00g015030;PGEN_.00g017010;PGEN_.00g020440;PGEN_.00g022690;PGEN_.00g023460;PGEN_.00g024890;PGEN_.00g037160;PGEN_.00g039930;PGEN_.00g041050;PGEN_.00g041590;PGEN_.00g046680;PGEN_.00g058830;PGEN_.00g060340;PGEN_.00g063070;PGEN_.00g064850;PGEN_.00g069810;PGEN_.00g075960;PGEN_.00g076000;PGEN_.00g077480;PGEN_.00g084280;PGEN_.00g085110;PGEN_.00g091420;PGEN_.00g092020;PGEN_.00g093650;PGEN_.00g103430;PGEN_.00g121110;PGEN_.00g121510;PGEN_.00g122590;PGEN_.00g129720;PGEN_.00g140020;PGEN_.00g140040;PGEN_.00g140560;PGEN_.00g141520;PGEN_.00g149300;PGEN_.00g149330;PGEN_.00g153630;PGEN_.00g154900;PGEN_.00g157390;PGEN_.00g159900;PGEN_.00g162330;PGEN_.00g166290;PGEN_.00g166530;PGEN_.00g169590;PGEN_.00g172750;PGEN_.00g179570;PGEN_.00g183530;PGEN_.00g183770;PGEN_.00g186470;PGEN_.00g189660;PGEN_.00g200740;PGEN_.00g202660;PGEN_.00g206600;PGEN_.00g207000;PGEN_.00g210790;PGEN_.00g212520;PGEN_.00g219180;PGEN_.00g221300;PGEN_.00g222130;PGEN_.00g226960;PGEN_.00g226990;PGEN_.00g238100;PGEN_.00g240250;PGEN_.00g243700;PGEN_.00g244190;PGEN_.00g248170;PGEN_.00g251790;PGEN_.00g289750;PGEN_.00g293070;PGEN_.00g298100;PGEN_.00g298510;PGEN_.00g299050;PGEN_.00g302680;PGEN_.00g305470;PGEN_.00g316150;PGEN_.00g322310;PGEN_.00g346290"
"16","GO:0097199",45,0.00354100645866561,0.999931642155937,2,5,"cysteine-type endopeptidase activity involved in apoptotic signaling pathway","MF","pink","Day21","peptidase activity","PGEN_.00g203390;PGEN_.00g327960"
