"","PgenIDs","slim_term","over_represented_pvalue","GO_terms","term","ontology","Day","dir","Gene_terms"
"1","PGEN_.00g015880","cytoskeletal protein binding",0.0459663269768693,"GO:0030507","spectrin binding","MF","Day14","Down","Spectrin beta chain, non-erythrocytic 5 (Beta-V spectrin)"
"2","PGEN_.00g017110","DNA-binding transcription factor ac...",0.0170996212490476,"GO:0000981","DNA-binding transcription factor activity, RNA polymerase II-specific","MF","Day14","Down","Endothelial PAS domain-containing protein 1 (EPAS-1) (HIF-1-alpha-like factor) (HLF) (mHLF) (HIF-related factor) (HRF) (Hypoxia-inducible factor 2-alpha) (HIF-2-alpha) (HIF2-alpha)"
"3","PGEN_.00g017110","DNA-binding transcription factor ac...",0.0473199556110944,"GO:0001228","DNA-binding transcription activator activity, RNA polymerase II-specific","MF","Day14","Down","Endothelial PAS domain-containing protein 1 (EPAS-1) (HIF-1-alpha-like factor) (HLF) (mHLF) (HIF-related factor) (HRF) (Hypoxia-inducible factor 2-alpha) (HIF-2-alpha) (HIF2-alpha)"
"4","PGEN_.00g017110","ion binding",0.000498877868837862,"GO:0005507","copper ion binding","MF","Day14","Down","Endothelial PAS domain-containing protein 1 (EPAS-1) (HIF-1-alpha-like factor) (HLF) (mHLF) (HIF-related factor) (HRF) (Hypoxia-inducible factor 2-alpha) (HIF-2-alpha) (HIF2-alpha)"
"5","PGEN_.00g017110","DNA binding",0.0023542177083002,"GO:0043565","sequence-specific DNA binding","MF","Day14","Down","Endothelial PAS domain-containing protein 1 (EPAS-1) (HIF-1-alpha-like factor) (HLF) (mHLF) (HIF-related factor) (HRF) (Hypoxia-inducible factor 2-alpha) (HIF-2-alpha) (HIF2-alpha)"
"6","PGEN_.00g017110","ion binding",0.00035488477393553,"GO:0050897","cobalt ion binding","MF","Day14","Down","Endothelial PAS domain-containing protein 1 (EPAS-1) (HIF-1-alpha-like factor) (HLF) (mHLF) (HIF-related factor) (HRF) (Hypoxia-inducible factor 2-alpha) (HIF-2-alpha) (HIF2-alpha)"
"7","PGEN_.00g027450","DNA-binding transcription factor ac...",0.0170996212490476,"GO:0000981","DNA-binding transcription factor activity, RNA polymerase II-specific","MF","Day14","Down","Neuronal PAS domain-containing protein 3 (Neuronal PAS3) (Basic-helix-loop-helix-PAS protein MOP6) (Member of PAS protein 6)"
"8","PGEN_.00g027450","DNA-binding transcription factor ac...",0.0473199556110944,"GO:0001228","DNA-binding transcription activator activity, RNA polymerase II-specific","MF","Day14","Down","Neuronal PAS domain-containing protein 3 (Neuronal PAS3) (Basic-helix-loop-helix-PAS protein MOP6) (Member of PAS protein 6)"
"9","PGEN_.00g042540","transmembrane transporter activity",0.000732141485021461,"GO:0008271","secondary active sulfate transmembrane transporter activity","MF","Day14","Down","Prestin (Solute carrier family 26 member 5)"
"10","PGEN_.00g042540","cytoskeletal protein binding",0.0459663269768693,"GO:0030507","spectrin binding","MF","Day14","Down","Prestin (Solute carrier family 26 member 5)"
