"","PgenIDs","slim_term","over_represented_pvalue","GO_terms","term","ontology","moduleColor","Gene_terms"
"1","PGEN_.00g003300","ion binding",0.000152748410201499,"GO:0005525","GTP binding","MF","magenta","PR domain zinc finger protein 2"
"2","PGEN_.00g003300","ion binding",0.0166291191296932,"GO:0070273","phosphatidylinositol-4-phosphate binding","MF","magenta","PR domain zinc finger protein 2"
"3","PGEN_.00g003300","ion binding",0.0020027768313002,"GO:0008270","zinc ion binding","MF","magenta","PR domain zinc finger protein 2"
"4","PGEN_.00g003300","methyltransferase activity",0.0304382489321183,"GO:0018024","histone-lysine N-methyltransferase activity","MF","magenta","PR domain zinc finger protein 2"
"5","PGEN_.00g004120","ion binding",0.0166291191296932,"GO:0070273","phosphatidylinositol-4-phosphate binding","MF","magenta","E3 ubiquitin-protein ligase TRIM33"
"6","PGEN_.00g004120","ion binding",0.000152748410201499,"GO:0005525","GTP binding","MF","magenta","E3 ubiquitin-protein ligase TRIM33"
"7","PGEN_.00g004120","ion binding",0.0020027768313002,"GO:0008270","zinc ion binding","MF","magenta","E3 ubiquitin-protein ligase TRIM33"
"8","PGEN_.00g015770","ion binding",0.000152748410201499,"GO:0005525","GTP binding","MF","magenta","Transcriptional adapter 2-beta"
"9","PGEN_.00g015770","ion binding",0.0166291191296932,"GO:0070273","phosphatidylinositol-4-phosphate binding","MF","magenta","Transcriptional adapter 2-beta"
"10","PGEN_.00g015770","ion binding",0.0020027768313002,"GO:0008270","zinc ion binding","MF","magenta","Transcriptional adapter 2-beta"
"11","PGEN_.00g015870","structural molecule activity",3.75273704283502e-06,"GO:0005200","structural constituent of cytoskeleton","MF","magenta","Spectrin beta chain"
"12","PGEN_.00g023910","peptidase activity",0.0273554444807316,"GO:0004197","cysteine-type endopeptidase activity","MF","magenta","Ubiquitin carboxyl-terminal hydrolase 34"
"13","PGEN_.00g023910","peptidase activity",0.0239809789126072,"GO:0004843","thiol-dependent ubiquitin-specific protease activity","MF","magenta","Ubiquitin carboxyl-terminal hydrolase 34"
"14","PGEN_.00g023910","peptidase activity",0.0306703284352994,"GO:0036459","thiol-dependent ubiquitinyl hydrolase activity","MF","magenta","Ubiquitin carboxyl-terminal hydrolase 34"
"15","PGEN_.00g026320","ion binding",0.0166291191296932,"GO:0070273","phosphatidylinositol-4-phosphate binding","MF","magenta","E3 ubiquitin-protein ligase RNF8"
"16","PGEN_.00g026320","ion binding",0.000152748410201499,"GO:0005525","GTP binding","MF","magenta","E3 ubiquitin-protein ligase RNF8"
"17","PGEN_.00g026320","ion binding",0.0020027768313002,"GO:0008270","zinc ion binding","MF","magenta","E3 ubiquitin-protein ligase RNF8"
"18","PGEN_.00g045220","ion binding",0.0166291191296932,"GO:0070273","phosphatidylinositol-4-phosphate binding","MF","magenta","Tubulin alpha-3D chain (Alpha-tubulin 3D) [Cleaved into: Detyrosinated tubulin alpha-3D chain]"
"19","PGEN_.00g045220","ion binding",0.0020027768313002,"GO:0008270","zinc ion binding","MF","magenta","Tubulin alpha-3D chain (Alpha-tubulin 3D) [Cleaved into: Detyrosinated tubulin alpha-3D chain]"
"20","PGEN_.00g045220","ion binding",0.000152748410201499,"GO:0005525","GTP binding","MF","magenta","Tubulin alpha-3D chain (Alpha-tubulin 3D) [Cleaved into: Detyrosinated tubulin alpha-3D chain]"
"21","PGEN_.00g045220","structural molecule activity",3.75273704283502e-06,"GO:0005200","structural constituent of cytoskeleton","MF","magenta","Tubulin alpha-3D chain (Alpha-tubulin 3D) [Cleaved into: Detyrosinated tubulin alpha-3D chain]"
"22","PGEN_.00g052560","ion binding",0.0020027768313002,"GO:0008270","zinc ion binding","MF","magenta","Elongation factor 1-alpha (EF-1-alpha)"
"23","PGEN_.00g052560","ion binding",0.000152748410201499,"GO:0005525","GTP binding","MF","magenta","Elongation factor 1-alpha (EF-1-alpha)"
"24","PGEN_.00g052560","ion binding",0.0166291191296932,"GO:0070273","phosphatidylinositol-4-phosphate binding","MF","magenta","Elongation factor 1-alpha (EF-1-alpha)"
"25","PGEN_.00g053030","kinase activity",0.0140072926763833,"GO:0004708","MAP kinase kinase activity","MF","magenta","Dual specificity mitogen-activated protein kinase kinase 4 (MAP kinase kinase 4) (MAPKK 4)"
"26","PGEN_.00g057780","ion binding",0.0166291191296932,"GO:0070273","phosphatidylinositol-4-phosphate binding","MF","magenta","ADP-ribosylation factor-like protein 4D (ADP-ribosylation factor-like protein 4L)"
"27","PGEN_.00g057780","ion binding",0.0020027768313002,"GO:0008270","zinc ion binding","MF","magenta","ADP-ribosylation factor-like protein 4D (ADP-ribosylation factor-like protein 4L)"
"28","PGEN_.00g057780","ion binding",0.000152748410201499,"GO:0005525","GTP binding","MF","magenta","ADP-ribosylation factor-like protein 4D (ADP-ribosylation factor-like protein 4L)"
"29","PGEN_.00g068750","ion binding",0.000152748410201499,"GO:0005525","GTP binding","MF","magenta","ADP-ribosylation factor-like protein 13B (ADP-ribosylation factor-like protein 2-like 1) (ARL2-like protein 1) (Protein hennin)"
"30","PGEN_.00g068750","ion binding",0.0020027768313002,"GO:0008270","zinc ion binding","MF","magenta","ADP-ribosylation factor-like protein 13B (ADP-ribosylation factor-like protein 2-like 1) (ARL2-like protein 1) (Protein hennin)"
"31","PGEN_.00g068750","ion binding",0.0166291191296932,"GO:0070273","phosphatidylinositol-4-phosphate binding","MF","magenta","ADP-ribosylation factor-like protein 13B (ADP-ribosylation factor-like protein 2-like 1) (ARL2-like protein 1) (Protein hennin)"
"32","PGEN_.00g075150","ion binding",0.0166291191296932,"GO:0070273","phosphatidylinositol-4-phosphate binding","MF","magenta","DNA-directed RNA polymerase I subunit RPA1 (RNA polymerase I subunit A1)"
"33","PGEN_.00g075150","ion binding",0.000152748410201499,"GO:0005525","GTP binding","MF","magenta","DNA-directed RNA polymerase I subunit RPA1 (RNA polymerase I subunit A1)"
"34","PGEN_.00g075150","ion binding",0.0020027768313002,"GO:0008270","zinc ion binding","MF","magenta","DNA-directed RNA polymerase I subunit RPA1 (RNA polymerase I subunit A1)"
"35","PGEN_.00g083270","ion binding",0.000152748410201499,"GO:0005525","GTP binding","MF","magenta","E3 ubiquitin-protein ligase TRIM33"
"36","PGEN_.00g083270","ion binding",0.0020027768313002,"GO:0008270","zinc ion binding","MF","magenta","E3 ubiquitin-protein ligase TRIM33"
"37","PGEN_.00g083270","ion binding",0.0166291191296932,"GO:0070273","phosphatidylinositol-4-phosphate binding","MF","magenta","E3 ubiquitin-protein ligase TRIM33"
"38","PGEN_.00g102540","ion binding",0.000152748410201499,"GO:0005525","GTP binding","MF","magenta","Tubulin beta chain (Beta-tubulin)"
"39","PGEN_.00g102540","structural molecule activity",3.75273704283502e-06,"GO:0005200","structural constituent of cytoskeleton","MF","magenta","Tubulin beta chain (Beta-tubulin)"
"40","PGEN_.00g102540","ion binding",0.0020027768313002,"GO:0008270","zinc ion binding","MF","magenta","Tubulin beta chain (Beta-tubulin)"
"41","PGEN_.00g102540","ion binding",0.0166291191296932,"GO:0070273","phosphatidylinositol-4-phosphate binding","MF","magenta","Tubulin beta chain (Beta-tubulin)"
"42","PGEN_.00g115400","RNA binding",0.019780504243108,"GO:0003729","mRNA binding","MF","magenta","Heterogeneous nuclear ribonucleoprotein A1 (hnRNP A1) (PEN repeat clone P9) (hnRNP core protein A1-A)"
"43","PGEN_.00g115400","RNA binding",0.0379064414059939,"GO:0003725","double-stranded RNA binding","MF","magenta","Heterogeneous nuclear ribonucleoprotein A1 (hnRNP A1) (PEN repeat clone P9) (hnRNP core protein A1-A)"
"44","PGEN_.00g130030","methyltransferase activity",0.0304382489321183,"GO:0018024","histone-lysine N-methyltransferase activity","MF","magenta","N-lysine methyltransferase KMT5A"
"45","PGEN_.00g131240","RNA binding",0.019780504243108,"GO:0003729","mRNA binding","MF","magenta","Serine/arginine repetitive matrix protein 2"
