"","PgenIDs","slim_term","over_represented_pvalue","GO_terms","term","ontology","effect","dir","Gene_terms"
"1","PGEN_.00g006380","peptidase activity",0.0256631947967387,"GO:0004175","endopeptidase activity","MF","secondAvM","Down","Counting factor associated protein D"
"2","PGEN_.00g006380","peptidase activity",0.0310471997517629,"GO:0004197","cysteine-type endopeptidase activity","MF","secondAvM","Down","Counting factor associated protein D"
"3","PGEN_.00g006380","peptidase activity",0.000796689914233601,"GO:0004252","serine-type endopeptidase activity","MF","secondAvM","Down","Counting factor associated protein D"
"4","PGEN_.00g009930","peptidase activity",0.0256631947967387,"GO:0004175","endopeptidase activity","MF","secondAvM","Down","Neurotrypsin"
"5","PGEN_.00g009930","peptidase activity",0.0310471997517629,"GO:0004197","cysteine-type endopeptidase activity","MF","secondAvM","Down","Neurotrypsin"
"6","PGEN_.00g009930","peptidase activity",0.000796689914233601,"GO:0004252","serine-type endopeptidase activity","MF","secondAvM","Down","Neurotrypsin"
"7","PGEN_.00g033640","peptidase activity",0.0256631947967387,"GO:0004175","endopeptidase activity","MF","secondAvM","Down","Plasma kallikrein"
"8","PGEN_.00g033640","peptidase activity",0.0310471997517629,"GO:0004197","cysteine-type endopeptidase activity","MF","secondAvM","Down","Plasma kallikrein"
"9","PGEN_.00g033640","peptidase activity",0.000796689914233601,"GO:0004252","serine-type endopeptidase activity","MF","secondAvM","Down","Plasma kallikrein"
"10","PGEN_.00g057170","peptidase activity",0.0256631947967387,"GO:0004175","endopeptidase activity","MF","secondAvM","Down","Plasma kallikrein"
"11","PGEN_.00g057170","peptidase activity",0.0310471997517629,"GO:0004197","cysteine-type endopeptidase activity","MF","secondAvM","Down","Plasma kallikrein"
"12","PGEN_.00g057170","peptidase activity",0.000796689914233601,"GO:0004252","serine-type endopeptidase activity","MF","secondAvM","Down","Plasma kallikrein"
"13","PGEN_.00g085780","structural molecule activity",0.00500399888783035,"GO:0005201","extracellular matrix structural constituent","MF","secondAvM","Down","Transforming growth factor-beta-induced protein ig-h3 (Beta ig-h3) (Kerato-epithelin) (RGD-containing collagen-associated protein) (RGD-CAP)"
"14","PGEN_.00g086610","enzyme regulator activity",0.0341250696318978,"GO:0004867","serine-type endopeptidase inhibitor activity","MF","secondAvM","Down","CD109 antigen (150 kDa TGF-beta-1-binding protein) (C3 and PZP-like alpha-2-macroglobulin domain-containing protein 7) (Platelet-specific Gov antigen) (p180) (r150) (CD antigen CD109)"
"15","PGEN_.00g086660","enzyme regulator activity",0.0341250696318978,"GO:0004867","serine-type endopeptidase inhibitor activity","MF","secondAvM","Down","CD109 antigen (150 kDa TGF-beta-1-binding protein) (C3 and PZP-like alpha-2-macroglobulin domain-containing protein 7) (Platelet-specific Gov antigen) (p180) (r150) (CD antigen CD109)"
"16","PGEN_.00g095380","structural molecule activity",0.00500399888783035,"GO:0005201","extracellular matrix structural constituent","MF","secondAvM","Down","Transforming growth factor-beta-induced protein ig-h3 (Beta ig-h3) (Kerato-epithelin) (RGD-containing collagen-associated protein) (RGD-CAP)"
"17","PGEN_.00g119470","structural molecule activity",0.00500399888783035,"GO:0005201","extracellular matrix structural constituent","MF","secondAvM","Down","Cartilage matrix protein (Matrilin-1)"
"18","PGEN_.00g199810","peptidase activity",0.0256631947967387,"GO:0004175","endopeptidase activity","MF","secondAvM","Down","Neuroendocrine convertase 1 (NEC 1)"
"19","PGEN_.00g199810","peptidase activity",0.0310471997517629,"GO:0004197","cysteine-type endopeptidase activity","MF","secondAvM","Down","Neuroendocrine convertase 1 (NEC 1)"
"20","PGEN_.00g199810","peptidase activity",0.000796689914233601,"GO:0004252","serine-type endopeptidase activity","MF","secondAvM","Down","Neuroendocrine convertase 1 (NEC 1)"
"21","PGEN_.00g211330","oxidoreductase activity",0.00261878776546144,"GO:0004500","dopamine beta-monooxygenase activity","MF","secondAvM","Down","DBH-like monooxygenase protein 1"
"22","PGEN_.00g211330","oxidoreductase activity",0.00261878776546144,"GO:0016715","oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, reduced ascorbate as one donor, and incorporation of one atom of oxygen","MF","secondAvM","Down","DBH-like monooxygenase protein 1"
"23","PGEN_.00g211330","ion binding",0.0370648601557145,"GO:0005507","copper ion binding","MF","secondAvM","Down","DBH-like monooxygenase protein 1"
"24","PGEN_.00g263770","oxidoreductase activity",0.00261878776546144,"GO:0016715","oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, reduced ascorbate as one donor, and incorporation of one atom of oxygen","MF","secondAvM","Down","Dopamine beta-hydroxylase"
"25","PGEN_.00g263770","ion binding",0.0370648601557145,"GO:0005507","copper ion binding","MF","secondAvM","Down","Dopamine beta-hydroxylase"
"26","PGEN_.00g263770","oxidoreductase activity",0.00261878776546144,"GO:0004500","dopamine beta-monooxygenase activity","MF","secondAvM","Down","Dopamine beta-hydroxylase"
"27","PGEN_.00g345680","peptidase activity",0.0256631947967387,"GO:0004175","endopeptidase activity","MF","secondAvM","Down","Cathepsin L1"
"28","PGEN_.00g345680","peptidase activity",0.0310471997517629,"GO:0004197","cysteine-type endopeptidase activity","MF","secondAvM","Down","Cathepsin L1"
"29","PGEN_.00g345680","peptidase activity",0.000796689914233601,"GO:0004252","serine-type endopeptidase activity","MF","secondAvM","Down","Cathepsin L1"
