"","PgenIDs","slim_term","over_represented_pvalue","GO_terms","term","ontology","Day","dir","Gene_terms"
"1","PGEN_.00g005530","anatomical structure development",0.0100797132556522,"GO:0072307","regulation of metanephric nephron tubule epithelial cell differentiation","BP","Day14","Up","Brevican core protein"
"2","PGEN_.00g005530","anatomical structure development",0.016312248084716,"GO:0043931","ossification involved in bone maturation","BP","Day14","Up","Brevican core protein"
"3","PGEN_.00g005530","cell adhesion",0.00813402255280726,"GO:0007160","cell-matrix adhesion","BP","Day14","Up","Brevican core protein"
"4","PGEN_.00g005530","developmental maturation",0.00173251922230589,"GO:0060074","synapse maturation","BP","Day14","Up","Brevican core protein"
"5","PGEN_.00g005530","cell junction organization",0.00173251922230589,"GO:0060074","synapse maturation","BP","Day14","Up","Brevican core protein"
"6","PGEN_.00g005530","anatomical structure development",0.0490098978275577,"GO:0002062","chondrocyte differentiation","BP","Day14","Up","Brevican core protein"
"7","PGEN_.00g005530","anatomical structure development",0.033684802721583,"GO:0022008","neurogenesis","BP","Day14","Up","Brevican core protein"
"8","PGEN_.00g005530","anatomical structure development",0.00569886724932899,"GO:0060122","inner ear receptor cell stereocilium organization","BP","Day14","Up","Brevican core protein"
"9","PGEN_.00g005530","anatomical structure development",0.00648762194121131,"GO:0072675","osteoclast fusion","BP","Day14","Up","Brevican core protein"
"10","PGEN_.00g005530","anatomical structure development",0.00906325986826651,"GO:0045616","regulation of keratinocyte differentiation","BP","Day14","Up","Brevican core protein"
"11","PGEN_.00g005530","anatomical structure development",0.033149437265226,"GO:0042246","tissue regeneration","BP","Day14","Up","Brevican core protein"
"12","PGEN_.00g005530","anatomical structure development",3.14977407531526e-05,"GO:0003429","growth plate cartilage chondrocyte morphogenesis","BP","Day14","Up","Brevican core protein"
"13","PGEN_.00g005530","developmental maturation",0.016312248084716,"GO:0043931","ossification involved in bone maturation","BP","Day14","Up","Brevican core protein"
"14","PGEN_.00g005530","anatomical structure development",0.0383299163432739,"GO:0048565","digestive tract development","BP","Day14","Up","Brevican core protein"
"15","PGEN_.00g005530","anatomical structure development",1.90096513198486e-06,"GO:0035987","endodermal cell differentiation","BP","Day14","Up","Brevican core protein"
"16","PGEN_.00g005530","anatomical structure development",0.00173251922230589,"GO:0060074","synapse maturation","BP","Day14","Up","Brevican core protein"
"17","PGEN_.00g005530","cell adhesion",0.0230588226426473,"GO:0007157","heterophilic cell-cell adhesion via plasma membrane cell adhesion molecules","BP","Day14","Up","Brevican core protein"
"18","PGEN_.00g005530","anatomical structure development",0.0286943840341705,"GO:0001942","hair follicle development","BP","Day14","Up","Brevican core protein"
"19","PGEN_.00g013170","transport",0.0199450964863232,"GO:0050715","positive regulation of cytokine secretion","BP","Day14","Up","NPC intracellular cholesterol transporter 2 (16.5 kDa secretory protein) (Epididymal secretory protein E1) (Niemann Pick type C2 protein homolog)"
"20","PGEN_.00g013170","transport",0.00119403202191995,"GO:1902307","positive regulation of sodium ion transmembrane transport","BP","Day14","Up","NPC intracellular cholesterol transporter 2 (16.5 kDa secretory protein) (Epididymal secretory protein E1) (Niemann Pick type C2 protein homolog)"
"21","PGEN_.00g013170","transport",0.000312198489794182,"GO:0015918","sterol transport","BP","Day14","Up","NPC intracellular cholesterol transporter 2 (16.5 kDa secretory protein) (Epididymal secretory protein E1) (Niemann Pick type C2 protein homolog)"
"22","PGEN_.00g013170","transport",0.0280678793435388,"GO:0002576","platelet degranulation","BP","Day14","Up","NPC intracellular cholesterol transporter 2 (16.5 kDa secretory protein) (Epididymal secretory protein E1) (Niemann Pick type C2 protein homolog)"
"23","PGEN_.00g013170","transport",0.00774483305823999,"GO:0070165","positive regulation of adiponectin secretion","BP","Day14","Up","NPC intracellular cholesterol transporter 2 (16.5 kDa secretory protein) (Epididymal secretory protein E1) (Niemann Pick type C2 protein homolog)"
"24","PGEN_.00g013170","transport",0.0250001437376552,"GO:1901998","toxin transport","BP","Day14","Up","NPC intracellular cholesterol transporter 2 (16.5 kDa secretory protein) (Epididymal secretory protein E1) (Niemann Pick type C2 protein homolog)"
"25","PGEN_.00g013170","transport",0.00685144624613982,"GO:0006825","copper ion transport","BP","Day14","Up","NPC intracellular cholesterol transporter 2 (16.5 kDa secretory protein) (Epididymal secretory protein E1) (Niemann Pick type C2 protein homolog)"
"26","PGEN_.00g013170","transport",0.0153999901691544,"GO:1900165","negative regulation of interleukin-6 secretion","BP","Day14","Up","NPC intracellular cholesterol transporter 2 (16.5 kDa secretory protein) (Epididymal secretory protein E1) (Niemann Pick type C2 protein homolog)"
"27","PGEN_.00g013170","transport",0.000934656825116186,"GO:0032367","intracellular cholesterol transport","BP","Day14","Up","NPC intracellular cholesterol transporter 2 (16.5 kDa secretory protein) (Epididymal secretory protein E1) (Niemann Pick type C2 protein homolog)"
"28","PGEN_.00g013170","transport",0.0280363493600926,"GO:0010765","positive regulation of sodium ion transport","BP","Day14","Up","NPC intracellular cholesterol transporter 2 (16.5 kDa secretory protein) (Epididymal secretory protein E1) (Niemann Pick type C2 protein homolog)"
"29","PGEN_.00g013170","transport",0.0139060688750156,"GO:0070633","transepithelial transport","BP","Day14","Up","NPC intracellular cholesterol transporter 2 (16.5 kDa secretory protein) (Epididymal secretory protein E1) (Niemann Pick type C2 protein homolog)"
"30","PGEN_.00g013170","transport",0.0440627299352627,"GO:0006625","protein targeting to peroxisome","BP","Day14","Up","NPC intracellular cholesterol transporter 2 (16.5 kDa secretory protein) (Epididymal secretory protein E1) (Niemann Pick type C2 protein homolog)"
"31","PGEN_.00g013170","transport",0.00122499548110486,"GO:0033344","cholesterol efflux","BP","Day14","Up","NPC intracellular cholesterol transporter 2 (16.5 kDa secretory protein) (Epididymal secretory protein E1) (Niemann Pick type C2 protein homolog)"
"32","PGEN_.00g014740","transport",0.0440627299352627,"GO:0006625","protein targeting to peroxisome","BP","Day14","Up","NPC intracellular cholesterol transporter 2 (EPI-1) (Epididymal secretory protein E1) (Niemann Pick type C2 protein homolog)"
"33","PGEN_.00g014740","transport",0.0199450964863232,"GO:0050715","positive regulation of cytokine secretion","BP","Day14","Up","NPC intracellular cholesterol transporter 2 (EPI-1) (Epididymal secretory protein E1) (Niemann Pick type C2 protein homolog)"
"34","PGEN_.00g014740","transport",0.0139060688750156,"GO:0070633","transepithelial transport","BP","Day14","Up","NPC intracellular cholesterol transporter 2 (EPI-1) (Epididymal secretory protein E1) (Niemann Pick type C2 protein homolog)"
"35","PGEN_.00g014740","transport",0.0250001437376552,"GO:1901998","toxin transport","BP","Day14","Up","NPC intracellular cholesterol transporter 2 (EPI-1) (Epididymal secretory protein E1) (Niemann Pick type C2 protein homolog)"
