"","PgenIDs","slim_term","over_represented_pvalue","GO_terms","term","ontology","moduleColor","Gene_terms"
"1","PGEN_.00g003460","cellular nitrogen compound metaboli...",0.00727900635205494,"GO:0000122","negative regulation of transcription by RNA polymerase II","BP","black","Mesoderm induction early response protein 1 (Early response 1) (Er1) (Mi-er1)"
"2","PGEN_.00g003460","cellular nitrogen compound metaboli...",8.77368956206602e-05,"GO:0006355","regulation of transcription, DNA-templated","BP","black","Mesoderm induction early response protein 1 (Early response 1) (Er1) (Mi-er1)"
"3","PGEN_.00g003460","biosynthetic process",6.94961427837637e-08,"GO:0045727","positive regulation of translation","BP","black","Mesoderm induction early response protein 1 (Early response 1) (Er1) (Mi-er1)"
"4","PGEN_.00g003460","cellular nitrogen compound metaboli...",6.94961427837637e-08,"GO:0045727","positive regulation of translation","BP","black","Mesoderm induction early response protein 1 (Early response 1) (Er1) (Mi-er1)"
"5","PGEN_.00g003460","cellular nitrogen compound metaboli...",0.000636763845102382,"GO:0006281","DNA repair","BP","black","Mesoderm induction early response protein 1 (Early response 1) (Er1) (Mi-er1)"
"6","PGEN_.00g003460","biosynthetic process",0.00727900635205494,"GO:0000122","negative regulation of transcription by RNA polymerase II","BP","black","Mesoderm induction early response protein 1 (Early response 1) (Er1) (Mi-er1)"
"7","PGEN_.00g003460","biosynthetic process",0.000225721616274192,"GO:0006366","transcription by RNA polymerase II","BP","black","Mesoderm induction early response protein 1 (Early response 1) (Er1) (Mi-er1)"
"8","PGEN_.00g003460","cellular nitrogen compound metaboli...",0.000225721616274192,"GO:0006366","transcription by RNA polymerase II","BP","black","Mesoderm induction early response protein 1 (Early response 1) (Er1) (Mi-er1)"
"9","PGEN_.00g003460","cellular nitrogen compound metaboli...",0.00117793876680792,"GO:0045892","negative regulation of transcription, DNA-templated","BP","black","Mesoderm induction early response protein 1 (Early response 1) (Er1) (Mi-er1)"
"10","PGEN_.00g003460","cellular nitrogen compound metaboli...",8.70418965285649e-08,"GO:0006397","mRNA processing","BP","black","Mesoderm induction early response protein 1 (Early response 1) (Er1) (Mi-er1)"
"11","PGEN_.00g003460","biosynthetic process",8.77368956206602e-05,"GO:0006355","regulation of transcription, DNA-templated","BP","black","Mesoderm induction early response protein 1 (Early response 1) (Er1) (Mi-er1)"
"12","PGEN_.00g003460","cellular nitrogen compound metaboli...",3.44725271302514e-15,"GO:0000398","mRNA splicing, via spliceosome","BP","black","Mesoderm induction early response protein 1 (Early response 1) (Er1) (Mi-er1)"
"13","PGEN_.00g003460","cellular nitrogen compound metaboli...",8.28935176462773e-14,"GO:0006364","rRNA processing","BP","black","Mesoderm induction early response protein 1 (Early response 1) (Er1) (Mi-er1)"
"14","PGEN_.00g003460","biosynthetic process",0.00117793876680792,"GO:0045892","negative regulation of transcription, DNA-templated","BP","black","Mesoderm induction early response protein 1 (Early response 1) (Er1) (Mi-er1)"
"15","PGEN_.00g003460","biosynthetic process",3.30743388912513e-05,"GO:0045944","positive regulation of transcription by RNA polymerase II","BP","black","Mesoderm induction early response protein 1 (Early response 1) (Er1) (Mi-er1)"
"16","PGEN_.00g003460","cellular nitrogen compound metaboli...",0.00201586602052866,"GO:0006357","regulation of transcription by RNA polymerase II","BP","black","Mesoderm induction early response protein 1 (Early response 1) (Er1) (Mi-er1)"
