"","Gene_IDs","Day","Uniprot","gene","count"
"1","PGEN_.00g024130","Day7","Q5R613","Sorting nexin-6 [Cleaved into: Sorting nexin-6, N-terminally processed]",3
"2","PGEN_.00g024130","Day21","Q5R613","Sorting nexin-6 [Cleaved into: Sorting nexin-6, N-terminally processed]",3
"3","PGEN_.00g024130","Day14","Q5R613","Sorting nexin-6 [Cleaved into: Sorting nexin-6, N-terminally processed]",3
"4","PGEN_.00g026480","Day7","Q55E31","Ras-related protein Rab-32B",3
"5","PGEN_.00g026480","Day14","Q55E31","Ras-related protein Rab-32B",3
"6","PGEN_.00g026480","Day21","Q55E31","Ras-related protein Rab-32B",3
"7","PGEN_.00g134530","Day21","O35643","AP-1 complex subunit beta-1 ",3
"8","PGEN_.00g134530","Day14","O35643","AP-1 complex subunit beta-1 ",3
"9","PGEN_.00g134530","Day7","O35643","AP-1 complex subunit beta-1 ",3
"10","PGEN_.00g147170","Day14","Q00610","Clathrin heavy chain 1 ",3
"11","PGEN_.00g147170","Day7","Q00610","Clathrin heavy chain 1 ",3
"12","PGEN_.00g147170","Day21","Q00610","Clathrin heavy chain 1 ",3
"13","PGEN_.00g149140","Day14","Q16932","Syntaxin",3
"14","PGEN_.00g149140","Day21","Q16932","Syntaxin",3
"15","PGEN_.00g149140","Day7","Q16932","Syntaxin",3
"16","PGEN_.00g155710","Day7","Q0VDN7","RUN domain-containing protein 1",3
"17","PGEN_.00g155710","Day14","Q0VDN7","RUN domain-containing protein 1",3
"18","PGEN_.00g155710","Day21","Q0VDN7","RUN domain-containing protein 1",3
"19","PGEN_.00g192770","Day14","Q3UHD6","Sorting nexin-27",3
"20","PGEN_.00g192770","Day7","Q3UHD6","Sorting nexin-27",3
"21","PGEN_.00g192770","Day21","Q3UHD6","Sorting nexin-27",3
"22","PGEN_.00g198530","Day21","Q9CWK8","Sorting nexin-2",3
"23","PGEN_.00g198530","Day14","Q9CWK8","Sorting nexin-2",3
"24","PGEN_.00g198530","Day7","Q9CWK8","Sorting nexin-2",3
"25","PGEN_.00g305960","Day14","Q13637","Ras-related protein Rab-32",3
"26","PGEN_.00g305960","Day7","Q13637","Ras-related protein Rab-32",3
"27","PGEN_.00g305960","Day21","Q13637","Ras-related protein Rab-32",3
"28","PGEN_.00g313920","Day7","P04973","Clathrin light chain A ",3
"29","PGEN_.00g313920","Day21","P04973","Clathrin light chain A ",3
"30","PGEN_.00g313920","Day14","P04973","Clathrin light chain A ",3
"31","PGEN_.00g008030","Day21","Q07598","Non-specific lipid-transfer protein ",2
"32","PGEN_.00g008030","Day14","Q07598","Non-specific lipid-transfer protein ",2
"33","PGEN_.00g012190","Day21","P62743","AP-2 complex subunit sigma ",2
"34","PGEN_.00g012190","Day14","P62743","AP-2 complex subunit sigma ",2
"35","PGEN_.00g020290","Day21","Q17031","Cdc42 homolog ",2
"36","PGEN_.00g020290","Day14","Q17031","Cdc42 homolog ",2
"37","PGEN_.00g021240","Day21","Q96JC1","Vam6/Vps39-like protein ",2
"38","PGEN_.00g021240","Day14","Q96JC1","Vam6/Vps39-like protein ",2
"39","PGEN_.00g034480","Day14","Q8K448","ATP-binding cassette sub-family A member 5",2
"40","PGEN_.00g034480","Day21","Q8K448","ATP-binding cassette sub-family A member 5",2
"41","PGEN_.00g040090","Day21","Q9Y5X2","Sorting nexin-8",2
"42","PGEN_.00g040090","Day7","Q9Y5X2","Sorting nexin-8",2
"43","PGEN_.00g056330","Day14","O88204","Low-density lipoprotein receptor-related protein 3 ",2
"44","PGEN_.00g056330","Day21","O88204","Low-density lipoprotein receptor-related protein 3 ",2
"45","PGEN_.00g057120","Day14","Q13231","Chitotriosidase-1 ",2
"46","PGEN_.00g057120","Day7","Q13231","Chitotriosidase-1 ",2
"47","PGEN_.00g077860","Day7","Q9UMY4","Sorting nexin-12",2
"48","PGEN_.00g077860","Day21","Q9UMY4","Sorting nexin-12",2
"49","PGEN_.00g080030","Day7","O35828","Coronin-7 ",2
"50","PGEN_.00g080030","Day21","O35828","Coronin-7 ",2
"51","PGEN_.00g114930","Day21","Q9WU78","Programmed cell death 6-interacting protein ",2
"52","PGEN_.00g114930","Day7","Q9WU78","Programmed cell death 6-interacting protein ",2
"53","PGEN_.00g122170","Day7","O43242","26S proteasome non-ATPase regulatory subunit 3 ",2
"54","PGEN_.00g122170","Day14","O43242","26S proteasome non-ATPase regulatory subunit 3 ",2
"55","PGEN_.00g132070","Day7","Q5R9Z1","Vacuolar protein sorting-associated protein 29 ",2
"56","PGEN_.00g132070","Day21","Q5R9Z1","Vacuolar protein sorting-associated protein 29 ",2
"57","PGEN_.00g132090","Day21","Q5U316","Ras-related protein Rab-35",2
"58","PGEN_.00g132090","Day14","Q5U316","Ras-related protein Rab-35",2
"59","PGEN_.00g147870","Day14","Q2YDU8","Protein spinster homolog 1",2
"60","PGEN_.00g147870","Day21","Q2YDU8","Protein spinster homolog 1",2
"61","PGEN_.00g150640","Day14","Q969R2","Oxysterol-binding protein 2 ",2
"62","PGEN_.00g150640","Day21","Q969R2","Oxysterol-binding protein 2 ",2
"63","PGEN_.00g162260","Day14","P17427","AP-2 complex subunit alpha-2 ",2
"64","PGEN_.00g162260","Day21","P17427","AP-2 complex subunit alpha-2 ",2
"65","PGEN_.00g169480","Day14","Q13231","Chitotriosidase-1 ",2
"66","PGEN_.00g169480","Day7","Q13231","Chitotriosidase-1 ",2
"67","PGEN_.00g180380","Day21","Q5F361","TBC domain-containing protein kinase-like protein",2
"68","PGEN_.00g180380","Day14","Q5F361","TBC domain-containing protein kinase-like protein",2
"69","PGEN_.00g204750","Day7","Q8WUA7","TBC1 domain family member 22A",2
"70","PGEN_.00g204750","Day14","Q8WUA7","TBC1 domain family member 22A",2
"71","PGEN_.00g205400","Day7","Q2M389","WASH complex subunit 4 ",2
"72","PGEN_.00g205400","Day21","Q2M389","WASH complex subunit 4 ",2
"73","PGEN_.00g205860","Day21","Q60997","Deleted in malignant brain tumors 1 protein ",2
"74","PGEN_.00g205860","Day7","Q60997","Deleted in malignant brain tumors 1 protein ",2
"75","PGEN_.00g208710","Day21","Q5R7A4","Ras-related protein Rab-7L1 ",2
"76","PGEN_.00g208710","Day7","Q5R7A4","Ras-related protein Rab-7L1 ",2
"77","PGEN_.00g208790","Day21","Q3MII6","TBC1 domain family member 25",2
"78","PGEN_.00g208790","Day7","Q3MII6","TBC1 domain family member 25",2
"79","PGEN_.00g214470","Day21","Q9Y2V7","Conserved oligomeric Golgi complex subunit 6 ",2
"80","PGEN_.00g214470","Day7","Q9Y2V7","Conserved oligomeric Golgi complex subunit 6 ",2
"81","PGEN_.00g219400","Day7","Q6GLR7","Calcium-dependent secretion activator 1 ",2
"82","PGEN_.00g219400","Day21","Q6GLR7","Calcium-dependent secretion activator 1 ",2
"83","PGEN_.00g225360","Day7","O00571","ATP-dependent RNA helicase DDX3X ",2
"84","PGEN_.00g225360","Day14","O00571","ATP-dependent RNA helicase DDX3X ",2
"85","PGEN_.00g272730","Day21","Q6PHS6","Sorting nexin-13",2
"86","PGEN_.00g272730","Day14","Q6PHS6","Sorting nexin-13",2
"87","PGEN_.00g273940","Day7","Q5ZKI4","Coiled-coil domain-containing protein 93",2
"88","PGEN_.00g273940","Day21","Q5ZKI4","Coiled-coil domain-containing protein 93",2
"89","PGEN_.00g279590","Day14","Q8SPI0","Apolipoprotein D ",2
"90","PGEN_.00g279590","Day21","Q8SPI0","Apolipoprotein D ",2
"91","PGEN_.00g282910","Day14","Q5T1M5","FK506-binding protein 15 ",2
"92","PGEN_.00g282910","Day21","Q5T1M5","FK506-binding protein 15 ",2
"93","PGEN_.00g283520","Day21","Q6PAR5","GTPase-activating protein and VPS9 domain-containing protein 1 ",2
"94","PGEN_.00g283520","Day14","Q6PAR5","GTPase-activating protein and VPS9 domain-containing protein 1 ",2
"95","PGEN_.00g288810","Day7","P27105","Erythrocyte band 7 integral membrane protein ",2
"96","PGEN_.00g288810","Day14","P27105","Erythrocyte band 7 integral membrane protein ",2
"97","PGEN_.00g297280","Day14","Q96QG7","Myotubularin-related protein 9 ",2
"98","PGEN_.00g297280","Day21","Q96QG7","Myotubularin-related protein 9 ",2
"99","PGEN_.00g305230","Day7","Q5RID7","Sorting nexin-17",2
"100","PGEN_.00g305230","Day21","Q5RID7","Sorting nexin-17",2
"101","PGEN_.00g313720","Day21","Q6PGL7","WASH complex subunit 2",2
"102","PGEN_.00g313720","Day7","Q6PGL7","WASH complex subunit 2",2
"103","PGEN_.00g313730","Day7","Q641Q2","WASH complex subunit 2A",2
"104","PGEN_.00g313730","Day21","Q641Q2","WASH complex subunit 2A",2
"105","PGEN_.00g316080","Day14","Q09225","Nose resistant to fluoxetine protein 6 ",2
"106","PGEN_.00g316080","Day21","Q09225","Nose resistant to fluoxetine protein 6 ",2
"107","PGEN_.00g319270","Day21","Q8VDJ3","Vigilin ",2
"108","PGEN_.00g319270","Day14","Q8VDJ3","Vigilin ",2
"109","PGEN_.00g325430","Day21","O55029","Coatomer subunit beta' ",2
"110","PGEN_.00g325430","Day14","O55029","Coatomer subunit beta' ",2
"111","PGEN_.00g331740","Day14","O00203","AP-3 complex subunit beta-1 ",2
