"","slim_term","slim_cat","category","Gene.Count","GO.Count","module_day"
"1","cellular protein modification proce...","GO:0006464","GO:0000209",72,52,"Day7_yellow"
"2","cytoskeleton organization","GO:0007010","GO:0000226",22,14,"Day7_yellow"
"3","cellular nitrogen compound metaboli...","GO:0034641","GO:0000350",76,82,"Day7_yellow"
"4","cellular component assembly","GO:0022607","GO:0000350",34,28,"Day7_yellow"
"5","protein-containing complex assembly","GO:0065003","GO:0000350",7,12,"Day7_yellow"
"6","mRNA processing","GO:0006397","GO:0000350",4,6,"Day7_yellow"
"7","response to stress","GO:0006950","GO:0000725",54,60,"Day7_yellow"
"8","DNA metabolic process","GO:0006259","GO:0000725",4,6,"Day7_yellow"
"9","anatomical structure development","GO:0048856","GO:0000902",69,162,"Day7_yellow"
"10","reproduction","GO:0000003","GO:0001553",8,14,"Day7_yellow"
"11","embryo development","GO:0009790","GO:0001701",17,18,"Day7_yellow"
"12","anatomical structure formation invo...","GO:0048646","GO:0001707",11,16,"Day7_yellow"
"13","cell differentiation","GO:0030154","GO:0001764",33,56,"Day7_yellow"
"14","cell motility","GO:0048870","GO:0001764",23,12,"Day7_yellow"
"15","locomotion","GO:0040011","GO:0001764",23,12,"Day7_yellow"
"16","immune system process","GO:0002376","GO:0001779",39,58,"Day7_yellow"
"17","homeostatic process","GO:0042592","GO:0001922",13,14,"Day7_yellow"
"18","cell population proliferation","GO:0008283","GO:0002053",7,8,"Day7_yellow"
"19","biosynthetic process","GO:0009058","GO:0006042",65,72,"Day7_yellow"
"20","small molecule metabolic process","GO:0044281","GO:0006047",8,28,"Day7_yellow"
"21","translation","GO:0006412","GO:0006430",9,16,"Day7_yellow"
"22","cellular amino acid metabolic proce...","GO:0006520","GO:0006430",3,8,"Day7_yellow"
"23","catabolic process","GO:0009056","GO:0006511",37,24,"Day7_yellow"
"24","transport","GO:0006810","GO:0006843",25,38,"Day7_yellow"
"25","transmembrane transport","GO:0055085","GO:0006843",5,10,"Day7_yellow"
"26","vesicle-mediated transport","GO:0016192","GO:0006892",11,8,"Day7_yellow"
"27","signal transduction","GO:0007165","GO:0006983",74,102,"Day7_yellow"
"28","cell cycle","GO:0007049","GO:0007088",8,8,"Day7_yellow"
"29","cell morphogenesis","GO:0000902","GO:0007491",8,10,"Day7_yellow"
"30","cell death","GO:0008219","GO:0008631",33,16,"Day7_yellow"
"31","mitochondrion organization","GO:0007005","GO:0010821",4,12,"Day7_yellow"
"32","growth","GO:0040007","GO:0014901",16,14,"Day7_yellow"
"33","symbiotic process","GO:0044403","GO:0016032",11,8,"Day7_yellow"
"34","autophagy","GO:0006914","GO:0016236",4,6,"Day7_yellow"
"35","membrane organization","GO:0061024","GO:0016320",3,6,"Day7_yellow"
"36","chromosome organization","GO:0051276","GO:0016569",7,16,"Day7_yellow"
"37","lipid metabolic process","GO:0006629","GO:0019218",9,14,"Day7_yellow"
"38","cell-cell signaling","GO:0007267","GO:0032226",7,16,"Day7_yellow"
"39","cell junction organization","GO:0034330","GO:0034333",14,8,"Day7_yellow"
"40","protein transport","GO:0015031","GO:0035549",6,12,"Day7_yellow"
"41","cell adhesion","GO:0007155","GO:0042104",3,6,"Day7_yellow"
