"","PgenIDs","slim_term","over_represented_pvalue","GO_terms","term","ontology","moduleColor","Gene_terms"
"1","PGEN_.00g001920","ion binding",0.0140685659000162,"GO:0001786","phosphatidylserine binding","MF","yellow","F-BAR domain only protein 2"
"2","PGEN_.00g001920","lipid binding",0.0140685659000162,"GO:0001786","phosphatidylserine binding","MF","yellow","F-BAR domain only protein 2"
"3","PGEN_.00g001920","ion binding",0.0233012781186381,"GO:0005524","ATP binding","MF","yellow","F-BAR domain only protein 2"
"4","PGEN_.00g001920","ion binding",0.044081755420268,"GO:0046872","metal ion binding","MF","yellow","F-BAR domain only protein 2"
"5","PGEN_.00g001920","ion binding",0.00705007406209133,"GO:0005547","phosphatidylinositol-3,4,5-trisphosphate binding","MF","yellow","F-BAR domain only protein 2"
"6","PGEN_.00g001920","lipid binding",0.00705007406209133,"GO:0005547","phosphatidylinositol-3,4,5-trisphosphate binding","MF","yellow","F-BAR domain only protein 2"
"7","PGEN_.00g006290","ion binding",0.044081755420268,"GO:0046872","metal ion binding","MF","yellow","Helicase with zinc finger domain 2 (ATP-dependent helicase PRIC285) (Helicase with zinc finger 2, transcriptional coactivator) (PPAR-alpha-interacting complex protein 285) (PPAR-gamma DNA-binding domain-interacting protein 1) (PDIP1) (PPAR-gamma DBD-interacting protein 1) (Peroxisomal proliferator-activated receptor A-interacting complex 285 kDa protein)"
"8","PGEN_.00g006290","ion binding",0.0233012781186381,"GO:0005524","ATP binding","MF","yellow","Helicase with zinc finger domain 2 (ATP-dependent helicase PRIC285) (Helicase with zinc finger 2, transcriptional coactivator) (PPAR-alpha-interacting complex protein 285) (PPAR-gamma DNA-binding domain-interacting protein 1) (PDIP1) (PPAR-gamma DBD-interacting protein 1) (Peroxisomal proliferator-activated receptor A-interacting complex 285 kDa protein)"
"9","PGEN_.00g006290","ion binding",0.0140685659000162,"GO:0001786","phosphatidylserine binding","MF","yellow","Helicase with zinc finger domain 2 (ATP-dependent helicase PRIC285) (Helicase with zinc finger 2, transcriptional coactivator) (PPAR-alpha-interacting complex protein 285) (PPAR-gamma DNA-binding domain-interacting protein 1) (PDIP1) (PPAR-gamma DBD-interacting protein 1) (Peroxisomal proliferator-activated receptor A-interacting complex 285 kDa protein)"
"10","PGEN_.00g006290","ion binding",0.00705007406209133,"GO:0005547","phosphatidylinositol-3,4,5-trisphosphate binding","MF","yellow","Helicase with zinc finger domain 2 (ATP-dependent helicase PRIC285) (Helicase with zinc finger 2, transcriptional coactivator) (PPAR-alpha-interacting complex protein 285) (PPAR-gamma DNA-binding domain-interacting protein 1) (PDIP1) (PPAR-gamma DBD-interacting protein 1) (Peroxisomal proliferator-activated receptor A-interacting complex 285 kDa protein)"
"11","PGEN_.00g007330","ion binding",0.0140685659000162,"GO:0001786","phosphatidylserine binding","MF","yellow","Zinc finger protein 616"
"12","PGEN_.00g007330","ion binding",0.044081755420268,"GO:0046872","metal ion binding","MF","yellow","Zinc finger protein 616"
"13","PGEN_.00g007330","ion binding",0.0233012781186381,"GO:0005524","ATP binding","MF","yellow","Zinc finger protein 616"
"14","PGEN_.00g007330","ion binding",0.00705007406209133,"GO:0005547","phosphatidylinositol-3,4,5-trisphosphate binding","MF","yellow","Zinc finger protein 616"
"15","PGEN_.00g007860","ion binding",0.0233012781186381,"GO:0005524","ATP binding","MF","yellow","Actin, cytoplasmic type 5"
"16","PGEN_.00g007860","ion binding",0.0140685659000162,"GO:0001786","phosphatidylserine binding","MF","yellow","Actin, cytoplasmic type 5"
"17","PGEN_.00g007860","ion binding",0.00705007406209133,"GO:0005547","phosphatidylinositol-3,4,5-trisphosphate binding","MF","yellow","Actin, cytoplasmic type 5"
"18","PGEN_.00g007860","ion binding",0.044081755420268,"GO:0046872","metal ion binding","MF","yellow","Actin, cytoplasmic type 5"
"19","PGEN_.00g007870","ion binding",0.0140685659000162,"GO:0001786","phosphatidylserine binding","MF","yellow","Actin-3"
"20","PGEN_.00g007870","ion binding",0.0233012781186381,"GO:0005524","ATP binding","MF","yellow","Actin-3"
"21","PGEN_.00g007870","ion binding",0.00705007406209133,"GO:0005547","phosphatidylinositol-3,4,5-trisphosphate binding","MF","yellow","Actin-3"
"22","PGEN_.00g007870","ion binding",0.044081755420268,"GO:0046872","metal ion binding","MF","yellow","Actin-3"
"23","PGEN_.00g008400","ion binding",0.0233012781186381,"GO:0005524","ATP binding","MF","yellow","Proto-oncogene tyrosine-protein kinase Yrk"
"24","PGEN_.00g008400","ion binding",0.044081755420268,"GO:0046872","metal ion binding","MF","yellow","Proto-oncogene tyrosine-protein kinase Yrk"
"25","PGEN_.00g008400","ion binding",0.00705007406209133,"GO:0005547","phosphatidylinositol-3,4,5-trisphosphate binding","MF","yellow","Proto-oncogene tyrosine-protein kinase Yrk"
"26","PGEN_.00g008400","enzyme binding",0.0491261435112776,"GO:0019901","protein kinase binding","MF","yellow","Proto-oncogene tyrosine-protein kinase Yrk"
"27","PGEN_.00g008400","enzyme binding",0.0405081970367292,"GO:0031996","thioesterase binding","MF","yellow","Proto-oncogene tyrosine-protein kinase Yrk"
"28","PGEN_.00g008400","enzyme binding",6.96815437438068e-06,"GO:0031267","small GTPase binding","MF","yellow","Proto-oncogene tyrosine-protein kinase Yrk"
"29","PGEN_.00g008400","enzyme binding",0.0439951831459848,"GO:0031624","ubiquitin conjugating enzyme binding","MF","yellow","Proto-oncogene tyrosine-protein kinase Yrk"
